Meter S/N:, "REV_FA_2"
Sensor, None, None, ,
Date, 3/12/2015 4:23:34 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, 1.04483E+000, 0, 1, TriggerDetected, 0
0.0000016, 1.50114E+000, 0, 0, 0, 0
0.0000032, 1.96345E+000, 0, 0, 0, 0
0.0000048, 2.41830E+000, 0, 0, 0, 0
0.0000064, 2.84475E+000, 0, 0, 0, 0
0.0000080, 3.21255E+000, 0, 0, 0, 0
0.0000096, 3.40827E+000, 0, 0, 0, 0
0.0000112, 3.39344E+000, 0, 0, 0, 0
0.0000128, 3.23545E+000, 0, 0, 0, 0
0.0000144, 3.02546E+000, 0, 0, 0, 0
0.0000160, 2.77490E+000, 0, 0, 0, 0
0.0000176, 2.50278E+000, 0, 0, 0, 0
0.0000192, 2.23926E+000, 0, 0, 0, 0
0.0000208, 2.00117E+000, 0, 0, 0, 0
0.0000224, 1.77242E+000, 0, 0, 0, 0
0.0000240, 1.56298E+000, 0, 0, 0, 0
0.0000256, 1.36763E+000, 0, 0, 0, 0
0.0000272, 1.22309E+000, 0, 0, 0, 0
0.0000288, 1.05835E+000, 0, 0, 0, 0
0.0000304, 9.54221E-001, 0, 0, 0, 0
0.0000320, 8.43923E-001, 0, 0, 0, 0
0.0000335, 7.21639E-001, 0, 0, 0, 0
0.0000352, 6.36711E-001, 0, 0, 0, 0
0.0000368, 5.67193E-001, 0, 0, 0, 0
0.0000384, 5.14602E-001, 0, 0, 0, 0
0.0000400, 4.34033E-001, 0, 0, 0, 0
0.0000416, 3.88291E-001, 0, 0, 0, 0
0.0000432, 3.59320E-001, 0, 0, 0, 0
0.0000448, 3.16536E-001, 0, 0, 0, 0
0.0000464, 2.69548E-001, 0, 0, 0, 0
0.0000480, 2.50812E-001, 0, 0, 0, 0
0.0000496, 2.10362E-001, 0, 0, 0, 0
0.0000512, 1.95322E-001, 0, 0, 0, 0
0.0000528, 1.71993E-001, 0, 0, 0, 0
0.0000544, 1.51622E-001, 0, 0, 0, 0
0.0000560, 1.36894E-001, 0, 0, 0, 0
0.0000576, 1.23352E-001, 0, 0, 0, 0
0.0000592, 1.01892E-001, 0, 0, 0, 0
0.0000608, 9.49847E-002, 0, 0, 0, 0
0.0000624, 9.55100E-002, 0, 0, 0, 0
0.0000640, 7.74933E-002, 0, 0, 0, 0
0.0000656, 6.32123E-002, 0, 0, 0, 0
0.0000671, 5.84454E-002, 0, 0, 0, 0
0.0000688, 5.24528E-002, 0, 0, 0, 0
0.0000704, 4.75303E-002, 0, 0, 0, 0
0.0000720, 2.85992E-002, 0, 0, 0, 0
0.0000736, 3.63818E-002, 0, 0, 0, 0
0.0000752, 2.58169E-002, 0, 0, 0, 0
0.0000768, 1.24309E-002, 0, 0, 0, 0
0.0000784, 7.93642E-003, 0, 0, 0, 0
0.0000800, 1.84235E-002, 0, 0, 0, 0
0.0000816, 1.89488E-002, 0, 0, 0, 0
0.0000832, 1.07771E-002, 0, 0, 0, 0
0.0000848, 6.24370E-003, 0, 0, 0, 0
0.0000864, 1.19250E-002, 0, 0, 0, 0
0.0000880, 1.79565E-002, 0, 0, 0, 0
0.0000896, 6.12696E-003, 0, 0, 0, 0
0.0000911, 6.28262E-003, 0, 0, 0, 0
0.0000928, 1.59525E-002, 0, 0, 0, 0
0.0000944, -5.43018E-003, 0, 32, UnderRange, 0
0.0000960, 6.47718E-003, 0, 0, 0, 0
0.0000976, 3.47627E-001, 0, 0, 0, 0
0.0000992, 8.49721E-001, 0, 0, 0, 0
0.0001008, 1.27251E+000, 0, 1, TriggerDetected, 0
0.0001024, 1.72641E+000, 0, 0, 0, 0
0.0001040, 2.19587E+000, 0, 0, 0, 0
0.0001056, 2.62045E+000, 0, 0, 0, 0
0.0001072, 3.03141E+000, 0, 0, 0, 0
0.0001088, 3.32698E+000, 0, 0, 0, 0
0.0001104, 3.40393E+000, 0, 0, 0, 0
0.0001120, 3.33157E+000, 0, 0, 0, 0
0.0001136, 3.14471E+000, 0, 0, 0, 0
0.0001152, 2.88709E+000, 0, 0, 0, 0
0.0001168, 2.64497E+000, 0, 0, 0, 0
0.0001184, 2.37386E+000, 0, 0, 0, 0
0.0001200, 2.11128E+000, 0, 0, 0, 0
0.0001216, 1.89179E+000, 0, 0, 0, 0
