Meter S/N: Not_Serialized,
Sensor S/N: 1068,
MON JUL  8 11:11:04 2013,
Measurement,PulsePeriod(usec)
-1.4586374E-04,         0
-1.3208711E-04,         0
-1.3726200E-04,         0
-1.2958124E-04,         0
-1.5064266E-04,         0
-1.3223971E-04,         0
-1.4656730E-04,         0
-1.6977973E-04,         0
-1.7285817E-04,         0
-1.6876245E-04,         0
-1.8260724E-04,         0
-1.4737995E-04,         0
-1.4168594E-04,         0
-1.1122139E-04,         0
-1.1287471E-04,         0
-5.9194612E-05,         0
-4.1881016E-05,         0
-6.3936604E-05,         0
-6.9438938E-05,         0
-1.0868646E-04,         0
-1.4437058E-04,         0
-1.1809018E-04,         0
+1.7936958E-02,         0
+2.4770638E-02,         0
+4.5204606E-02,         0
+5.1538631E-02,         0
+6.7708842E-02,         0
+8.0330878E-02,         0
+8.9729205E-02,         0
+9.6751742E-02,         0
+1.0196464E-01,         0
+1.0594986E-01,         0
+1.0898169E-01,         0
+1.1127492E-01,         0
+1.1292318E-01,         0
+1.1405966E-01,         0
+1.1479430E-01,         0
+1.1533965E-01,         0
+1.1574239E-01,         0
+1.1610417E-01,         0
+1.1638474E-01,         0
+1.1664210E-01,         0
+1.1693550E-01,         0
+1.1709866E-01,         0
+1.1714061E-01,         0
+1.1703758E-01,         0
+1.1685163E-01,         0
+1.1660369E-01,         0
+1.1635113E-01,         0
+1.1611619E-01,         0
+1.1579829E-01,         0
+1.1356357E-01,         0
+1.0662708E-01,         0
+9.5721759E-02,         0
+8.2875341E-02,         0
+6.9902003E-02,         0
+5.7745822E-02,         0
+4.7053773E-02,         0
+3.7860326E-02,         0
+3.0268630E-02,         0
+2.5135012E-02,         0
+2.5378449E-02,         0
+3.1193130E-02,         0
+4.0459421E-02,         0
+5.1210757E-02,         0
+6.1944921E-02,         0
+7.1919948E-02,         0
+8.0718979E-02,         0
+8.8125870E-02,         0
+9.4120525E-02,         0
+9.8841451E-02,         0
+1.0247415E-01,         0
+1.0516453E-01,         0
+1.0679324E-01,         0
+1.0470735E-01,         0
+9.7348712E-02,         0
+8.5764945E-02,         0
+7.4281305E-02,         0
+6.2171783E-02,         0
+5.1103164E-02,         0
+4.1417547E-02,         0
+3.3253901E-02,         0
+2.6518844E-02,         0
+2.2211932E-02,         0
+2.3645693E-02,         0
+3.0396605E-02,         0
+4.0151998E-02,         0
+5.0915342E-02,         0
+6.1384454E-02,         0
+7.0854083E-02,         0
+7.9070114E-02,         0
+8.5895479E-02,         0
+9.1465078E-02,         0
+9.5923617E-02,         0
+9.9390619E-02,         0
+1.0208977E-01,         0
+1.0298741E-01,         0
+9.8792605E-02,         0
+8.9836366E-02,         0
+7.8444846E-02,         0
+6.6479869E-02,         0
+5.5118177E-02,         0
+4.4966191E-02,         0
+3.6328040E-02,         0
+2.9040275E-02,         0
+2.3156714E-02,         0
+2.0472148E-02,         0
+2.3588493E-02,         0
+3.1262323E-02,         0
+4.1195810E-02,         0
+5.1687948E-02,         0
+6.1572578E-02,         0
+7.0429258E-02,         0
+7.7985458E-02,         0
+8.4247462E-02,         0
+8.9360811E-02,         0
+9.3548827E-02,         0
+9.6857756E-02,         0
+9.9496014E-02,         0
+1.0164713E-01,         0
+1.0333355E-01,         0
+1.0468324E-01,         0
+1.0573114E-01,         0
+1.0653933E-01,         0
+1.0717596E-01,         0
+1.0763241E-01,         0
+1.0792663E-01,         0
+1.0812693E-01,         0
+1.0820676E-01,         0
+1.0824800E-01,         0
+1.0826606E-01,         0
+1.0820876E-01,         0
+1.0812353E-01,         0
+1.0795800E-01,         0
+1.0773175E-01,         0
+1.0749029E-01,         0
+1.0721514E-01,         0
+1.0692585E-01,         0
+1.0657638E-01,         0
+1.0616928E-01,         0
+1.0565822E-01,         0
+1.0516166E-01,         0
+1.0400415E-01,         0
+1.0397983E-01,         0
+1.0376594E-01,         0
+9.9577844E-02,         0
+9.0937480E-02,         0
+7.9722688E-02,         0
+6.7862123E-02,         0
+5.6659352E-02,         0
+4.9507540E-02,         0
+4.8292551E-02,         0
+4.8255727E-02,         0
+4.6016045E-02,         0
+4.4575147E-02,         0
+4.4870503E-02,         0
+4.5134045E-02,         0
+4.7130428E-02,         0
+4.7537230E-02,         0
+4.5425519E-02,         0
+4.4777472E-02,         0
+4.4795945E-02,         0
+4.3489031E-02,         0
+4.4108566E-02,         0
+4.4584990E-02,         0
+4.3138035E-02,         0
+4.3252137E-02,         0
+4.3902040E-02,         0
+4.4104695E-02,         0
+4.4998135E-02,         0
+4.4529613E-02,         0
+4.5456130E-02,         0
+4.5798466E-02,         0
+4.3484826E-02,         0
+3.9153483E-02,         0
+3.3960961E-02,         0
+2.8630992E-02,         0
+2.3602504E-02,         0
+1.9221205E-02,         0
+1.5416697E-02,         0
+1.2293857E-02,         0
+9.7568249E-03,         0
+1.9543940E-02,         0
+1.8435502E-02,         0
+2.0300528E-02,         0
+2.6306042E-02,         0
+3.4355707E-02,         0
+4.2761572E-02,         0
+3.9509315E-02,         0
+4.0903486E-02,         0
+4.4557065E-02,         0
+4.8448976E-02,         0
+5.2486487E-02,         0
+5.6493144E-02,         0
+6.0292799E-02,         0
+6.3809142E-02,         0
+6.7007713E-02,         0
+6.9884837E-02,         0
+7.2379865E-02,         0
+7.4546300E-02,         0
+7.6427095E-02,         0
+7.8071140E-02,         0
+7.9482928E-02,         0
+8.0798775E-02,         0
+8.2228668E-02,         0
+8.4074832E-02,         0
+8.6278386E-02,         0
