Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, JMAXX
Date, 11/25/2013 7:27:32 PM
Timestamp, Measurement, PulsePeriod(uSec) 
0.064154, 1.085275, 578570
0.064205, 1.081908, 578610
0.064256, 1.187877, 578660
0.064307, 1.191973, 578690
0.064358, 1.128787, 578730
0.064410, 1.083624, 580380
0.064461, 1.096818, 580420
0.064512, 1.113567, 580460
0.064563, 1.1321, 580500
0.064614, 1.091245, 589450
0.064666, 1.083189, 589490
0.064717, 1.079447, 597010
0.064768, 1.080746, 600690
0.064819, 1.092451, 600730
0.064870, 1.083571, 602580
0.064922, 1.079127, 602610
0.064973, 1.142018, 602660
0.065024, 1.159663, 602700
0.065075, 1.174438, 602730
0.065126, 1.182068, 606260
0.065178, 1.186391, 615480
0.065229, 1.188008, 615510
0.065280, 1.136259, 617330
0.065331, 1.192254, 617370
0.065382, 1.181555, 617410
0.065434, 1.165484, 617450
0.065485, 1.149386, 617490
0.065536, 1.133334, 620970
0.065587, 1.179631, 621010
0.065638, 1.184814, 630010
0.065690, 1.185874, 633680
0.065741, 1.181617, 633720
0.065792, 1.19151, 635480
0.065843, 1.194338, 639120
0.065894, 1.080158, 639180
0.065946, 1.080419, 639230
0.065997, 1.162973, 640980
0.066048, 1.142939, 641010
0.066099, 1.124387, 646340
0.066150, 1.184981, 646370
0.066202, 1.174444, 646410
0.066253, 1.162281, 646450
0.066304, 1.14756, 646490
0.066355, 1.131171, 649990
0.066406, 1.128607, 659050
0.066458, 1.18944, 659090
0.066509, 1.194319, 659130
0.066560, 1.149775, 659170
0.066611, 1.163072, 659210
0.066662, 1.175292, 659250
0.066714, 1.184883, 660880
0.066765, 1.186585, 660920
0.066816, 1.080499, 660970
0.066867, 1.077337, 661010
0.066918, 1.079631, 671780
0.066970, 1.073725, 671820
0.067021, 1.167508, 671870
0.067072, 1.152813, 671900
0.067123, 1.136294, 671940
0.067174, 1.188849, 671980
0.067226, 1.190256, 679080
0.067277, 1.091429, 679120
0.067328, 1.107128, 679170
0.067379, 1.125233, 679200
0.067430, 1.143834, 679240
0.067482, 1.07704, 689860
0.067533, 1.076453, 689900
0.067584, 1.148499, 689940
0.067635, 1.162799, 689970
0.067686, 1.179211, 690010
0.067738, 1.185128, 699350
0.067789, 1.191256, 699390
0.067840, 1.075001, 699430
0.067891, 1.076215, 699480
0.067942, 1.080435, 699510
0.067994, 1.08836, 708390
0.068045, 1.101353, 708430
0.068096, 1.117369, 708470
