Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0,0.049919184,0,,,,,,
1.60E-06,0.044253338,0,,,,,,
3.20E-06,0.058890101,0,,,,,,
4.80E-06,0.054640718,0,,,,,,
6.40E-06,0.053696413,0,,,,,,
8.00E-06,0.060306564,0,,,,,,
9.60E-06,0.046850186, TriggerDetected,,,,,,
1.12E-05,0.064555943,0,,,,,,
1.28E-05,0.052516028,0,,,,,,
1.44E-05,0.06738887,0,,,,,,
1.60E-05,0.074471176,0,,,,,,
1.76E-05,0.066916712,0,,,,,,
1.92E-05,0.072582558,0,,,,,,
2.08E-05,0.075415477,0,,,,,,
2.24E-05,0.068333179,0,,,,,,
2.40E-05,3.198003769,0,,,,,,
2.56E-05,25.65410423,0,,,,,,
2.72E-05,36.48342133,0,,,,,,
2.88E-05,49.72945404,0,,,,,,
3.04E-05,61.68745422,0,,,,,,
3.20E-05,72.65699768,0,,,,,,
3.36E-05,83.52148438,0,,,,,,
3.52E-05,93.81679535,0,,,,,,
3.68E-05,103.4631348,0,,,,,,
3.84E-05,112.4097366,0,,,,,,
4.00E-05,120.6525955,0,,,,,,
4.16E-05,128.2412872,0,,,,,,
4.32E-05,135.2043762, Overrange,,,,,,
4.48E-05,141.6289673, Overrange,,,,,,
4.64E-05,147.5289917, Overrange,,,,,,
4.80E-05,153.0045624, Overrange,,,,,,
4.96E-05,158.0861206, Overrange,,,,,,
5.12E-05,162.7809753, Overrange,,,,,,
5.28E-05,167.1330566, Overrange,,,,,,
5.44E-05,171.1007996, Overrange,,,,,,
5.60E-05,174.7276459, Overrange,,,,,,
5.76E-05,178.0839539, Overrange,,,,,,
5.92E-05,181.20961, Overrange,,,,,,
6.08E-05,184.0668488, Overrange,,,,,,
6.24E-05,186.713501, Overrange,,,,,,
6.40E-05,189.1486359, Overrange,,,,,,
6.56E-05,191.4111938, Overrange,,,,,,
6.72E-05,193.49646, Overrange,,,,,,
6.88E-05,195.4499969, Overrange,,,,,,
7.04E-05,197.226944, Overrange,,,,,,
7.20E-05,198.8131409, Overrange,,,,,,
7.36E-05,200.21875, Overrange,,,,,,
7.52E-05,201.4628754, Overrange,,,,,,
7.68E-05,202.6663971, Overrange,,,,,,
7.84E-05,203.8052216, Overrange,,,,,,
8.00E-05,204.8989716, Overrange,,,,,,
8.16E-05,205.9351196, Overrange,,,,,,
8.32E-05,206.8602905, Overrange,,,,,,
8.48E-05,207.6974335, Overrange,,,,,,
8.64E-05,208.4221802, Overrange,,,,,,
8.80E-05,209.0647888, Overrange,,,,,,
8.96E-05,209.6226349, Overrange,,,,,,
9.12E-05,210.0931396, Overrange,,,,,,
9.28E-05,210.4585876, Overrange,,,,,,
9.44E-05,210.6974945, Overrange,,,,,,
9.60E-05,210.8556671, Overrange,,,,,,
9.76E-05,211.0018005, Overrange,,,,,,
9.92E-05,211.1139374, Overrange,,,,,,
0.0001008,211.1689301, Overrange,,,,,,
0.0001024,211.2043457, Overrange,,,,,,
0.000104,211.1651611, Overrange,,,,,,
0.0001056,211.0775757, Overrange,,,,,,
0.0001072,210.9725189, Overrange,,,,,,
0.0001088,210.8438568, Overrange,,,,,,
0.0001104,210.6970215, Overrange,,,,,,
0.000112,210.5154724, Overrange,,,,,,
0.0001136,210.3150482, Overrange,,,,,,
0.0001152,210.1403503, Overrange,,,,,,
0.0001168,209.927887, Overrange,,,,,,
0.0001184,209.7196655, Overrange,,,,,,
0.00012,209.4741364, Overrange,,,,,,
0.0001216,209.2347565, Overrange,,,,,,
0.0001232,209.0078888, Overrange,,,,,,
0.0001248,208.8907928, Overrange,,,,,,
