"Bill of Material for 1159497-AA.PrjPCB"
"On 1/5/2009 at 5:22:55 PM"

"Comment","Pattern","Quantity","Components"

"1.00 MEG","SMR0402X02","7","R6, R7, R8, R9, R45, R49, R53","Resistor, 1.00M Ohm, 1%, Thick Film, SMT, 0402, 0.062W, 100ppm/°C, 25V"
"1.50K","SMR0402X02","5","R14, R31, R32, R58, R63","Resistor, 1.50K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"10.0K","SMR0402X02","3","R39, R40, R41","Resistor, 10.0K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"10","SMR0402X02","2","R37, R38","Resistor, 10 Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"100","SMR0402X02","10","R2, R3, R4, R5, R44, R46, R48, R50, R52, R54","Resistor, 100 Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"100K","SMR0402X02","11","R12, R35, R36, R42, R43, R56, R61, R62, R64, R65, R66","Resistor, 100K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"100n","SMC0402X02","31","C5, C7, C8, C17, C28, C36, C44, C45, C46, C47, C52, C53, C56, C57, C58, C60, C61, C62, C63, C64, C69, C72, C73, C80, C81, C82, C83, C84, C85, C88, C89","Capacitor, 0.1uF, ±10%, Ceramic, X7R, SMT, 0402, 16WVDC"
"100n","SMC0603X03","4","C22, C25, C26, C29","Capacitor, 0.1µF, ±10%, Ceramic, X7R, SMT, 0603, 50WVDC"
"10n","SMC0402X02","9","C2, C4, C9, C15, C55, C66, C68, C74, C77","Capacitor, 0.01uF, ±10%, Ceramic, X7R, SMT, 0402, 16WVDC"
"10p","SMC0402X02","4","C48, C49, C50, C51","Capacitor, 10pF, ±5%, Ceramic, C0G, SMT, 0402, 50WVDC"
"10u","SMC0603X03","2","C54, C59","Capacitor, 10uF, ±20%, Ceramic, X5R, SMT, 0603, 4WVDC"
"10u","SMC0805X05","18","C1, C3, C6, C10, C11, C12, C13, C33, C35, C40, C42, C65, C67, C70, C71, C75, C78, C200","Capacitor, 10uF, ±10%, Ceramic, X5R, SMT, 0805, 16WVDC"
"10u","VLCF4020","1","L5","Inductor, 10uH, ±20%, Power, SMT, 0.85A, 0.185 Ohm"
"1159498","","1","PWB1","PWB, Meterless Sensor SW Development"
"12.0000 MHz","NDK_NX3225SA","1","Y2","Timing Crystal, 12.000MHz, ±15 PPM, 8pF, Fundamental, SMT, 3.2 x 2.5mm"
"182-009-213R161","DSUB1.385-2H9","2","J5, J6","Connector, D-Sub, Right Angle, 0.318 inch, 9 Position, Female, PCB Mount"
"1n","SMC0402X02","4","C14, C16, C76, C79","Capacitor, 1000pF, ±5%, Ceramic, C0G, SMT, 0402, 50WVDC"
"1u","SMC0402X02","1","C27","Capacitor, 1uF, ±10%, Ceramic, X5R, SMT, 0402, 6.3WVDC"
"1u","SMC0603X03","5","C24, C34, C37, C41, C43","Capacitor, 1uF, ±10%, Ceramic, X7R, 0603, 16WVDC"
"2.00 MEG","SMR0402X02","1","R21","Resistor, 2.00M Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"2.2u","SMC0603X03","9","C18, C19, C20, C21, C30, C32, C39, C86, C87","Capacitor, 2.2µF, ±10%, Ceramic, X5R, SMT, 0603, 16WVDC"
"2.49K","SMR0402X02","4","R10, R13, R51, R57","Resistor, 2.49K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"200K","SMR0402X02","1","R23","Resistor, 200K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"218-2LPST","SWITCH_SOIC4X27mm","2","SW1, SW2","Switch, DIP, SMT, 2 Position, SPST, 0.050" Pitch, Sealed"
"22.6K","SMR0402X02","2","R22, R27","Resistor, 22.6K Ohm, ±1%, Thick Film, SMT, 0402, 0.063W, 100ppm/°C, 50V"
"22p","SMC0402X02","3","C23, C31, C38","Capacitor, 22pF, ±5%, Ceramic, C0G, SMT, 0402, 50WVDC"
