#Peripheral,Pin,Input Signal,i_idx,Output Signal,o_idx,Output Enable Signal,oe_idx,Pattern of signals to pin
CAN,RX,CAN_RXD,,,,,,
CAN,TX,,,CAN_TXD,,,,
EMAC,TX_CLK,,,EMAC_CLK_TX,,,,
EMAC,TXD0,,,EMAC_PHY_TXD,0,,,
EMAC,TXD1,,,EMAC_PHY_TXD,1,,,
EMAC,TXD2,,,EMAC_PHY_TXD,2,,,
EMAC,TXD3,,,EMAC_PHY_TXD,3,,,
EMAC,MDIO,EMAC_GMII_MDO_I,,EMAC_GMII_MDO_O,,EMAC_GMII_MDO_OE,,full
EMAC,MDC,,,EMAC_GMII_MDC,,,,
EMAC,RX_CTL,EMAC_PHY_RXDV,,,,,,
EMAC,TX_CTL,,,EMAC_PHY_TX_OE,,,,
EMAC,RX_CLK,EMAC_CLK_RX,,,,,,
EMAC,RXD0,EMAC_PHY_RXD,0,,,,,
EMAC,RXD1,EMAC_PHY_RXD,1,,,,,
EMAC,RXD2,EMAC_PHY_RXD,2,,,,,
EMAC,RXD3,EMAC_PHY_RXD,3,,,,,
I2C,SDA,I2C_DATA,,,, I2C_DATA_OE,,input and oe
I2C,SCL, I2C_CLK,,,, I2C_CLK_OE,,input and oe
NAND,ALE,,,NAND_ALE,,,,
NAND,CE,,,NAND_CE_N,,,,
NAND,CLE,,,NAND_CLE,,,,
NAND,RE,,,NAND_RE_N,,,,
NAND,RB,NAND_RDY_BUSYN,,,,,,
NAND,DQ0,NAND_ADQ_I,0,NAND_ADQ_O,0,NAND_ADQ_OE,0,full
NAND,DQ1,NAND_ADQ_I,1,NAND_ADQ_O,1,NAND_ADQ_OE,0,
NAND,DQ2,NAND_ADQ_I,2,NAND_ADQ_O,2,NAND_ADQ_OE,0,
NAND,DQ3,NAND_ADQ_I,3,NAND_ADQ_O,3,NAND_ADQ_OE,0,
NAND,DQ4,NAND_ADQ_I,4,NAND_ADQ_O,4,NAND_ADQ_OE,0,
NAND,DQ5,NAND_ADQ_I,5,NAND_ADQ_O,5,NAND_ADQ_OE,0,
NAND,DQ6,NAND_ADQ_I,6,NAND_ADQ_O,6,NAND_ADQ_OE,0,
NAND,DQ7,NAND_ADQ_I,7,NAND_ADQ_O,7,NAND_ADQ_OE,0,
NAND,WP,,,NAND_WP_N,,,,
NAND,WE,,,NAND_WE_N,,,,
QSPI,IO0,QSPI_MI0,,QSPI_MO0,,QSPI_MO_EN_N,0,"full, asymmetrical"
QSPI,IO1,QSPI_MI1,,QSPI_MO1,,QSPI_MO_EN_N,1,"full, asymmetrical"
QSPI,IO2,QSPI_MI2,,QSPI_MO2,,QSPI_MO_EN_N,2,"full, asymmetrical"
QSPI,IO3,QSPI_MI3,,QSPI_MO3,,QSPI_MO_EN_N,3,"full, asymmetrical"
QSPI,CLK,,,QSPI_SCLK,,,,
QSPI,SS0,,,QSPI_SS_N,0,,,
QSPI,SS1,,,QSPI_SS_N,1,,,
QSPI,SS2,,,QSPI_SS_N,2,,,
QSPI,SS3,,,QSPI_SS_N,3,,,
SDIO,CMD,SDMMC_CMD_I,,SDMMC_CMD_O,,SDMMC_CMD_OE,,full
SDIO,PWREN,,,SDMMC_PWR_EN,,,,
SDIO,D0,SDMMC_DATA_I,0,SDMMC_DATA_O,0,SDMMC_DATA_OE,0,full
SDIO,D1,SDMMC_DATA_I,1,SDMMC_DATA_O,1,SDMMC_DATA_OE,1,
SDIO,D2,SDMMC_DATA_I,2,SDMMC_DATA_O,2,SDMMC_DATA_OE,2,
SDIO,D3,SDMMC_DATA_I,3,SDMMC_DATA_O,3,SDMMC_DATA_OE,3,
SDIO,D4,SDMMC_DATA_I,4,SDMMC_DATA_O,4,SDMMC_DATA_OE,4,
SDIO,D5,SDMMC_DATA_I,5,SDMMC_DATA_O,5,SDMMC_DATA_OE,5,
SDIO,D6,SDMMC_DATA_I,6,SDMMC_DATA_O,6,SDMMC_DATA_OE,6,
SDIO,D7,SDMMC_DATA_I,7,SDMMC_DATA_O,7,SDMMC_DATA_OE,7,
SDIO,CLK_IN,SDMMC_FB_CLK,,,,,,
SDIO,CLK,,,SDMMC_CCLK,,,,
SPIM,CLK,,,SPI_MASTER_SCLK,,,,
SPIM,MOSI,,,SPI_MASTER_TXD,,SPI_MASTER_SSI_OE_N,,out and oe
SPIM,MISO,SPI_MASTER_RXD,,,,,,
SPIM,SS0,,,SPI_MASTER_SS_0_N,,,,
SPIM,SS1,,,SPI_MASTER_SS_1_N,,,,
SPIS,CLK,SPI_SLAVE_SCLK,,,,,,
SPIS,MOSI,SPI_SLAVE_RXD,,,,,,
SPIS,MISO,,,SPI_SLAVE_TXD,,SPI_SLAVE_SSI_OE_N,,out and oe
SPIS,SS0,SPI_SLAVE_SS_N,,,,,,
TRACE,CLK,,,TPIU_TRACE_CLK,0,,,
TRACE,D0,,,TPIU_TRACE_DATA,0,,,
TRACE,D1,,,TPIU_TRACE_DATA,1,,,
TRACE,D2,,,TPIU_TRACE_DATA,2,,,
TRACE,D3,,,TPIU_TRACE_DATA,3,,,
TRACE,D4,,,TPIU_TRACE_DATA,4,,,
TRACE,D5,,,TPIU_TRACE_DATA,5,,,
TRACE,D6,,,TPIU_TRACE_DATA,6,,,
TRACE,D7,,,TPIU_TRACE_DATA,7,,,
UART,RX,UART_RXD,,,,,,
UART,TX,,,UART_TXD,,,,
