Meter S/N:," ""0621B14R""",,,
Sensor, THERMO,SINGLE, 0720B14R,
Date, 2/27/2014 2:03:28 PM,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000006,7.560546398,0,1, TriggerDetected
0.000013,12.31985855,7,0,0
0.000019,16.84561157,13,0,0
0.000026,20.28499222,20,0,0
0.000032,23.27825165,26,0,0
0.000038,25.53242111,32,0,0
0.000045,27.61394501,39,0,0
0.000051,29.48431396,45,0,0
0.000058,31.14813614,52,0,0
0.000064,31.84435272,58,0,0
0.00007,32.73276138,64,0,0
0.000077,33.88940811,71,0,0
0.000083,35.14318848,77,0,0
0.00009,36.41316986,84,0,0
0.000096,37.67689514,90,0,0
0.000102,38.92903137,96,0,0
0.000109,40.13121414,103,0,0
0.000115,41.30463791,109,0,0
0.000122,42.45366669,116,0,0
0.000128,43.56564713,122,0,0
0.000134,44.61962128,128,0,0
0.000141,45.65196991,135,0,0
0.000147,46.63203812,141,0,0
0.000154,47.55560684,148,0,0
0.00016,48.4377594,154,0,0
0.000166,49.27675247,160,0,0
0.000173,50.06040955,167,0,0
0.000179,50.80560684,173,0,0
0.000186,51.4964447,180,0,0
0.000192,52.15294266,186,0,0
0.000198,52.76618576,192,0,0
0.000205,53.32151794,199,0,0
0.000211,53.84766006,205,0,0
0.000218,54.31827164,212,0,0
0.000224,54.73883057,218,0,0
0.00023,55.13170242,224,0,0
0.000237,55.47811508,231,0,0
0.000243,55.78936768,237,0,0
0.00025,56.0576973,244,0,0
0.000256,56.27544785,250,0,0
0.000262,56.46162796,256,0,0
0.000269,56.8530426,263,0,0
0.000275,57.66521454,269,0,0
0.000282,58.04053116,276,0,0
0.000288,58.39111328,282,0,0
0.000294,58.71351624,288,0,0
0.000301,59.02016068,295,0,0
0.000307,59.28626251,301,0,0
0.000314,59.54246902,308,0,0
0.00032,59.76618576,314,0,0
0.000326,59.97011566,320,0,0
0.000333,60.15556335,327,0,0
0.000339,60.31832123,333,0,0
