Meter S/N:," ""serial number""",,,,
Sensor, THERMO,SINGLE, 150W-HD,,
Date, 2/14/2014 11:57:03 AM,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),
0.19465,0.0107572,2622950,0,0,
0.194656,0.016814249,2622950,0,0,6.7927E-08
0.194662,0.005828077,2622960,0,0,4.32833E-08
0.194669,0.006538582,2622970,0,0,8.33538E-08
0.194675,0.02124602,2622970,0,0,9.11691E-08
0.194682,0.004802287,2622980,0,0,9.07059E-09
0.194688,-0.001778758,2622990,32, NegativePower,6.76589E-09
0.194694,0.004034054,2622990,0,0,3.35694E-08
0.194701,0.005557198,2623000,0,0,4.25087E-08
0.194707,0.008612366,2623010,0,0,5.29506E-08
0.194714,0.006516378,2623010,0,0,5.32329E-08
0.19472,0.011227909,2623020,0,0,5.52978E-08
0.194726,0.00720468,2623020,0,0,6.98295E-08
0.194733,0.012746613,2623030,0,0,6.74474E-08
0.194739,0.009735851,2623040,0,0,5.71936E-08
0.194746,0.006605192,2623040,0,0,3.63007E-08
0.194752,0.005495029,2623050,0,0,3.64339E-08
0.194758,0.006649598,2623060,0,0,5.96493E-08
0.194765,0.010393067,2623060,0,0,6.12127E-08
0.194771,0.010011171,2623070,0,0,3.72218E-08
0.194778,0.000623634,2623080,0,0,2.18463E-08
0.194784,0.00665848,2623080,0,0,3.49551E-08
0.19479,0.004993235,2623090,0,0,4.73398E-08
0.194797,0.008532435,2623090,0,0,6.85131E-08
0.194803,0.014305281,2623100,0,0,5.7862E-08
0.19481,0.002226709,2623110,0,0,2.21394E-08
0.194816,0.005153099,2623110,0,0,3.42491E-08
0.194822,0.006263262,2623120,0,0,2.77566E-08
0.194829,0.001667187,2623130,0,0,1.03228E-08
0.194835,0.001773763,2623130,0,0,3.45952E-08
0.194842,0.008110573,2623140,0,0,4.05504E-08
0.194848,0.005406216,2623150,0,0,1.25077E-08
0.194854,-0.001236999,2623150,32, NegativePower,2.02341E-08
0.194861,0.007018172,2623160,0,0,6.37705E-08
0.194867,0.014238671,2623170,0,0,6.01933E-08
0.194874,0.002959417,2623170,0,0,1.96349E-08
0.19488,0.003585549,2623180,0,0,1.27474E-08
0.194886,0.0006636,2623180,0,0,3.41134E-08
0.194893,0.009083075,2623190,0,0,2.26323E-08
0.194899,-0.001538963,2623200,32, NegativePower,8.04896E-09
0.194906,0.003838666,2623200,0,0,2.61493E-08
0.194912,0.004877778,2623210,0,0,3.42491E-08
0.194918,0.006538582,2623220,0,0,5.72247E-08
0.194925,0.009811342,2623220,0,0,5.13278E-08
0.194931,0.007297933,2623230,0,0,5.19714E-08
0.194938,0.00755105,2623240,0,0,6.15058E-08
0.194944,0.012950882,2623250,0,0,5.85084E-08
0.19495,0.006551904,2623250,0,0,3.28389E-08
0.194957,0.002830638,2623250,0,0,2.37647E-08
0.194963,0.00509093,2623260,0,0,4.05323E-08
0.19497,0.006489735,2623270,0,0,3.18911E-08
0.194976,0.00414063,2623270,0,0,2.3072E-08
0.194982,0.003550023,2623280,0,0,4.98888E-08
0.194989,0.010703913,2623290,0,0,5.86016E-08
0.194995,0.008829958,2623290,0,0,4.1698E-08
0.195002,0.003083755,2623300,0,0,1.65442E-08
0.195008,0.002430979,2623310,0,0,3.5488E-08
0.195014,0.009398362,2623310,0,0,6.76225E-08
0.195021,0.009922358,2623320,0,0,4.73446E-08
0.195027,0.005859162,2623330,0,0,3.45952E-08
0.195034,0.004025173,2623330,0,0,4.54662E-08
0.19504,0.011130216,2623340,0,0,5.88681E-08
0.195046,0.008492469,2623340,0,0,3.45175E-08
0.195053,0.001369664,2623350,0,0,1.7903E-08
0.195059,0.004598017,2623360,0,0,3.35383E-08
0.195066,0.004984354,2623360,0,0,2.87738E-08
0.195072,0.004606898,2623370,0,0,4.34279E-08
0.195078,0.009869071,2623380,0,0,4.48997E-08
0.195085,0.002959417,2623380,0,0,3.65671E-08
0.195091,0.009229616,2623390,0,0,8.12686E-08
0.195098,0.013989995,2623400,0,0,9.0521E-08
0.195104,0.016183676,2623400,0,0,6.33575E-08
0.19511,0.004935507,2623410,0,0,3.34295E-08
0.195117,0.00461578,2623420,0,0,4.12964E-08
0.195123,0.009149685,2623420,0,0,7.6637E-08
0.19513,0.012746613,2623430,0,0,5.26733E-08
0.195136,0.004811168,2623430,0,0,3.96045E-08
0.195142,0.008390334,2623440,0,0,8.24809E-08
0.195149,0.015175649,2623450,0,0,9.69822E-08
0.195155,0.017151739,2623450,0,0,8.80762E-08
0.195162,0.008012878,2623460,0,0,6.00004E-08
0.195168,0.011987261,2623470,0,0,6.03734E-08
0.195174,0.008137217,2623470,0,0,3.04143E-08
0.195181,0.000552584,2623480,0,0,2.61227E-08
0.195187,0.008154979,2623490,0,0,7.4601E-08
0.195194,0.013159594,2623490,0,0,6.61951E-08
0.1952,0.008905449,2623500,0,0,3.65138E-08
0.195206,0.003265822,2623500,0,0,3.7282E-09
0.195213,-0.00220062,2623510,32, NegativePower,1.34269E-08
0.195219,0.006676242,2623520,0,0,6.0271E-08
0.195226,0.01054405,2623520,0,0,7.88243E-08
0.195232,0.015730731,2623530,0,0,6.90327E-08
0.195238,0.00728017,2623540,0,0,4.32056E-08
0.195245,0.005064285,2623540,0,0,3.80059E-08
0.195251,0.007604338,2623550,0,0,7.08242E-08
0.195258,0.012631156,2623560,0,0,8.53921E-08
0.195264,0.015832866,2623560,0,0,7.3722E-08
0.19527,0.008741145,2623570,0,0,3.36471E-08
0.195277,0.00087231,2623570,0,0,4.18293E-08
0.195283,0.01307078,2623580,0,0,1.08483E-07
0.19529,0.017924413,2623590,0,0,8.48325E-08
0.195296,0.010353101,2623590,0,0,6.10795E-08
0.195302,0.01000673,2623600,0,0,9.56763E-08
0.195309,0.017329365,2623610,0,0,8.17818E-08
0.195315,0.009931239,2623610,0,0,6.91457E-08
0.195322,0.009824664,2623620,0,0,5.81886E-08
0.195328,0.009571547,2623630,0,0,7.17637E-08
0.195334,0.014349688,2623630,0,0,8.27141E-08
0.195341,0.009282905,2623640,0,0,5.70829E-08
0.195347,0.009744733,2623650,0,0,1.67993E-08
0.195354,-0.004944943,2623650,32, NegativePower,1.2521E-08
0.19536,0.009118601,2623660,0,0,4.07502E-08
0.195366,0.004464798,2623660,0,0,4.23041E-08
0.195373,0.007622101,2623670,0,0,6.10529E-08
0.195379,0.01272885,2623680,0,0,6.20739E-08
0.195386,0.005006557,2623680,0,0,3.08786E-08
0.195392,0.005286318,2623690,0,0,3.70467E-08
0.195398,0.007062579,2623700,0,0,5.68983E-08
0.195405,0.009194092,2623700,0,0,6.28646E-08
0.195411,0.011760788,2623710,0,0,7.43834E-08
0.195418,0.009491615,2623720,0,0,5.1914E-08
0.195424,0.007813049,2623720,0,0,5.38324E-08
0.19543,0.010131069,2623730,0,0,5.21269E-08
0.195437,0.004762321,2623730,0,0,3.19177E-08
0.195443,0.005876925,2623740,0,0,7.71966E-08
0.19545,0.016179236,2623750,0,0,9.89538E-08
0.195456,0.016805368,2623750,0,0,7.52807E-08
0.195462,0.008288198,2623760,0,0,6.20273E-08
0.195469,0.009433887,2623770,0,0,6.22252E-08
0.195475,0.011307841,2623770,0,0,6.55709E-08
0.195482,0.007426712,2623780,0,0,7.5747E-08
0.195488,0.017822277,2623790,0,0,1.05402E-07
0.195494,0.017311603,2623790,0,0,1.01722E-07
0.195501,0.011751907,2623800,0,0,3.46887E-08
0.195507,-0.000189005,2623810,32, NegativePower,4.84744E-08
0.195514,0.014038842,2623810,0,0,6.60886E-08
0.19552,0.007990675,2623820,0,0,5.63102E-08
0.195526,0.010779404,2623820,0,0,7.37462E-08
0.195533,0.010290933,2623830,0,0,5.38856E-08
0.195539,0.007670948,2623840,0,0,6.93633E-08
0.195546,0.012147125,2623840,0,0,6.31844E-08
0.195552,0.00891433,2623850,0,0,5.96274E-08
0.195558,0.010961471,2623860,0,0,7.66526E-08
0.195565,0.010939267,2623860,0,0,3.77528E-08
0.195571,0.001644984,2623870,0,0,4.46355E-08
0.195578,0.011108012,2623880,0,0,8.99615E-08
0.195584,0.018879153,2623880,0,0,9.21996E-08
0.19559,0.011854041,2623890,0,0,6.52912E-08
0.195597,0.00680058,2623890,0,0,4.62122E-08
0.195603,0.008603484,2623900,0,0,3.39113E-08
0.19561,0.001085462,2623910,0,0,5.57374E-08
0.195616,0.017493669,2623910,0,0,6.43167E-08
0.195622,0.003945241,2623920,0,0,4.24596E-08
0.195629,0.008186064,2623930,0,0,5.7416E-08
0.195635,0.010952589,2623930,0,0,5.80018E-08
0.195642,0.005619367,2623940,0,0,4.24954E-08
0.195648,0.008545756,2623950,0,0,4.56926E-08
0.195654,0.006685123,2623950,0,0,4.91427E-08
0.195661,0.007355662,2623960,0,0,6.11728E-08
0.195667,0.013035255,2623970,0,0,7.06377E-08
0.195674,0.007146951,2623970,0,0,4.76376E-08
0.19568,0.008732264,2623980,0,0,6.37572E-08
0.195686,0.012520139,2623980,0,0,6.35504E-08
0.195693,0.00563713,2623990,0,0,4.22156E-08
0.195699,0.00843474,2624000,0,0,7.314E-08
0.195706,0.012462411,2624000,0,0,7.65063E-08
0.195712,0.013039696,2624010,0,0,5.12346E-08
0.195718,0.004038495,2624020,0,0,4.43868E-08
0.195725,0.00864345,2624020,0,0,3.81124E-08
0.195731,0.004060698,2624030,0,0,5.72714E-08
0.195738,0.012302548,2624040,0,0,6.76206E-08
0.195744,0.010237644,2624040,0,0,6.07198E-08
0.19575,0.01000229,2624050,0,0,7.65282E-08
0.195757,0.011862923,2624050,0,0,8.0836E-08
0.195763,0.015082396,2624060,0,0,9.44796E-08
0.19577,0.01191177,2624070,0,0,5.35526E-08
0.195776,0.005939094,2624070,0,0,3.32499E-08
0.195782,0.005144217,2624080,0,0,4.87697E-08
0.195789,0.008789992,2624090,0,0,5.74426E-08
0.195795,0.010357542,2624090,0,0,7.87819E-08
0.195802,0.012151565,2624100,0,0,8.11557E-08
0.195808,0.014900329,2624110,0,0,6.97254E-08
0.195814,0.008341487,2624110,0,0,4.47132E-08
0.195821,0.004433713,2624120,0,0,5.27E-08
0.195827,0.013132949,2624130,0,0,7.50673E-08
0.195834,0.008314842,2624130,0,0,6.55557E-08
0.19584,0.013537048,2624140,0,0,5.72161E-08
0.195846,0.005534994,2624140,0,0,5.69916E-08
0.195853,0.010748319,2624150,0,0,6.12926E-08
0.195859,0.009682563,2624160,0,0,8.18282E-08
0.195866,0.013696912,2624160,0,0,8.4726E-08
0.195872,0.014545077,2624170,0,0,6.2798E-08
0.195878,0.0063876,2624180,0,0,4.31745E-08
0.195885,0.005947975,2624180,0,0,7.46812E-08
0.195891,0.018945763,2624190,0,0,1.07908E-07
0.195898,0.011885126,2624200,0,0,5.3486E-08
0.195904,0.005943534,2624200,0,0,5.38057E-08
0.19591,0.011991702,2624210,0,0,6.59284E-08
0.195917,0.006844987,2624210,0,0,5.1501E-08
0.195923,0.010322017,2624220,0,0,8.27452E-08
0.19593,0.013319457,2624230,0,0,7.09511E-08
0.195936,0.010330899,2624230,0,0,6.97388E-08
0.195942,0.012915357,2624240,0,0,6.52601E-08
0.195949,0.005730383,2624250,0,0,6.83133E-08
0.195955,0.017040722,2624250,0,0,9.60027E-08
0.195962,0.010388627,2624260,0,0,6.65548E-08
0.195968,0.011796313,2624270,0,0,8.48725E-08
0.195974,0.016494522,2624270,0,0,1.04209E-07
0.195981,0.013279491,2624280,0,0,3.4742E-08
0.195987,-0.001698827,2624290,32, NegativePower,2.34824E-08
0.195994,0.008408096,2624290,0,0,5.65101E-08
0.196,0.010428593,2624300,0,0,8.29408E-08
0.196006,0.01721835,2624300,0,0,9.7215E-08
0.196013,0.010557371,2624310,0,0,5.47782E-08
0.196019,0.007702033,2624320,0,0,6.89436E-08
0.196026,0.011996143,2624320,0,0,5.36059E-08
0.196032,0.005872484,2624330,0,0,2.75748E-08
0.196038,0.00331911,2624340,0,0,2.7166E-08
0.196045,0.004442594,2624340,0,0,5.47915E-08
0.196051,0.013821251,2624350,0,0,5.83593E-08
0.196058,0.002852841,2624360,0,0,6.21719E-08
0.196064,0.017871125,2624360,0,0,9.30522E-08
0.19607,0.013146271,2624370,0,0,9.59561E-08
0.196077,0.014269756,2624370,0,0,6.68479E-08
0.196083,0.008012878,2624380,0,0,6.48871E-08
0.19609,0.010526287,2624390,0,0,4.09234E-08
0.196096,0.00311484,2624390,0,0,3.6274E-08
0.196102,0.0089765,2624400,0,0,7.18034E-08
0.196109,0.011538755,2624410,0,0,8.38867E-08
0.196115,0.016423471,2624410,0,0,9.05163E-08
0.196122,0.009438328,2624420,0,0,5.17941E-08
0.196128,0.007826371,2624430,0,0,4.32281E-08
0.196134,0.006582988,2624430,0,0,7.45233E-08
0.196141,0.01470938,2624440,0,0,6.44366E-08
0.196147,0.006769496,2624450,0,0,4.57545E-08
0.196154,0.006303228,2624450,0,0,4.65053E-08
0.19616,0.009198532,2624460,0,0,7.12175E-08
0.196166,0.014540636,2624460,0,0,1.0309E-07
0.196173,0.01491365,2624470,0,0,5.22604E-08
0.196179,0.00250647,2624480,0,0,6.04264E-08
0.196186,0.014758227,2624480,0,0,7.96769E-08
0.196192,0.011800754,2624490,0,0,6.97787E-08
