Meter S/N:, None
Sensor, None, None, , 
Date, 3/11/2015 2:50:06 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0511488, 3.64955E+000, 20429, 32, UnderRange, 0
0.1023488, 3.64983E+000, 51149, 32, UnderRange, 0
0.1535488, 3.64702E+000, 71629, 32, UnderRange, 0
0.2047488, 3.64987E+000, 92109, 32, UnderRange, 0
0.2559488, 3.64691E+000, 112589, 32, UnderRange, 0
0.3071488, 1.02132E+002, 133069, 1, TriggerDetected, 0
0.3583488, 3.64650E+000, 153549, 32, UnderRange, 0
0.4095488, 3.64966E+000, 174029, 32, UnderRange, 0
0.4607488, 3.64889E+000, 194509, 32, UnderRange, 0
0.5119488, 3.65653E+000, 214989, 32, UnderRange, 0
0.5631488, 3.65521E+000, 235469, 32, UnderRange, 0
0.6143488, 3.65443E+000, 255949, 32, UnderRange, 0
0.6655488, 3.65923E+000, 286669, 32, UnderRange, 0
0.7167488, 3.64892E+000, 307149, 32, UnderRange, 0
0.7679488, 3.65004E+000, 327629, 32, UnderRange, 0
0.8191488, 3.65409E+000, 348109, 32, UnderRange, 0
0.8703488, 3.65281E+000, 368589, 32, UnderRange, 0
0.9215488, 3.64516E+000, 389069, 32, UnderRange, 0
0.9727488, 6.65944E+001, 409549, 0, 0, 0
1.0239488, 3.65345E+000, 430029, 32, UnderRange, 0
1.0751488, 3.65286E+000, 450509, 32, UnderRange, 0
1.1263488, 3.65235E+000, 470989, 32, UnderRange, 0
1.1775488, 3.65373E+000, 491469, 32, UnderRange, 0
1.2287488, 5.45447E+001, 511949, 1, TriggerDetected, 0
1.2799488, 3.64909E+000, 542669, 32, UnderRange, 0
1.3311488, 3.64957E+000, 563149, 32, UnderRange, 0
1.3823488, 3.64639E+000, 583629, 32, UnderRange, 0
1.4335488, 1.55390E+002, 624589, 16, OverRange, 0
1.4847488, 3.64825E+000, 645069, 32, UnderRange, 0
1.5359488, 3.65066E+000, 665549, 32, UnderRange, 0
1.5871488, 3.64732E+000, 686029, 32, UnderRange, 0
1.6383488, 3.65244E+000, 706509, 32, UnderRange, 0
1.6895488, 3.64450E+000, 726989, 32, UnderRange, 0
1.7407488, 3.64284E+000, 747469, 32, UnderRange, 0
1.7919488, 3.65225E+000, 767949, 32, UnderRange, 0
1.8431488, 1.20723E+002, 788429, 0, 0, 0
1.8943488, 1.55384E+002, 808909, 16, OverRange, 0
1.9455488, 1.55367E+002, 839629, 16, OverRange, 0
1.9967488, 3.64634E+000, 860109, 32, UnderRange, 0
2.0479488, 1.55378E+002, 880589, 16, OverRange, 0
2.0991488, 3.64868E+000, 901069, 32, UnderRange, 0
2.1503488, 1.55373E+002, 921549, 16, OverRange, 0
2.2015488, 3.64944E+000, 942029, 32, UnderRange, 0
2.2527488, 1.55372E+002, 962509, 16, OverRange, 0
2.3039488, 4.13252E+000, 982989, 32, UnderRange, 0
2.3551488, 4.16667E+000, 1003469, 32, UnderRange, 0
2.4063488, 1.55375E+002, 1023949, 16, OverRange, 0
2.4575488, 3.64720E+000, 1044429, 32, UnderRange, 0
2.5087488, 9.58135E+001, 1075149, 1, TriggerDetected, 0
2.5599488, 1.55388E+002, 1095629, 16, OverRange, 0
2.6111488, 3.65822E+000, 1116109, 32, UnderRange, 0
2.6623488, 1.55382E+002, 1136589, 16, OverRange, 0
2.7135488, 3.64802E+000, 1157069, 32, UnderRange, 0
2.7647488, 1.55362E+002, 1177549, 16, OverRange, 0
2.8159488, 3.64934E+000, 1198029, 32, UnderRange, 0
2.8671488, 1.55351E+002, 1218509, 16, OverRange, 0
2.9183488, 5.21728E+000, 1238989, 32, UnderRange, 0
2.9695488, 3.90036E+000, 1259469, 32, UnderRange, 0
3.0207488, 1.55376E+002, 1279949, 16, OverRange, 0
3.0719488, 3.65351E+000, 1310669, 32, UnderRange, 0
3.1231488, 1.01229E+002, 1331149, 1, TriggerDetected, 0
3.1743488, 1.55371E+002, 1351629, 16, OverRange, 0
3.2255488, 3.64768E+000, 1372109, 32, UnderRange, 0
3.2767488, 1.55379E+002, 1392589, 16, OverRange, 0
3.3279488, 3.65753E+000, 1413069, 32, UnderRange, 0
3.3791488, 1.55354E+002, 1433549, 16, OverRange, 0
3.4303488, 3.65377E+000, 1454029, 32, UnderRange, 0
3.4815488, 1.55374E+002, 1474509, 16, OverRange, 0
3.5327488, 3.66163E+000, 1494989, 32, UnderRange, 0
3.5839488, 1.32449E+001, 1515469, 1, TriggerDetected, 0
3.6351488, 1.55399E+002, 1535949, 16, OverRange, 0
3.6863488, 3.64695E+000, 1556429, 32, UnderRange, 0
3.7375488, 1.07783E+002, 1587149, 1, TriggerDetected, 0
3.7887488, 1.55389E+002, 1607629, 16, OverRange, 0
