Meter S/N:, "0637B14R"
Sensor, THERMO,SINGLE, 0724B14R
Date, 4/9/2014 3:52:56 PM
Units,W
TimeStampResolution,Low
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, -0.0321689136326313, 0, 32, NegativePower
0.1000000, -0.0319939404726028, 0, 32, NegativePower
0.2000000, -0.0320224575698376, 0, 32, NegativePower
0.3000000, -0.0319991260766983, 0, 32, NegativePower
0.4000000, -0.0321183651685715, 0, 32, NegativePower
0.5000000, -0.0318021215498447, 0, 32, NegativePower
0.6000000, -0.0303699430078268, 0, 32, NegativePower
0.7000000, -0.0289896093308926, 0, 32, NegativePower
0.8000000, -0.0267383027821779, 0, 32, NegativePower
0.9000000, -0.0234669763594866, 0, 32, NegativePower
1.0000000, -0.0208670236170292, 0, 32, NegativePower
1.1000000, -0.0208475813269615, 0, 32, NegativePower
1.2000000, -0.0215526539832354, 0, 32, NegativePower
1.3000000, -0.0209836717694998, 0, 32, NegativePower
1.4000000, -0.0200336389243603, 0, 32, NegativePower
1.5000000, -0.0222836472094059, 0, 32, NegativePower
1.6000000, -0.0262730084359646, 0, 32, NegativePower
1.7000000, -0.0299953743815422, 0, 32, NegativePower
1.8000000, -0.03198616579175, 0, 32, NegativePower
1.9000000, -0.0321015156805515, 0, 32, NegativePower
2.0000000, -0.0302597749978304, 0, 32, NegativePower
2.1000000, -0.0272502582520247, 0, 32, NegativePower
2.2000000, -0.0251531880348921, 0, 32, NegativePower
2.3000000, -0.026293745264411, 0, 32, NegativePower
2.4000000, -0.0284815430641174, 0, 32, NegativePower
2.5000000, -0.0316245555877686, 0, 32, NegativePower
2.6000000, -0.0340495370328426, 0, 32, NegativePower
2.7000000, -0.0356307663023472, 0, 32, NegativePower
2.8000000, -0.0367635488510132, 0, 32, NegativePower
2.9000000, -0.0373403057456017, 0, 32, NegativePower
3.0000000, -0.0369631461799145, 0, 32, NegativePower
3.1000000, -0.0359288677573204, 0, 32, NegativePower
3.2000000, -0.032599214464426, 0, 32, NegativePower
3.3000000, -0.0293447375297546, 0, 32, NegativePower
3.4000000, -0.0276403818279505, 0, 32, NegativePower
3.5000000, -0.026293745264411, 0, 32, NegativePower
3.6000000, -0.0262146834284067, 0, 32, NegativePower
3.7000000, -0.0269741918891668, 0, 32, NegativePower
3.8000000, -0.0290932953357697, 0, 32, NegativePower
3.9000000, -0.0307548809796572, 0, 32, NegativePower
4.0000000, -0.0331357941031456, 0, 32, NegativePower
4.1000000, -0.0347753465175629, 0, 32, NegativePower
4.2000000, -0.0338395722210407, 0, 32, NegativePower
4.3000000, -0.0306019429117441, 0, 32, NegativePower
4.4000000, -0.0264751967042685, 0, 32, NegativePower
4.5000000, -0.0230859257280827, 0, 32, NegativePower
4.6000000, -0.0205779951065779, 0, 32, NegativePower
4.7000000, -0.0190836060792208, 0, 32, NegativePower
4.8000000, -0.0192715376615524, 0, 32, NegativePower
4.9000000, -0.0195722300559282, 0, 32, NegativePower
5.0000000, -0.0226672906428576, 0, 32, NegativePower
5.1000000, -0.0286487378180027, 0, 32, NegativePower
5.2000000, -0.03306969627738, 0, 32, NegativePower
5.3000000, -0.0347312800586224, 0, 32, NegativePower
5.4000000, -0.0343981869518757, 0, 32, NegativePower
5.5000000, -0.0335777625441551, 0, 32, NegativePower
5.6000000, -0.0324359089136124, 0, 32, NegativePower
5.7000000, -0.0318850688636303, 0, 32, NegativePower
5.8000000, -0.0310542769730091, 0, 32, NegativePower
5.9000000, -0.0312629491090775, 0, 32, NegativePower
6.0000000, -0.0322427898645401, 0, 32, NegativePower
6.1000000, -0.0333366878330708, 0, 32, NegativePower
6.2000000, -0.0339082628488541, 0, 32, NegativePower
6.3000000, -0.0348220057785511, 0, 32, NegativePower
6.4000000, -0.0355231910943985, 0, 32, NegativePower
6.5000000, -0.0356061384081841, 0, 32, NegativePower
6.6000000, -0.0357448197901249, 0, 32, NegativePower
6.7000000, -0.0354506112635136, 0, 32, NegativePower
6.8000000, -0.0347896032035351, 0, 32, NegativePower
6.9000000, -0.0344215147197247, 0, 32, NegativePower
7.0000000, -0.0330191478133202, 0, 32, NegativePower
7.1000000, -0.0315467901527882, 0, 32, NegativePower
7.2000000, -0.0297530051320791, 0, 32, NegativePower
7.3000000, -0.0281108617782593, 0, 32, NegativePower
7.4000000, -0.0267331190407276, 0, 32, NegativePower
7.5000000, -0.0255368296056986, 0, 32, NegativePower
7.6000000, -0.0238013677299023, 0, 32, NegativePower
