Meter S/N:, "0639B14R"
Sensor, THERMO,SINGLE, 0719B14R
Date, 6/25/2014 3:58:02 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0, -11.6034088134766, 0, 32, NegativePower
1.6E-06, -4.09469366073608, 0, 32, NegativePower
3.2E-06, -4.34291553497314, 0, 32, NegativePower
4.8E-06, -4.59113740921021, 0, 32, NegativePower
6.4E-06, -6.88719129562378, 0, 32, NegativePower
8E-06, -3.90852689743042, 0, 32, NegativePower
9.6E-06, -0.123141378164291, 0, 32, NegativePower
1.12E-05, -4.15674924850464, 0, 32, NegativePower
1.28E-05, -1.79864001274109, 0, 32, NegativePower
1.44E-05, -5.14963722229004, 0, 32, NegativePower
1.6E-05, -5.27374792098999, 0, 32, NegativePower
1.76E-05, -3.78441596031189, 0, 32, NegativePower
1.92E-05, -7.32157945632935, 0, 32, NegativePower
2.08E-05, -4.90141487121582, 0, 32, NegativePower
2.24E-05, -1.612473487854, 0, 32, NegativePower
2.4E-05, -8.68680095672607, 0, 32, NegativePower
2.56E-05, -3.66030502319336, 0, 32, NegativePower
2.72E-05, -3.03975009918213, 0, 32, NegativePower
2.88E-05, -5.14963722229004, 0, 32, NegativePower
3.04E-05, -2.04686188697815, 0, 32, NegativePower
3.2E-05, -1.73658442497253, 0, 32, NegativePower
3.36E-05, -3.22591638565063, 0, 32, NegativePower
3.52E-05, -6.82513570785522, 0, 32, NegativePower
3.68E-05, -8.43857860565186, 0, 32, NegativePower
3.84E-05, -8.87296676635742, 0, 32, NegativePower
4E-05, -8.68680095672607, 0, 32, NegativePower
4.16E-05, -5.45991468429565, 0, 32, NegativePower
4.32E-05, -6.08046960830688, 0, 32, NegativePower
4.48E-05, -6.14252471923828, 0, 32, NegativePower
4.64E-05, -6.26663589477539, 0, 32, NegativePower
4.8E-05, -5.70813655853271, 0, 32, NegativePower
4.96E-05, -8.68680095672607, 0, 32, NegativePower
5.12E-05, -10.1761331558228, 0, 32, NegativePower
5.28E-05, -8.25241184234619, 0, 32, NegativePower
