Meter S/N:, "0639B14R"
Sensor, THERMO,SINGLE, 0719B14R
Date, 6/25/2014 3:45:05 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0, 1.86166501045227, 0, 0, 0
1.6E-06, -1.42727649211884, 0, 32, NegativePower
3.2E-06, -2.23399806022644, 0, 32, NegativePower
4.8E-06, -3.28894186019897, 0, 32, NegativePower
6.4E-06, 2.296053647995, 0, 0, 0
8E-06, -2.04783153533936, 0, 32, NegativePower
9.6E-06, -2.04783153533936, 0, 32, NegativePower
1.12E-05, 2.23399806022644, 0, 0, 0
1.28E-05, 2.17194247245789, 0, 0, 0
1.44E-05, 2.73044204711914, 0, 0, 0
1.6E-05, 1.55138754844666, 0, 0, 0
1.76E-05, -0.992888033390045, 0, 32, NegativePower
1.92E-05, -3.47510814666748, 0, 32, NegativePower
2.08E-05, -0.930832505226135, 0, 32, NegativePower
2.24E-05, -1.24111008644104, 0, 32, NegativePower
2.4E-05, -2.48222017288208, 0, 32, NegativePower
2.56E-05, -1.67549860477448, 0, 32, NegativePower
2.72E-05, 2.10988712310791, 0, 0, 0
2.88E-05, -0.930832505226135, 0, 32, NegativePower
3.04E-05, 0.31027752161026, 0, 0, 0
3.2E-05, -0.86877703666687, 0, 32, NegativePower
3.36E-05, -0.62055504322052, 0, 32, NegativePower
3.52E-05, 3.28894186019897, 0, 0, 0
3.68E-05, 6.26760530471802, 0, 0, 0
3.84E-05, 6.76404905319214, 0, 0, 0
4E-05, -2.04783153533936, 0, 32, NegativePower
4.16E-05, -1.11699903011322, 0, 32, NegativePower
4.32E-05, 5.08855104446411, 0, 0, 0
4.48E-05, 4.21977424621582, 0, 0, 0
4.64E-05, -1.42727649211884, 0, 32, NegativePower
4.8E-05, 1.17905449867249, 0, 0, 0
4.96E-05, 4.28182983398438, 0, 0, 0
5.12E-05, 4.40594053268433, 0, 0, 0
5.28E-05, 2.9786639213562, 0, 0, 0
5.44E-05, 2.66838669776917, 0, 0, 0
5.6E-05, 1.4893319606781, 0, 0, 0
5.76E-05, 0.0620555020868778, 0, 0, 0
5.92E-05, -1.24111008644104, 0, 32, NegativePower
6.08E-05, 0.682610511779785, 0, 0, 0
6.24E-05, 4.21977424621582, 0, 0, 0
6.4E-05, -0.806721448898315, 0, 32, NegativePower
6.56E-05, -0.124111004173756, 0, 32, NegativePower
6.72E-05, 4.84032917022705, 0, 0, 0
6.88E-05, 0.806721448898315, 0, 0, 0
7.04E-05, -0.62055504322052, 0, 32, NegativePower
7.2E-05, 4.28182983398438, 0, 0, 0
7.36E-05, 4.21977424621582, 0, 0, 0
7.52E-05, 1.73755407333374, 0, 0, 0
7.68E-05, -1.36522102355957, 0, 32, NegativePower
7.84E-05, 0.806721448898315, 0, 0, 0
8E-05, 3.16483068466187, 0, 0, 0
8.16E-05, -0.55849951505661, 0, 32, NegativePower
8.32E-05, 3.97155213356018, 0, 0, 0
8.48E-05, 1.61344289779663, 0, 0, 0
8.64E-05, 0.62055504322052, 0, 0, 0
8.8E-05, -0.55849951505661, 0, 32, NegativePower
8.96E-05, -2.35810899734497, 0, 32, NegativePower
9.12E-05, -2.296053647995, 0, 32, NegativePower
9.28E-05, -0.806721448898315, 0, 32, NegativePower
9.44E-05, -1.92372047901154, 0, 32, NegativePower
9.6E-05, 2.48222017288208, 0, 0, 0
9.76E-05, -1.11699903011322, 0, 32, NegativePower
9.92E-05, -2.91660857200623, 0, 32, NegativePower
0.0001008, -2.66838669776917, 0, 32, NegativePower
0.0001024, 1.30316555500031, 0, 0, 0
0.000104, 0.806721448898315, 0, 0, 0
0.0001056, 3.66127467155457, 0, 0, 0
0.0001072, 1.42727649211884, 0, 0, 0
0.0001088, 4.7782735824585, 0, 0, 0
0.0001104, 4.21977424621582, 0, 0, 0
0.000112, 1.24111008644104, 0, 0, 0
0.0001136, -3.72333002090454, 0, 32, NegativePower
0.0001152, 3.41305255889893, 0, 0, 0
0.0001168, -3.22688579559326, 0, 32, NegativePower
0.0001184, -1.30316555500031, 0, 32, NegativePower
0.00012, 2.48222017288208, 0, 0, 0
0.0001216, 1.24111008644104, 0, 0, 0
0.0001232, -2.42016458511353, 0, 32, NegativePower
0.0001248, 0.682610511779785, 0, 0, 0
0.0001264, 3.04071950912476, 0, 0, 0
0.000128, 2.42016458511353, 0, 0, 0
0.0001296, 1.24111008644104, 0, 0, 0
0.0001312, 1.92372047901154, 0, 0, 0
0.0001328, 3.59921908378601, 0, 0, 0
0.0001344, 4.46799612045288, 0, 0, 0
0.000136, -1.17905449867249, 0, 32, NegativePower
0.0001376, -0.806721448898315, 0, 32, NegativePower
0.0001392, -1.61344289779663, 0, 32, NegativePower
0.0001408, -0.124111004173756, 0, 32, NegativePower
0.0001424, -0.55849951505661, 0, 32, NegativePower
0.000144, 4.21977424621582, 0, 0, 0
0.0001456, 1.36522102355957, 0, 0, 0
0.0001472, 2.04783153533936, 0, 0, 0
0.0001488, 0.55849951505661, 0, 0, 0
0.0001504, 6.7019944190979, 0, 0, 0
0.000152, 1.73755407333374, 0, 0, 0
0.0001536, 3.28894186019897, 0, 0, 0
0.0001552, 3.10277509689331, 0, 0, 0
0.0001568, 1.11699903011322, 0, 0, 0
0.0001584, 2.42016458511353, 0, 0, 0
0.00016, -1.36522102355957, 0, 32, NegativePower
0.0001616, 4.59210729598999, 0, 0, 0
0.0001632, 0.0620555020868778, 0, 0, 0
0.0001648, -0.372332990169525, 0, 32, NegativePower
0.0001664, 3.84744095802307, 0, 0, 0
0.000168, 8.12927055358887, 0, 0, 0
0.0001696, 0.806721448898315, 0, 0, 0
0.0001712, -1.4893319606781, 0, 32, NegativePower
0.0001728, -3.53716373443604, 0, 32, NegativePower
0.0001744, -4.09566307067871, 0, 32, NegativePower
0.000176, -1.4893319606781, 0, 32, NegativePower
0.0001776, -0.31027752161026, 0, 32, NegativePower
0.0001792, -0.62055504322052, 0, 32, NegativePower
0.0001808, 2.73044204711914, 0, 0, 0
0.0001824, 4.46799612045288, 0, 0, 0
0.000184, 3.04071950912476, 0, 0, 0
0.0001856, 1.36522102355957, 0, 0, 0
0.0001872, 0.186166495084763, 0, 0, 0
0.0001888, -0.186166495084763, 0, 32, NegativePower
0.0001904, -2.48222017288208, 0, 32, NegativePower
0.000192, -2.60633111000061, 0, 32, NegativePower
0.0001936, -2.23399806022644, 0, 32, NegativePower
0.0001952, -2.10988712310791, 0, 32, NegativePower
0.0001968, -3.04071950912476, 0, 32, NegativePower
0.0001984, -2.42016458511353, 0, 32, NegativePower
0.0002, -2.296053647995, 0, 32, NegativePower
0.0002016, 2.85455298423767, 0, 0, 0
0.0002032, -0.930832505226135, 0, 32, NegativePower
0.0002048, -1.4893319606781, 0, 32, NegativePower
0.0002064, 2.04783153533936, 0, 0, 0
0.000208, 1.11699903011322, 0, 0, 0
0.0002096, 3.7853856086731, 0, 0, 0
0.0002112, 0.930832505226135, 0, 0, 0
0.0002128, -0.434388518333435, 0, 32, NegativePower
0.0002144, 2.296053647995, 0, 0, 0
0.000216, 1.36522102355957, 0, 0, 0
0.0002176, -1.24111008644104, 0, 32, NegativePower
0.0002192, -3.22688579559326, 0, 32, NegativePower
0.0002208, 4.84032917022705, 0, 0, 0
0.0002224, 1.17905449867249, 0, 0, 0
0.000224, 2.7924976348877, 0, 0, 0
0.0002256, 3.04071950912476, 0, 0, 0
0.0002272, 2.60633111000061, 0, 0, 0
0.0002288, 2.66838669776917, 0, 0, 0
0.0002304, 0.124111004173756, 0, 0, 0
0.000232, -1.55138754844666, 0, 32, NegativePower
0.0002336, 3.16483068466187, 0, 0, 0
0.0002352, -0.0620555020868778, 0, 32, NegativePower
0.0002368, -3.72333002090454, 0, 32, NegativePower
0.0002384, -2.42016458511353, 0, 32, NegativePower
0.00024, -2.42016458511353, 0, 32, NegativePower
0.0002416, 2.73044204711914, 0, 0, 0
0.0002432, -1.61344289779663, 0, 32, NegativePower
0.0002448, 0.434388518333435, 0, 0, 0
0.0002464, 1.17905449867249, 0, 0, 0
0.000248, 2.9786639213562, 0, 0, 0
0.0002496, 1.67549860477448, 0, 0, 0
0.0002512, -0.806721448898315, 0, 32, NegativePower
0.0002528, -0.248222008347511, 0, 32, NegativePower
0.0002544, -0.62055504322052, 0, 32, NegativePower
0.000256, -2.85455298423767, 0, 32, NegativePower
0.0002576, -0.806721448898315, 0, 32, NegativePower
0.0002592, -1.11699903011322, 0, 32, NegativePower
0.0002608, 0.930832505226135, 0, 0, 0
0.0002624, 0.434388518333435, 0, 0, 0
0.000264, 0.682610511779785, 0, 0, 0
0.0002656, -0.186166495084763, 0, 32, NegativePower
0.0002672, 4.15771865844727, 0, 0, 0
0.0002688, -1.11699903011322, 0, 32, NegativePower
0.0002704, 0.31027752161026, 0, 0, 0
0.000272, -2.17194247245789, 0, 32, NegativePower
0.0002736, 0.372332990169525, 0, 0, 0
0.0002752, 2.7924976348877, 0, 0, 0
0.0002768, 2.9786639213562, 0, 0, 0
0.0002784, 0.55849951505661, 0, 0, 0
0.00028, 1.30316555500031, 0, 0, 0
0.0002816, 4.09566307067871, 0, 0, 0
0.0002832, 4.34388494491577, 0, 0, 0
0.0002848, -4.03360748291016, 0, 32, NegativePower
0.0002864, -1.30316555500031, 0, 32, NegativePower
0.000288, 0.62055504322052, 0, 0, 0
0.0002896, -0.0620555020868778, 0, 32, NegativePower
