Meter S/N:, "0632B14R"
Sensor, THERMO,SINGLE, 29
Date, 5/16/2014 3:39:30 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0, -1.24318266898626E-05, 0, 32, NegativePower
0.1, 1.48160124808783E-05, 0, 0, 0
0.2, 1.76543289853726E-05, 0, 0, 0
0.3, -3.23568087878812E-06, 0, 32, NegativePower
0.4, -1.36806856971816E-05, 0, 32, NegativePower
0.5, -3.2640640711179E-05, 0, 32, NegativePower
0.6, -2.92346612695837E-05, 0, 32, NegativePower
0.7, -2.66234092123341E-05, 0, 32, NegativePower
0.8, 7.37962295715988E-07, 0, 0, 0
0.9, 2.44662896875525E-05, 0, 0, 0
1, 1.90167211258085E-05, 0, 0, 0
1.1, 7.77698733145371E-06, 0, 0, 0
1.2, -1.49295456139953E-05, 0, 32, NegativePower
1.3, -2.25362346100155E-05, 0, 32, NegativePower
1.4, -3.76360767404549E-05, 0, 32, NegativePower
1.5, -1.83355259650853E-05, 0, 32, NegativePower
1.6, 7.77698733145371E-06, 0, 0, 0
1.7, 2.57151477853768E-05, 0, 0, 0
1.8, 9.82057554210769E-06, 0, 0, 0
1.9, -3.57627891389711E-06, 0, 32, NegativePower
2, -2.07197117561009E-05, 0, 32, NegativePower
2.1, -3.2640640711179E-05, 0, 32, NegativePower
2.2, -3.72954818885773E-05, 0, 32, NegativePower
2.3, -2.98023242066847E-05, 0, 32, NegativePower
2.4, 9.59351018536836E-06, 0, 0, 0
2.5, 1.86761226359522E-05, 0, 0, 0
2.6, 1.08423691926873E-05, 0, 0, 0
2.7, -2.5544850359438E-06, 0, 32, NegativePower
2.8, -1.99249825527659E-05, 0, 32, NegativePower
2.9, -3.161884524161E-05, 0, 32, NegativePower
3, -3.15053148369771E-05, 0, 32, NegativePower
3.1, -1.87896566785639E-05, 0, 32, NegativePower
3.2, 2.2138870008348E-06, 0, 0, 0
3.3, 8.91231411515037E-06, 0, 0, 0
3.4, -1.70298989132789E-07, 0, 32, NegativePower
3.5, -2.07197117561009E-05, 0, 32, NegativePower
3.6, -3.83172737201676E-05, 0, 32, NegativePower
3.7, -5.51201082998887E-05, 0, 32, NegativePower
3.8, -5.20547255291604E-05, 0, 32, NegativePower
3.9, -3.5933087929152E-05, 0, 32, NegativePower
4, -1.23182944662403E-05, 0, 32, NegativePower
4.1, -2.74181384156691E-05, 0, 32, NegativePower
4.2, -4.20638534706086E-05, 0, 32, NegativePower
4.3, -5.34171194885857E-05, 0, 32, NegativePower
4.4, -6.91981622367166E-05, 0, 32, NegativePower
4.5, -7.77131062932312E-05, 0, 32, NegativePower
4.6, -6.2499733758159E-05, 0, 32, NegativePower
4.7, -3.77496107830666E-05, 0, 32, NegativePower
4.8, -2.79858013527701E-05, 0, 32, NegativePower
4.9, -1.89031889021862E-05, 0, 32, NegativePower
5, -4.39939067291562E-05, 0, 32, NegativePower
5.1, -6.23861997155473E-05, 0, 32, NegativePower
5.2, -6.15914686932229E-05, 0, 32, NegativePower
5.3, -7.09011510480195E-05, 0, 32, NegativePower
5.4, -6.06832072662655E-05, 0, 32, NegativePower
5.5, -3.11647163471207E-05, 0, 32, NegativePower
5.6, -2.21956361201592E-05, 0, 32, NegativePower
5.7, -3.30947732436471E-05, 0, 32, NegativePower
5.8, -4.20638534706086E-05, 0, 32, NegativePower
5.9, -5.02382026752457E-05, 0, 32, NegativePower
6, -6.87440260662697E-05, 0, 32, NegativePower
6.1, -7.07876170054078E-05, 0, 32, NegativePower
6.2, -5.82990214752499E-05, 0, 32, NegativePower
6.3, -2.60557462752331E-05, 0, 32, NegativePower
6.4, -2.08332439797232E-05, 0, 32, NegativePower
6.5, -2.69640077021904E-05, 0, 32, NegativePower
6.6, -4.73998879897408E-05, 0, 32, NegativePower
6.7, -6.8062829086557E-05, 0, 32, NegativePower
6.8, -7.46477235225029E-05, 0, 32, NegativePower
6.9, -6.78357682772912E-05, 0, 32, NegativePower
7, -5.43253809155431E-05, 0, 32, NegativePower
7.1, -2.35580282605952E-05, 0, 32, NegativePower
7.2, -6.52812832413474E-06, 0, 32, NegativePower
7.3, -1.39077510539209E-05, 0, 32, NegativePower
7.4, -3.34353680955246E-05, 0, 32, NegativePower
7.5, -5.25088580616284E-05, 0, 32, NegativePower
7.6, -6.04561428190209E-05, 0, 32, NegativePower
7.7, -5.67095667065587E-05, 0, 32, NegativePower
7.8, -4.11555920436513E-05, 0, 32, NegativePower
7.9, -1.37942188302986E-05, 0, 32, NegativePower
8, -1.03882384792087E-05, 0, 32, NegativePower
8.1, -1.90167211258085E-05, 0, 32, NegativePower
8.2, -3.58195538865402E-05, 0, 32, NegativePower
8.3, -4.35397778346669E-05, 0, 32, NegativePower
8.4, -5.02382026752457E-05, 0, 32, NegativePower
8.5, -4.03608610213269E-05, 0, 32, NegativePower
8.6, -1.56107416842133E-05, 0, 32, NegativePower
8.7, 4.0304094000021E-06, 0, 0, 0
8.8, -3.80334427063644E-06, 0, 32, NegativePower
