Meter S/N:," ""0601B14R""",,,,,
Sensor, THERMO,SINGLE, 0729B14R,,,
Date, 2014/04/11 11:35:29,,,,,
Units,W,,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),,
0.0109536,-0.084723487,0,32, NegativePower,,
0.0109552,-0.077651687,0,32, NegativePower,,
0.0109568,-0.078358866,0,32, NegativePower,,
0.0109584,-0.07217104,0,32, NegativePower,,
0.01096,-0.073585398,0,32, NegativePower,,
0.0109616,-0.067397572,0,32, NegativePower,,
0.0109632,-0.065452829,0,32, NegativePower,,
0.0109648,-0.08224836,0,32, NegativePower,,
0.0109664,-0.058027439,0,32, NegativePower,,
0.010968,-0.074469373,0,32, NegativePower,,
0.0109696,-0.071463861,0,32, NegativePower,,
0.0109712,-0.075176559,0,32, NegativePower,,
0.0109728,-0.078535661,0,32, NegativePower,,
0.0109744,-0.062800907,0,32, NegativePower,,
0.010976,-0.06403847,0,32, NegativePower,,
0.0109776,-0.079066046,0,32, NegativePower,,
0.0109792,-0.071994245,0,32, NegativePower,,
0.0109808,-0.067220777,0,32, NegativePower,,
0.0109824,-0.080833994,0,32, NegativePower,,
0.010984,-0.065629624,0,32, NegativePower,,
0.0109856,-0.078535661,0,32, NegativePower,,
0.0109872,-0.040878322,0,32, NegativePower,,
0.0109888,-0.06403847,0,32, NegativePower,,
0.0109904,-0.075176559,0,32, NegativePower,,
0.010992,-0.084369898,0,32, NegativePower,,
0.0109936,-0.06439206,0,32, NegativePower,,
0.0109952,-0.077298097,0,32, NegativePower,,
0.0109968,-0.068281554,0,32, NegativePower,,
0.0109984,-0.076590918,0,32, NegativePower,,
0.011,-0.078182071,0,32, NegativePower,,
0.0110016,-0.065276034,0,32, NegativePower,,
0.0110032,-0.077651687,0,32, NegativePower,,
0.0110048,-0.071287066,0,32, NegativePower,,
0.0110064,-0.07252463,0,32, NegativePower,,
0.011008,-0.082778744,0,32, NegativePower,,
0.0110096,-0.070756681,0,32, NegativePower,,
0.0110112,-0.070756681,0,32, NegativePower,,
0.0110128,-0.075353354,0,32, NegativePower,,
0.0110144,-0.079773225,0,32, NegativePower,,
0.011016,-0.070756681,0,32, NegativePower,,
