Meter S/N:," ""0601B14R""",,,
Sensor, THERMO,SINGLE, 0729B14R,
Date, 2014/04/11 12:10:06,,,
Units,W,,,
TimeStampResolution,Ultra,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0,-0.013314875,0,32, NegativePower
0.0000016,-0.001646404,0,32, NegativePower
0.0000032,0.009314887,0,0,0
0.0000048,-0.003060764,0,32, NegativePower
0.0000064,0.006662962,0,0,0
0.000008,-0.005005509,0,32, NegativePower
0.0000096,-0.008895,0,32, NegativePower
0.0000112,0.009314887,0,0,0
0.0000128,0.003127062,0,0,0
0.0000144,-0.029226426,0,32, NegativePower
0.000016,0.019922588,0,0,0
0.0000176,0.013204378,0,0,0
0.0000192,-0.02233142,0,32, NegativePower
0.0000208,0.072077118,0,0,0
0.0000224,0.266021252,0,0,0
0.000024,0.722505987,0,0,0
0.0000256,1.053819895,0,0,0
0.0000272,1.009267449,0,0,0
0.0000288,0.823809505,0,0,0
0.0000304,0.572053432,0,0,0
0.000032,0.463324487,0,0,0
0.0000336,0.323833227,0,0,0
0.0000352,0.235612512,0,0,0
0.0000368,0.204143003,0,0,0
0.0000384,0.130419478,0,0,0
0.00004,0.10001073,0,0,0
0.0000416,0.087811872,0,0,0
0.0000432,0.070662759,0,0,0
0.0000448,0.038662858,0,0,0
0.0000464,0.049093764,0,0,0
0.000048,0.033182215,0,0,0
0.0000496,0.026994389,0,0,0
0.0000512,0.016386688,0,0,0
0.0000528,0.036010936,0,0,0
0.0000544,0.010906043,0,0,0
0.000056,0.013381173,0,0,0
0.0000576,0.004895012,0,0,0
0.0000592,0.007546937,0,0,0
0.0000608,0.005778987,0,0,0
0.0000624,0.014795532,0,0,0
0.000064,0.000828727,0,0,0
0.0000656,-0.013845259,0,32, NegativePower
0.0000672,0.006309372,0,0,0
0.0000688,-0.01844193,0,32, NegativePower
0.0000704,0.009668478,0,0,0
0.000072,0.011082837,0,0,0
0.0000736,-0.055568885,0,32, NegativePower
0.0000752,0.080563277,0,0,0
0.0000768,-0.038596563,0,32, NegativePower
0.0000784,0.010552453,0,0,0
0.00008,-0.006243074,0,32, NegativePower
0.0000816,0.003303857,0,0,0
0.0000832,-0.026928091,0,32, NegativePower
0.0000848,0.001535907,0,0,0
0.0000864,0.031767853,0,0,0
0.000088,-0.080320187,0,32, NegativePower
0.0000896,0.014972328,0,0,0
0.0000912,-0.002707174,0,32, NegativePower
0.0000928,-0.0124309,0,32, NegativePower
0.0000944,-0.001823199,0,32, NegativePower
0.000096,-0.021801036,0,32, NegativePower
0.0000976,-0.010486155,0,32, NegativePower
0.0000992,-0.017557954,0,32, NegativePower
0.0001008,38.4751358,0,1, TriggerDetected
0.0001024,82.40975952,0,0,0
0.000104,93.06218719,0,0,0
0.0001056,97.29360199,0,0,0
0.0001072,96.85408783,0,0,0
0.0001088,93.16561127,0,0,0
0.0001104,87.7671814,0,0,0
0.000112,81.16264343,0,0,0
0.0001136,73.95064545,0,0,0
0.0001152,66.80724335,0,0,0
0.0001168,59.84735489,0,0,0
0.0001184,53.1860733,0,0,0
0.00012,47.01610565,0,0,0
0.0001216,41.41064072,0,0,0
0.0001232,36.30851364,0,0,0
0.0001248,31.75798798,0,0,0
0.0001264,27.9167614,0,0,0
0.000128,24.43761253,0,0,0
0.0001296,21.36951256,0,0,0
0.0001312,18.75930977,0,0,0
0.0001328,16.35790443,0,0,0
0.0001344,14.32741261,0,0,0
0.000136,12.61409283,0,0,0
0.0001376,11.1601305,0,0,0
0.0001392,9.952796936,0,0,0
0.0001408,8.899628639,0,0,0
0.0001424,7.886240005,0,0,0
0.000144,6.892298222,0,0,0
0.0001456,6.091947556,0,0,0
0.0001472,5.259950161,0,0,0
0.0001488,4.369787216,0,0,0
0.0001504,3.601789713,0,0,0
0.000152,2.883117914,0,0,0
0.0001536,2.351848841,0,0,0
0.0001552,1.95459044,0,0,0
0.0001568,1.677199125,0,0,0
0.0001584,1.31529963,0,0,0
0.00016,1.212051392,0,0,0
0.0001616,0.99795264,0,0,0
0.0001632,0.874903262,0,0,0
0.0001648,0.804008484,0,0,0
0.0001664,0.716494977,0,0,0
0.000168,0.62314719,0,0,0
0.0001696,0.577180505,0,0,0
0.0001712,0.510528743,0,0,0
0.0001728,0.452716798,0,0,0
0.0001744,0.458197445,0,0,0
0.000176,0.404451758,0,0,0
0.0001776,0.37192148,0,0,0
0.0001792,0.343103886,0,0,0
0.0001808,0.342219889,0,0,0
0.0001824,0.314639866,0,0,0
0.000184,0.309336036,0,0,0
0.0001856,0.277336121,0,0,0
0.0001872,0.248518541,0,0,0
0.0001888,0.259656638,0,0,0
0.0001904,0.256651103,0,0,0
0.000192,0.225535199,0,0,0
0.0001936,0.231369421,0,0,0
0.0001952,0.225181609,0,0,0
0.0001968,0.215811461,0,0,0
0.0001984,0.131833836,0,0,0
