Meter S/N:, "REV_CA-2"
Sensor, OPT,NOSPEC, 0332L13R
Date, 10/17/2014 3:54:20 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 0.012052970007062, 0, 0, 0, 0
0.1, 0.0120523003861308, 100000, 0, 0, 0
0.2, 0.0120517257601023, 200000, 0, 0, 0
0.3, 0.0120516577735543, 300000, 0, 0, 0
0.4, 0.012050717137754, 400000, 0, 0, 0
0.5, 0.0120501313358545, 500000, 0, 0, 0
0.6, 0.0120487669482827, 600000, 0, 0, 0
0.7, 0.0120477005839348, 700000, 0, 0, 0
0.8, 0.0120465960353613, 800000, 0, 0, 0
0.9, 0.0120456134900451, 900000, 0, 0, 0
1, 0.0120452055707574, 1000000, 0, 0, 0
1.1, 0.0120441578328609, 1100000, 0, 0, 0
1.2, 0.0120436912402511, 1200000, 0, 0, 0
1.3, 0.0120432674884796, 1300000, 0, 0, 0
1.4, 0.0120431622490287, 1400000, 0, 0, 0
1.5, 0.0120427664369345, 1500000, 0, 0, 0
1.6, 0.0120421852916479, 1600000, 0, 0, 0
1.7, 0.0120417755097151, 1700000, 0, 0, 0
1.8, 0.0120416358113289, 1800000, 0, 0, 0
1.9, 0.01204246096313, 1900000, 0, 0, 0
2, 0.012042130343616, 2000000, 0, 0, 0
2.1, 0.012041681446135, 2100000, 0, 0, 0
2.2, 0.0120410481467843, 2200000, 0, 0, 0
2.3, 0.0120410593226552, 2300000, 0, 0, 0
2.4, 0.0120409755036235, 2400000, 0, 0, 0
2.5, 0.0120410388335586, 2500000, 0, 0, 0
2.6, 0.0120412483811378, 2600000, 0, 0, 0
2.7, 0.0120412008836865, 2700000, 0, 0, 0
2.8, 0.0120407408103347, 2800000, 0, 0, 0
2.9, 0.012041904963553, 2900000, 0, 0, 0
3, 0.0120412241667509, 3000000, 0, 0, 0
3.1, 0.0120405331254005, 3100000, 0, 0, 0
3.2, 0.0120405377820134, 3200000, 0, 0, 0
3.3, 0.0120393987745047, 3300000, 0, 0, 0
3.4, 0.0120387272909284, 3400000, 0, 0, 0
3.5, 0.0120381098240614, 3500000, 0, 0, 0
3.6, 0.0120372893288732, 3600000, 0, 0, 0
3.7, 0.0120360292494297, 3700000, 0, 0, 0
3.8, 0.0120349656790495, 3800000, 0, 0, 0
3.9, 0.0120334597304463, 3900000, 0, 0, 0
4, 0.0120325684547424, 4000000, 0, 0, 0
4.1, 0.0120315728709102, 4100000, 0, 0, 0
4.2, 0.0120303314179182, 4200000, 0, 0, 0
4.3, 0.0120295025408268, 4300000, 0, 0, 0
4.4, 0.0120289651677012, 4400000, 0, 0, 0
4.5, 0.0120333004742861, 4500000, 0, 0, 0
4.6, 0.0120300967246294, 4600000, 0, 0, 0
4.7, 0.0120265865698457, 4700000, 0, 0, 0
4.8, 0.0120255909860134, 4800000, 0, 0, 0
4.9, 0.0120235243812203, 4900000, 0, 0, 0
5, 0.0120220687240362, 5000000, 0, 0, 0
5.1, 0.0120203942060471, 5100000, 0, 0, 0
5.2, 0.0120198288932443, 5200000, 0, 0, 0
5.3, 0.0120205860584974, 5300000, 0, 0, 0
5.4, 0.0120211988687515, 5400000, 0, 0, 0
5.5, 0.0120231416076422, 5500000, 0, 0, 0
5.6, 0.0120242536067963, 5600000, 0, 0, 0
5.7, 0.0120262308046222, 5700000, 0, 0, 0
5.8, 0.0120253562927246, 5800000, 0, 0, 0
5.9, 0.0120252836495638, 5900000, 0, 0, 0
6, 0.0120236296206713, 6000000, 0, 0, 0
6.1, 0.0120220873504877, 6100000, 0, 0, 0
6.2, 0.0120222764089704, 6200000, 0, 0, 0
6.3, 0.0120211075991392, 6300000, 0, 0, 0
6.4, 0.0120197450742126, 6400000, 0, 0, 0
6.5, 0.0120300147682428, 6500000, 0, 0, 0
6.6, 0.0120130702853203, 6600000, 0, 0, 0
6.7, 0.012023645453155, 6700000, 0, 0, 0
6.8, 0.0120229842141271, 6800000, 0, 0, 0
6.9, 0.0120316464453936, 6900000, 0, 0, 0
7, 0.0119531601667404, 7000000, 0, 0, 0
7.1, 0.0118434047326446, 7100000, 0, 0, 0
7.2, 0.0113526098430157, 7200000, 0, 0, 0
7.3, 0.0103838462382555, 7300000, 0, 0, 0
7.4, 0.0100624738261104, 7400000, 0, 0, 0
7.5, 0.010077703744173, 7500000, 0, 0, 0
7.6, 0.0101127652451396, 7600000, 0, 0, 0
7.7, 0.0101420916616917, 7700000, 0, 0, 0
7.8, 0.010138257406652, 7800000, 0, 0, 0
7.9, 0.0101525029167533, 7900000, 0, 0, 0
8, 0.0101513937115669, 8000000, 0, 0, 0
8.1, 0.0101523026823997, 8100000, 0, 0, 0
8.2, 0.0101595129817724, 8200000, 0, 0, 0
8.3, 0.010148867033422, 8300000, 0, 0, 0
8.4, 0.0101534118875861, 8400000, 0, 0, 0
8.5, 0.0101283183321357, 8500000, 0, 0, 0
8.6, 0.00952245108783245, 8600000, 0, 0, 0
