Meter S/N:, "REV_DA_11"
Sensor, THERMO,QUAD, 1A361
Date, 10/21/2014 1:56:12 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
0, 0.0924898982048035, 2.64897608757019, 0.994000017642975, 0, 0, 0, 0
0.1, 0.0925568118691444, 2.75009083747864, 0.977595150470734, 100000, 0, 0, 0
0.2, 0.0920822024345398, 2.70313811302185, 0.982815444469452, 200000, 0, 0, 0
0.3, 0.0918496772646904, 2.67768430709839, 0.943044364452362, 300000, 0, 0, 0
0.4, 0.0926860347390175, 2.683997631073, 0.895905792713165, 400000, 0, 0, 0
0.5, 0.0926019474864006, 2.68239593505859, 0.934978663921356, 500000, 0, 0, 0
0.6, 0.092502623796463, 2.60840678215027, 0.936287045478821, 600000, 0, 0, 0
0.7, 0.0926811024546623, 2.70274233818054, 0.952750325202942, 700000, 0, 0, 0
0.8, 0.0920842289924622, 2.71134781837463, 1.03536427021027, 800000, 0, 0, 0
0.9, 0.0922673419117928, 2.61360955238342, 0.973078012466431, 900000, 0, 0, 0
1, 0.0922237485647202, 2.73678517341614, 0.925726532936096, 1000000, 0, 0, 0
1.1, 0.092874750494957, 2.67750096321106, 0.88973331451416, 1100000, 0, 0, 0
1.2, 0.0921013355255127, 2.66183638572693, 0.942320108413696, 1200000, 0, 0, 0
1.3, 0.0923598557710648, 2.68245410919189, 0.88645476102829, 1300000, 0, 0, 0
1.4, 0.0919545739889145, 2.75752711296082, 0.947292149066925, 1400000, 0, 0, 0
1.5, 0.092277467250824, 2.72850441932678, 0.961989045143127, 1500000, 0, 0, 0
1.6, 0.0920856222510338, 2.76092839241028, 0.907718122005463, 1600000, 0, 0, 0
1.7, 0.0926443412899971, 2.71910381317139, 0.929238200187683, 1700000, 0, 0, 0
1.8, 0.0923344045877457, 2.66285014152527, 0.958109080791473, 1800010, 0, 0, 0
1.9, 0.0923365578055382, 2.70996165275574, 0.990921258926392, 1900000, 0, 0, 0
2, 0.092914491891861, 2.60589075088501, 0.971440553665161, 2000000, 0, 0, 0
2.1, 0.0923028737306595, 2.61182594299316, 0.934653520584106, 2100000, 0, 0, 0
2.2, 0.0928002521395683, 2.66303491592407, 0.883717119693756, 2200000, 0, 0, 0
2.3, 0.0922105014324188, 2.70019388198853, 0.936930060386658, 2300000, 0, 0, 0
2.4, 0.0925478264689446, 2.70418238639832, 0.817600786685944, 2400000, 0, 0, 0
2.5, 0.0926368311047554, 2.66292953491211, 0.945979118347168, 2500000, 0, 0, 0
2.6, 0.0916993543505669, 2.74286961555481, 1.04414653778076, 2600000, 0, 0, 0
2.7, 0.0923909172415733, 2.76578640937805, 0.911035597324371, 2700000, 0, 0, 0
2.8, 0.0927609279751778, 2.73084855079651, 0.959517240524292, 2800000, 0, 0, 0
2.9, 0.0922061651945114, 2.69077706336975, 0.918308198451996, 2900000, 0, 0, 0
3, 0.0921845957636833, 2.66962027549744, 0.907115697860718, 3000000, 0, 0, 0
3.1, 0.0923422127962112, 2.74332809448242, 0.90792989730835, 3100000, 0, 0, 0
3.2, 0.0922272205352783, 2.54277396202087, 0.940575540065765, 3200000, 0, 0, 0
3.3, 0.092776283621788, 2.65589070320129, 0.887311637401581, 3300000, 0, 0, 0
3.4, 0.0927433222532272, 2.64017915725708, 0.91003543138504, 3400000, 0, 0, 0
3.5, 0.0920242890715599, 2.59928226470947, 0.8960782289505, 3500000, 0, 0, 0
3.6, 0.0925418213009834, 2.68237519264221, 0.902316093444824, 3600000, 0, 0, 0
3.7, 0.0918577909469604, 2.67825889587402, 0.899961650371552, 3700000, 0, 0, 0
3.8, 0.0921173021197319, 2.8001561164856, 0.896652936935425, 3800010, 0, 0, 0
3.9, 0.0925721675157547, 2.63089537620544, 0.900504589080811, 3900000, 0, 0, 0
4, 0.0924625545740128, 2.62294411659241, 0.881969094276428, 4000000, 0, 0, 0
