Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/12/2014 5:32:06 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, 16.7301654815674, 0, 0, 0, "61d78541 0000 00000000"
0.0000500, 16.7260723114014, 51, 0, 0, "ffce8541 0000 33000000"
0.0001000, 16.7290992736816, 102, 0, 0, "32d58541 0000 66000000"
0.0001500, 16.7321815490723, 153, 0, 0, "82db8541 0000 99000000"
0.0002000, 16.731861114502, 205, 0, 0, "dada8541 0000 cd000000"
0.0002500, 16.7307777404785, 256, 0, 0, "a2d88541 0000 00010000"
0.0003000, 16.7316131591797, 307, 0, 0, "58da8541 0000 33010000"
0.0003500, 16.7334613800049, 358, 0, 0, "21de8541 0000 66010000"
0.0004000, 16.7292613983154, 409, 0, 0, "87d58541 0000 99010000"
0.0004500, 16.7303333282471, 461, 0, 0, "b9d78541 0000 cd010000"
0.0005000, 16.7305011749268, 512, 0, 0, "11d88541 0000 00020000"
0.0005500, 37.1553611755371, 563, 1, TriggerDetected, "179f1442 0100 33020000"
0.0006000, 42.3606834411621, 614, 0, 0, "57712942 0000 66020000"
0.0006500, 42.3659286499023, 665, 0, 0, "b6762942 0000 99020000"
0.0007000, 42.3655014038086, 717, 0, 0, "46762942 0000 cd020000"
0.0007500, 20.2991886138916, 768, 0, 0, "bd64a241 0000 00030000"
0.0008000, 16.7359409332275, 819, 0, 0, "35e38541 0000 33030000"
0.0008500, 16.7349433898926, 870, 0, 0, "2ae18541 0000 66030000"
0.0009000, 16.7325115203857, 921, 0, 0, "2fdc8541 0000 99030000"
0.0009500, 16.7300510406494, 973, 0, 0, "25d78541 0000 cd030000"
0.0010000, 16.7275505065918, 1024, 0, 0, "06d28541 0000 00040000"
0.0010500, 16.7303333282471, 1075, 0, 0, "b9d78541 0000 33040000"
0.0011000, 16.726318359375, 1126, 0, 0, "80cf8541 0000 66040000"
0.0011500, 16.7312660217285, 1177, 0, 0, "a2d98541 0000 99040000"
0.0012000, 16.7287921905518, 1229, 0, 0, "91d48541 0000 cd040000"
0.0012500, 16.7293453216553, 1280, 0, 0, "b3d58541 0000 00050000"
0.0013000, 16.7323379516602, 1331, 0, 0, "d4db8541 0000 33050000"
0.0013500, 16.731861114502, 1382, 0, 0, "dada8541 0000 66050000"
0.0014000, 16.7274551391602, 1433, 0, 0, "d4d18541 0000 99050000"
0.0014500, 16.7308025360107, 1485, 0, 0, "afd88541 0000 cd050000"
0.0015000, 23.5384159088135, 1536, 0, 0, "ad4ebc41 0000 00060000"
0.0015500, 42.3542861938477, 1587, 1, TriggerDetected, "ca6a2942 0100 33060000"
0.0016000, 42.3653869628906, 1638, 0, 0, "28762942 0000 66060000"
0.0016500, 42.3673858642578, 1689, 0, 0, "34782942 0000 99060000"
0.0017000, 33.8987159729004, 1741, 0, 0, "49980742 0000 cd060000"
