Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Bruce
Date, 2/18/2014 4:47:59 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000050, 200, 0, 4096, Impossible, "11d95743 0000 00000000"
0.000100, 200, 51, 4096, Impossible, "50d65743 0000 33000000"
0.000150, 200, 102, 4096, Impossible, "badb5743 0000 66000000"
0.000200, 200, 154, 4096, Impossible, "d0c65743 0000 9a000000"
0.000250, 200, 205, 4096, Impossible, "85d45743 0000 cd000000"
0.000300, 200, 256, 4096, Impossible, "85dc5743 0000 00010000"
0.000350, 200, 307, 4096, Impossible, "39be5743 0000 33010000"
0.000400, 200, 358, 4096, Impossible, "40d25743 0000 66010000"
0.000450, 200, 410, 4096, Impossible, "9fd95743 0000 9a010000"
0.000500, 200, 461, 4096, Impossible, "e7df5743 0000 cd010000"
0.000550, 200, 512, 4096, Impossible, "84cf5743 0000 00020000"
0.000600, 200, 563, 4096, Impossible, "3ad45743 0000 33020000"
0.000650, 200, 614, 4096, Impossible, "1cd65743 0000 66020000"
0.000700, 200, 666, 4096, Impossible, "a0d75743 0000 9a020000"
0.000750, 200, 717, 4096, Impossible, "6bd85743 0000 cd020000"
0.000800, 200, 768, 4096, Impossible, "1ed35743 0000 00030000"
0.000850, 200, 819, 4096, Impossible, "10d35743 0000 33030000"
0.000900, 200, 870, 4096, Impossible, "fcd35743 0000 66030000"
0.000950, 200, 922, 4096, Impossible, "b0dc5743 0000 9a030000"
0.001000, 200, 973, 4096, Impossible, "84dd5743 0000 cd030000"
0.001050, 200, 1024, 4096, Impossible, "60e35743 0000 00040000"
0.001100, 200, 1075, 4096, Impossible, "dadc5743 0000 33040000"
0.001150, 200, 1126, 4096, Impossible, "49da5743 0000 66040000"
0.001200, 200, 1178, 4096, Impossible, "0ecf5743 0000 9a040000"
0.001250, 200, 1229, 4096, Impossible, "9fd85743 0000 cd040000"
0.001300, 200, 1280, 4096, Impossible, "74e05743 0000 00050000"
0.001350, 200, 1331, 4096, Impossible, "cee05743 0000 33050000"
0.001400, 200, 1382, 4096, Impossible, "71cf5743 0000 66050000"
0.001450, 200, 1434, 4096, Impossible, "9dcc5743 0000 9a050000"
0.001500, 200, 1485, 4096, Impossible, "1edb5743 0000 cd050000"
0.001550, 200, 1536, 4096, Impossible, "7ed85743 0000 00060000"
0.001600, 200, 1587, 4096, Impossible, "d8d05743 0000 33060000"
0.001650, 200, 1638, 4096, Impossible, "ded65743 0000 66060000"
0.001700, 200, 1690, 4096, Impossible, "3ad35743 0000 9a060000"
0.001750, 200, 1741, 4096, Impossible, "12d75743 0000 cd060000"
0.001800, 200, 1792, 4096, Impossible, "2de85743 0000 00070000"
0.001850, 200, 1843, 4096, Impossible, "c3dc5743 0000 33070000"
0.001900, 200, 1894, 4096, Impossible, "b7e05743 0000 66070000"
0.001950, 200, 1946, 4096, Impossible, "c8e35743 0000 9a070000"
0.002000, 200, 1997, 4096, Impossible, "13d65743 0000 cd070000"
0.002050, 200, 2048, 4096, Impossible, "84d65743 0000 00080000"
0.002100, 200, 2099, 4096, Impossible, "15da5743 0000 33080000"
0.002150, 200, 2150, 4096, Impossible, "daeb5743 0000 66080000"
0.002200, 200, 2202, 4096, Impossible, "59cf5743 0000 9a080000"
0.002250, 200, 2253, 4096, Impossible, "1ae15743 0000 cd080000"
0.002300, 200, 2304, 4096, Impossible, "18f35743 0000 00090000"
0.002350, 200, 2355, 4096, Impossible, "9fe85743 0000 33090000"
0.002400, 200, 2406, 4096, Impossible, "dbdb5743 0000 66090000"
0.002450, 200, 2458, 4096, Impossible, "74e05743 0000 9a090000"
0.002500, 200, 2509, 4096, Impossible, "46de5743 0000 cd090000"
0.002550, 200, 2560, 4096, Impossible, "bfe95743 0000 000a0000"
0.002600, 200, 2611, 4096, Impossible, "e6e75743 0000 330a0000"
0.002650, 200, 2662, 4096, Impossible, "9bde5743 0000 660a0000"
0.002700, 200, 2714, 4096, Impossible, "80e45743 0000 9a0a0000"
0.002750, 200, 2765, 4096, Impossible, "07da5743 0000 cd0a0000"
0.002800, 200, 2816, 4096, Impossible, "deec5743 0000 000b0000"
0.002850, 200, 2867, 4096, Impossible, "79e75743 0000 330b0000"
0.002900, 200, 2918, 4096, Impossible, "28e95743 0000 660b0000"
0.002950, 200, 2970, 4096, Impossible, "12e65743 0000 9a0b0000"
0.003000, 200, 3021, 4096, Impossible, "a4e05743 0000 cd0b0000"
0.003050, 200, 3072, 4096, Impossible, "d7e95743 0000 000c0000"
0.003100, 200, 3123, 4096, Impossible, "04d75743 0000 330c0000"
0.003150, 200, 3174, 4096, Impossible, "f8e25743 0000 660c0000"
0.003200, 200, 3226, 4096, Impossible, "e0e95743 0000 9a0c0000"
0.003250, 200, 3277, 4096, Impossible, "b7e75743 0000 cd0c0000"
0.003300, 200, 3328, 4096, Impossible, "59df5743 0000 000d0000"
0.003350, 200, 3379, 4096, Impossible, "e4ea5743 0000 330d0000"
0.003400, 200, 3430, 4096, Impossible, "b3e55743 0000 660d0000"
0.003450, 200, 3482, 4096, Impossible, "fae65743 0000 9a0d0000"
0.003500, 200, 3533, 4096, Impossible, "5ad65743 0000 cd0d0000"
0.003550, 200, 3584, 4096, Impossible, "01dc5743 0000 000e0000"
0.003600, 200, 3635, 4096, Impossible, "54d75743 0000 330e0000"
0.003650, 200, 3686, 4096, Impossible, "d3d95743 0000 660e0000"
0.003700, 200, 3738, 4096, Impossible, "38cf5743 0000 9a0e0000"
0.003750, 200, 3789, 4096, Impossible, "5ce95743 0000 cd0e0000"
0.003800, 200, 3840, 4096, Impossible, "63e55743 0000 000f0000"
0.003850, 200, 3891, 4096, Impossible, "dede5743 0000 330f0000"
0.003900, 200, 3942, 4096, Impossible, "10f15743 0000 660f0000"
0.003950, 200, 3994, 4096, Impossible, "fde15743 0000 9a0f0000"
0.004000, 200, 4045, 4096, Impossible, "68ec5743 0000 cd0f0000"
0.004050, 200, 4096, 4096, Impossible, "86da5743 0000 00100000"
0.004100, 200, 4147, 4096, Impossible, "dfe35743 0000 33100000"
0.004150, 200, 4198, 4096, Impossible, "f5e65743 0000 66100000"
0.004200, 200, 4250, 4096, Impossible, "1deb5743 0000 9a100000"
0.004250, 200, 4301, 4096, Impossible, "f6e45743 0000 cd100000"
