Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/12/2014 5:31:50 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, 1.67357540130615, 0, 0, 0, "b837d63f 0000 00000000"
0.0000500, 1.67039203643799, 51, 0, 0, "68cfd53f 0000 33000000"
0.0001000, 1.67147862911224, 102, 0, 0, "03f3d53f 0000 66000000"
0.0001500, 1.67236089706421, 154, 0, 0, "ec0fd63f 0000 9a000000"
0.0002000, 7.24583530426025, 205, 1, TriggerDetected, "e2dde740 0100 cd000000"
0.0002500, 7.24583530426025, 256, 16, Overrange, "e2dde740 1000 00010000"
0.0003000, 7.24583530426025, 307, 16, Overrange, "e2dde740 1000 33010000"
0.0003500, 7.24583530426025, 358, 16, Overrange, "e2dde740 1000 66010000"
0.0004000, 13.5225296020508, 410, 0, 0, "485c5841 0000 9a010000"
0.0004500, 1.68504357337952, 461, 0, 0, "82afd73f 0000 cd010000"
0.0005000, 1.67639100551605, 512, 0, 0, "fb93d63f 0000 00020000"
0.0005500, 1.67457938194275, 563, 0, 0, "9e58d63f 0000 33020000"
0.0006000, 1.67513847351074, 614, 0, 0, "f06ad63f 0000 66020000"
0.0006500, 1.67372405529022, 666, 0, 0, "973cd63f 0000 9a020000"
0.0007000, 1.67411112785339, 717, 0, 0, "4649d63f 0000 cd020000"
0.0007500, 1.67409002780914, 768, 0, 0, "9548d63f 0000 00030000"
0.0008000, 1.67325472831726, 819, 0, 0, "362dd63f 0000 33030000"
0.0008500, 1.67245721817017, 870, 0, 0, "1413d63f 0000 66030000"
0.0009000, 1.67247462272644, 922, 0, 0, "a613d63f 0000 9a030000"
0.0009500, 1.6736181974411, 973, 0, 0, "1f39d63f 0000 cd030000"
0.0010000, 1.67370307445526, 1024, 0, 0, "e73bd63f 0000 00040000"
0.0010500, 1.67507719993591, 1075, 0, 0, "ee68d63f 0000 33040000"
0.0011000, 1.67425131797791, 1126, 0, 0, "de4dd63f 0000 66040000"
0.0011500, 1.67431938648224, 1178, 0, 0, "1950d63f 0000 9a040000"
0.0012000, 15.8896894454956, 1229, 1, TriggerDetected, "2b3c7e41 0100 cd040000"
0.0012500, 15.8896894454956, 1280, 16, Overrange, "2b3c7e41 1000 00050000"
0.0013000, 15.8896894454956, 1331, 16, Overrange, "2b3c7e41 1000 33050000"
0.0013500, 15.8896894454956, 1382, 16, Overrange, "2b3c7e41 1000 66050000"
0.0014000, 4.83399486541748, 1434, 0, 0, "16b09a40 0000 9a050000"
0.0014500, 1.67908322811127, 1485, 0, 0, "33ecd63f 0000 cd050000"
0.0015000, 1.67394435405731, 1536, 0, 0, "cf43d63f 0000 00060000"
0.0015500, 1.67452752590179, 1587, 0, 0, "eb56d63f 0000 33060000"
0.0016000, 1.67247521877289, 1638, 0, 0, "ab13d63f 0000 66060000"
0.0016500, 1.67328238487244, 1690, 0, 0, "1e2ed63f 0000 9a060000"
0.0017000, 1.67170965671539, 1741, 0, 0, "95fad53f 0000 cd060000"
0.0017500, 1.67225134372711, 1792, 0, 0, "550cd63f 0000 00070000"
0.0018000, 1.67135393619537, 1843, 0, 0, "edeed53f 0000 33070000"
0.0018500, 1.67322099208832, 1894, 0, 0, "1b2cd63f 0000 66070000"
0.0019000, 1.6730831861496, 1946, 0, 0, "9727d63f 0000 9a070000"
0.0019500, 1.67391014099121, 1997, 0, 0, "b042d63f 0000 cd070000"
0.0020000, 1.67323780059814, 2048, 0, 0, "a82cd63f 0000 00080000"
0.0020500, 1.67395639419556, 2099, 0, 0, "3444d63f 0000 33080000"
0.0021000, 1.6729302406311, 2150, 0, 0, "9422d63f 0000 66080000"
0.0021500, 6.0580267906189, 2202, 1, TriggerDetected, "5bdbc140 0100 9a080000"
0.0022000, 6.0580267906189, 2253, 16, Overrange, "5bdbc140 1000 cd080000"
0.0022500, 6.0580267906189, 2304, 16, Overrange, "5bdbc140 1000 00090000"
0.0023000, 6.0580267906189, 2355, 16, Overrange, "5bdbc140 1000 33090000"
0.0023500, 14.6629705429077, 2406, 0, 0, "879b6a41 0000 66090000"
0.0024000, 1.68683004379272, 2458, 0, 0, "0cead73f 0000 9a090000"
0.0024500, 1.67668235301971, 2509, 0, 0, "879dd63f 0000 cd090000"
0.0025000, 1.67300069332123, 2560, 0, 0, "e324d63f 0000 000a0000"
0.0025500, 1.67398834228516, 2611, 0, 0, "4045d63f 0000 330a0000"
0.0026000, 1.67241930961609, 2662, 0, 0, "d611d63f 0000 660a0000"
0.0026500, 1.67380893230438, 2714, 0, 0, "5f3fd63f 0000 9a0a0000"
0.0027000, 1.67268776893616, 2765, 0, 0, "a21ad63f 0000 cd0a0000"
0.0027500, 1.6752108335495, 2816, 0, 0, "4f6dd63f 0000 000b0000"
0.0028000, 1.67272078990936, 2867, 0, 0, "b71bd63f 0000 330b0000"
0.0028500, 1.67428457736969, 2918, 0, 0, "f54ed63f 0000 660b0000"
0.0029000, 1.67206954956055, 2970, 0, 0, "6006d63f 0000 9a0b0000"
0.0029500, 1.67506992816925, 3021, 0, 0, "b168d63f 0000 cd0b0000"
0.0030000, 1.67469012737274, 3072, 0, 0, "3f5cd63f 0000 000c0000"
0.0030500, 1.67470943927765, 3123, 0, 0, "e15cd63f 0000 330c0000"
0.0031000, 1.67317402362823, 3174, 0, 0, "912ad63f 0000 660c0000"
0.0031500, 14.7632675170898, 3226, 1, TriggerDetected, "58366c41 0100 9a0c0000"
0.0032000, 14.7632675170898, 3277, 16, Overrange, "58366c41 1000 cd0c0000"
0.0032500, 14.7632675170898, 3328, 16, Overrange, "58366c41 1000 000d0000"
0.0033000, 14.7632675170898, 3379, 16, Overrange, "58366c41 1000 330d0000"
0.0033500, 6.02084589004517, 3430, 0, 0, "c5aac040 0000 660d0000"
0.0034000, 1.6811854839325, 3482, 0, 0, "1631d73f 0000 9a0d0000"
0.0034500, 1.67781269550323, 3533, 0, 0, "91c2d63f 0000 cd0d0000"
0.0035000, 1.67385709285736, 3584, 0, 0, "f340d63f 0000 000e0000"
0.0035500, 1.67300426959991, 3635, 0, 0, "0125d63f 0000 330e0000"
0.0036000, 1.67370426654816, 3686, 0, 0, "f13bd63f 0000 660e0000"
0.0036500, 1.67406845092773, 3738, 0, 0, "e047d63f 0000 9a0e0000"
0.0037000, 1.67236089706421, 3789, 0, 0, "ec0fd63f 0000 cd0e0000"
0.0037500, 1.67463409900665, 3840, 0, 0, "695ad63f 0000 000f0000"
0.0038000, 1.6729519367218, 3891, 0, 0, "4a23d63f 0000 330f0000"
0.0038500, 1.67386674880981, 3942, 0, 0, "4441d63f 0000 660f0000"
0.0039000, 1.67323482036591, 3994, 0, 0, "8f2cd63f 0000 9a0f0000"
0.0039500, 1.6734561920166, 4045, 0, 0, "d033d63f 0000 cd0f0000"
0.0040000, 1.67064964771271, 4096, 0, 0, "d9d7d53f 0000 00100000"
0.0040500, 1.67327749729156, 4147, 0, 0, "f52dd63f 0000 33100000"
0.0041000, 4.92239046096802, 4198, 1, TriggerDetected, "39849d40 0100 66100000"
0.0041500, 4.92239046096802, 4250, 16, Overrange, "39849d40 1000 9a100000"
0.0042000, 4.92239046096802, 4301, 16, Overrange, "39849d40 1000 cd100000"
0.0042500, 4.92239046096802, 4352, 16, Overrange, "39849d40 1000 00110000"
0.0043000, 15.8229188919067, 4403, 0, 0, "ad2a7d41 0000 33110000"
0.0043500, 1.68908762931824, 4454, 0, 0, "0634d83f 0000 66110000"
0.0044000, 1.67656981945038, 4506, 0, 0, "d799d63f 0000 9a110000"
0.0044500, 1.67422664165497, 4557, 0, 0, "0f4dd63f 0000 cd110000"
0.0045000, 1.67357122898102, 4608, 0, 0, "9537d63f 0000 00120000"
0.0045500, 1.67489659786224, 4659, 0, 0, "0363d63f 0000 33120000"
0.0046000, 1.67330753803253, 4710, 0, 0, "f12ed63f 0000 66120000"
0.0046500, 1.67231214046478, 4762, 0, 0, "530ed63f 0000 9a120000"
0.0047000, 1.67129135131836, 4813, 0, 0, "e0ecd53f 0000 cd120000"
0.0047500, 1.67131781578064, 4864, 0, 0, "beedd53f 0000 00130000"
0.0048000, 1.67291390895844, 4915, 0, 0, "0b22d63f 0000 33130000"
0.0048500, 1.67330634593964, 4966, 0, 0, "e72ed63f 0000 66130000"
0.0049000, 1.6723735332489, 5018, 0, 0, "5610d63f 0000 9a130000"
0.0049500, 1.67289769649506, 5069, 0, 0, "8321d63f 0000 cd130000"
0.0050000, 1.67328834533691, 5120, 0, 0, "502ed63f 0000 00140000"
0.0050500, 1.67370057106018, 5171, 0, 0, "d23bd63f 0000 33140000"
0.0051000, 13.5646409988403, 5222, 1, TriggerDetected, "c5085941 0100 66140000"
0.0051500, 13.5646409988403, 5274, 16, Overrange, "c5085941 1000 9a140000"
