Meter S/N:, "serial number"
Sensor, OPT,NOSPEC, 0119K06
Date, 2/21/2014 12:53:50 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.100000, 1.46918437167187E-05, 0, 64, SpedUp, "fd7c7637 4000 00000000"
0.200000, 1.46993506859872E-05, 100000, 64, SpedUp, "3b9d7637 4000 a0860100"
0.300000, 1.46996180774295E-05, 200000, 64, SpedUp, "619e7637 4000 400d0300"
0.400000, 1.46975798998028E-05, 300000, 64, SpedUp, "a0957637 4000 e0930400"
0.500000, 1.46996817420586E-05, 400000, 64, SpedUp, "a79e7637 4000 801a0600"
0.600000, 1.46990760185872E-05, 500000, 64, SpedUp, "0d9c7637 4000 20a10700"
0.700000, 1.46993961607222E-05, 600000, 64, SpedUp, "6d9d7637 4000 c0270900"
0.800000, 1.46986549225403E-05, 700000, 64, SpedUp, "3e9a7637 4000 60ae0a00"
0.900000, 1.46983993545291E-05, 800000, 64, SpedUp, "25997637 4000 00350c00"
1.000000, 1.46961538121104E-05, 900000, 64, SpedUp, "808f7637 4000 a0bb0d00"
1.100000, 1.469469134463E-05, 1000000, 64, SpedUp, "38897637 4000 40420f00"
1.200000, 1.46903239510721E-05, 1100000, 64, SpedUp, "76767637 4000 e0c81000"
1.300000, 1.4688274859509E-05, 1200000, 64, SpedUp, "a96d7637 4000 804f1200"
1.400000, 1.46859310916625E-05, 1300000, 64, SpedUp, "98637637 4000 20d61300"
1.500000, 1.46818656503456E-05, 1400000, 64, SpedUp, "22527637 4000 c05c1500"
1.600000, 1.46811817103298E-05, 1500000, 64, SpedUp, "324f7637 4000 60e31600"
1.700000, 1.46808652061736E-05, 1600000, 64, SpedUp, "d64d7637 4000 006a1800"
1.800000, 1.46843631227966E-05, 1700000, 64, SpedUp, "dc5c7637 4000 a0f01900"
1.900000, 1.46904749271926E-05, 1800000, 64, SpedUp, "1c777637 4000 40771b00"
2.000000, 1.46924121509073E-05, 1900000, 64, SpedUp, "6e7f7637 4000 e0fd1c00"
2.100000, 1.46953907460556E-05, 2000000, 64, SpedUp, "398c7637 4000 80841e00"
2.200000, 1.46998736454407E-05, 2100000, 64, SpedUp, "7a9f7637 4000 200b2000"
