Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/24/2014 5:18:45 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000006, 18.892297744751, 0, 0, 0, "6d239741 0000 00000000"
0.000013, 18.7723331451416, 51, 0, 0, "bd2d9641 0000 33000000"
0.000019, 18.6516780853271, 102, 0, 0, "a3369541 0000 66000000"
0.000026, 18.5395088195801, 154, 0, 0, "ea509441 0000 9a000000"
0.000032, 18.4287433624268, 205, 0, 0, "116e9341 0000 cd000000"
0.000038, 18.3234806060791, 256, 0, 0, "7d969241 0000 00010000"
0.000045, 18.2170639038086, 307, 0, 0, "8cbc9141 0000 33010000"
0.000051, 18.1153984069824, 358, 0, 0, "56ec9041 0000 66010000"
0.000058, 18.0168342590332, 410, 0, 0, "7a229041 0000 9a010000"
0.000064, 17.9226455688477, 461, 0, 0, "94618f41 0000 cd010000"
0.000070, 17.8342761993408, 512, 0, 0, "99ac8e41 0000 00020000"
0.000077, 17.7480869293213, 563, 0, 0, "15fc8d41 0000 33020000"
0.000083, 17.6678047180176, 614, 0, 0, "aa578d41 0000 66020000"
0.000090, 17.5917205810547, 666, 0, 0, "d8bb8c41 0000 9a020000"
0.000096, 17.5149154663086, 717, 0, 0, "8c1e8c41 0000 cd020000"
0.000102, 17.4442043304443, 768, 0, 0, "bb8d8b41 0000 00030000"
0.000109, 17.3800086975098, 819, 0, 0, "420a8b41 0000 33030000"
0.000115, 17.3153133392334, 870, 0, 0, "c3858a41 0000 66030000"
0.000122, 17.25732421875, 922, 0, 0, "000f8a41 0000 9a030000"
0.000128, 17.2031211853027, 973, 0, 0, "fe9f8941 0000 cd030000"
0.000134, 17.1524467468262, 1024, 0, 0, "36388941 0000 00040000"
0.000141, 17.1024188995361, 1075, 0, 0, "c1d18841 0000 33040000"
0.000147, 17.0591869354248, 1126, 0, 0, "37798841 0000 66040000"
0.000154, 17.014928817749, 1178, 0, 0, "931e8841 0000 9a040000"
0.000160, 16.9842281341553, 1229, 0, 0, "b3df8741 0000 cd040000"
0.000166, 16.9461116790771, 1280, 0, 0, "a3918741 0000 00050000"
0.000173, 16.9226264953613, 1331, 0, 0, "8a618741 0000 33050000"
0.000179, 16.8936996459961, 1382, 0, 0, "4c268741 0000 66050000"
0.000186, 16.8806438446045, 1434, 0, 0, "8f0b8741 0000 9a050000"
0.000192, 16.8632049560547, 1485, 0, 0, "d8e78641 0000 cd050000"
0.000198, 16.855863571167, 1536, 0, 0, "cfd88641 0000 00060000"
0.000205, 16.8424682617188, 1587, 0, 0, "60bd8641 0000 33060000"
0.000211, 16.8402442932129, 1638, 0, 0, "d2b88641 0000 66060000"
0.000218, 16.8383827209473, 1690, 0, 0, "02b58641 0000 9a060000"
0.000224, 16.8468761444092, 1741, 0, 0, "67c68641 0000 cd060000"
0.000230, 16.8491058349609, 1792, 0, 0, "f8ca8641 0000 00070000"
0.000237, 16.864143371582, 1843, 0, 0, "c4e98641 0000 33070000"
0.000243, 16.8791904449463, 1894, 0, 0, "95088741 0000 66070000"
0.000250, 16.8986225128174, 1946, 0, 0, "61308741 0000 9a070000"
0.000256, 16.9281940460205, 1997, 0, 0, "f16c8741 0000 cd070000"
0.000262, 16.9554080963135, 2048, 0, 0, "ada48741 0000 00080000"
0.000269, 16.9830837249756, 2099, 0, 0, "5bdd8741 0000 33080000"
0.000275, 17.0217170715332, 2150, 0, 0, "7a2c8841 0000 66080000"
0.000282, 17.0553455352783, 2202, 0, 0, "59718841 0000 9a080000"
0.000288, 17.1035709381104, 2253, 0, 0, "1dd48841 0000 cd080000"
0.000294, 17.1512603759766, 2304, 0, 0, "c8358941 0000 00090000"
0.000301, 17.2033176422119, 2355, 0, 0, "65a08941 0000 33090000"
