Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, 123
Date, 2/28/2014 5:07:06 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.100000, 0.000185109005542472, 0, 0, 0, "d2194239 0000 00000000"
0.200000, 0.000134294765302911, 100000, 0, 0, "7ad10c39 0000 a0860100"
0.300000, 0.000323033367749304, 200000, 0, 0, "ce5ca939 0000 400d0300"
0.400000, 4.71846469736192E-05, 300000, 0, 0, "21e84538 0000 e0930400"
0.500000, -1.81479408638552E-05, 400000, 32, NegativePower, "683c98b7 2000 801a0600"
0.600000, 0.000105258062831126, 500000, 0, 0, "febddc38 0000 20a10700"
0.700000, 0.000395625131204724, 600000, 0, 0, "e86bcf39 0000 c0270900"
0.800000, 0.000279478292213753, 700000, 0, 0, "f1869239 0000 60ae0a00"
0.900000, 0.000489994417876005, 800000, 0, 0, "f872003a 0000 00350c00"
1.000000, 0.0022321967408061, 900000, 0, 0, "0c4a123b 0000 a0bb0d00"
1.100000, 0.00154983415268362, 1000000, 0, 0, "ce23cb3a 0000 40420f00"
1.200000, 0.00159338919911534, 1100000, 0, 0, "45d9d03a 0000 e0c81000"
1.300000, 0.000613400421570987, 1200000, 0, 0, "9bcc203a 0000 804f1200"
1.400000, -0.000410143460612744, 1300000, 32, NegativePower, "8608d7b9 2000 20d61300"
1.500000, -0.000272219127509743, 1400000, 32, NegativePower, "a2b88eb9 2000 c05c1500"
1.600000, -5.44438225915655E-05, 1500000, 32, NegativePower, "9c5a64b8 2000 60e31600"
1.700000, 0.00205071736127138, 1600000, 0, 0, "5465063b 0000 006a1800"
1.800000, 0.00182568293530494, 1700000, 0, 0, "c14bef3a 0000 a0f01900"
1.900000, 0.000584363704547286, 1800000, 0, 0, "fc2f193a 0000 40771b00"
2.000000, -0.000446439342340454, 1900000, 32, NegativePower, "1310eab9 2000 e0fd1c00"
2.100000, -0.000460957700852305, 2000000, 32, NegativePower, "b2acf1b9 2000 80841e00"
2.200000, 0.000482735253171995, 2100000, 0, 0, "a117fd39 0000 200b2000"
2.300000, 0.00146272405982018, 2200000, 0, 0, "e0b8bf3a 0000 c0912100"
2.400000, 0.000881989952176809, 2300000, 0, 0, "5835673a 0000 60182300"
2.500000, 0.000598882092162967, 2400000, 0, 0, "4cfe1c3a 0000 009f2400"
2.600000, -2.54071183007909E-05, 2500000, 32, NegativePower, "5f21d5b7 2000 a0252600"
2.700000, -0.000199627349502407, 2600000, 32, NegativePower, "0f5351b9 2000 40ac2700"
2.800000, 0.000802138994913548, 2700000, 0, 0, "a346523a 0000 e0322900"
2.900000, -0.000584363704547286, 2800000, 32, NegativePower, "fc2f19ba 2000 80b92a00"
3.000000, 2.54071183007909E-05, 2900000, 0, 0, "5f21d537 0000 20402c00"
3.100000, 0.000446439342340454, 3000000, 0, 0, "1310ea39 0000 c0c62d00"
3.200000, 0.000177849826286547, 3100000, 0, 0, "337d3a39 0000 604d2f00"
3.300000, 3.99254713556729E-05, 3200000, 0, 0, "a6752738 0000 00d43000"
3.400000, 9.7998883575201E-05, 3300000, 0, 0, "c084cd38 0000 a05a3200"
3.500000, 6.89621738274582E-05, 3400000, 0, 0, "c99f9038 0000 40e13300"
3.600000, -0.00121591205243021, 3500000, 32, NegativePower, "3d5f9fba 2000 e0673500"
3.700000, -0.0054697897285223, 3600000, 32, NegativePower, "ec3bb3bb 2000 80ee3600"
3.800000, -0.0132298488169909, 3700000, 32, NegativePower, "02c258bc 2000 20753800"
3.900000, -0.011400536634028, 3800000, 32, NegativePower, "51c93abc 2000 c0fb3900"
4.000000, -0.00822827685624361, 3900000, 36, Calculating| NegativePower, "e5cf06bc 2400 60823b00"
4.100000, -0.00584726687520742, 4000000, 36, Calculating| NegativePower, "6e9abfbb 2400 00093d00"
4.200000, -0.00468579865992069, 4100000, 36, Calculating| NegativePower, "548b99bb 2400 a08f3e00"
4.300000, -0.00343722011893988, 4200000, 36, Calculating| NegativePower, "fc4261bb 2400 40164000"
4.400000, -0.00214508664794266, 4300000, 36, Calculating| NegativePower, "95940cbb 2400 e09c4100"
4.500000, -0.00357514433562756, 4400000, 36, Calculating| NegativePower, "f84c6abb 2400 80234300"
4.600000, -0.00650059245526791, 4500000, 36, Calculating| NegativePower, "ec02d5bb 2400 20aa4400"
4.700000, -0.00642800098285079, 4600000, 36, Calculating| NegativePower, "fba1d2bb 2400 c0304600"
4.800000, -0.00367677281610668, 4700000, 36, Calculating| NegativePower, "03f670bb 2400 60b74700"
4.900000, -0.00794516876339912, 4800000, 36, Calculating| NegativePower, "742c02bc 2400 003e4900"
5.000000, -0.0179192777723074, 4900000, 36, Calculating| NegativePower, "73cb92bc 2400 a0c44a00"
5.100000, -0.0259987413883209, 5000000, 36, Calculating| NegativePower, "50fbd4bc 2400 404b4c00"
5.200000, -0.00783628132194281, 5100000, 36, Calculating| NegativePower, "bf6300bc 2400 e0d14d00"
5.300000, -0.000185109005542472, 5200000, 36, Calculating| NegativePower, "d21942b9 2400 80584f00"
5.400000, -0.00301618780940771, 5300000, 36, Calculating| NegativePower, "3cab45bb 2400 20df5000"
5.500000, -0.00665303505957127, 5400000, 36, Calculating| NegativePower, "b401dabb 2400 c0655200"
5.600000, -0.0080830929800868, 5500000, 36, Calculating| NegativePower, "f36e04bc 2400 60ec5300"
5.700000, -0.00445350492373109, 5600000, 36, Calculating| NegativePower, "b5ee91bb 2400 00735500"
5.800000, -0.00120139366481453, 5700000, 36, Calculating| NegativePower, "15789dba 2400 a0f95600"
5.900000, -0.00241367612034082, 5800000, 36, Calculating| NegativePower, "c42e1ebb 2400 40805800"
6.000000, -0.00406150938943028, 5900000, 36, Calculating| NegativePower, "691685bb 2400 e0065a00"
6.100000, -0.00448254169896245, 6000000, 36, Calculating| NegativePower, "49e292bb 2400 808d5b00"
6.200000, -0.00441720895469189, 6100000, 36, Calculating| NegativePower, "3cbe90bb 2400 20145d00"
6.300000, -0.00371306878514588, 6200000, 36, Calculating| NegativePower, "f55673bb 2400 c09a5e00"
6.400000, -0.00311055709607899, 6300000, 36, Calculating| NegativePower, "7dda4bbb 2400 60216000"
6.500000, -0.00304522458463907, 6400000, 36, Calculating| NegativePower, "649247bb 2400 00a86100"
6.600000, -0.00327025912702084, 6500000, 36, Calculating| NegativePower, "d85156bb 2400 a02e6300"
6.700000, -0.00444624572992325, 6600000, 36, Calculating| NegativePower, "d0b191bb 2400 40b56400"
6.800000, -0.00372032797895372, 6700000, 36, Calculating| NegativePower, "bfd073bb 2400 e03b6600"
6.900000, -0.0186858475208282, 6700010, 40, FinalEnergyRecord| NegativePower, "101399bc 2800 ea3b6600"
7.000000, -0.00339366495609283, 6800000, 32, NegativePower, "40685ebb 2000 80c26700"
7.100000, -0.00284196762368083, 6900000, 32, NegativePower, "4e403abb 2000 20496900"
7.200000, -0.00296537368558347, 7000000, 32, NegativePower, "b75642bb 2000 c0cf6a00"
7.300000, -0.00306700216606259, 7100000, 32, NegativePower, "c2ff48bb 2000 60566c00"
7.400000, -0.00403247261419892, 7200000, 32, NegativePower, "d52284bb 2000 00dd6d00"
7.500000, -0.00128850387409329, 7300010, 32, NegativePower, "04e3a8ba 2000 aa636f00"
7.600000, -0.00144094659481198, 7400000, 32, NegativePower, "25debcba 2000 40ea7000"
7.700000, -0.00165872182697058, 7500000, 32, NegativePower, "7869d9ba 2000 e0707200"
7.800000, -0.00282019004225731, 7600000, 32, NegativePower, "f0d238bb 2000 80f77300"
7.900000, -0.00270404317416251, 7700000, 32, NegativePower, "513631bb 2000 207e7500"
8.000000, -0.000736806425265968, 7800000, 32, NegativePower, "3e2641ba 2000 c0047700"
8.100000, -0.000533549464307725, 7900000, 32, NegativePower, "e6dd0bba 2000 608b7800"
8.200000, -0.000736806425265968, 8000000, 32, NegativePower, "3e2641ba 2000 00127a00"
8.300000, -0.000127035586046986, 8100000, 32, NegativePower, "db3405b9 2000 a0987b00"
8.400000, 0.000112517234811094, 8200000, 0, 0, "3bf7eb38 0000 401f7d00"
8.500000, -0.000323033367749304, 8300000, 32, NegativePower, "ce5ca9b9 2000 e0a57e00"
8.600000, -0.00476564932614565, 8400000, 32, NegativePower, "2a299cbb 2000 802c8000"
8.700000, -0.00447528250515461, 8500000, 32, NegativePower, "64a592bb 2000 20b38100"
8.800000, -0.00486001884564757, 8600000, 32, NegativePower, "cb409fbb 2000 c0398300"
8.900000, -0.00331381405703723, 8700000, 32, NegativePower, "932c59bb 2000 60c08400"
9.000000, -0.00308152032084763, 8800000, 32, NegativePower, "55f349bb 2000 00478600"
9.100000, -0.00313233467750251, 8900000, 32, NegativePower, "db474dbb 2000 a0cd8700"
9.200000, -0.00270404317416251, 9000000, 32, NegativePower, "513631bb 2000 40548900"
9.300000, -0.00268952501937747, 9100000, 32, NegativePower, "be4230bb 2000 e0da8a00"
9.400000, -0.00245723128318787, 9200000, 32, NegativePower, "800921bb 2000 80618c00"
9.500000, -0.0023120476398617, 9300000, 32, NegativePower, "b98517bb 2000 20e88d00"
9.600000, -0.00235560280270875, 9400000, 32, NegativePower, "75601abb 2000 c06e8f00"
9.700000, -0.00183294212911278, 9500000, 32, NegativePower, "553ff0ba 2000 60f59000"
9.800000, -0.00225397432222962, 9600000, 32, NegativePower, "6ab713bb 2000 007c9200"
9.900000, -0.00198538484983146, 9700000, 32, NegativePower, "3b1d02bb 2000 a0029400"
10.000000, -0.00241367612034082, 9800000, 32, NegativePower, "c42e1ebb 2000 40899500"
10.100000, -0.00190553383436054, 9900000, 32, NegativePower, "1bc3f9ba 2000 e00f9700"
10.200000, -0.00199990323744714, 10000000, 32, NegativePower, "cf1003bb 2000 80969800"
10.300000, -0.00175309111364186, 10100000, 32, NegativePower, "fac7e5ba 2000 201d9a00"
10.400000, -0.0016804994083941, 10200000, 32, NegativePower, "3444dcba 2000 c0a39b00"
10.500000, -0.00176760950125754, 10300000, 32, NegativePower, "22afe7ba 2000 602a9d00"
10.600000, -0.00185471959412098, 10400000, 32, NegativePower, "101af3ba 2000 00b19e00"
10.700000, -0.00274759833700955, 10500000, 32, NegativePower, "0d1134bb 2000 a037a000"
10.800000, -0.00266774743795395, 10600000, 32, NegativePower, "60d52ebb 2000 40bea100"
10.900000, -0.00202893977984786, 10700000, 32, NegativePower, "f6f704bb 2000 e044a300"
11.000000, -0.00297989207319915, 10800000, 32, NegativePower, "4b4a43bb 2000 80cba400"
11.100000, -0.00724828755483031, 10900000, 32, NegativePower, "0b83edbb 2000 2052a600"
11.200000, -0.0129249636083841, 11000000, 32, NegativePower, "3ac353bc 2000 c0d8a700"
11.300000, -0.00830086879432201, 11100000, 32, NegativePower, "5e0008bc 2000 605fa900"
11.400000, -0.0074588037095964, 11200000, 32, NegativePower, "fb68f4bb 2000 00e6aa00"
11.500000, -0.00494712870568037, 11300000, 32, NegativePower, "861ba2bb 2000 a06cac00"
11.600000, -0.00471483496949077, 11400000, 32, NegativePower, "e77e9abb 2000 40f3ad00"
11.700000, -0.0117634953930974, 11500000, 32, NegativePower, "adbb40bc 2000 e079af00"
11.800000, -0.0195816289633513, 11600000, 32, NegativePower, "a769a0bc 2000 8000b100"
11.900000, -0.0204236935824156, 11700000, 32, NegativePower, "974fa7bc 2000 2087b200"
12.000000, -0.0315955653786659, 11800000, 32, NegativePower, "5a6a01bd 2000 c00db400"
12.100000, -0.0249679367989302, 11900000, 32, NegativePower, "8f89ccbc 2000 6094b500"
12.200000, -0.0204599890857935, 12000000, 36, Calculating| NegativePower, "b59ba7bc 2400 001bb700"
12.300000, -0.0170989912003279, 12100000, 36, Calculating| NegativePower, "2f138cbc 2400 a0a1b800"
12.400000, -0.00921552442014217, 12200000, 36, Calculating| NegativePower, "b6fc16bc 2400 4028ba00"
12.500000, -0.00642074178904295, 12300000, 36, Calculating| NegativePower, "1665d2bb 2400 e0aebb00"
12.600000, -0.00669659022241831, 12400000, 36, Calculating| NegativePower, "126fdbbb 2400 8035bd00"
12.700000, -0.00764754228293896, 12500000, 36, Calculating| NegativePower, "3c98fabb 2400 20bcbe00"
