Meter S/N:, None
Sensor, None, None, , 
Date, 2/19/2015 11:57:25 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, 4.290792E+000, 0, 32, UnderRange, 0
0.0000512, 5.823225E+000, 51, 32, UnderRange, 0
0.0001024, 9.210211E+000, 102, 33, TriggerDetected| UnderRange, 0
0.0001536, 1.451866E+001, 153, 32, UnderRange, 0
0.0002048, 2.243701E+001, 204, 0, 0, 0
0.0002560, 3.289424E+001, 256, 0, 0, 0
0.0003072, 4.498916E+001, 307, 0, 0, 0
0.0003584, 5.832120E+001, 358, 0, 0, 0
0.0004096, 7.270508E+001, 409, 0, 0, 0
0.0004608, 8.734439E+001, 460, 0, 0, 0
0.0005120, 1.013503E+002, 512, 0, 0, 0
0.0005632, 1.162284E+002, 563, 0, 0, 0
0.0006144, 1.305711E+002, 614, 0, 0, 0
0.0006656, 1.439363E+002, 665, 16, OverRange, 0
0.0007168, 1.561109E+002, 716, 16, OverRange, 0
0.0007680, 1.666835E+002, 768, 16, OverRange, 0
0.0008192, 1.753102E+002, 819, 16, OverRange, 0
0.0008704, 1.818889E+002, 870, 16, OverRange, 0
0.0009216, 1.862079E+002, 921, 16, OverRange, 0
0.0009728, 1.880921E+002, 972, 16, OverRange, 0
0.0010240, 1.876018E+002, 1024, 16, OverRange, 0
0.0010752, 1.847080E+002, 1075, 16, OverRange, 0
0.0011264, 1.794502E+002, 1126, 16, OverRange, 0
0.0011776, 1.719780E+002, 1177, 16, OverRange, 0
0.0012288, 1.625401E+002, 1228, 16, OverRange, 0
0.0012800, 1.512410E+002, 1280, 16, OverRange, 0
0.0013312, 1.385563E+002, 1331, 16, OverRange, 0
0.0013824, 1.247531E+002, 1382, 0, 0, 0
0.0014336, 1.101249E+002, 1433, 0, 0, 0
0.0014848, 9.509807E+001, 1484, 0, 0, 0
0.0015360, 8.007000E+001, 1536, 0, 0, 0
0.0015872, 6.529585E+001, 1587, 0, 0, 0
0.0016384, 5.132277E+001, 1638, 0, 0, 0
0.0016896, 3.858681E+001, 1689, 0, 0, 0
0.0017408, 2.727890E+001, 1740, 0, 0, 0
0.0017920, 1.798535E+001, 1792, 0, 0, 0
