Meter S/N:, None
Sensor, None, None, , 
Date, 2/20/2015 12:27:22 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, 3.373696E-006, 0, 0, 0, 0
0.1000000, 3.375477E-006, 100000, 0, 0, 0
0.2000000, 3.377368E-006, 200000, 0, 0, 0
0.3000000, 3.376794E-006, 300000, 0, 0, 0
0.4000000, 3.376903E-006, 400000, 0, 0, 0
0.5000000, 3.378673E-006, 500000, 0, 0, 0
0.6000000, 3.380402E-006, 600000, 0, 0, 0
0.7000000, 3.381404E-006, 700000, 0, 0, 0
0.8000000, 3.381329E-006, 800000, 0, 0, 0
0.9000000, 3.382259E-006, 900000, 0, 0, 0
1.0000000, 3.382495E-006, 1000000, 0, 0, 0
1.1000000, 3.382949E-006, 1100000, 0, 0, 0
1.2000000, 3.383283E-006, 1200000, 0, 0, 0
1.3000000, 3.383943E-006, 1300000, 0, 0, 0
1.4000000, 3.383575E-006, 1400000, 0, 0, 0
1.5000000, 3.383530E-006, 1500000, 0, 0, 0
1.6000000, 3.383669E-006, 1600000, 0, 0, 0
1.7000000, 3.383722E-006, 1700000, 0, 0, 0
1.8000000, 3.381306E-006, 1800000, 0, 0, 0
1.9000000, 3.381936E-006, 1900000, 0, 0, 0
2.0000000, 3.382840E-006, 2000000, 0, 0, 0
2.1000000, 3.381614E-006, 2100000, 0, 0, 0
2.2000000, 3.381490E-006, 2200000, 0, 0, 0
2.3000000, 3.381351E-006, 2300000, 0, 0, 0
2.4000000, 3.380357E-006, 2400000, 0, 0, 0
2.5000000, 3.381876E-006, 2500000, 0, 0, 0
2.6000000, 3.381655E-006, 2600000, 0, 0, 0
2.7000000, 3.379191E-006, 2700000, 0, 0, 0
2.8000000, 3.383680E-006, 2800000, 0, 0, 0
2.9000000, 3.384798E-006, 2900000, 0, 0, 0
3.0000000, 3.384071E-006, 3000000, 0, 0, 0
3.1000000, 3.382563E-006, 3100000, 0, 0, 0
3.2000000, 3.381719E-006, 3200000, 0, 0, 0
3.3000000, 3.381276E-006, 3300000, 0, 0, 0
3.4000000, 3.381302E-006, 3400000, 0, 0, 0
3.5000000, 3.381464E-006, 3500000, 0, 0, 0
3.6000000, 3.379941E-006, 3600000, 0, 0, 0
3.7000000, 3.379138E-006, 3700000, 0, 0, 0
3.8000000, 3.377507E-006, 3800000, 0, 0, 0
3.9000000, 3.376479E-006, 3900000, 0, 0, 0
4.0000000, 3.375365E-006, 4000000, 0, 0, 0
4.1000000, 3.376228E-006, 4100000, 0, 0, 0
4.2000000, 3.375598E-006, 4200000, 0, 0, 0
4.3000000, 3.375541E-006, 4300000, 0, 0, 0
4.4000000, 3.375598E-006, 4400010, 0, 0, 0
4.5000000, 3.375275E-006, 4500000, 0, 0, 0
4.6000000, 3.374378E-006, 4600000, 0, 0, 0
4.7000000, 3.374367E-006, 4700000, 0, 0, 0
4.8000000, 3.374153E-006, 4800000, 0, 0, 0
4.9000000, 3.376108E-006, 4900000, 0, 0, 0
5.0000000, 3.380376E-006, 5000000, 0, 0, 0
5.1000000, 3.381584E-006, 5100000, 0, 0, 0
5.2000000, 3.382375E-006, 5200000, 0, 0, 0
5.3000000, 3.382049E-006, 5300000, 0, 0, 0
5.4000000, 3.382229E-006, 5400000, 0, 0, 0
5.5000000, 3.381629E-006, 5500000, 0, 0, 0
5.6000000, 3.381606E-006, 5600000, 0, 0, 0
5.7000000, 3.381392E-006, 5700000, 0, 0, 0
5.8000000, 3.381021E-006, 5800000, 0, 0, 0
5.9000000, 3.381730E-006, 5900000, 0, 0, 0
6.0000000, 3.381557E-006, 6000000, 0, 0, 0
6.1000000, 3.377807E-006, 6100000, 0, 0, 0
6.2000000, 3.375942E-006, 6200000, 0, 0, 0
6.3000000, 3.377158E-006, 6300000, 0, 0, 0
6.4000000, 3.377964E-006, 6400000, 0, 0, 0
6.5000000, 3.377405E-006, 6500000, 0, 0, 0
6.6000000, 3.376749E-006, 6600000, 0, 0, 0
6.7000000, 3.376419E-006, 6700000, 0, 0, 0
6.8000000, 3.378238E-006, 6800000, 0, 0, 0
6.9000000, 3.378208E-006, 6900000, 0, 0, 0
7.0000000, 3.378591E-006, 7000000, 0, 0, 0
7.1000000, 3.378519E-006, 7100000, 0, 0, 0
7.2000000, 3.378891E-006, 7200000, 0, 0, 0
7.3000000, 3.379277E-006, 7300010, 0, 0, 0
7.4000000, 3.379101E-006, 7400010, 0, 0, 0
7.5000000, 3.379750E-006, 7500010, 0, 0, 0
7.6000000, 3.379581E-006, 7600010, 0, 0, 0
7.7000000, 3.378763E-006, 7700010, 0, 0, 0
7.8000000, 3.378617E-006, 7800010, 0, 0, 0
7.9000000, 3.379813E-006, 7900000, 0, 0, 0
8.0000000, 3.379075E-006, 8000010, 0, 0, 0
8.1000000, 3.378932E-006, 8100010, 0, 0, 0
8.2000000, 3.379146E-006, 8200010, 0, 0, 0
8.3000000, 3.378879E-006, 8300010, 0, 0, 0
8.4000000, 3.379281E-006, 8400010, 0, 0, 0
8.5000000, 3.379082E-006, 8500010, 0, 0, 0
8.6000000, 3.378452E-006, 8600010, 0, 0, 0
8.7000000, 3.378853E-006, 8700010, 0, 0, 0
8.8000000, 3.378954E-006, 8800010, 0, 0, 0
8.9000000, 3.379210E-006, 8900000, 0, 0, 0
9.0000000, 3.379090E-006, 9000010, 0, 0, 0
9.1000000, 3.378437E-006, 9100010, 0, 0, 0
9.2000000, 3.378369E-006, 9200000, 0, 0, 0
9.3000000, 3.377413E-006, 9300010, 0, 0, 0
9.4000000, 3.377863E-006, 9400000, 0, 0, 0
9.5000000, 3.377818E-006, 9500010, 0, 0, 0
9.6000000, 3.377000E-006, 9600010, 0, 0, 0
9.7000000, 3.377507E-006, 9700010, 0, 0, 0
9.8000000, 3.377975E-006, 9800010, 0, 0, 0
9.9000000, 3.376937E-006, 9900010, 0, 0, 0
10.0000000, 3.376899E-006, 10000010, 0, 0, 0
10.1000000, 3.377143E-006, 10100010, 0, 0, 0
10.2000000, 3.376284E-006, 10200010, 0, 0, 0
10.3000000, 3.376948E-006, 10300010, 0, 0, 0
10.4000000, 3.376453E-006, 10400010, 0, 0, 0
10.5000000, 3.375421E-006, 10500010, 0, 0, 0
10.6000000, 3.374420E-006, 10600010, 0, 0, 0
10.7000000, 3.374199E-006, 10700010, 0, 0, 0
10.8000000, 3.375162E-006, 10800010, 0, 0, 0
10.9000000, 3.374442E-006, 10900010, 0, 0, 0
11.0000000, 3.374712E-006, 11000010, 0, 0, 0
11.1000000, 3.374180E-006, 11100010, 0, 0, 0
