Meter S/N:, "0632B14R"
Sensor, THERMO,SINGLE, ENB065
Date, 8/1/2014 2:11:13 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0, 0.357148140668869, 0, 0, 0, 0, 1fdcb63e 0000 00000000 
1.6E-06, -0.828853249549866, 1, 32, NegativePower, 0, ba2f54bf 2000 01000000 
3.2E-06, -1.06605350971222, 2, 32, NegativePower, 0, 717488bf 2000 02000000 
4.8E-06, -0.397580027580261, 3, 32, NegativePower, 0, 9c8fcbbe 2000 03000000 
6.4E-06, 0.184638857841492, 4, 0, 0, 0, f8113d3e 0000 04000000 
8E-06, 0.464966475963593, 5, 0, 0, 0, 1610ee3e 0000 05000000 
9.6E-06, 0.400275468826294, 6, 0, 0, 0, e8f0cc3e 0000 06000000 
1.12E-05, -0.0309977643191814, 7, 32, NegativePower, 0, 06effdbc 2000 07000000 
1.28E-05, 0.335584491491318, 8, 0, 0, 0, bbd1ab3e 0000 08000000 
1.44E-05, 0.249329850077629, 9, 0, 0, 0, 53507f3e 0000 09000000 
1.6E-05, -0.0956887528300285, 10, 32, NegativePower, 0, 77f8c3bd 2000 0a000000 
1.76E-05, 0.292457163333893, 11, 0, 0, 0, f2bc953e 0000 0b000000 
1.92E-05, 0.0983842089772224, 12, 0, 0, 0, a97dc93d 0000 0c000000 
2.08E-05, 0.443402796983719, 13, 0, 0, 0, b105e33e 0000 0d000000 
2.24E-05, 0.615912079811096, 14, 0, 0, 0, 6aac1d3f 0000 0e000000 
2.4E-05, 0.378711819648743, 15, 0, 0, 0, 84e6c13e 0000 0f000000 
2.56E-05, -0.462271004915237, 16, 32, NegativePower, 0, c9aeecbe 2000 10000000 
2.72E-05, -0.958235263824463, 17, 32, NegativePower, 0, e84e75bf 2000 11000000 
2.88E-05, -0.721034944057465, 18, 32, NegativePower, 0, bf9538bf 2000 12000000 
3.04E-05, -0.0956887528300285, 19, 32, NegativePower, 0, 77f8c3bd 2000 13000000 
