Meter S/N:, None
Sensor, None, None, , 
Date, 2/19/2015 10:32:24 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, 4.264822E+000, 0, 32, UnderRange, 0
0.0000512, 4.255600E+000, 51, 32, UnderRange, 0
0.0001024, 1.064520E+002, 103, 1, TriggerDetected, 0
0.0001536, 1.883819E+002, 154, 16, OverRange, 0
0.0002048, 7.588677E+001, 205, 0, 0, 0
0.0002560, 4.258250E+000, 256, 32, UnderRange, 0
0.0003072, 4.251765E+000, 307, 32, UnderRange, 0
0.0003584, 4.246479E+000, 359, 32, UnderRange, 0
0.0004096, 4.239244E+000, 410, 32, UnderRange, 0
0.0004608, 4.243422E+000, 461, 32, UnderRange, 0
0.0005120, 4.255293E+000, 512, 32, UnderRange, 0
0.0005632, 4.252736E+000, 563, 32, UnderRange, 0
0.0006144, 4.249365E+000, 615, 32, UnderRange, 0
0.0006656, 4.249986E+000, 666, 32, UnderRange, 0
0.0007168, 4.255507E+000, 717, 32, UnderRange, 0
0.0007680, 4.247358E+000, 768, 32, UnderRange, 0
0.0008192, 4.253572E+000, 819, 32, UnderRange, 0
0.0008704, 4.261543E+000, 871, 32, UnderRange, 0
0.0009216, 4.262200E+000, 922, 32, UnderRange, 0
0.0009728, 4.258543E+000, 973, 32, UnderRange, 0
0.0010240, 4.265072E+000, 1024, 32, UnderRange, 0
0.0010752, 4.261229E+000, 1075, 32, UnderRange, 0
0.0011264, 1.739769E+002, 1127, 17, TriggerDetected| OverRange, 0
0.0011776, 1.883732E+002, 1178, 16, OverRange, 0
0.0012288, 6.840525E+000, 1229, 32, UnderRange, 0
0.0012800, 4.249215E+000, 1280, 32, UnderRange, 0
0.0013312, 4.253793E+000, 1331, 32, UnderRange, 0
0.0013824, 4.254679E+000, 1383, 32, UnderRange, 0
0.0014336, 4.240329E+000, 1434, 32, UnderRange, 0
0.0014848, 4.243079E+000, 1485, 32, UnderRange, 0
0.0015360, 4.249422E+000, 1536, 32, UnderRange, 0
0.0015872, 4.245136E+000, 1587, 32, UnderRange, 0
0.0016384, 4.247365E+000, 1639, 32, UnderRange, 0
0.0016896, 4.252322E+000, 1690, 32, UnderRange, 0
0.0017408, 4.251686E+000, 1741, 32, UnderRange, 0
0.0017920, 4.240943E+000, 1792, 32, UnderRange, 0
0.0018432, 4.246779E+000, 1843, 32, UnderRange, 0
0.0018944, 4.252201E+000, 1895, 32, UnderRange, 0
0.0019456, 4.250722E+000, 1946, 32, UnderRange, 0
0.0019968, 4.258429E+000, 1997, 32, UnderRange, 0
0.0020480, 4.265207E+000, 2048, 32, UnderRange, 0
0.0020992, 5.891072E+001, 2099, 1, TriggerDetected, 0
0.0021504, 1.883518E+002, 2151, 16, OverRange, 0
0.0022016, 1.234107E+002, 2202, 0, 0, 0
0.0022528, 4.249193E+000, 2253, 32, UnderRange, 0
0.0023040, 4.252229E+000, 2304, 32, UnderRange, 0
0.0023552, 4.253558E+000, 2355, 32, UnderRange, 0
0.0024064, 4.250194E+000, 2407, 32, UnderRange, 0
0.0024576, 4.246115E+000, 2458, 32, UnderRange, 0
0.0025088, 4.239886E+000, 2509, 32, UnderRange, 0
0.0025600, 4.239787E+000, 2560, 32, UnderRange, 0
0.0026112, 4.248500E+000, 2611, 32, UnderRange, 0
0.0026624, 4.254672E+000, 2663, 32, UnderRange, 0
0.0027136, 4.254100E+000, 2714, 32, UnderRange, 0
0.0027648, 4.252493E+000, 2765, 32, UnderRange, 0
0.0028160, 4.246387E+000, 2816, 32, UnderRange, 0
0.0028672, 4.245265E+000, 2867, 32, UnderRange, 0
0.0029184, 4.251972E+000, 2919, 32, UnderRange, 0
0.0029696, 4.253636E+000, 2970, 32, UnderRange, 0
0.0030208, 4.248929E+000, 3021, 32, UnderRange, 0
0.0030720, 4.246294E+000, 3072, 32, UnderRange, 0
0.0031232, 1.261373E+002, 3123, 1, TriggerDetected, 0
0.0031744, 1.883592E+002, 3175, 16, OverRange, 0
0.0032256, 5.467492E+001, 3226, 0, 0, 0
0.0032768, 4.249043E+000, 3277, 32, UnderRange, 0
0.0033280, 4.250408E+000, 3328, 32, UnderRange, 0
0.0033792, 4.255443E+000, 3379, 32, UnderRange, 0
0.0034304, 4.257658E+000, 3431, 32, UnderRange, 0
0.0034816, 4.252350E+000, 3482, 32, UnderRange, 0
0.0035328, 4.242844E+000, 3533, 32, UnderRange, 0
0.0035840, 4.249458E+000, 3584, 32, UnderRange, 0
0.0036352, 4.253622E+000, 3635, 32, UnderRange, 0
0.0036864, 4.253658E+000, 3687, 32, UnderRange, 0
0.0037376, 4.256814E+000, 3738, 32, UnderRange, 0
0.0037888, 4.253372E+000, 3789, 32, UnderRange, 0
0.0038400, 4.249872E+000, 3840, 32, UnderRange, 0
0.0038912, 4.241451E+000, 3891, 32, UnderRange, 0
0.0039424, 4.248179E+000, 3943, 32, UnderRange, 0
0.0039936, 4.250915E+000, 3994, 32, UnderRange, 0
0.0040448, 4.249979E+000, 4045, 32, UnderRange, 0
0.0040960, 9.861612E+000, 4096, 33, TriggerDetected| UnderRange, 0
0.0041472, 1.883691E+002, 4147, 16, OverRange, 0
0.0041984, 1.753886E+002, 4199, 16, OverRange, 0
0.0042496, 4.247079E+000, 4250, 32, UnderRange, 0
0.0043008, 4.249415E+000, 4301, 32, UnderRange, 0
0.0043520, 4.250629E+000, 4352, 32, UnderRange, 0
0.0044032, 4.253915E+000, 4403, 32, UnderRange, 0
0.0044544, 4.251329E+000, 4455, 32, UnderRange, 0
0.0045056, 4.245558E+000, 4506, 32, UnderRange, 0
0.0045568, 4.238272E+000, 4557, 32, UnderRange, 0
0.0046080, 4.247951E+000, 4608, 32, UnderRange, 0
0.0046592, 4.246458E+000, 4659, 32, UnderRange, 0
