ABindingInstanceHasAlreadyBeenAssociatedTo1,A binding instance has already been associated to listen URI '{0}'. If two endpoints want to share the same ListenUri, they must also share the same binding object instance. The two conflicting endpoints were either specified in AddServiceEndpoint() calls, in a config file, or a combination of AddServiceEndpoint() and config. 
AbstractBaseCall,Cannot call an abstract base member: '{0}'
Acc_CreateAbstEx,Cannot create an instance of {0} because it is an abstract class.
Acc_NotClassInit,Type initializer was not callable.
Acc_ReadOnly,Cannot set a constant field.
AcceptWebSocketTimedOutError,The operation to establish the WebSocket connection timed out. To increase this time limit, use the OpenTimeout property on the service endpoint's binding.
AccessCheckFailed,Could not perform an AccessCheck (error=0x{0:X}).
AccessDenied,Access is denied.
AccessorsCannotHaveByRefArgs,Accessor indexes cannot be passed ByRef.
AccessorsCannotHaveVarArgs,Accessor method should not have VarArgs.
AChannelServiceEndpointIsNull0,A Channel/Service Endpoint is null.
AChannelServiceEndpointSBindingIsNull0,A Channel/Service endpoint's Binding is null.
AChannelServiceEndpointSContractIsNull0,A Channel/Service endpoint's Contract is null.
AChannelServiceEndpointSContractSNameIsNull0,A Channel/Service endpoint's Contract's name is null or empty.
AChannelServiceEndpointSContractSNamespace0,A Channel/Service endpoint's Contract's namespace is null.
AcksToMustBeSameAsRemoteAddress,The remote endpoint requested an address for acknowledgements that is not the same as the address for application messages. The channel could not be opened because this is not supported. Ensure the endpoint address used to create the channel is identical to the one the remote endpoint was set up with.
AcksToMustBeSameAsRemoteAddressReason,The address for acknowledgements must be the same as the address for application messages. Verify that your endpoint is configured to use the same URI for these two addresses.
ActionFilterEmptyList,The set of actions cannot be empty.
ActionItemIsAlreadyScheduled,The ActionItem was already scheduled for execution that hasn't been completed yet.
ActivityCallback,Executing user callback.
ActivityClose,Close '{0}'.
ActivityCloseChannelFactory,Close ChannelFactory. Contract type: '{0}'.
ActivityCloseClientBase,Close ClientBase. Contract type: '{0}'.
ActivityCloseServiceHost,Close ServiceHost '{0}'.
ActivityConstructChannelFactory,Construct ChannelFactory. Contract type: '{0}'.
ActivityConstructServiceHost,Construct ServiceHost '{0}'.
ActivityExecuteAsyncMethod,Execute Async: Begin: '{0}.{1}'; End: '{2}.{3}'.
ActivityExecuteMethod,Execute '{0}.{1}'.
ActivityListenAt,Listen at '{0}'.
ActivityOpen,Open '{0}'.
ActivityOpenChannelFactory,Open ChannelFactory. Contract type: '{0}'.
ActivityOpenClientBase,Open ClientBase. Contract type: '{0}'.
ActivityOpenServiceHost,Open ServiceHost '{0}'.
ActivityProcessAction,Process action '{0}'.
ActivityProcessingMessage,Processing message {0}.
ActivityReadOnConnection,Reading data from connection on '{0}'.
ActivityReceiveAtVia,Receiving data at via '{0}'.
ActivityReceiveBytes,Receive bytes on connection '{0}'.
ActivitySecurityClose,Close Security Session.
ActivitySecurityRenew,Renew Secure Session.
ActivitySecuritySetup,Set up Secure Session.
ActivitySharedListenerConnection,Shared listener connection: '{0}'.
ActivitySocketConnection,Socket connection: '{0}'.
Addressing10ToStringFormat,Addressing10 ({0})
Addressing200408ToStringFormat,Addressing200408 ({0})
AddressingExtensionInBadNS,The element '{0}' in namespace '{1}' is not valid. This either means that element '{0}' is a duplicate element, or that it is not a legal extension because extension elements cannot be in the addressing namespace.
AddressingHeadersCannotBeAddedToAddressingVersion,Addressing Version '{0}' does not support adding WS-Addressing headers.
AddressingNoneToStringFormat,AddressingNone ({0})
AddressingVersionNotSupported,Addressing Version '{0}' is not supported.
AddressNotSpecified,The required address keyword was not specified.
AdminMTAWorkerThreadException,MTAWorkerThread exception
AggregateException_ctor_DefaultMessage,One or more errors occurred.
AggregateException_ctor_InnerExceptionNull,An element of innerExceptions was null.
AggregateException_ToString,{0}{1}---> (Inner Exception #{2}) {3}{4}{5}
AllCaseBodiesMustHaveSameType,All case bodies and the default body must have the same type.
AllTestValuesMustHaveSameType,All test values must have the same type.
AlternationCantCapture,Alternation conditions do not capture and cannot be named.
AlternationCantHaveComment,Alternation conditions cannot be comments.
AmbigBinaryOps,Operator '{0}' is ambiguous on operands of type '{1}' and '{2}'
AmbigCall,The call is ambiguous between the following methods or properties: '{0}' and '{1}'
AmbigMember,Ambiguity between '{0}' and '{1}'
AmbigUDConv,Ambiguous user defined conversions '{0}' and '{1}' when converting from '{2}' to '{3}'
AmbigUnaryOp,Operator '{0}' is ambiguous on an operand of type '{1}'
AmbiguousCast2,Conversion from type '{0}' to type '{1}' is ambiguous.
AmbiguousConnectivitySpec,Multiple link-local only interfaces detected.  Please specifiy the interface you require by using the ListenIpAddress attribute in the PeerTransportBindingElement
AmbiguousJump,Cannot jump to ambiguous label '{0}'.
AmbiguousMatchInExpandoObject,More than one key matching '{0}' was found in the ExpandoObject.
AnonymousLogonsAreNotAllowed,The service does not allow you to log on anonymously.
ApplicationNotFound,The configured application was not found. (The Application ID was {0}.)
Arg_AccessException,Cannot access member.
Arg_AmbiguousMatchException,Ambiguous match found.
Arg_ArgumentException,Value does not fall within the expected range.
Arg_ArgumentOutOfRangeException,Specified argument was out of the range of valid values.
Arg_ArithmeticException,Overflow or underflow in the arithmetic operation.
Arg_ArrayLengthsDiffer,Array lengths must be the same.
Arg_ArrayPlusOffTooSmall,Destination array is not long enough to copy all the items in the collection. Check array index and length.
Arg_ArrayTypeMismatchException,Attempted to access an element as a type incompatible with the array.
Arg_BadImageFormatException,Format of the executable (.exe) or library (.dll) is invalid.
Arg_BitArrayTypeUnsupported,Only supported array types for CopyTo on BitArrays are Boolean[], Int32[] and Byte[].
Arg_BogusIComparer,Unable to sort because the IComparer.Compare() method returns inconsistent results. Either a value does not compare equal to itself, or one value repeatedly compared to another value yields different results. IComparer: '{0}'.
Arg_BufferTooSmall,Not enough space available in the buffer.
Arg_CannotBeNaN,TimeSpan does not accept floating point Not-a-Number values.
Arg_CannotCreateNode,Cannot create node of type {0}.
Arg_CannotHaveNegativeValue,String cannot contain a minus sign if the base is not 10.
Arg_CopyNonBlittableArray,Arrays must contain only blittable data in order to be copied to unmanaged memory.
Arg_CopyOutOfRange,Requested range extends past the end of the array.
Arg_CriticalHandleCannotBeAbstract,'{0}' is abstract. CriticalHandle types must not be abstract to support marshaling CriticalHandles into managed code.
Arg_CriticalHandleMustHaveDefaultCtor,'{0}' does not have a default constructor. CriticalHandle types must have a default constructor to support marshaling CriticalHandles into managed code.
Arg_CriticalHandleReverse,CriticalHandle types cannot be used in signatures of methods called from native code.
Arg_CryptographyException,Error occurred during a cryptographic operation.
Arg_DataMisalignedException,A datatype misalignment was detected in a load or store instruction.
Arg_DateTimeRange,Combination of arguments to the DateTime constructor is out of the legal range.
Arg_DecBitCtor,Decimal byte array constructor requires an array of length four containing valid decimal bytes.
Arg_DefaultValueMissingException,Missing parameter does not have a default value.
Arg_DelegateTypeNotRecognized,Delegate type is not recognized.
Arg_DevicesNotSupported,FileStream will not open Win32 devices such as disk partitions and tape drives. Avoid use of '\\\\.\\' in the path.
Arg_DirectoryNotFoundException,Attempted to access a path that is not on the disk.
Arg_DivideByZero,Attempted to divide by zero.
Arg_DlgtNullInst,Delegate to an instance method cannot have null 'this'.
Arg_DlgtTargMeth,Cannot bind to the target method because its signature is not compatible with that of the delegate type.
Arg_DllNotFoundException,Dll was not found.
Arg_EmptyArray,Array may not be empty.
Arg_EndOfStreamException,Attempted to read past the end of the stream.
Arg_EnumAndObjectMustBeSameType,Object must be the same type as the enum. The type passed in was '{0}'; the enum type was '{1}'.
Arg_EnumFormatUnderlyingTypeAndObjectMustBeSameType,Enum underlying type and the object must be same type or object. Type passed in was '{0}'; the enum underlying type was '{1}'.
Arg_EnumIllegalVal,Illegal enum value: {0}.
Arg_EnumUnderlyingTypeAndObjectMustBeSameType,Enum underlying type and the object must be same type or object must be a String. Type passed in was '{0}'; the enum underlying type was '{1}'.
Arg_EnumValueNotFound,Requested value '{0}' was not found.
Arg_ExpectingXmlTextReader,The XmlReader passed in to construct this XmlValidatingReaderImpl must be an instance of a System.Xml.XmlTextReader.
Arg_FieldAccessException,Attempted to access a field that is not accessible by the caller.
Arg_FileIsDirectory_Name,The target file '{0}' is a directory, not a file.
Arg_FormatException,One of the identified items was in an invalid format.
Arg_GetMethNotFnd,Property Get method not found.
Arg_GuidArrayCtor,Byte array for GUID must be exactly {0} bytes long.
Arg_HandleNotAsync,Handle does not support asynchronous operations. The parameters to the FileStream constructor may need to be changed to indicate that the handle was opened synchronously (that is, it was not opened for overlapped I/O).
Arg_HandleNotSync,Handle does not support synchronous operations. The parameters to the FileStream constructor may need to be changed to indicate that the handle was opened asynchronously (that is, it was opened explicitly for overlapped I/O).
Arg_HexStyleNotSupported,The number style AllowHexSpecifier is not supported on floating point data types.
Arg_HSCapacityOverflow,HashSet capacity is too big.
Arg_HTCapacityOverflow,Hashtable's capacity overflowed and went negative. Check load factor, capacity and the current size of the table.
Arg_IncompatibleParamType,Type is incompatible.
Arg_IndexOutOfRangeException,Index was outside the bounds of the array.
Arg_InsufficientSpace,Insufficient space in the target location to copy the information.
Arg_InvalidANSIString,The ANSI string passed in could not be converted from the default ANSI code page to Unicode.
Arg_InvalidArrayType,Target array type is not compatible with the type of items in the collection.
Arg_InvalidBase,Invalid Base.
Arg_InvalidCastException,Specified cast is not valid.
Arg_InvalidComObjectException,Attempt has been made to use a COM object that does not have a backing class factory.
Arg_InvalidConsoleColor,The ConsoleColor enum value was not defined on that enum. Please use a defined color from the enum.
Arg_InvalidCustomTypeNameValue,Invalid custom TypeName value.
Arg_InvalidFileAttrs,Invalid File or Directory attributes value.
Arg_InvalidHandle,Invalid handle.
Arg_InvalidHexStyle,With the AllowHexSpecifier bit set in the enum bit field, the only other valid bits that can be combined into the enum value must be a subset of those in HexNumber.
Arg_InvalidOleVariantTypeException,Specified OLE variant was invalid.
Arg_InvalidOperationException,Operation is not valid due to the current state of the object.
Arg_InvalidRuntimeTypeHandle,Invalid RuntimeTypeHandle.
Arg_InvalidSearchPattern,Search pattern cannot contain '..' to move up directories and can be contained only internally in file/directory names, as in 'a..b'.
Arg_InvalidThreshold,maximumThreshold cannot be less than initialThreshold.
Arg_InvokeMethodMissingMetadata,Cannot create a delegate on type '{0}' as it is missing metadata for the Invoke method. For more information, please visit http://go.microsoft.com/fwlink/?LinkID=392859
Arg_IOException,I/O error occurred.
Arg_KeyNotFound,The given key was not present in the dictionary.
Arg_LongerThanSrcString,Source string was not long enough. Check sourceIndex and count.
Arg_LowerBoundsMustMatch,The arrays' lower bounds must be identical.
Arg_MarshalDirectiveException,Marshaling directives are invalid.
Arg_MethodAccessException,Attempt to access the method failed.
Arg_MethodAccessException_WithMethodName,Attempt to access the method '{0}' on type '{1}' failed.
Arg_MissingFieldException,Attempted to access a non-existing field.
Arg_MissingManifestResourceException,Unable to find manifest resource.
Arg_MissingMemberException,Attempted to access a missing member.
Arg_MissingMethodException,Attempted to access a missing method.
Arg_MultiRank,Multi dimension array is not supported on this operation.
Arg_MustBeBoolean,Object must be of type Boolean.
Arg_MustBeByte,Object must be of type Byte.
Arg_MustBeChar,Object must be of type Char.
Arg_MustBeDateTime,Object must be of type DateTime.
Arg_MustBeDateTimeOffset,Object must be of type DateTimeOffset.
Arg_MustBeDecimal,Object must be of type Decimal.
Arg_MustBeDelegate,Type must derive from Delegate.
Arg_MustBeDelegateType,Type must derive from Delegate.
Arg_MustBeDouble,Object must be of type Double.
Arg_MustBeEnum,Type provided must be an Enum.
Arg_MustBeEnumBaseTypeOrEnum,The value passed in must be an enum base or an underlying type for an enum, such as an Int32.
Arg_MustBeGuid,Object must be of type GUID.
Arg_MustBeInt16,Object must be of type Int16.
Arg_MustBeInt32,Object must be of type Int32.
Arg_MustBeInt64,Object must be of type Int64.
Arg_MustBePrimArray,Object must be an array of primitives.
Arg_MustBeSByte,Object must be of type SByte.
Arg_MustBeSingle,Object must be of type Single.
Arg_MustBeString,Object must be of type String.
Arg_MustBeStringPtrNotAtom,The pointer passed in as a String must not be in the bottom 64K of the process's address space.
Arg_MustBeTimeSpan,Object must be of type TimeSpan.
Arg_MustBeType,Type must be a type provided by the runtime.
Arg_MustBeUInt16,Object must be of type UInt16.
Arg_MustBeUInt32,Object must be of type UInt32.
Arg_MustBeUInt64,Object must be of type UInt64.
Arg_MustBeVersion,Object must be of type Version.
Arg_MustContainEnumInfo,Must specify valid information for parsing in the string.
Arg_NativeToManagedCall,Function has a parameter or return value of SafeHandle. Marshalling between a Windows HANDLE and .NET SafeHandle is not supported when a method is called from native code.
Arg_NeedAtLeast1Rank,Must provide at least one rank.
Arg_NeedNonNegNumRequired,Non-negative number required.
Arg_NeedsDefaultCtor,'{0}' does not have a default constructor. Subclasses of SafeHandle must have a default constructor to support marshaling a Windows HANDLE into managed code.
Arg_NegativeArgCount,Argument count must not be negative.
Arg_NoMarshalCreatedObjectUsedOutOfTreadContext,The Windows Runtime Object can only be used in the threading context where it was created, because it implements INoMarshal or has MarshalingBehaviorAttribute(MarshalingType.None) set.
Arg_NonZeroLowerBound,The lower bound of target array must be zero.
Arg_NotGenericMethodDefinition,{0} is not a GenericMethodDefinition. MakeGenericMethod may only be called on a method for which MethodBase.IsGenericMethodDefinition is true.
Arg_NotGenericParameter,Method may only be called on a Type for which Type.IsGenericParameter is true.
Arg_NotGenericTypeDefinition,{0} is not a GenericTypeDefinition. MakeGenericType may only be called on a type for which Type.IsGenericTypeDefinition is true.
Arg_NotImplementedException,The method or operation is not implemented.
Arg_NotImplementedInNonCoreApiSet,{0} is not implemented for non-CORE_API_SET builds.
Arg_NotIsomorphic,Object contains non-primitive or non-blittable data.
Arg_NotSupportedException,Specified method is not supported.
Arg_NotSupportedMultidim,Multi-dimensional arrays are not supported.
Arg_NotSupportedNonZeroLowerBound,Arrays with non-zero lower bounds are not supported.
Arg_NullReferenceException,Object reference not set to an instance of an object.
Arg_ObjObjEx,Object of type '{0}' cannot be converted to type '{1}'.
Arg_OleAutDateInvalid, Not a legal OleAut date.
Arg_OleAutDateScale,OleAut date did not convert to a DateTime correctly.
Arg_OutOfMemoryException,Insufficient memory to continue the execution of the program.
Arg_OutSafeHandleAsFieldNotSupported,Marshalling a Windows HANDLE to .NET SafeHandle within a structure field is not currently supported.
Arg_OverflowException,Arithmetic operation resulted in an overflow.
Arg_ParamName_Name,Parameter name: {0}
Arg_Path2IsRooted,Second path fragment must not be a drive or UNC name.
Arg_PathGlobalRoot,Paths that begin with \\\\?\\GlobalRoot are internal to the kernel and should not be opened by managed applications.
Arg_PathIllegal,The path is not of a legal form.
Arg_PathIllegalUNC,The UNC path should be of the form \\\\server\\share.
Arg_PathIsVolume,Path must not be a drive.
Arg_PlatformNotSupported,Operation is not supported on this platform.
Arg_RankException,Attempted to operate on an array with the incorrect number of dimensions.
Arg_RankIndices,Indices length does not match the array rank.
Arg_RankMultiDimNotSupported,Only single dimensional arrays are supported for the requested action.
Arg_RanksAndBounds,Number of lengths and lowerBounds must match.
Arg_RemoveArgNotFound,Cannot remove the specified item because it was not found in the specified Collection.
Arg_RemovedTypeInstantiated,A type that was removed by MCG dependency reduction has been instantiated.
Arg_SafeArrayRankMismatchException,Specified array was not of the expected rank.
Arg_SafeArrayTypeMismatchException,Specified array was not of the expected type.
Arg_SecurityException,Security error.
Arg_SetMethNotFnd,Property Set method not found.
Arg_SizeOfNonValueType,Marshal.SizeOf may only be used with value types.
Arg_SizeOfNoTypeSizeInfo,Marshal.SizeOf may only be used with blittable types and types used in the generic SizeOf<T> overload methods.
Arg_SurrogatesNotAllowedAsSingleChar,Unicode surrogate characters must be written out as pairs together in the same call, not individually. Consider passing in a character array instead.
Arg_SynchronizationLockException,Object synchronization method was called from an unsynchronized block of code.
Arg_SystemException,System error.
Arg_TargetInvocationException,Exception has been thrown by the target of an invocation.
Arg_TargetParameterCountException,Number of parameters specified does not match the expected number.
Arg_TimeoutException,The operation has timed out.
Arg_TypeAccessException,Attempt to access the type failed.
Arg_TypeLoadException,Failure has occurred while loading a type.
Arg_TypeLoadNullStr,A null or zero length string does not represent a valid Type.
Arg_UnauthorizedAccessException,Attempted to perform an unauthorized operation.
Arg_UnboundGenParam,Late bound operations cannot be performed on types or methods for which ContainsGenericParameters is true.
Arg_UnexpectedTypeKind,Unexpected TypeKind.
Arg_UnrecognizedTypeName,Unrecognized type name.
Arg_VariantTypeNotSupported,Marshal for the specified variant type {0} not supported.
Arg_VersionString,Version string portion was too short or too long.
Arg_WrongAsyncResult,IAsyncResult object did not come from the corresponding async method on this type.
Arg_WrongType,The value '{0}' is not of type '{1}' and cannot be used in this generic collection.
ArgCntMustBeGreaterThanNameCnt,Argument count must be greater than number of named arguments.
Argument_AddAttribute,An attribute cannot be added to content.
Argument_AddingDuplicate,An item with the same key has already been added.
Argument_AddingDuplicate__,Item has already been added. Key in dictionary: '{0}'  Key being added: '{1}'
Argument_AddNode,A node of type {0} cannot be added to content.
Argument_AddNonWhitespace,Non white space characters cannot be added to content.
Argument_AdjustmentRulesNoNulls,The AdjustmentRule array cannot contain null elements.
Argument_AdjustmentRulesOutOfOrder,The elements of the AdjustmentRule array must be in chronological order and must not overlap.
Argument_ArrayTooLarge,The input array length must not exceed Int32.MaxValue / {0}. Otherwise BitArray.Length would exceed Int32.MaxValue.
Argument_AssemblyGetTypeCannotSpecifyAssembly,Type names passed to Assembly.GetType() must not specify an assembly.
Argument_BadFormatSpecifier,Format specifier was invalid.
Argument_BufferIndexExceedsCapacity,The specified buffer index is not within the buffer capacity.
Argument_BufferLengthExceedsCapacity,The specified useful data length exceeds the capacity of this buffer.
Argument_CollectionIndex,Collection index must be in the range 1 to the size of the collection.
Argument_CompareOptionOrdinal,CompareOption.Ordinal cannot be used with other options.
Argument_ConflictingDateTimeRoundtripStyles,The DateTimeStyles value RoundtripKind cannot be used with the values AssumeLocal, AssumeUniversal or AdjustToUniversal.
Argument_ConflictingDateTimeStyles,The DateTimeStyles values AssumeLocal and AssumeUniversal cannot be used together.
Argument_ConstraintFailed,'{0}', on '{1}' violates the constraint of type '{2}'.
Argument_ConversionOverflow,Conversion buffer overflow.
Argument_ConvertMismatch,The conversion could not be completed because the supplied DateTime did not have the Kind property set correctly.  For example, when the Kind property is DateTimeKind.Local, the source time zone must be TimeZoneInfo.Local.
Argument_ConvertToString,The argument cannot be converted to a string.
Argument_CreateNavigator,This XPathNavigator cannot be created on a node of type {0}.
Argument_CultureInvalidIdentifier,{0} is an invalid culture identifier.
Argument_CultureNotSupported,Culture is not supported.
Argument_DateTimeBadBinaryData,The binary data must result in a DateTime with ticks between DateTime.MinValue.Ticks and DateTime.MaxValue.Ticks.
Argument_DateTimeHasTicks,The supplied DateTime must have the Year, Month, and Day properties set to 1.  The time cannot be specified more precisely than whole milliseconds.
Argument_DateTimeHasTimeOfDay,The supplied DateTime includes a TimeOfDay setting.   This is not supported.
Argument_DateTimeIsInvalid,The supplied DateTime represents an invalid time.  For example, when the clock is adjusted forward, any time in the period that is skipped is invalid.
Argument_DateTimeIsNotAmbiguous,The supplied DateTime is not in an ambiguous time range.
Argument_DateTimeKindMustBeUnspecified,The supplied DateTime must have the Kind property set to DateTimeKind.Unspecified.
Argument_DateTimeOffsetInvalidDateTimeStyles,The DateTimeStyles value 'NoCurrentDateDefault' is not allowed when parsing DateTimeOffset.
Argument_DateTimeOffsetIsNotAmbiguous,The supplied DateTimeOffset is not in an ambiguous time range.
Argument_EmptyDecString,Decimal separator cannot be the empty string.
Argument_EmptyFileName,Empty file name is not legal.
Argument_EmptyName,Empty name is not legal.
Argument_EmptyPath,Empty path name is not legal.
Argument_EmptyWaithandleArray,Waithandle array may not be empty.
Argument_EncoderFallbackNotEmpty,Must complete Convert() operation or call Encoder.Reset() before calling GetBytes() or GetByteCount(). Encoder '{0}' fallback '{1}'.
