Meter S/N:, "REV_DA_13"
Sensor, PYRO,NOSPEC, 443
Date, 10/29/2014 4:49:57 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 8.67867584020132E-06, 0, 0, 0, 10000
1E-07, 8.72722193889786E-06, 1, 0, 0, 10000
2E-07, 8.74917168403044E-06, 2, 0, 0, 10000
3E-07, 8.67675316840177E-06, 3, 0, 0, 10000
4E-07, 8.70094663696364E-06, 4, 0, 0, 10000
5E-07, 8.74068064149469E-06, 5, 0, 0, 10000
6E-07, 8.65288075146964E-06, 6, 0, 0, 10000
7E-07, 8.67867584020132E-06, 7, 0, 0, 10000
8E-07, 8.71760948939482E-06, 8, 0, 0, 10000
9E-07, 8.74308352649678E-06, 9, 0, 0, 10000
1E-06, 8.6770742200315E-06, 10, 0, 0, 10001
1.1E-06, 8.69726136443205E-06, 11, 0, 0, 10000
1.2E-06, 8.73395129019627E-06, 12, 0, 0, 10000
1.3E-06, 8.63637887960067E-06, 13, 0, 0, 10000
1.4E-06, 8.67130620463286E-06, 14, 0, 0, 10000
1.5E-06, 8.71680822456256E-06, 15, 0, 0, 10000
1.6E-06, 8.74676879902836E-06, 16, 0, 0, 10000
1.7E-06, 8.66585833136924E-06, 17, 0, 0, 10000
1.8E-06, 8.69806262926431E-06, 18, 0, 0, 10000
1.9E-06, 8.72610053193057E-06, 19, 0, 0, 10000
2E-06, 8.7680773503962E-06, 20, 0, 0, 10000
2.1E-06, 8.67226754053263E-06, 21, 0, 0, 10000
2.2E-06, 8.7121616161312E-06, 22, 0, 0, 10000
2.3E-06, 8.7408407125622E-06, 23, 0, 0, 10000
2.4E-06, 8.66377558850218E-06, 24, 0, 0, 10000
2.5E-06, 8.69165342010092E-06, 25, 0, 0, 10000
2.6E-06, 8.73234876053175E-06, 26, 0, 0, 10000
2.7E-06, 8.76311059982982E-06, 27, 0, 0, 10000
2.8E-06, 8.67290873429738E-06, 28, 0, 0, 10001
2.9E-06, 8.71616703079781E-06, 29, 0, 0, 10000
3E-06, 8.73571389092831E-06, 30, 0, 0, 10000
3.1E-06, 8.65576475916896E-06, 31, 0, 0, 10000
3.2E-06, 8.68604638526449E-06, 32, 0, 0, 10000
3.3E-06, 8.71937118063215E-06, 33, 0, 0, 10000
3.4E-06, 8.75686237122864E-06, 34, 0, 0, 10000
3.5E-06, 8.67403014126467E-06, 35, 0, 0, 10000
3.6E-06, 8.69774248712929E-06, 36, 0, 0, 10000
3.7E-06, 8.72738200996537E-06, 37, 0, 0, 10000
3.8E-06, 8.65143920236733E-06, 38, 0, 0, 10000
3.9E-06, 8.68428378453245E-06, 39, 0, 0, 10000
4E-06, 8.71360316523351E-06, 40, 0, 0, 10000
4.1E-06, 8.75461955729406E-06, 41, 0, 0, 10000
4.2E-06, 8.65560468810145E-06, 42, 0, 0, 10000
4.3E-06, 8.69597988639725E-06, 43, 0, 0, 10000
4.4E-06, 8.71953125169966E-06, 44, 0, 0, 10000
4.5E-06, 8.6471136455657E-06, 45, 0, 0, 10001
4.6E-06, 8.67370908963494E-06, 46, 0, 0, 10000
4.7E-06, 8.7095977505669E-06, 47, 0, 0, 10000
4.8E-06, 8.7550997704966E-06, 48, 0, 0, 10000
4.9E-06, 8.66185291670263E-06, 49, 0, 0, 10000
5E-06, 8.70062558533391E-06, 50, 0, 0, 10000
5.1E-06, 8.72209511726396E-06, 51, 0, 0, 10000
5.2E-06, 8.77769070939394E-06, 52, 0, 0, 10000
5.3E-06, 8.66681966726901E-06, 53, 0, 0, 10000
5.4E-06, 8.71264273882844E-06, 54, 0, 0, 10000
5.5E-06, 8.74997294886271E-06, 55, 0, 0, 10000
5.6E-06, 8.65961010276806E-06, 56, 0, 0, 10000
5.7E-06, 8.69678115122952E-06, 57, 0, 0, 10000
5.8E-06, 8.72193504619645E-06, 58, 0, 0, 10000
5.9E-06, 8.75574096426135E-06, 59, 0, 0, 10000
6E-06, 8.66233403939987E-06, 60, 0, 0, 10000
6.1E-06, 8.70623352966504E-06, 61, 0, 0, 10000
6.2E-06, 8.73987937666243E-06, 62, 0, 0, 10000
6.3E-06, 8.6511190602323E-06, 63, 0, 0, 10001
6.4E-06, 8.69069208420115E-06, 64, 0, 0, 10000
6.5E-06, 8.7174485088326E-06, 65, 0, 0, 10000
6.6E-06, 8.7589451140957E-06, 66, 0, 0, 10000
6.7E-06, 8.67274775373517E-06, 67, 0, 0, 10000
6.8E-06, 8.70014537213137E-06, 68, 0, 0, 10000
6.9E-06, 8.74228226166451E-06, 69, 0, 0, 10000
7E-06, 8.64358844410162E-06, 70, 0, 0, 10000
7.1E-06, 8.69197447173065E-06, 71, 0, 0, 10000
7.2E-06, 8.71937118063215E-06, 72, 0, 0, 10000
7.3E-06, 8.75718251336366E-06, 73, 0, 0, 10000
7.4E-06, 8.66105256136507E-06, 74, 0, 0, 10000
7.5E-06, 8.69565883476753E-06, 75, 0, 0, 10000
7.6E-06, 8.73747649166035E-06, 76, 0, 0, 10000
7.7E-06, 8.75670230016112E-06, 77, 0, 0, 10000
7.8E-06, 8.686206456332E-06, 78, 0, 0, 10000
7.9E-06, 8.70719486556482E-06, 79, 0, 0, 10000
8E-06, 8.75141540745972E-06, 80, 0, 0, 10000
8.1E-06, 8.66169284563512E-06, 81, 0, 0, 10001
8.2E-06, 8.69565883476753E-06, 82, 0, 0, 10000
8.3E-06, 8.72898453962989E-06, 83, 0, 0, 10000
8.4E-06, 8.75782370712841E-06, 84, 0, 0, 10000
8.5E-06, 8.68844927026657E-06, 85, 0, 0, 10000
8.6E-06, 8.7070347944973E-06, 86, 0, 0, 10000
8.7E-06, 8.75205569172977E-06, 87, 0, 0, 10000
8.8E-06, 8.6562458818662E-06, 88, 0, 0, 10000
8.9E-06, 8.6991840362316E-06, 89, 0, 0, 10000
9E-06, 8.72658165462781E-06, 90, 0, 0, 10000
9.1E-06, 8.7459675341961E-06, 91, 0, 0, 10000
9.2E-06, 8.67803555593127E-06, 92, 0, 0, 10000
9.3E-06, 8.70286930876318E-06, 93, 0, 0, 10000
9.4E-06, 8.74516626936384E-06, 94, 0, 0, 10000
9.5E-06, 8.65288075146964E-06, 95, 0, 0, 10000
9.6E-06, 8.68925053509884E-06, 96, 0, 0, 10000
9.7E-06, 8.71600695973029E-06, 97, 0, 0, 10000
9.8E-06, 8.74372472026153E-06, 98, 0, 0, 10000
9.9E-06, 8.66185291670263E-06, 99, 0, 0, 10001
1E-05, 8.70126677909866E-06, 100, 0, 0, 10000
1.01E-05, 8.73987937666243E-06, 101, 0, 0, 10000
1.02E-05, 8.6458312580362E-06, 102, 0, 0, 10000
1.03E-05, 8.68524512043223E-06, 103, 0, 0, 10000
1.04E-05, 8.72209511726396E-06, 104, 0, 0, 10000
1.05E-05, 8.73843691806542E-06, 105, 0, 0, 10000
1.06E-05, 8.66265418153489E-06, 106, 0, 0, 10000
1.07E-05, 8.69437735673273E-06, 107, 0, 0, 10000
1.08E-05, 8.72433793119853E-06, 108, 0, 0, 10000
1.09E-05, 8.64406865730416E-06, 109, 0, 0, 10000
1.1E-05, 8.67050493980059E-06, 110, 0, 0, 10000
1.11E-05, 8.7147254816955E-06, 111, 0, 0, 10000
1.12E-05, 8.73507269716356E-06, 112, 0, 0, 10000
1.13E-05, 8.65416313899914E-06, 113, 0, 0, 10000
1.14E-05, 8.68796905706404E-06, 114, 0, 0, 10000
1.15E-05, 8.72930468176492E-06, 115, 0, 0, 10000
1.16E-05, 8.76327158039203E-06, 116, 0, 0, 10000
1.17E-05, 8.67787548486376E-06, 117, 0, 0, 10001
1.18E-05, 8.72065356816165E-06, 118, 0, 0, 10000
1.19E-05, 8.7304260887322E-06, 119, 0, 0, 10000
1.2E-05, 8.65512447489891E-06, 120, 0, 0, 10000
1.21E-05, 8.69101313583087E-06, 121, 0, 0, 10000
1.22E-05, 8.71969223226188E-06, 122, 0, 0, 10000
1.23E-05, 8.75622117746389E-06, 123, 0, 0, 10000
1.24E-05, 8.67082508193562E-06, 124, 0, 0, 10000
1.25E-05, 8.71055908646667E-06, 125, 0, 0, 10000
1.26E-05, 8.73074714036193E-06, 126, 0, 0, 10000
1.27E-05, 8.64631238073343E-06, 127, 0, 0, 10000
1.28E-05, 8.6770742200315E-06, 128, 0, 0, 10000
1.29E-05, 8.71921110956464E-06, 129, 0, 0, 10000
1.3E-05, 8.75189562066225E-06, 130, 0, 0, 10000
1.31E-05, 8.65704714669846E-06, 131, 0, 0, 10000
1.32E-05, 8.70767598826205E-06, 132, 0, 0, 10000
1.33E-05, 8.73699536896311E-06, 133, 0, 0, 10000
1.34E-05, 8.6394229583675E-06, 134, 0, 0, 10001
1.35E-05, 8.67675316840177E-06, 135, 0, 0, 10000
1.36E-05, 8.713443094166E-06, 136, 0, 0, 10000
1.37E-05, 8.75269688549452E-06, 137, 0, 0, 10000
1.38E-05, 8.64679259393597E-06, 138, 0, 0, 10000
1.39E-05, 8.69325594976544E-06, 139, 0, 0, 10000
1.4E-05, 8.73186854732921E-06, 140, 0, 0, 10000
1.41E-05, 8.76855847309344E-06, 141, 0, 0, 10000
1.42E-05, 8.667941983731E-06, 142, 0, 0, 10000
1.43E-05, 8.71600695973029E-06, 143, 0, 0, 10000
1.44E-05, 8.75477962836158E-06, 144, 0, 0, 10000
1.45E-05, 8.64823505253298E-06, 145, 0, 0, 10000
1.46E-05, 8.70126677909866E-06, 146, 0, 0, 10000
1.47E-05, 8.72209511726396E-06, 147, 0, 0, 10000
1.48E-05, 8.7589451140957E-06, 148, 0, 0, 10000
1.49E-05, 8.6732288764324E-06, 149, 0, 0, 10000
1.5E-05, 8.71184147399617E-06, 150, 0, 0, 10000
1.51E-05, 8.75141540745972E-06, 151, 0, 0, 10000
1.52E-05, 8.64038429426728E-06, 152, 0, 0, 10001
1.53E-05, 8.69069208420115E-06, 153, 0, 0, 10000
1.54E-05, 8.71584688866278E-06, 154, 0, 0, 10000
1.55E-05, 8.76391186466208E-06, 155, 0, 0, 10000
1.56E-05, 8.667941983731E-06, 156, 0, 0, 10000
1.57E-05, 8.70463100000052E-06, 157, 0, 0, 10000
1.58E-05, 8.7459675341961E-06, 158, 0, 0, 10000
1.59E-05, 8.63734021550044E-06, 159, 0, 0, 10000
1.6E-05, 8.6913332779659E-06, 160, 0, 0, 10000
1.61E-05, 8.71937118063215E-06, 161, 0, 0, 10000
1.62E-05, 8.75093428476248E-06, 162, 0, 0, 10000
1.63E-05, 8.66377558850218E-06, 163, 0, 0, 10000
1.64E-05, 8.6953386926325E-06, 164, 0, 0, 10000
1.65E-05, 8.73379121912876E-06, 165, 0, 0, 10000
1.66E-05, 8.63750028656796E-06, 166, 0, 0, 10000
1.67E-05, 8.68011829879833E-06, 167, 0, 0, 10000
1.68E-05, 8.71456450113328E-06, 168, 0, 0, 10000
1.69E-05, 8.74708894116338E-06, 169, 0, 0, 10000
1.7E-05, 8.66121263243258E-06, 170, 0, 0, 10001
1.71E-05, 8.68476399773499E-06, 171, 0, 0, 10000
1.72E-05, 8.74292345542926E-06, 172, 0, 0, 10000
1.73E-05, 8.76006652106298E-06, 173, 0, 0, 10000
1.74E-05, 8.68316237756517E-06, 174, 0, 0, 10000
1.75E-05, 8.71296288096346E-06, 175, 0, 0, 10000
1.76E-05, 8.74035958986497E-06, 176, 0, 0, 10000
1.77E-05, 8.64438970893389E-06, 177, 0, 0, 10000
1.78E-05, 8.68828919919906E-06, 178, 0, 0, 10000
1.79E-05, 8.73315002536401E-06, 179, 0, 0, 10000
1.8E-05, 8.75413843459683E-06, 180, 0, 0, 10000
1.81E-05, 8.66617938299896E-06, 181, 0, 0, 10000
1.82E-05, 8.71023894433165E-06, 182, 0, 0, 10000
1.83E-05, 8.73122735356446E-06, 183, 0, 0, 10000
1.84E-05, 8.64631238073343E-06, 184, 0, 0, 10000
1.85E-05, 8.67258768266765E-06, 185, 0, 0, 10000
1.86E-05, 8.72994587552967E-06, 186, 0, 0, 10000
1.87E-05, 8.75221576279728E-06, 187, 0, 0, 10000
1.88E-05, 8.66521804709919E-06, 188, 0, 0, 10001
1.89E-05, 8.70110670803115E-06, 189, 0, 0, 10000
1.9E-05, 8.74052057042718E-06, 190, 0, 0, 10000
1.91E-05, 8.65336187416688E-06, 191, 0, 0, 10000
1.92E-05, 8.6732288764324E-06, 192, 0, 0, 10000
1.93E-05, 8.72834334586514E-06, 193, 0, 0, 10000
1.94E-05, 8.75558089319384E-06, 194, 0, 0, 10000
1.95E-05, 8.6640966401319E-06, 195, 0, 0, 10000
1.96E-05, 8.69966424943414E-06, 196, 0, 0, 10000
1.97E-05, 8.73411136126379E-06, 197, 0, 0, 10000
1.98E-05, 8.6471136455657E-06, 198, 0, 0, 10000
1.99E-05, 8.67419021233218E-06, 199, 0, 0, 10000
2E-05, 8.71712836669758E-06, 200, 0, 0, 10000
2.01E-05, 8.73891804076266E-06, 201, 0, 0, 10000
2.02E-05, 8.66585833136924E-06, 202, 0, 0, 10000
2.03E-05, 8.69037194206612E-06, 203, 0, 0, 10000
2.04E-05, 8.7304260887322E-06, 204, 0, 0, 10000
2.05E-05, 8.76791727932869E-06, 205, 0, 0, 10000
2.06E-05, 8.67370908963494E-06, 206, 0, 0, 10001
2.07E-05, 8.70158692123368E-06, 207, 0, 0, 10000
2.08E-05, 8.75237674335949E-06, 208, 0, 0, 10000
2.09E-05, 8.64535104483366E-06, 209, 0, 0, 10000
2.1E-05, 8.69053201313363E-06, 210, 0, 0, 10000
2.11E-05, 8.72065356816165E-06, 211, 0, 0, 10000
2.12E-05, 8.77176262292778E-06, 212, 0, 0, 10000
2.13E-05, 8.66553818923421E-06, 213, 0, 0, 10000
2.14E-05, 8.70158692123368E-06, 214, 0, 0, 10000
2.15E-05, 8.7368352978956E-06, 215, 0, 0, 10000
2.16E-05, 8.64663252286846E-06, 216, 0, 0, 10000
2.17E-05, 8.68700772116426E-06, 217, 0, 0, 10000
2.18E-05, 8.71696829563007E-06, 218, 0, 0, 10000
2.19E-05, 8.76166905072751E-06, 219, 0, 0, 10000
2.2E-05, 8.65672609506873E-06, 220, 0, 0, 10000
2.21E-05, 8.70222811499843E-06, 221, 0, 0, 10000
2.22E-05, 8.7225762399612E-06, 222, 0, 0, 10000
2.23E-05, 8.64551111590117E-06, 223, 0, 0, 10001
2.24E-05, 8.68412371346494E-06, 224, 0, 0, 10000
2.25E-05, 8.7108801380964E-06, 225, 0, 0, 10000
