Meter S/N:, "REV-DA_7"
Sensor, PYRO,NOSPEC, 443
Date, 10/22/2014 1:39:05 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 7.09732694303966E-06, 0, 0, 0, 500
1E-07, 7.10261383574107E-06, 1, 0, 0, 500
2E-07, 7.08963625584147E-06, 2, 0, 0, 500
3E-07, 7.0835480983078E-06, 3, 0, 0, 500
4E-07, 7.08082416167599E-06, 4, 0, 0, 500
5E-07, 7.07377466824255E-06, 5, 0, 0, 500
6E-07, 7.08931565895909E-06, 6, 0, 0, 500
7E-07, 7.07553726897459E-06, 7, 0, 0, 500
8E-07, 7.06127775629284E-06, 8, 0, 0, 500
9E-07, 7.07441540725995E-06, 9, 0, 0, 500
1E-06, 7.06784658177639E-06, 10, 0, 0, 500
1.1E-06, 7.05006232237793E-06, 11, 0, 0, 500
1.2E-06, 7.06704577169148E-06, 12, 0, 0, 500
1.3E-06, 7.05727234162623E-06, 13, 0, 0, 500
1.4E-06, 7.05214551999234E-06, 14, 0, 0, 500
1.5E-06, 7.04749891156098E-06, 15, 0, 0, 500
1.6E-06, 7.03516207067878E-06, 16, 0, 0, 500
1.7E-06, 7.03468140272889E-06, 17, 0, 0, 500
1.8E-06, 7.04349349689437E-06, 18, 0, 0, 500
1.9E-06, 7.03083651387715E-06, 19, 0, 0, 500
2E-06, 7.02474790159613E-06, 20, 0, 0, 500
2.1E-06, 7.01930048307986E-06, 21, 0, 0, 500
2.2E-06, 7.02346642356133E-06, 22, 0, 0, 500
2.3E-06, 7.02474790159613E-06, 23, 0, 0, 500
2.4E-06, 7.01481440046337E-06, 24, 0, 0, 500
2.5E-06, 7.00568216416286E-06, 25, 0, 0, 500
2.6E-06, 7.00920691087958E-06, 26, 0, 0, 500
2.7E-06, 7.00119608154637E-06, 27, 0, 0, 500
2.8E-06, 6.9866164267296E-06, 28, 0, 0, 500
2.9E-06, 6.987257165747E-06, 29, 0, 0, 500
3E-06, 6.99462725606281E-06, 30, 0, 0, 500
3.1E-06, 6.99382599123055E-06, 31, 0, 0, 500
3.2E-06, 6.97764426149661E-06, 32, 0, 0, 500
3.3E-06, 6.97780433256412E-06, 33, 0, 0, 500
3.4E-06, 6.97331824994762E-06, 34, 0, 0, 500
3.5E-06, 6.97283758199774E-06, 35, 0, 0, 500
3.6E-06, 6.97299765306525E-06, 36, 0, 0, 500
3.7E-06, 6.95969947628328E-06, 37, 0, 0, 500
3.8E-06, 6.95425251251436E-06, 38, 0, 0, 500
3.9E-06, 6.95969947628328E-06, 39, 0, 0, 500
4E-06, 6.96066081218305E-06, 40, 0, 0, 500
4.1E-06, 6.949605904083E-06, 41, 0, 0, 500
4.2E-06, 6.94095433573239E-06, 42, 0, 0, 500
4.3E-06, 6.9411144067999E-06, 43, 0, 0, 500
4.4E-06, 6.93566698828363E-06, 44, 0, 0, 500
4.5E-06, 6.93278298058431E-06, 45, 0, 0, 500
4.6E-06, 6.93070023771725E-06, 46, 0, 0, 500
4.7E-06, 6.93742958901566E-06, 47, 0, 0, 500
4.8E-06, 6.935987585166E-06, 48, 0, 0, 500
4.9E-06, 6.92108733346686E-06, 49, 0, 0, 500
5E-06, 7.10389576852322E-06, 50, 0, 0, 500
5.1E-06, 7.10325502950582E-06, 51, 0, 0, 500
5.2E-06, 7.09972982804175E-06, 52, 0, 0, 500
