Meter S/N:," ""REV-DA_7""",,,,,,
Sensor, THERMO,QUAD, x1,,,,
Date, 10/20/2014 6:39:05 PM,,,,,,
Units, W,,,,,,
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
0,0.031801943,2.350236416,0.978009045,0,0,0,0
0.1,0.031551462,2.338275194,-0.183518559,100000,0,0,0
0.2,0.033128709,1.077587008,1.002217174,200000,0,0,0
0.3,0.031607039,0.74354285,0.870684266,300000,0,0,0
0.4,0.032222707,1.176310539,0.828093767,400000,0,0,0
0.5,0.033025961,1.295379281,0.064023532,500000,0,0,0
0.6,0.032499202,2.391098022,1.52832377,600000,0,0,0
0.7,0.033190563,1.235588431,-0.122141719,700000,0,0,0
0.8,0.032807272,1.856956005,1.015002131,800000,0,0,0
0.9,0.032538556,1.317925572,-0.035616897,900000,0,0,0
1,0.033163264,1.274046302,0.512413263,1000000,0,0,0
1.1,0.032308843,1.010521531,1.172661543,1100000,0,0,0
1.2,0.031437393,1.569663644,0.094025575,1200010,0,0,0
1.3,0.030962711,1.472108841,0.416185319,1300000,0,0,0
1.4,0.035904657,1.426804662,1.357289195,1400000,0,0,0
1.5,0.033613343,1.35243237,0.309031814,1500000,0,0,0
1.6,0.032654244,2.133369684,-0.142706767,1600000,0,0,0
1.7,0.030424055,1.241169691,0.323191732,1700000,0,0,0
1.8,0.032171022,1.101771116,-0.23881273,1800000,0,0,0
1.9,0.032737255,0.171035469,0.405734122,1900000,0,0,0
2,0.032707922,1.128942251,1.07273674,2000000,0,0,0
2.1,0.035296362,2.033332586,0.200032413,2100000,0,0,0
2.2,0.032124124,1.396136165,0.37096405,2200000,0,0,0
2.3,0.031188706,1.397105455,0.416288555,2300000,0,0,0
2.4,0.032635566,1.432425737,1.37688756,2400000,0,0,0
2.5,0.033604577,0.29083994,0.397618711,2500000,0,0,0
2.6,0.0309722,0.905157447,0.725949228,2600000,0,0,0
2.7,0.033363219,1.154288173,-0.019410068,2700000,0,0,0
2.8,0.031806827,0.28342694,0.422109574,2800000,0,0,0
2.9,0.033539787,1.829784393,0.594349861,2900000,0,0,0
3,0.03104729,0.864568591,0.665051699,3000010,0,0,0
3.1,0.036533974,0.194117934,1.410275221,3100010,0,0,0
3.2,0.0335529,1.109740376,-0.488811731,3200020,0,0,0
3.3,0.04074847,-1.999474406,0.510539532,3300010,0,0,0
3.4,0.051641643,-2.998894691,-0.45328632,3400000,0,0,0
3.5,0.058379196,-3.529951334,-1.138663769,3500010,0,0,0
3.6,0.067314185,-2.912096977,-1.513504148,3600010,0,0,0
3.7,0.076078758,-3.288920641,-1.548485637,3700010,0,0,0
3.8,0.080526754,-2.887206554,-1.692046046,3800010,0,0,0
3.9,0.090229012,-2.359246254,-1.406277418,3900000,0,0,0
4,0.091148376,-1.987841487,-1.847978234,4000000,0,0,0
4.1,0.097275823,-2.032441378,-1.799866557,4100010,0,0,0
4.2,0.103351936,-1.59805274,-1.738260746,4200010,0,0,0
4.3,0.106397212,-1.443695545,-1.885760665,4300000,0,0,0
4.4,0.111065835,-1.609945178,-1.617872,4400000,0,0,0
4.5,0.115233079,-1.124838471,-1.738959551,4500000,0,0,0
4.6,0.116094351,-0.845209837,-2.02011919,4600010,0,0,0
4.7,0.119496271,-0.949905097,-1.913770914,4700010,0,0,0
4.8,0.120778739,-0.835830927,-1.902445912,4800010,0,0,0
4.9,0.122302338,-0.608162403,-1.934988976,4900010,0,0,0
5,0.125298455,-0.353954494,-2.031804323,5000010,0,0,0
