"Not_Serialized"
2013 May 08 13:04
Sample #,"Not_Serialized":Value
0,1.073E-8
1,1.146E-8
2,6.281E-9
3,1.608E-9
4,9.762E-9
5,1.714E-8
6,7.534E-9
7,1.842E-8
8,1.405E-8
9,9.332E-9
10,1.157E-8
11,1.590E-8
12,4.652E-9
13,7.354E-9
14,6.382E-9
15,1.072E-8
16,1.808E-8
17,1.006E-8
18,1.252E-8
19,1.458E-8
20,1.021E-8
21,8.713E-9
22,8.178E-9
23,1.493E-8
24,1.568E-8
25,2.150E-8
26,1.359E-8
27,1.929E-8
28,1.227E-8
29,4.738E-9
30,1.331E-8
31,1.391E-8
32,5.975E-9
33,1.547E-8
34,1.350E-8
35,1.541E-8
36,1.079E-8
37,3.796E-9
38,1.231E-8
39,1.225E-8
40,1.171E-8
41,1.912E-8
42,5.781E-9
43,1.639E-8
44,1.623E-8
45,7.932E-9
46,1.135E-8
47,1.283E-8
48,1.021E-8
49,1.065E-8
50,1.127E-8
51,3.539E-9
52,1.911E-8
53,1.865E-8
54,1.299E-8
55,9.319E-9
56,9.152E-9
57,1.318E-8
58,6.673E-9
59,1.649E-8
60,1.337E-8
61,1.528E-8
62,9.147E-9
63,1.190E-8
64,2.071E-8
65,9.677E-9
66,9.981E-9
67,1.671E-8
68,1.466E-8
69,1.674E-8
70,1.191E-8
71,1.527E-8
72,6.600E-9
73,8.362E-9
74,3.162E-9
75,1.038E-8
76,1.014E-8
77,1.002E-8
78,1.903E-8
79,1.756E-8
80,1.708E-8
81,1.861E-8
82,5.903E-9
83,2.104E-8
84,2.092E-8
85,1.716E-8
86,2.148E-8
87,1.684E-8
88,2.183E-8
89,1.487E-8
90,1.520E-8
91,2.082E-8
92,2.067E-8
93,2.178E-8
94,2.034E-8
95,2.237E-8
96,1.821E-8
97,6.246E-9
98,1.137E-8
99,1.637E-8
100,1.246E-8
101,1.637E-8
102,1.876E-8
103,2.269E-8
104,2.165E-8
105,1.427E-8
106,1.617E-8
107,1.733E-8
108,1.814E-8
