Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
0, -0.030035400763154, 0, 0, 0, 0, 0, 0
0.1, -0.0301903169602156, 0, 0, 100000, 0, 0, 0
0.2, -0.0300830919295549, 0, 0, 200000, 0, 0, 0
0.3, -0.0302669554948807, 0, 0, 300000, 0, 0, 0
0.4, -0.0304982587695122, 0, 0, 400000, 0, 0, 0
0.5, -0.0295803230255842, 0, 0, 500000, 0, 0, 0
0.6, -0.0300059579312801, 0, 0, 600000, 0, 0, 0
0.7, -0.0300497636198998, 0, 0, 700000, 0, 0, 0
0.8, -0.0300300940871239, 0, 0, 800000, 0, 0, 0
0.9, -0.030385946854949, 0, 0, 900000, 0, 0, 0
1, -0.030290175229311, 0, 0, 1000000, 0, 0, 0
1.1, -0.0299680531024933, 0, 0, 1100000, 0, 0, 0
1.2, -0.0295872539281845, 0, 0, 1200000, 0, 0, 0
1.3, -0.0301862545311451, 0, 0, 1300000, 0, 0, 0
1.4, -0.0302771478891373, 0, 0, 1400000, 0, 0, 0
1.5, -0.0304716601967812, 0, 0, 1500000, 0, 0, 0
1.6, -0.0294779948890209, 0, 0, 1600000, 0, 0, 0
1.7, -0.0299353990703821, 0, 0, 1700000, 0, 0, 0
1.8, -0.0304202456027269, 0, 0, 1800000, 0, 0, 0
1.9, -0.0296515990048647, 0, 0, 1900000, 0, 0, 0
2, -0.0295882932841778, 0, 0, 2000000, 0, 0, 0
2.1, -0.0299379099160433, 0, 0, 2100000, 0, 0, 0
2.2, -0.0298672951757908, 0, 0, 2200000, 0, 0, 0
2.3, -0.0298011414706707, 0, 0, 2300000, 0, 0, 0
2.4, -0.0302038379013538, 0, 0, 2400000, 0, 0, 0
2.5, -0.0299121327698231, 0, 0, 2500000, 0, 0, 0
2.6, -0.0299795810133219, 0, 0, 2600000, 0, 0, 0
2.7, -0.0299140233546495, 0, 0, 2700000, 0, 0, 0
2.8, -0.0300283916294575, 0, 0, 2800000, 0, 0, 0
2.9, -0.0297076124697924, 0, 0, 2900000, 0, 0, 0
3, -0.0300211180001497, 0, 0, 3000000, 0, 0, 0
3.1, -0.0301334280520678, 0, 0, 3100000, 0, 0, 0
3.2, -0.029890077188611, 0, 0, 3200000, 0, 0, 0
