Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)

1.1E-02, 5, 0, 0
1.2E-02, 0, 5, 0
1.3E-02, -5, 0, 0
1.4E-02, 0, -5, 0

2.1E-02, 5, 5, 0
2.2E-02, -5, 5, 0
2.3E-02, -5, -5, 0
2.4E-02, 5, -5, 0

4.1E-02, 10, 10, 0
4.2E-02, -10, 10, 0
4.3E-02, -10, -10, 0
4.4E-02, 10, -10, 0

+1.8244097E-02, +5.7, +1.4,         0
+1.6343571E-02, +6.1, +2.0,         0
+7.2094039E-03, +7.7, +0.1,         0
+1.5089863E-02, +4.4, +1.6,         0
-3.3069514E-03, +4.3, +1.0,         0
+2.0169260E-02, +5.3, -1.3,         0
+2.1076743E-02, +7.9, +2.3,         0
+5.0190341E-04, +9.3, +4.7,         0
+1.6294116E-02, +4.1, +1.3,         0
+1.9403763E-02, +6.3, +2.7,         0
+1.0909155E-02, +7.2, +4.4,         0
+2.8325910E-02, +5.3, +2.7,         0
+1.1986690E-02,+10.2, +2.1,         0
+1.5520884E-02, +3.7, +2.5,         0
+1.7453298E-02,+10.3, +1.6,         0
+1.7277481E-02, +7.5, +4.0,         0
+1.3513072E-02, +6.8, -2.4,         0
+5.4775802E-03, +5.2, -1.9,         0
+2.9473320E-02, +3.7, -4.2,         0
+5.7715740E-02, +5.8, -5.3,         0
+6.4602464E-02, +4.4, -9.4,         0
+7.6090589E-02, +2.8, -8.5,         0
+1.1334877E-01, +0.6, -9.3,         0
+1.1636378E-01, +2.5,-10.3,         0
+1.2899674E-01, +1.6, -8.8,         0
+9.4170779E-02, +2.0, -8.9,         0
+8.7161988E-02, +1.7, -7.8,         0
+9.2131637E-02, +1.6, -7.7,         0
+1.0148468E-01, +1.6, -9.0,         0
+1.1480287E-01, +2.9, -8.3,         0
+1.0385194E-01, +3.0, -7.8,         0
+9.3974784E-02, +3.2, -6.2,         0
+1.0511008E-01, +4.9, -5.6,         0
+1.0706994E-01, +5.4, -4.5,         0
+1.1633288E-01, +6.4, -4.0,         0
+1.4559096E-01, +7.3, -3.7,         0
+1.9983733E-01, +7.9, -3.0,         0
+1.7405964E-01, +8.8, -2.9,         0
+1.7749928E-01, +8.8, -3.2,         0
+1.2487965E-01, +8.9, -3.5,         0
+1.1788382E-01, +7.0, -3.8,         0
+1.0042538E-01, +5.5, -4.9,         0
+1.4492214E-01, +4.9, -5.5,         0
+1.4036770E-01, +4.7, -5.2,         0
+1.1101926E-01, +4.0, -5.5,         0
+9.7213961E-02, +2.7, -6.1,         0
+1.1055113E-01, +3.1, -6.4,         0
+1.1455695E-01, +2.7, -6.1,         0
+1.2900583E-01, +2.7, -5.8,         0
+1.1253969E-01, +2.8, -7.0,         0
+1.1850464E-01, +3.3, -7.2,         0
+1.3538338E-01, +3.0, -5.9,         0
+1.2814416E-01, +3.3, -6.5,         0
+1.4186551E-01, +2.7, -5.8,         0
+1.2192867E-01, +2.7, -5.8,         0
+1.2714484E-01, +2.7, -5.6,         0
+1.1196977E-01, +2.2, -5.7,         0
