Meter S/N:, "serial number"
Sensor, THERMO,QUAD, x1
Date, 9/3/2014 5:57:06 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period, Binary Data
0, 0.043878972530365, 0, 0, 0, 0, 0, 0, 70ba333d ca73273f ac7a373f 0000 00000000 
0.1, 0.0434384793043137, 0, 0, 100000, 0, 0, 0, 8cec313d 8cf19d3f 3c55093f 0000 a0860100 
0.2, 0.0469980016350746, 0, 0, 200000, 0, 0, 0, fa80403d c2b9993f 6a7f833f 0000 400d0300 
0.3, 0.0457079336047173, 0, 0, 300000, 0, 0, 0, 3e383b3d 52bf5b3f 7400993f 0000 e0930400 
0.4, 0.0436923205852509, 0, 0, 400000, 0, 0, 0, b8f6323d e8c79c3f bfa5523f 0000 801a0600 
0.5, 0.0465247593820095, 0, 0, 500000, 0, 0, 0, bf903e3d e979103f b9206f3f 0000 20a10700 
0.6, 0.0437370464205742, 0, 0, 600000, 0, 0, 0, 9e25333d d197933f 39190f3f 0000 c0270900 
0.7, 0.0433687344193459, 0, 0, 700000, 0, 0, 0, 6aa3313d 3bf2c53f acef343f 0000 60ae0a00 
0.8, 0.0431464239954948, 0, 0, 800000, 0, 0, 0, 4eba303d dbad863f 0033b73f 0000 00350c00 
0.9, 0.0460088811814785, 0, 0, 900000, 0, 0, 0, cf733c3d b5789c3f ea9f1f3f 0000 a0bb0d00 
1, 0.0478062517940998, 0, 0, 1000000, 0, 0, 0, 7dd0433d 62ea993f 0294193f 0000 40420f00 
1.1, 0.0439824275672436, 0, 0, 1100000, 0, 0, 0, eb26343d 5f8bbe3f 7c1e683f 0000 e0c81000 
1.2, 0.0460220389068127, 0, 0, 1200000, 0, 0, 0, 9b813c3d 91666a3f e6f68d3f 0000 804f1200 
1.3, 0.0423488840460777, 0, 0, 1300000, 0, 0, 0, 06762d3d bdd5aa3f ede6413d 0000 20d61300 
1.4, 0.04599404707551, 0, 0, 1400000, 0, 0, 0, 41643c3d dd51c53f 7ad0603f 0000 c05c1500 
1.5, 0.0462470538914204, 0, 0, 1500000, 0, 0, 0, 8d6d3d3d 44a98f3f 13aa3b3f 0000 60e31600 
1.6, 0.0442319475114346, 1.46455693244934, 0.928364992141724, 1600000, 0, 0, 0, 8f2c353d 9a76bb3f 54a96d3f 0000 006a1800 
1.7, 0.0435462296009064, 0, 0, 1700000, 0, 0, 0, 885d323d ac37ab3f e719943f 0000 a0f01900 
1.8, 0.0466668121516705, 0, 0, 1800000, 0, 0, 0, b3253f3d 6908523f 5bfd623f 0000 40771b00 
1.9, 0.0469016991555691, 0, 0, 1900000, 0, 0, 0, ff1b403d d4a0c03e 754db73d 0000 e0fd1c00 
2, 0.047461025416851, 0, 0, 2000000, 0, 0, 0, 7e66423d a9ae7b3f 85f3d33f 0000 80841e00 
2.1, 0.0475415103137493, 0.496002227067947, 1.43198013305664, 2100000, 0, 0, 0, e3ba423d 01f4fd3e 204bb73f 0000 200b2000 
2.2, 0.0569512695074081, 0, 0, 2200000, 0, 0, 0, bc45693d a8ba09bf 7ae19ebf 0000 c0912100 
2.3, 0.0642326697707176, 0, 0, 2300000, 0, 0, 0, 6b8c833d 92de8ebf 3ffeb3bf 0000 60182300 
2.4, 0.081791952252388, 0, 0, 2400000, 0, 0, 0, 8a82a73d 890f00c0 e0b277c0 0000 009f2400 
2.5, 0.106969624757767, 0, 0, 2500000, 0, 0, 0, e412db3d 79e8ebbf 1619aac0 0000 a0252600 
2.6, 0.121671825647354, -1.35537254810333, -5.0239372253418, 2600000, 0, 0, 0, 142ff93d d97cadbf 18c4a0c0 0000 40ac2700 
2.7, 0.136497408151627, 0, 0, 2700000, 0, 0, 0, fac50b3e c1ae5cbf aa1665c0 0000 e0322900 
2.8, 0.15374056994915, 0, 0, 2800000, 0, 0, 0, 2b6e1d3e 606039bf d6b231c0 0000 80b92a00 
2.9, 0.166885122656822, 0, 0, 2900000, 0, 0, 0, efe32a3e 09c247be 418f17c0 0000 20402c00 
3, 0.171190187335014, 0, 0, 3000000, 0, 0, 0, 7b4c2f3e a36d393f 8ed000c0 0000 c0c62d00 
3.1, 0.173861727118492, 1.91667401790619, -1.41098713874817, 3100000, 0, 0, 0, cf08323e 9355f53f 3a9bb4bf 0000 604d2f00 
3.2, 0.181014642119408, 0, 0, 3200000, 0, 0, 0, e75b393e 81263040 8ae941bf 0000 00d43000 
3.3, 0.178449481725693, 0, 0, 3300000, 0, 0, 0, 76bb363e 25515c40 a6f0f0be 0000 a05a3200 
3.4, 0.180088013410568, 0, 0, 3400000, 0, 0, 0, fe68383e f94e8040 9ea99ebe 0000 40e13300 
3.5, 0.182991027832031, 0, 0, 3500000, 0, 0, 0, 00623b3e 12199640 81de4fbe 0000 e0673500 
3.6, 0.187259003520012, 4.94714546203613, 0.0938691943883896, 3600000, 0, 0, 0, d3c03f3e 044f9e40 7e3ec03d 0000 80ee3600 
3.7, 0.184752196073532, 0, 0, 3700000, 0, 0, 0, ae2f3d3e 3abb9e40 16c10f3f 0000 20753800 
3.8, 0.179336175322533, 0, 0, 3800000, 0, 0, 0, e7a3373e fade9640 554a883f 0000 c0fb3900 
3.9, 0.174676164984703, 0, 0, 3900000, 0, 0, 0, 4fde323e 91c18740 483ec03f 0000 60823b00 
4, 0.165294870734215, 0, 0, 4000000, 0, 0, 0, 0f43293e ad727240 b935fe3f 0000 00093d00 
4.1, 0.162941560149193, 2.6518280506134, 1.92650353908539, 4100000, 0, 0, 0, 27da263e 8db72940 ab97f63f 0000 a08f3e00 
4.2, 0.159875154495239, 0, 0, 4200000, 0, 0, 0, 50b6233e f2e41c40 a2bd0d40 0000 40164000 
4.3, 0.156524419784546, 0, 0, 4300000, 0, 0, 0, f047203e ba5b1340 14251640 0000 e09c4100 
4.4, 0.157020926475525, 0, 0, 4400000, 0, 0, 0, 18ca203e cd3bc03f ee621040 0000 80234300 
4.5, 0.15231266617775, 0, 0, 4500000, 0, 0, 0, daf71b3e c348fd3e 07c9fa3f 0000 20aa4400 
4.6, 0.152380660176277, -0.285407245159149, 1.31622719764709, 4599990, 0, 0, 0, ad091c3e e62092be 227aa83f 0000 b6304600 
4.7, 0.154359996318817, 0, 0, 4700000, 0, 0, 0, 8c101e3e 15e2f8be d6712f3f 0000 60b74700 
4.8, 0.151338443160057, 0, 0, 4800000, 0, 0, 0, 77f81a3e 765569bf 26f50f3f 0000 003e4900 
4.9, 0.14717561006546, 0, 0, 4900000, 0, 0, 0, 34b5163e 32a060bf 08bdf43e 0000 a0c44a00 
5, 0.149537175893784, 0, 0, 5000000, 0, 0, 0, 4620193e deb669bf 7f1905bd 0000 404b4c00 
5.1, 0.1464773863554, -0.415141880512238, -0.432639360427856, 5099990, 0, 0, 0, 2bfe153e 7a8dd4be e882ddbe 0000 d6d14d00 
5.2, 0.144487500190735, 0, 0, 5199990, 0, 0, 0, 88f4133e 5a07d53d eb4f8abf 0000 76584f00 
5.3, 0.146658927202225, 0, 0, 5300000, 0, 0, 0, c22d163e 8ba9393f 91c7afbf 0000 20df5000 
5.4, 0.149488180875778, 0, 0, 5400000, 0, 0, 0, 6e13193e c3170f40 4d5795bf 0000 c0655200 
5.5, 0.154857993125916, 0, 0, 5499990, 0, 0, 0, 18931e3e 00ae5840 c8e757bf 0000 56ec5300 
5.6, 0.156891390681267, 4.2809534072876, -0.553583681583405, 5600000, 0, 0, 0, 23a8203e 92fd8840 a9b70dbf 0000 00735500 
5.7, 0.157346025109291, 0, 0, 5699990, 0, 0, 0, 511f213e a3999540 7a1b9cbe 0000 96f95600 
5.8, 0.156984105706215, 0, 0, 5800000, 0, 0, 0, 71c0203e 1c6c9d40 50c3bebe 0000 40805800 
5.9, 0.158955499529839, 0, 0, 5900000, 0, 0, 0, 3bc5223e 466aa340 576f0c3f 0000 e0065a00 
6, 0.162737607955933, 0, 0, 6000000, 0, 0, 0, b0a4263e bf7bad40 38d12e3f 0000 808d5b00 
6.1, 0.162838026881218, 5.4928936958313, 0.90431147813797, 6100000, 0, 0, 0, 03bf263e c9c5af40 f580673f 0000 20145d00 
6.2, 0.165790989995003, 0, 0, 6199990, 0, 0, 0, 1dc5293e c706b840 803b793f 0000 b69a5e00 
6.3, 0.171654939651489, 0, 0, 6300000, 0, 0, 0, 50c62f3e 19bfc140 16b3753f 0000 60216000 
6.4, 0.170148059725761, 0, 0, 6400000, 0, 0, 0, 4b3b2e3e c6afc240 76428b3f 0000 00a86100 
6.5, 0.176755011081696, 0, 0, 6500000, 0, 0, 0, 44ff343e 46cfc440 4d6dad3f 0000 a02e6300 
6.6, 0.177587151527405, 6.19257402420044, 1.26135015487671, 6600000, 0, 0, 0, 68d9353e 9129c640 ec73a13f 0000 40b56400 
6.7, 0.181478962302208, 0, 0, 6700000, 0, 0, 0, 9fd5393e d754c040 1e04c63f 0000 e03b6600 
6.8, 0.181883201003075, 0, 0, 6800000, 0, 0, 0, 973f3a3e ad4ec140 0003c13f 0000 80c26700 
6.9, 0.185551509261131, 0, 0, 6900000, 0, 0, 0, 37013e3e eddbc540 a399bc3f 0000 20496900 
7, 0.185341164469719, 0, 0, 7000000, 0, 0, 0, 13ca3d3e d431c440 8cedd83f 0000 c0cf6a00 
7.1, 0.187699377536774, 6.11832571029663, 1.73592758178711, 7100000, 0, 0, 0, 4434403e 53c9c340 e032de3f 0000 60566c00 
7.2, 0.185209020972252, 0, 0, 7200000, 0, 0, 0, 6fa73d3e 8115bd40 75c20740 0000 00dd6d00 
7.3, 0.186669379472733, 0, 0, 7299990, 0, 0, 0, 42263f3e 58b1c140 b15c0240 0000 96636f00 
7.4, 0.185358613729477, 0, 0, 7399990, 0, 0, 0, a6ce3d3e 5085ad40 37a50640 0000 36ea7000 
7.5, 0.17887881398201, 0, 0, 7499990, 0, 0, 0, 022c373e a3b7a940 983c1040 0000 d6707200 
7.6, 0.179228857159615, 5.16634082794189, 2.43468451499939, 7600000, 0, 0, 0, c587373e aa52a540 dfd11b40 0000 80f77300 
7.7, 0.179335847496986, 0, 0, 7700000, 0, 0, 0, d1a3373e c99b9c40 76770d40 0000 207e7500 
7.8, 0.17991079390049, 0, 0, 7799990, 0, 0, 0, 893a383e cc349c40 97e22540 0000 b6047700 
7.9, 0.180418387055397, 0, 0, 7899990, 0, 0, 0, 99bf383e b1fba740 7dbd1e40 0000 568b7800 
8, 0.177547171711922, 0, 0, 8000000, 0, 0, 0, edce353e b66fa640 728e1a40 0000 00127a00 
8.1, 0.172097876667976, 0, 0, 8100000, 0, 0, 0, 6d3a303e 20149e40 cf230040 0000 a0987b00 
8.2, 0.163190349936485, 4.80545282363892, 1.57547688484192, 8200000, 0, 0, 0, 5f1b273e 45c69940 3aa9c93f 0000 401f7d00 
8.3, 0.159411147236824, 0, 0, 8300000, 0, 0, 0, ad3c233e 61a29340 7c6e7a3f 0000 e0a57e00 
8.4, 0.157864212989807, 0, 0, 8400000, 0, 0, 0, 28a7213e 10bb8740 c09d103f 0000 802c8000 
8.5, 0.151751205325127, 0, 0, 8500000, 0, 0, 0, ab641b3e ede98140 cdf74d3d 0000 20b38100 
8.6, 0.14997436106205, 0, 0, 8600000, 0, 0, 0, e192193e 49ba6a40 cd90aa3c 0000 c0398300 
8.7, 0.147265985608101, 3.32652974128723, -0.660221636295319, 8699990, 0, 0, 0, e5cc163e dde55440 490429bf 0000 56c08400 
8.8, 0.145187824964523, 0, 0, 8799990, 0, 0, 0, 1eac143e 20134740 38d07dbf 0000 f6468600 
8.9, 0.142413273453712, 0, 0, 8899990, 0, 0, 0, c9d4113e e16e1e40 df2aa6bf 0000 96cd8700 
9, 0.142541214823723, 0, 0, 9000000, 0, 0, 0, 53f6113e f7ed0740 b6409cbf 0000 40548900 
9.1, 0.136621862649918, 0, 0, 9099990, 0, 0, 0, 9ae60b3e 1f3db33f aed783bf 0000 d6da8a00 
9.2, 0.136659190058708, 1.23901128768921, -1.50751161575317, 9199990, 0, 0, 0, 63f00b3e ec979e3f 24f6c0bf 0000 76618c00 
9.3, 0.131312236189842, 0, 0, 9299990, 0, 0, 0, b776063e 8bad833f 2151c3bf 0000 16e88d00 
9.4, 0.126047506928444, 0, 0, 9399990, 0, 0, 0, 9912013e bca4193f 5cc9b8bf 0000 b66e8f00 
9.5, 0.128125578165054, 0, 0, 9499990, 0, 0, 0, 5a33033e abeb273f 2dd08fbf 0000 56f59000 
9.6, 0.128723502159119, 0, 0, 9599990, 0, 0, 0, 18d0033e b19a063f b1ff86bf 0000 f67b9200 
9.7, 0.12486557662487, 0.0794280767440796, -1.45954775810242, 9699990, 0, 0, 0, 86b9ff3d 30aba23d 76d2babf 0000 96029400 
9.8, 0.125834137201309, 0, 0, 9799990, 0, 0, 0, aada003e 5c322b3d b9baa5bf 0000 36899500 
