"0045A13R"
2014 Oct 24 13:38
Sample #,"0045A13R":Value,"0045A13R":Rep Rate (Hz)
0,1.650E-4,2.842E+0
1,2.868E-4,16.325E+0
2,7.416E-5,64.847E+0
3,99E+99,2.584E+0
4,1.472E-3,508.647E+0
5,8.400E-5,64.587E+0
6,3.095E-4,298.686E+0
7,5.550E-4,508.647E+0
8,0.000E+0,508.647E+0
9,1.189E-3,508.647E+0
10,1.707E-4,465.116E+0
11,9.865E-5,84.774E+0
12,8.904E-5,508.647E+0
13,1.012E-4,57.110E+0
14,9.155E-5,485.909E+0
15,5.997E-5,28.087E+0
16,2.081E-4,3.811E+0
17,5.425E-5,319.183E+0
18,1.282E-4,76.412E+0
19,1.552E-4,508.647E+0
20,7.851E-5,471.698E+0
21,0.000E+0,133.404E+0
22,0.000E+0,471.698E+0
23,3.124E-4,493.097E+0
24,8.194E-5,335.570E+0
25,7.736E-5,478.698E+0
26,2.353E-4,5.478E+0
27,1.469E-4,508.647E+0
28,0.000E+0,97.752E+0
29,0.000E+0,478.698E+0
30,2.376E-4,508.647E+0
31,1.112E-4,508.647E+0
32,7.393E-5,4.015E+0
33,1.762E-3,21.001E+0
34,1.020E-3,508.647E+0
35,1.035E-4,406.835E+0
36,9.316E-5,84.111E+0
37,6.706E-5,312.989E+0
38,2.158E-3,5.165E+0
39,8.402E-4,508.647E+0
40,3.781E-4,508.647E+0
41,1.593E-4,63.828E+0
42,4.083E-4,508.647E+0
43,99E+99,339.098E+0
44,1.396E-3,485.909E+0
45,2.225E-4,493.097E+0
46,1.037E-4,101.092E+0
47,1.051E-4,500.751E+0
48,8.077E-4,3.280E+0
49,7.416E-5,4.302E+0
50,2.337E-4,20.282E+0
51,8.652E-5,3.209E+0
52,99E+99,131.787E+0
53,0.000E+0,465.116E+0
54,5.605E-4,500.751E+0
55,7.095E-5,325.521E+0
56,8.766E-5,5.270E+0
57,7.393E-5,71.073E+0
58,1.650E-4,3.362E+0
59,1.039E-4,66.979E+0
60,1.508E-4,508.647E+0
61,1.284E-4,508.647E+0
62,2.782E-3,86.806E+0
63,1.882E-3,508.647E+0
64,3.491E-4,500.751E+0
65,8.858E-5,439.947E+0
66,9.316E-5,87.982E+0
67,1.163E-4,5.020E+0
68,1.014E-4,58.442E+0
69,9.705E-5,508.647E+0
70,9.705E-5,61.535E+0
71,6.592E-5,382.995E+0
72,7.462E-5,4.526E+0
73,3.392E-4,39.844E+0
74,4.285E-4,508.647E+0
75,7.141E-5,64.205E+0
76,2.016E-4,4.449E+0
77,1.019E-3,8.810E+0
78,9.952E-4,508.647E+0
79,2.870E-4,508.647E+0
80,4.921E-5,2.073E+0
81,2.134E-3,26.167E+0
82,1.390E-3,471.698E+0
83,9.361E-5,493.097E+0
84,9.087E-5,77.322E+0
85,9.293E-5,445.831E+0
86,8.972E-5,57.614E+0
