"0045A13R"
2014 Oct 24 13:35
Sample #,"0045A13R":Value,"0045A13R":X (mm),"0045A13R":Y (mm)
0,-7.265E-3,0.0,0.0
1,-1.241E-3,0.0,0.0
2,2.912E-3,0.0,0.0
3,-4.089E-3,0.0,0.0
4,-1.296E-3,0.0,0.0
5,7.317E-3,0.0,0.0
6,2.071E-3,0.0,0.0
7,3.897E-4,0.0,0.0
8,3.083E-3,0.0,0.0
9,7.014E-3,0.0,0.0
10,5.448E-3,0.0,0.0
11,-1.286E-3,0.0,0.0
12,-2.229E-3,0.0,0.0
13,1.234E-3,0.0,0.0
14,-2.184E-3,0.0,0.0
15,8.264E-3,0.0,0.0
16,1.479E-3,0.0,0.0
17,4.146E-3,0.0,0.0
18,1.023E-2,0.0,0.0
19,8.796E-3,0.0,0.0
20,1.581E-2,0.0,0.0
21,1.567E-2,0.0,0.0
22,1.118E-2,0.0,0.0
23,1.398E-2,0.0,0.0
24,1.453E-2,0.0,0.0
25,2.561E-2,2.2,-3.2
26,1.788E-2,2.7,-2.4
27,3.617E-2,3.7,-1.7
28,3.529E-2,7.7,-3.1
29,4.063E-2,5.7,-3.0
30,5.436E-2,3.4,-2.8
31,4.594E-2,5.9,-0.8
32,3.948E-2,3.6,-3.4
33,4.241E-2,2.9,-2.9
34,5.275E-2,2.6,-3.8
35,5.122E-2,2.5,-2.9
36,4.980E-2,3.8,-1.8
37,6.114E-2,2.8,-0.6
38,5.959E-2,2.8,-1.4
39,7.381E-2,3.2,-0.4
40,7.433E-2,3.7,-0.8
41,1.009E-1,3.2,-0.2
42,1.003E-1,3.8,0.3
43,9.921E-2,3.2,0.8
44,1.019E-1,3.5,0.5
45,9.812E-2,2.9,1.8
46,1.071E-1,3.6,2.0
47,1.129E-1,3.2,3.6
48,1.091E-1,3.2,3.3
49,1.097E-1,3.4,3.8
50,9.581E-2,3.2,3.6
51,9.487E-2,3.0,3.6
52,8.996E-2,2.9,3.6
53,8.203E-2,3.2,3.1
54,7.111E-2,3.1,2.4
55,6.300E-2,3.0,2.7
56,6.233E-2,4.3,1.9
57,6.229E-2,3.0,1.3
58,6.723E-2,3.7,1.0
59,6.640E-2,4.1,0.6
60,8.025E-2,3.7,0.5
61,7.630E-2,4.4,0.1
62,8.344E-2,3.7,-0.0
63,8.597E-2,3.8,-0.5
64,1.101E-1,4.0,-0.4
65,1.123E-1,3.5,-0.9
66,1.191E-1,3.2,-1.3
67,1.168E-1,2.3,-1.7
68,1.293E-1,1.7,-2.3
69,1.163E-1,1.7,-2.9
70,1.262E-1,1.6,-3.2
71,1.365E-1,1.4,-2.8
72,1.238E-1,1.2,-3.0
73,1.249E-1,1.1,-3.2
74,1.255E-1,0.8,-3.2
75,1.261E-1,0.8,-3.4
76,1.405E-1,1.3,-3.4
77,1.419E-1,1.2,-3.6
78,1.335E-1,1.4,-3.2
79,1.304E-1,0.9,-3.2
80,1.314E-1,1.3,-2.8
