"0045A13R"
2014 Oct 24 13:32
Sample #,"0045A13R":Value
0,-1.282E-4
1,1.794E-4
2,7.585E-4
3,2.469E-4
4,4.775E-4
5,-2.724E-3
6,1.670E-4
7,-1.004E-3
8,-3.774E-4
9,-6.203E-4
10,5.439E-4
11,2.866E-3
12,-2.117E-4
13,-1.793E-3
14,-6.543E-4
15,5.103E-4
16,1.255E-3
17,-1.426E-3
18,2.140E-4
19,-2.076E-3
20,6.863E-4
21,1.000E-3
22,5.286E-4
23,-5.796E-5
24,-9.475E-4
25,-2.739E-4
26,1.268E-4
27,1.397E-4
28,4.202E-4
29,-4.712E-4
30,5.697E-4
31,7.717E-4
32,3.640E-4
33,3.912E-5
34,1.396E-3
35,-2.566E-3
36,3.697E-4
37,2.084E-3
38,2.183E-3
39,3.241E-4
40,-7.334E-4
41,-1.717E-3
42,1.588E-3
43,7.808E-4
44,-2.702E-4
45,-5.862E-4
46,6.732E-4
47,-1.372E-4
48,2.338E-4
49,1.583E-3
50,-1.413E-4
