Meter S/N: 0045A13R,
Sensor S/N: 0514F12R,
FRI OCT 24 13:38:03 2014,
Measurement,PulsePeriod(usec)
1.044e-04,   5643295
8.293e-04,  1966
0.000+e00,  2089
3.000e-03,  1966
4.015e-04,  1997
3.841e-04,  3379
2.222e-04,  1997
7.736e-05,  4608
1.165e-04,  2304
9.339e-05,  2365
6.386e-05, 20029
0.000+e00, 33055
1.019e-03,  1997
1.520e-04,  2181
1.364e-04, 14008
1.183e-04,  1966
6.134e-05,  2028
1.051e-04, 33239
7.233e-05, 14776
5.333e-05, 14715
1.279e-04,331284
1.078e-04, 15544
1.545e-04,  1966
1.096e-04,  1966
1.055e-04, 15944
7.347e-05,  2120
6.043e-05,  2089
2.289e-04, 13885
8.762e-04,  3318
4.143e-04,  1966
2.749e-04,369224
7.210e-05,  2857
1.323e-04, 16589
8.721e-05, 15698
2.243e-04, 12749
1.617e-03,  2212
2.962e-04,  1997
2.010e-04,  2120
8.194e-05, 16220
6.935e-05,170988
1.186e-04,179927
9.911e-05,  1966
1.231e-04, 15421
1.609e-04,  1966
9.911e-05,  1966
8.034e-05, 15237
2.003e-04,  3686
3.000e-03,  1966
1.249e-03,  1966
4.983e-04,  2212
7.782e-05, 56279
1.243e-04, 16435
7.370e-05,309873
5.470e-05, 21688
1.282e-04,  9492
1.305e-03,  1966
1.966e-04,  1966
8.515e-05,368763
1.222e-04, 11889
1.245e-04, 15944
5.974e-05,  2980
5.951e-05, 22303
2.170e-04, 14623
2.361e-03,  1966
8.512e-04,  2028
1.048e-04, 12626
1.497e-04,  1966
1.003e-04,  1966
8.400e-05, 15114
8.949e-05,  2028
2.287e-04, 18801
6.912e-04,337060
1.131e-04,  1997
2.082e-03, 28447
1.209e-03,  2028
7.301e-05, 55665
7.530e-05,  2181
1.259e-04,  1966
8.354e-05, 14868
7.256e-05, 20091
5.196e-05,349133
1.057e-04, 12319
1.540e-04,  1966
9.361e-05,  2150
1.369e-03,  6451
1.109e-03,  1966
4.921e-05, 49644
2.268e-04,355400
1.199e-04, 16865
1.504e-04,  1966
1.071e-04,  1966
9.087e-05, 16650
2.168e-04,  2058
2.482e-03,  1966
4.736e-04,  2089
7.759e-05, 10844
9.110e-05,  1997
9.361e-05,  1997
1.529e-04, 21443
1.854e-04,368179
