Meter S/N: 0045A13R,,,
Sensor S/N: 18545,,,
FRI OCT 24 13:38:47 2014,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
-2.5376E-02,0.0,0.0,0
-3.5496E-02,0.0,0.0,0
-2.7744E-02,0.0,0.0,0
-2.6057E-02,0.0,0.0,0
-2.9484E-02,0.0,0.0,0
-2.3927E-02,0.0,0.0,0
-2.4565E-02,0.0,0.0,0
-3.5376E-02,0.0,0.0,0
-2.4185E-02,0.0,0.0,0
-3.0747E-02,0.0,0.0,0
-3.1257E-02,0.0,0.0,0
-2.9434E-02,0.0,0.0,0
-2.6888E-02,0.0,0.0,0
-3.4581E-02,0.0,0.0,0
-2.7938E-02,0.0,0.0,0
-2.3088E-02,0.0,0.0,0
-2.9681E-02,0.0,0.0,0
-1.7197E-02,0.0,0.0,0
-2.6505E-02,0.0,0.0,0
-2.8416E-02,0.0,0.0,0
-3.2078E-02,0.0,0.0,0
-2.4439E-02,0.0,0.0,0
-2.4818E-02,0.0,0.0,0
-2.3412E-02,0.0,0.0,0
-3.0359E-02,0.0,0.0,0
-2.6446E-02,0.0,0.0,0
-2.7362E-02,0.0,0.0,0
-2.0132E-02,0.0,0.0,0
-1.4722E-02,0.0,0.0,0
-6.7604E-03,0.0,0.0,0
+8.1957E-03,0.0,0.0,0
+4.0012E-02,0.0,0.0,0
+1.3003E-01,0.0,0.0,0
+1.8134E-01,10.3,-9.5,0
+1.6662E-01,9.1,-9.1,0
+1.5186E-01,6.2,-7.7,0
+1.1116E-01,4.8,-6.1,0
+9.6448E-02,3.8,-5.9,0
+1.0107E-01,2.2,-5.9,0
+1.0767E-01,1.0,-4.9,0
+1.0379E-01,-1.0,-3.2,0
+1.2443E-01,-0.8,-1.1,0
+9.7151E-02,-0.1,0.0,0
+7.4945E-02,0.9,0.8,0
+5.9918E-02,1.3,1.2,0
+3.1556E-02,1.6,0.6,0
+2.9151E-02,2.6,1.4,0
+1.2610E-02,3.3,1.7,0
+3.3120E-02,4.9,2.7,0
+3.1638E-02,4.4,2.6,0
+1.8915E-02,4.7,1.8,0
+8.1886E-03,4.4,1.3,0
+1.7390E-02,5.3,-1.1,0
+3.7217E-02,5.3,-2.8,0
+6.3630E-02,6.1,-4.4,0
+8.8182E-02,4.6,-5.7,0
+1.0126E-01,4.6,-6.4,0
+1.1200E-01,2.7,-7.5,0
+1.3213E-01,0.4,-7.1,0
+1.3877E-01,-0.9,-6.9,0
+1.2761E-01,-1.6,-5.8,0
+1.0758E-01,-1.5,-4.2,0
+1.0074E-01,-1.4,-2.5,0
+9.2724E-02,-1.1,-1.0,0
+1.0185E-01,-0.3,0.6,0
+8.9727E-02,-0.6,1.7,0
+9.7860E-02,0.2,2.3,0
+7.8673E-02,0.7,2.9,0
+6.3325E-02,2.0,2.4,0
+3.9107E-02,2.1,1.8,0
+2.1966E-02,2.9,1.9,0
+1.4188E-02,3.4,1.4,0
+3.0674E-02,4.2,-0.0,0
+4.2222E-02,5.2,-1.4,0
+5.5091E-02,4.0,-3.3,0
+6.2932E-02,4.5,-4.7,0
+7.8533E-02,3.4,-5.3,0
+1.1279E-01,3.4,-6.7,0
+1.3082E-01,2.3,-7.0,0
+1.4694E-01,0.6,-6.7,0
+1.5975E-01,0.1,-5.9,0
+1.6486E-01,-1.0,-4.8,0
+1.5361E-01,-0.6,-3.4,0
+1.4233E-01,0.2,-1.5,0
+1.0633E-01,0.3,-1.0,0
+8.7675E-02,0.9,-0.1,0
+8.1739E-02,2.0,0.6,0
+6.5563E-02,2.3,1.2,0
+5.4191E-02,3.5,1.2,0
+5.1191E-02,3.5,1.1,0
+3.4140E-02,4.6,0.4,0
+3.2999E-02,4.5,-0.7,0
+6.2688E-02,5.1,-1.1,0
+8.6325E-02,5.8,-2.6,0
+7.9658E-02,5.1,-3.2,0
+9.6660E-02,3.9,-4.4,0
+9.2911E-02,2.3,-4.6,0
+6.8030E-02,2.2,-3.5,0
+3.3071E-02,1.2,-3.8,0
+9.4428E-03,1.5,-2.2,0
