Meter S/N: 0045A13R,
Sensor S/N: 349,
FRI OCT 24 13:39:28 2014,
Measurement,PulsePeriod(usec)
-2.9767E-03,0
-4.3021E-03,0
-5.4379E-03,0
-3.8787E-03,0
-1.3387E-03,0
-4.1963E-03,0
-1.3077E-03,0
-3.2360E-03,0
-2.9726E-03,0
-3.6370E-03,0
-1.6222E-03,0
+1.7865E-03,0
+9.2609E-04,0
+1.4116E-03,0
-4.3156E-04,0
+4.1125E-04,0
-7.6748E-04,0
-2.3483E-03,0
+3.5040E-04,0
-1.2913E-04,0
+1.3364E-03,0
+1.2347E-03,0
+1.0194E-03,0
+4.8063E-03,0
+4.9785E-03,0
+5.7017E-03,0
+6.5344E-03,0
+5.7254E-03,0
+7.4480E-03,0
+5.1621E-03,0
+9.1348E-03,0
+9.5725E-03,0
+1.0531E-02,0
+8.1940E-03,0
+8.1640E-03,0
+7.1446E-03,0
+7.2860E-03,0
+7.5271E-03,0
+9.4672E-03,0
+8.2926E-03,0
+6.7725E-03,0
+7.7319E-03,0
+6.3551E-03,0
+5.8815E-03,0
+6.5885E-03,0
+7.5781E-03,0
+6.6289E-03,0
+7.7027E-03,0
+7.6776E-03,0
+6.3904E-03,0
+7.4734E-03,0
+3.7386E-03,0
+7.8617E-03,0
+6.4627E-03,0
+6.0648E-03,0
+8.9099E-03,0
+6.7357E-03,0
+6.4995E-03,0
+8.2593E-03,0
+8.1469E-03,0
+8.3767E-03,0
+8.3443E-03,0
+7.7304E-03,0
+9.4797E-03,0
+9.4272E-03,0
+1.1524E-02,0
+8.3949E-03,0
+1.1008E-02,0
+1.2560E-02,0
+1.0847E-02,0
+1.1121E-02,0
+1.3281E-02,0
+1.3801E-02,0
+1.2743E-02,0
+1.3612E-02,0
+1.2402E-02,0
+1.2998E-02,0
+1.1214E-02,0
+1.0695E-02,0
+1.2663E-02,0
+1.1765E-02,0
+1.0173E-02,0
+1.2328E-02,0
+1.3687E-02,0
+1.2108E-02,0
+1.0948E-02,0
+1.0400E-02,0
+1.1528E-02,0
+1.0263E-02,0
+5.8967E-03,0
+4.6687E-03,0
+3.4211E-03,0
+2.4626E-03,0
-7.9559E-04,0
-1.2126E-03,0
+7.6259E-04,0
-1.8466E-03,0
+8.4789E-04,0
+1.4724E-04,0
-8.4660E-04,0
