Meter S/N: 0031D08R,,,
Sensor S/N: x1,,,
WED SEP 15 09:41:19 2010,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
-7.5033E-02,0.0,0.0,0
-3.8839E-02,0.0,0.0,0
-2.6317E-02,0.0,0.0,0
-9.2185E-03,0.0,0.0,0
-4.8432E-03,0.0,0.0,0
-1.8367E-02,0.0,0.0,0
+6.1600E-02,0.0,0.0,0
-3.0169E-02,0.0,0.0,0
-1.1910E-02,0.0,0.0,0
-1.1618E-01,0.0,0.0,0
+4.7811E-02,0.0,0.0,0
-6.0903E-02,0.0,0.0,0
+3.0267E-02,0.0,0.0,0
-2.1987E-02,0.0,0.0,0
+3.8363E-02,0.0,0.0,0
-2.8745E-02,0.0,0.0,0
+2.0662E-02,0.0,0.0,0
+4.4659E-02,0.0,0.0,0
+7.8071E-02,0.0,0.0,0
+1.7284E-02,0.0,0.0,0
-6.1808E-02,0.0,0.0,0
+1.7787E-02,0.0,0.0,0
-1.8509E-02,0.0,0.0,0
+1.5039E-02,0.0,0.0,0
-8.4280E-03,0.0,0.0,0
+2.5694E-02,0.0,0.0,0
-9.0743E-03,0.0,0.0,0
-9.5161E-02,0.0,0.0,0
-1.8194E-02,0.0,0.0,0
-3.7106E-03,0.0,0.0,0
+7.6582E-03,0.0,0.0,0
+2.7706E-02,0.0,0.0,0
-5.4024E-03,0.0,0.0,0
+2.3370E-02,0.0,0.0,0
+2.8400E-03,0.0,0.0,0
+1.7520E-02,0.0,0.0,0
+2.8823E-02,0.0,0.0,0
-5.0818E-03,0.0,0.0,0
-8.1970E-03,0.0,0.0,0
+2.5860E-02,0.0,0.0,0
-4.0744E-03,0.0,0.0,0
+3.9295E-02,0.0,0.0,0
-3.8220E-02,0.0,0.0,0
-1.3017E-03,0.0,0.0,0
-7.8300E-02,0.0,0.0,0
-9.1418E-03,0.0,0.0,0
+6.4008E-02,0.0,0.0,0
-1.3450E-02,0.0,0.0,0
+6.1372E-02,0.0,0.0,0
-4.3238E-03,0.0,0.0,0
+2.2987E-01,1.7,4.9,0
+2.8579E-01,3.5,3.3,0
+6.3486E-01,3.7,-7.8,0
+6.7445E-01,2.4,-8.9,0
+4.3124E-01,2.7,-9.3,0
+3.7284E-01,3.0,-7.2,0
+3.0819E-01,2.9,-6.6,0
+2.8207E-01,2.7,-6.4,0
+3.8196E-01,2.1,-5.2,0
+3.9183E-01,2.5,-4.6,0
+4.0623E-01,2.0,-5.0,0
+3.8828E-01,2.4,-4.9,0
+7.3647E-01,1.7,-6.4,0
+6.0845E-01,1.7,-6.3,0
+4.6831E-01,1.8,-5.0,0
+5.4111E-01,2.1,-4.3,0
+4.5804E-01,1.3,-3.1,0
+7.4348E-01,4.0,-1.4,0
+7.8999E-01,5.8,-1.0,0
+7.5057E-01,6.3,-0.1,0
+6.6222E-01,4.6,-0.1,0
+7.3457E-01,3.0,-1.9,0
+5.6056E-01,1.9,-2.4,0
+7.6407E-01,1.9,1.0,0
+7.1699E-01,1.9,2.9,0
+6.4838E-01,0.1,2.2,0
+4.1754E-01,-0.1,2.0,0
+4.7896E-01,1.5,1.8,0
+4.0886E-01,2.8,1.6,0
+4.1323E-01,1.9,1.5,0
+3.6506E-01,0.7,2.5,0
+3.8321E-01,1.1,2.6,0
+4.2802E-01,1.8,1.8,0
+4.1824E-01,2.2,2.3,0
+5.8346E-01,2.9,2.3,0
+5.0491E-01,3.1,1.6,0
+4.0432E-01,3.0,0.7,0
+3.4935E-01,2.6,0.5,0
+3.0151E-01,2.3,-0.2,0
+2.4492E-01,2.5,-0.3,0
+2.0011E-01,2.8,-0.8,0
+2.0427E-01,3.1,0.2,0
+1.0017E-01,2.0,1.2,0
+3.6118E-02,1.8,1.2,0
+1.5643E-02,1.9,0.5,0
+1.8272E-01,1.1,0.5,0
+1.7524E-01,1.1,0.9,0
+1.1397E-01,2.4,-0.3,0
+5.7540E-02,2.9,2.4,0
+9.1983E-02,2.5,0.0,0
