Meter S/N: 0031D08R,
Sensor S/N: 2809,
WED SEP 15 09:35:08 2010,
Measurement,PulsePeriod(usec)
-2.8120E-02,0
-3.8223E-03,0
-1.3468E-02,0
-2.5517E-02,0
-2.0608E-02,0
-1.1038E-02,0
-1.6655E-02,0
-1.8240E-02,0
-4.0257E-03,0
-2.2402E-02,0
+1.4209E-03,0
-1.5689E-02,0
-1.0833E-03,0
-1.3896E-02,0
+1.1481E-03,0
-2.4925E-02,0
-3.7163E-02,0
+4.5314E-03,0
+1.2906E-02,0
-6.7313E-03,0
-3.0033E-02,0
-2.9584E-03,0
-1.3499E-02,0
-2.1541E-02,0
-9.8161E-03,0
+4.0811E-03,0
-1.7188E-02,0
-3.2504E-02,0
+9.9625E-03,0
-3.3608E-02,0
+3.0810E-03,0
-8.0008E-03,0
-2.1445E-02,0
-2.1206E-03,0
-2.9019E-02,0
-1.2602E-02,0
-8.4094E-03,0
-1.1019E-02,0
+2.6985E-03,0
+4.8247E-03,0
-1.6167E-02,0
-2.4257E-03,0
-3.3734E-03,0
-1.9863E-02,0
-2.2696E-02,0
+6.0494E-03,0
-2.3264E-02,0
-1.0465E-02,0
-2.4630E-03,0
-3.0766E-02,0
-1.2893E-02,0
+2.6854E-03,0
-2.4610E-02,0
-1.7072E-02,0
+1.2476E-01,0
+4.0724E-01,0
+5.8167E-01,0
+4.6627E-01,0
+5.3397E-01,0
+4.5456E-01,0
+5.6009E-01,0
+7.7927E-01,0
+8.2663E-01,0
+7.6452E-01,0
+6.8553E-01,0
+6.6387E-01,0
+6.5705E-01,0
+8.1248E-01,0
+9.5451E-01,0
+9.7598E-01,0
+9.9903E-01,0
+1.1413E+00,0
+1.0228E+00,0
+8.4388E-01,0
+8.1130E-01,0
+7.8917E-01,0
+7.4596E-01,0
+7.7306E-01,0
+8.7163E-01,0
+1.0113E+00,0
+1.2567E+00,0
+1.1999E+00,0
+1.1016E+00,0
+9.4586E-01,0
+8.6019E-01,0
+7.6691E-01,0
+7.9941E-01,0
+8.4368E-01,0
+8.9029E-01,0
+9.4565E-01,0
+9.9441E-01,0
+1.0227E+00,0
+1.0286E+00,0
+1.0340E+00,0
+1.0781E+00,0
+1.4092E+00,0
+1.3775E+00,0
+1.0381E+00,0
+8.0704E-01,0
+7.8657E-01,0
