Meter S/N: 0031D08R,
Sensor S/N: 443,
WED SEP 15 09:03:29 2010,
Measurement,PulsePeriod(usec)
1.156e-05, 10000
1.154e-05, 10000
1.154e-05, 10000
1.149e-05, 10000
1.152e-05, 10000
1.155e-05, 10000
1.157e-05, 10000
1.157e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.151e-05, 10000
1.151e-05, 10000
1.154e-05, 10000
1.156e-05, 10000
1.158e-05, 10000
1.156e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.153e-05, 10000
1.148e-05, 10000
1.154e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.153e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.148e-05, 10000
1.151e-05, 10000
1.155e-05, 10000
1.157e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.151e-05, 10000
1.149e-05, 10000
1.156e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.150e-05, 10000
1.152e-05, 10000
1.156e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.154e-05, 10000
1.156e-05, 10000
1.153e-05, 10000
1.152e-05, 10000
1.149e-05, 10000
1.154e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.154e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.150e-05, 10000
1.152e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.150e-05, 10000
1.150e-05, 10000
1.154e-05, 10000
1.157e-05, 10000
1.158e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.148e-05, 10000
1.152e-05, 10000
1.156e-05, 10000
1.156e-05, 10000
1.158e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.150e-05, 10000
1.150e-05, 10000
1.154e-05, 10000
1.158e-05, 10000
1.158e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.153e-05, 10000
1.154e-05, 10000
1.149e-05, 10000
1.152e-05, 10000
1.155e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.153e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.153e-05, 10000
1.150e-05, 10000
1.151e-05, 10000
1.153e-05, 10000
1.157e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.154e-05, 10000
1.154e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.149e-05, 10000
1.153e-05, 10000
1.156e-05, 10000
1.156e-05, 10000
1.156e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.149e-05, 10000
1.151e-05, 10000
1.155e-05, 10000
1.156e-05, 10000
1.157e-05, 10000
1.157e-05, 10000
1.153e-05, 10000
1.157e-05, 10000
1.156e-05, 10000
1.155e-05, 10000
1.155e-05, 10000
1.154e-05, 10000
1.154e-05, 10000
1.150e-05, 10000
1.149e-05, 10000
1.154e-05, 10000
1.157e-05, 10000
