Meter S/N:, None
Sensor, None, None, , 
Date, 3/4/2015 3:56:16 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.0004608, -7.195347E+000, 460, 0, 0, 0, 4940e6c0 0000 cc010000 
0.0009728, -7.187187E+000, 972, 0, 0, 0, 70fde5c0 0000 cc030000 
0.0014848, -7.202238E+000, 1484, 0, 0, 0, bb78e6c0 0000 cc050000 
0.0019968, -7.205190E+000, 1996, 0, 0, 0, eb90e6c0 0000 cc070000 
0.0025088, -7.197093E+000, 2508, 0, 0, 0, 974ee6c0 0000 cc090000 
0.0030208, -7.187600E+000, 3020, 0, 0, 0, d200e6c0 0000 cc0b0000 
0.0035328, -7.174772E+000, 3532, 0, 0, 0, bc97e5c0 0000 cc0d0000 
0.0040448, -7.180773E+000, 4044, 0, 0, 0, e5c8e5c0 0000 cc0f0000 
0.0045568, -7.175630E+000, 4556, 0, 0, 0, c29ee5c0 0000 cc110000 
0.0050688, -7.186902E+000, 5068, 0, 0, 0, 19fbe5c0 0000 cc130000 
0.0055808, -7.187695E+000, 5580, 0, 0, 0, 9901e6c0 0000 cc150000 
0.0060928, -7.182647E+000, 6092, 0, 0, 0, 3ed8e5c0 0000 cc170000 
0.0066048, -7.180551E+000, 6604, 0, 0, 0, 13c7e5c0 0000 cc190000 
0.0071168, -7.166676E+000, 7116, 0, 0, 0, 6855e5c0 0000 cc1b0000 
0.0076288, -7.174613E+000, 7628, 0, 0, 0, 6f96e5c0 0000 cc1d0000 
0.0081408, -7.190362E+000, 8140, 0, 0, 0, 7317e6c0 0000 cc1f0000 
0.0086528, -7.185314E+000, 8652, 0, 0, 0, 17eee5c0 0000 cc210000 
0.0091648, -7.174519E+000, 9164, 0, 0, 0, a895e5c0 0000 cc230000 
0.0096768, -7.179726E+000, 9676, 0, 0, 0, 50c0e5c0 0000 cc250000 
0.0101888, -7.171502E+000, 10188, 0, 0, 0, f27ce5c0 0000 cc270000 
0.0107008, -7.178074E+000, 10700, 0, 0, 0, c9b2e5c0 0000 cc290000 
0.0112128, -7.170994E+000, 11212, 0, 0, 0, c878e5c0 0000 cc2b0000 
0.0117248, -7.177948E+000, 11724, 0, 0, 0, bfb1e5c0 0000 cc2d0000 
0.0122368, -7.177916E+000, 12236, 0, 0, 0, 7cb1e5c0 0000 cc2f0000 
0.0127488, -7.176900E+000, 12748, 0, 0, 0, 2aa9e5c0 0000 cc310000 
0.0132608, -7.167914E+000, 13260, 0, 0, 0, 8d5fe5c0 0000 cc330000 
0.0137728, -7.180520E+000, 13772, 0, 0, 0, d1c6e5c0 0000 cc350000 
0.0142848, -7.165088E+000, 14284, 0, 0, 0, 6748e5c0 0000 cc370000 
0.0147968, -7.183853E+000, 14796, 0, 0, 0, 20e2e5c0 0000 cc390000 
0.0153088, -7.174138E+000, 15308, 0, 0, 0, 8992e5c0 0000 cc3b0000 
0.0158208, -7.184139E+000, 15820, 0, 0, 0, 78e4e5c0 0000 cc3d0000 
0.0163328, -7.172264E+000, 16332, 0, 0, 0, 3083e5c0 0000 cc3f0000 
0.0168448, -7.163691E+000, 16844, 0, 0, 0, f53ce5c0 0000 cc410000 
0.0173568, -7.175915E+000, 17356, 0, 0, 0, 19a1e5c0 0000 cc430000 
0.0178688, -7.178265E+000, 17868, 0, 0, 0, 59b4e5c0 0000 cc450000 
0.0183808, -7.175312E+000, 18380, 0, 0, 0, 289ce5c0 0000 cc470000 
0.0188928, -7.174264E+000, 18892, 0, 0, 0, 9393e5c0 0000 cc490000 
0.0194048, -7.174423E+000, 19404, 0, 0, 0, e094e5c0 0000 cc4b0000 
0.0199168, -7.178900E+000, 19916, 0, 0, 0, 8db9e5c0 0000 cc4d0000 
0.0204288, -7.170994E+000, 20428, 0, 0, 0, c878e5c0 0000 cc4f0000 
0.0209408, -7.165787E+000, 20940, 0, 0, 0, 204ee5c0 0000 cc510000 
0.0214528, -7.166453E+000, 21452, 0, 0, 0, 9653e5c0 0000 cc530000 
0.0219648, -7.171280E+000, 21964, 0, 0, 0, 207be5c0 0000 cc550000 
0.0224768, -7.173788E+000, 22476, 0, 0, 0, ac8fe5c0 0000 cc570000 
0.0229888, -7.173470E+000, 22988, 0, 0, 0, 128de5c0 0000 cc590000 
0.0235008, -7.158484E+000, 23500, 0, 0, 0, 4d12e5c0 0000 cc5b0000 
0.0240128, -7.171851E+000, 24012, 0, 0, 0, ce7fe5c0 0000 cc5d0000 
0.0245248, -7.164834E+000, 24524, 0, 0, 0, 5246e5c0 0000 cc5f0000 
0.0250368, -7.161088E+000, 25036, 0, 0, 0, a127e5c0 0000 cc610000 
0.0255488, -7.163532E+000, 25548, 0, 0, 0, a83be5c0 0000 cc630000 
0.0260608, -7.164199E+000, 26060, 0, 0, 0, 1f41e5c0 0000 cc650000 
0.0265728, -7.172835E+000, 26572, 0, 0, 0, de87e5c0 0000 cc670000 
0.0270848, -7.175439E+000, 27084, 0, 0, 0, 339de5c0 0000 cc690000 
0.0275968, -7.180901E+000, 27596, 0, 0, 0, f0c9e5c0 0000 cc6b0000 
0.0281088, -7.191156E+000, 28108, 0, 0, 0, f31de6c0 0000 cc6d0000 
0.0286208, -7.178551E+000, 28620, 0, 0, 0, b0b6e5c0 0000 cc6f0000 
0.0291328, -7.193029E+000, 29132, 0, 0, 0, 4c2de6c0 0000 cc710000 
0.0296448, -7.179376E+000, 29644, 0, 0, 0, 73bde5c0 0000 cc730000 
0.0301568, -7.181186E+000, 30156, 0, 0, 0, 47cce5c0 0000 cc750000 
0.0306688, -7.181758E+000, 30668, 0, 0, 0, f6d0e5c0 0000 cc770000 
0.0311808, -7.192839E+000, 31180, 0, 0, 0, bd2be6c0 0000 cc790000 
0.0316928, -7.184488E+000, 31692, 0, 0, 0, 54e7e5c0 0000 cc7b0000 
0.0322048, -7.188299E+000, 32204, 0, 0, 0, 8b06e6c0 0000 cc7d0000 
0.0327168, -7.189346E+000, 32716, 0, 0, 0, 200fe6c0 0000 cc7f0000 
0.0332288, -7.176646E+000, 33228, 0, 0, 0, 15a7e5c0 0000 cc810000 
0.0337408, -7.183980E+000, 33740, 0, 0, 0, 2be3e5c0 0000 cc830000 
0.0342528, -7.172994E+000, 34252, 0, 0, 0, 2b89e5c0 0000 cc850000 
