Meter S/N:, "REV_FA_2"
Sensor, Thermo, Quad, x1, LM-20 QUAD HD
Date, 3/16/2015 1:27:13 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.9000000, 8.21496E-003, 0.000, 0.000, 900000, 0, 0, 0, 0a98063c 00000000 00000000 0000 a0bb0d00 
1.9000000, 9.97152E-003, 0.425, 5.536, 1900010, 0, 0, 0, 945f233c 2e89d93e 6c24b140 0000 eafd1c00 
2.9000000, 1.16199E-002, 1.856, 4.867, 2900010, 0, 0, 0, 42613e3c bfa1ed3f 2abd9b40 0000 2a402c00 
3.9000000, 1.09871E-002, 1.430, 6.310, 3900000, 0, 0, 0, 2403343c 070fb73f fae9c940 0000 60823b00 
4.9000000, 1.10519E-002, 1.454, 3.089, 4900000, 0, 0, 0, 3513353c 211cba3f 17b14540 0000 a0c44a00 
5.9000000, 7.06791E-003, 0.000, 0.000, 5898990, 0, 0, 0, e399e73b 00000000 00000000 0000 ee025a00 
6.9000000, 1.11089E-002, 2.189, 6.820, 6900000, 0, 0, 0, 1d02363c 61160c40 043eda40 0000 20496900 
7.9000000, 1.10474E-002, 0.412, 6.537, 7900000, 0, 0, 0, 0200353c 2bb4d23e b232d140 0000 608b7800 
8.9000000, 1.10076E-002, -3.899, 8.323, 8900010, 0, 0, 0, 0b59343c 378c79c0 6a2c0541 0000 aacd8700 
9.9000000, 1.01951E-002, -0.422, 5.141, 9900000, 0, 0, 0, 4009273c 774ed8be 2280a440 0000 e00f9700 
10.9000000, 8.64594E-003, 0.000, 0.000, 10898990, 0, 0, 0, b8a70d3c 00000000 00000000 0000 2e4ea600 
11.9000000, 9.45470E-003, 0.000, 0.000, 11898990, 0, 0, 0, e7e71a3c 00000000 00000000 0000 6e90b500 
12.9000000, 8.66151E-003, 0.000, 0.000, 12898990, 0, 0, 0, 04e90d3c 00000000 00000000 0000 aed2c400 
13.9000000, 9.68334E-003, 0.000, 0.000, 13898990, 0, 0, 0, e0a61e3c 00000000 00000000 0000 ee14d400 
14.9000000, 1.01983E-002, 1.923, 6.386, 14900010, 0, 0, 0, bb16273c da26f63f e55ccc40 0000 2a5be300 
15.9000000, 8.88057E-003, 0.000, 0.000, 15900000, 0, 0, 0, cd7f113c 00000000 00000000 0000 609df200 
16.9000000, 8.78602E-003, 0.000, 0.000, 16900000, 0, 0, 0, 3af30f3c 00000000 00000000 0000 a0df0101 
17.9000000, 9.36174E-003, 0.000, 0.000, 17900000, 0, 0, 0, f861193c 00000000 00000000 0000 e0211101 
18.9000000, 1.02741E-002, 1.127, 5.526, 18900010, 0, 0, 0, 8f54283c 1242903f 1ed5b040 0000 2a642001 
19.9000000, 8.60096E-003, 0.000, 0.000, 19900000, 0, 0, 0, 0beb0c3c 00000000 00000000 0000 60a62f01 
