Meter S/N:," ""serial number""",,,
Sensor, THERMO,SINGLE, 150W-HD,
Date, 2/19/2014 11:18:18 AM,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000006,0.925839782,0,0,0
0.000013,1.120611191,10,0,0
0.000019,1.330973744,20,0,0
0.000026,1.538489819,20,0,0
0.000032,1.750433207,30,0,0
0.000038,1.964033008,40,0,0
0.000045,2.182291031,40,0,0
0.000051,2.390815258,50,0,0
0.000058,8.921196938,60,0,0
0.000064,16.68004608,60,16, Overrange
0.00007,16.68007278,70,16, Overrange
0.000077,16.68005562,70,16, Overrange
0.000083,16.68009567,80,16, Overrange
0.00009,16.68007278,90,16, Overrange
0.000096,16.68011665,90,16, Overrange
0.000102,16.68001556,100,16, Overrange
0.000109,16.68003654,110,16, Overrange
0.000115,16.68012619,110,16, Overrange
0.000122,16.68013954,120,16, Overrange
0.000128,16.68011284,130,16, Overrange
0.000134,16.6802063,130,16, Overrange
0.000141,16.68014908,140,16, Overrange
0.000147,16.68013954,140,16, Overrange
0.000154,16.6801796,150,16, Overrange
0.00016,16.68008232,160,16, Overrange
0.000166,16.68009949,160,16, Overrange
0.000173,16.6802063,170,16, Overrange
0.000179,16.6801033,180,16, Overrange
0.000186,16.68024254,180,16, Overrange
0.000192,16.68021965,190,16, Overrange
0.000198,16.6801796,200,16, Overrange
0.000205,16.68018913,200,16, Overrange
0.000211,16.68006325,210,16, Overrange
0.000218,16.68008614,220,16, Overrange
0.000224,16.68014908,220,16, Overrange
0.00023,16.68006897,230,16, Overrange
0.000237,16.68003654,230,16, Overrange
0.000243,16.68006325,240,16, Overrange
0.00025,16.68009567,250,16, Overrange
0.000256,16.68011665,250,16, Overrange
0.000262,16.68003654,260,16, Overrange
0.000269,16.68005562,270,16, Overrange
0.000275,16.68011284,270,16, Overrange
0.000282,16.68006897,280,16, Overrange
0.000288,16.68005943,290,16, Overrange
0.000294,16.68008614,290,16, Overrange
0.000301,16.68017006,300,16, Overrange
0.000307,16.68015289,300,16, Overrange
0.000314,16.68013,310,16, Overrange
0.00032,16.68022346,320,16, Overrange
0.000326,16.68020248,320,16, Overrange
0.000333,16.68025017,330,16, Overrange
0.000339,16.68005562,340,16, Overrange
0.000346,16.6800766,340,16, Overrange
0.000352,16.68018913,350,16, Overrange
0.000358,16.68013573,360,16, Overrange
0.000365,16.68008232,360,16, Overrange
0.000371,16.6800766,370,16, Overrange
0.000378,16.68007278,380,16, Overrange
0.000384,16.6800499,380,16, Overrange
0.00039,16.68016624,390,16, Overrange
0.000397,16.68010902,390,16, Overrange
0.000403,16.68013,400,16, Overrange
0.00041,16.6799984,410,16, Overrange
0.000416,16.67998505,410,16, Overrange
0.000422,16.68009949,420,16, Overrange
0.000429,16.68003654,430,16, Overrange
0.000435,16.68003273,430,16, Overrange
0.000442,16.68009949,440,16, Overrange
0.000448,16.68003654,450,16, Overrange
0.000454,16.68002892,450,16, Overrange
0.000461,16.68003273,460,16, Overrange
0.000467,16.68013,460,16, Overrange
0.000474,16.6800499,470,16, Overrange
0.00048,16.68013,480,16, Overrange
0.000486,16.6800766,480,16, Overrange
0.000493,16.68008232,490,16, Overrange
0.000499,16.6800766,500,16, Overrange
0.000506,16.68018341,500,16, Overrange
0.000512,16.68014908,510,16, Overrange
0.000518,16.68011284,520,16, Overrange
0.000525,16.68011284,520,16, Overrange
0.000531,16.68013573,530,16, Overrange
0.000538,16.68005562,540,16, Overrange
0.000544,16.68014908,540,16, Overrange
0.00055,16.6800766,550,16, Overrange
0.000557,16.68008232,550,16, Overrange
0.000563,16.68006897,560,16, Overrange
0.00057,16.68007278,570,16, Overrange
0.000576,16.68016243,570,16, Overrange
0.000582,16.68000603,580,16, Overrange
0.000589,16.68002892,590,16, Overrange
0.000595,16.68005562,590,16, Overrange
0.000602,16.68006897,600,16, Overrange
