Meter S/N: Not_Serialized,
Sensor S/N: 0585A00
SUN JUN  9 17:03:14 2013,
Measurement,PulsePeriod(usec)
-1.1554183E-02,         0
-1.1505634E-02,         0
-1.2689412E-02,         0
-1.2126393E-02,         0
-1.1873807E-02,         0
-1.2382961E-02,         0
-1.0975001E-02,         0
-8.6495886E-03,         0
-9.0406118E-03,         0
-9.1917766E-03,         0
-8.7406915E-03,         0
-8.1947288E-03,         0
-8.9479107E-03,         0
-9.8650651E-03,         0
-1.1290343E-02,         0
-1.1673739E-02,         0
-9.9091455E-03,         0
-1.1045542E-02,         0
-1.2747238E-02,         0
-1.2130242E-02,         0
-1.1071110E-02,         0
-4.9538692E-03,         0
+1.1657378E-02,         0
+1.0549591E-02,         0
+1.4174483E-02,         0
+2.7672652E-02,         0
+2.4476264E-02,         0
+3.4850694E-02,         0
+4.6788543E-02,         0
+4.6549119E-02,         0
+4.9408063E-02,         0
+5.9181836E-02,         0
+6.4525507E-02,         0
+7.1691714E-02,         0
+8.4622137E-02,         0
+9.7388141E-02,         0
+9.6634798E-02,         0
+7.3837012E-02,         0
+5.1671285E-02,         0
+3.7942711E-02,         0
+3.6048278E-02,         0
+4.0963188E-02,         0
+7.9717539E-02,         0
+8.1019834E-02,         0
+8.7836154E-02,         0
+7.1529634E-02,         0
+6.1457969E-02,         0
+5.7454377E-02,         0
+6.0510755E-02,         0
+6.9984138E-02,         0
+7.1931295E-02,         0
+8.7525718E-02,         0
+8.0007270E-02,         0
+9.0568118E-02,         0
+8.4639028E-02,         0
+8.6267658E-02,         0
+9.1475010E-02,         0
+1.0770321E-01,         0
+1.0705426E-01,         0
+1.2021007E-01,         0
+1.0465012E-01,         0
+1.1572807E-01,         0
+1.0033718E-01,         0
+1.0776951E-01,         0
+9.6374258E-02,         0
+8.9690283E-02,         0
+8.1336096E-02,         0
+7.6211028E-02,         0
+7.8973874E-02,         0
+8.0463842E-02,         0
+8.1292450E-02,         0
+8.0909163E-02,         0
+7.7658951E-02,         0
+8.3404519E-02,         0
+8.3331369E-02,         0
+8.5389048E-02,         0
+8.0353223E-02,         0
+7.6422542E-02,         0
+7.8382403E-02,         0
+8.5518174E-02,         0
+8.6036585E-02,         0
+8.2330294E-02,         0
+8.3849475E-02,         0
+8.4090993E-02,         0
+7.7060938E-02,         0
+7.4931443E-02,         0
+7.6574132E-02,         0
+7.8726709E-02,         0
+7.8720197E-02,         0
+8.1221342E-02,         0
+8.1610516E-02,         0
+8.3356872E-02,         0
+8.2917161E-02,         0
+8.1547864E-02,         0
+8.2957715E-02,         0
+8.9406446E-02,         0
+8.8790283E-02,         0
+8.6164750E-02,         0
+8.5592352E-02,         0
+8.6660117E-02,         0
+8.7491229E-02,         0
+8.6289063E-02,         0
+8.5131712E-02,         0
+8.7620035E-02,         0
+8.9851044E-02,         0
+8.8729344E-02,         0
+8.6044654E-02,         0
+9.1878071E-02,         0
+8.9925349E-02,         0
+8.9482680E-02,         0
+9.7605020E-02,         0
+1.0359526E-01,         0
+1.1118656E-01,         0
+1.1148607E-01,         0
+9.0197705E-02,         0
+7.7015743E-02,         0
+7.2412744E-02,         0
+7.5411394E-02,         0
+7.7525876E-02,         0
+1.0002891E-01,         0
+1.1481784E-01,         0
+1.2203102E-01,         0
+1.1819502E-01,         0
+1.0472597E-01,         0
+9.2742711E-02,         0
+8.9456476E-02,         0
+9.0916350E-02,         0
+9.0167791E-02,         0
+8.8646382E-02,         0
+9.1116391E-02,         0
+9.2659302E-02,         0
+9.6481435E-02,         0
+9.9426955E-02,         0
+9.8926827E-02,         0
+9.5431007E-02,         0
+9.0010442E-02,         0
+8.9381225E-02,         0
+9.2425719E-02,         0
+8.2319364E-02,         0
+4.6542417E-02,         0
+4.7555227E-02,         0
+5.3751424E-02,         0
+3.3893123E-02,         0
+1.8113324E-02,         0
+1.1357386E-02,         0
+4.0247794E-03,         0
+1.2672761E-02,         0
+2.0271394E-02,         0
+2.2921147E-02,         0
+2.7860966E-02,         0
