0559D10R
10/24/2014 11:50:41 AM
Sample#,Timestamp,"0559D10R":Watts
259,11:50:41 AM - 10/24/2014,1.708E-3
260,11:50:41 AM - 10/24/2014,2.832E-3
261,11:50:41 AM - 10/24/2014,2.389E-3
262,11:50:42 AM - 10/24/2014,2.461E-3
263,11:50:42 AM - 10/24/2014,2.746E-3
264,11:50:42 AM - 10/24/2014,3.047E-3
265,11:50:42 AM - 10/24/2014,2.209E-3
266,11:50:42 AM - 10/24/2014,1.226E-3
267,11:50:42 AM - 10/24/2014,1.649E-3
268,11:50:42 AM - 10/24/2014,2.186E-3
269,11:50:42 AM - 10/24/2014,2.349E-3
270,11:50:42 AM - 10/24/2014,2.215E-3
271,11:50:42 AM - 10/24/2014,1.275E-3
272,11:50:43 AM - 10/24/2014,1.295E-3
273,11:50:43 AM - 10/24/2014,2.262E-3
274,11:50:43 AM - 10/24/2014,2.508E-3
275,11:50:43 AM - 10/24/2014,2.440E-3
276,11:50:43 AM - 10/24/2014,1.493E-3
277,11:50:43 AM - 10/24/2014,1.938E-3
278,11:50:43 AM - 10/24/2014,1.968E-3
279,11:50:43 AM - 10/24/2014,2.243E-3
280,11:50:43 AM - 10/24/2014,3.580E-3
281,11:50:43 AM - 10/24/2014,3.110E-3
282,11:50:44 AM - 10/24/2014,2.908E-3
283,11:50:44 AM - 10/24/2014,2.917E-3
284,11:50:44 AM - 10/24/2014,2.992E-3
285,11:50:44 AM - 10/24/2014,4.167E-3
286,11:50:44 AM - 10/24/2014,2.572E-3
287,11:50:44 AM - 10/24/2014,7.728E-4
288,11:50:44 AM - 10/24/2014,1.242E-3
289,11:50:44 AM - 10/24/2014,8.192E-4
290,11:50:44 AM - 10/24/2014,1.520E-3
291,11:50:44 AM - 10/24/2014,1.429E-3
292,11:50:45 AM - 10/24/2014,1.845E-3
293,11:50:45 AM - 10/24/2014,2.825E-3
294,11:50:45 AM - 10/24/2014,1.617E-3
295,11:50:45 AM - 10/24/2014,8.759E-4
296,11:50:45 AM - 10/24/2014,1.251E-3
297,11:50:45 AM - 10/24/2014,1.782E-3
298,11:50:45 AM - 10/24/2014,2.694E-3
299,11:50:45 AM - 10/24/2014,3.102E-3
300,11:50:45 AM - 10/24/2014,2.663E-3
301,11:50:45 AM - 10/24/2014,2.714E-3
302,11:50:46 AM - 10/24/2014,3.199E-3
303,11:50:46 AM - 10/24/2014,2.737E-3
304,11:50:46 AM - 10/24/2014,1.871E-3
305,11:50:46 AM - 10/24/2014,1.455E-3
306,11:50:46 AM - 10/24/2014,1.841E-3
307,11:50:46 AM - 10/24/2014,3.880E-4
308,11:50:46 AM - 10/24/2014,1.682E-3
309,11:50:46 AM - 10/24/2014,3.592E-3
310,11:50:46 AM - 10/24/2014,2.012E-3
311,11:50:46 AM - 10/24/2014,1.624E-3
312,11:50:47 AM - 10/24/2014,2.530E-3
313,11:50:47 AM - 10/24/2014,2.633E-3
314,11:50:47 AM - 10/24/2014,1.504E-3
315,11:50:47 AM - 10/24/2014,1.477E-3
316,11:50:47 AM - 10/24/2014,2.621E-3
317,11:50:47 AM - 10/24/2014,4.021E-3
318,11:50:47 AM - 10/24/2014,2.701E-3
