Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, JMAXX
Date, 11/15/2013 1:14:25 PM
Timestamp, Measurement, PulsePeriod(uSec) 
0.000051, 130.4486, 160
0.000102, 130.4475, 210
0.000154, 130.4487, 250
0.000205, 130.4493, 300
0.000256, 130.4504, 350
0.000307, 130.45, 420
0.000358, 130.4505, 460
0.000410, 130.449, 510
0.000461, 130.4483, 560
0.000512, 130.4486, 610
0.000563, 130.4489, 680
0.000614, 130.4474, 720
0.000666, 133.0547, 770
0.000717, 133.1204, 820
0.000768, 133.1204, 870
0.000819, 132.9326, 920
0.000870, 130.4513, 970
0.000922, 130.448, 1020
0.000973, 130.4492, 1070
0.001024, 130.4493, 1120
0.001075, 130.4492, 1180
0.001126, 130.4489, 1220
0.001178, 130.4502, 1280
0.001229, 130.4466, 1330
0.001280, 130.4467, 1400
0.001331, 130.4472, 1440
0.001382, 130.4483, 1490
0.001434, 130.4466, 1540
0.001485, 130.4456, 1590
0.001536, 130.4474, 1640
0.001587, 130.4471, 1690
0.001638, 131.6334, 1740
0.001690, 133.1179, 1790
0.001741, 133.1192, 1830
0.001792, 133.1193, 1910
0.001843, 131.6801, 1950
0.001894, 130.4494, 1990
0.001946, 130.4492, 2040
0.001997, 130.45, 2090
0.002048, 130.4497, 2170
0.002099, 130.4505, 2210
0.002150, 130.4478, 2250
0.002202, 130.4474, 2300
0.002253, 130.4477, 2350
0.002304, 130.4489, 2410
0.002355, 130.4475, 2460
0.002406, 130.447, 2510
0.002458, 130.4477, 2550
0.002509, 130.4501, 2600
0.002560, 130.4481, 2680
0.002611, 130.4479, 2720
0.002662, 132.8862, 2770
0.002714, 133.1192, 2810
0.002765, 133.1213, 2870
0.002816, 133.1004, 2920
0.002867, 130.4498, 2970
0.002918, 130.4484, 3020
0.002970, 130.4486, 3070
0.003021, 130.4506, 3120
0.003072, 130.4493, 3180
0.003123, 130.4499, 3220
0.003174, 130.4508, 3280
0.003226, 130.45, 3320
0.003277, 130.4488, 3390
0.003328, 130.4487, 3430
0.003379, 130.4521, 3480
0.003430, 130.4488, 3530
0.003482, 130.449, 3590
0.003533, 130.4473, 3640
0.003584, 130.447, 3690
0.003635, 131.4684, 3730
0.003686, 133.1188, 3790
0.003738, 133.1192, 3840
0.003789, 133.1191, 3900
0.003840, 131.8477, 3950
0.003891, 130.4488, 4000
0.003942, 130.4479, 4040
0.003994, 130.4482, 4090
0.004045, 130.4493, 4160
0.004096, 130.4489, 4210
0.004147, 130.4487, 4250
0.004198, 130.4465, 4290
0.004250, 130.4481, 4350
0.004301, 130.4483, 4410
0.004352, 130.447, 4450
0.004403, 130.4486, 4500
0.004454, 130.4495, 4550
0.004506, 130.4484, 4600
0.004557, 130.4508, 4670
0.004608, 130.4458, 4710
0.004659, 132.7166, 4840
0.004710, 133.1178, 4900
0.004762, 133.1199, 4940
0.004813, 133.1174, 4990
0.004864, 130.5965, 5040
0.004915, 130.4482, 5090
0.004966, 130.4465, 5150
0.005018, 130.4482, 5200
0.005069, 130.4477, 5240
0.005120, 130.4497, 5290
0.005171, 130.4487, 5340
0.005222, 130.4496, 5400
0.005274, 130.4499, 5440
0.005325, 130.4525, 5490
0.005376, 130.4521, 5540
0.005427, 130.4514, 5590
0.005478, 130.4506, 5640
0.005530, 130.4506, 5690
0.005581, 130.4499, 5740
0.005632, 131.3003, 5790
0.005683, 133.1196, 5830
0.005734, 133.1199, 5890
0.005786, 133.1208, 5940
0.005837, 132.0194, 5990
0.005888, 130.4507, 6030
0.005939, 130.4508, 6080
0.005990, 130.4501, 6140
0.006042, 130.4507, 6190
0.006093, 130.4486, 6230
0.006144, 130.4485, 6290
0.006195, 130.4501, 6330
0.006246, 130.4467, 6390
0.006298, 130.449, 6440
0.006349, 130.4492, 6490
0.006400, 130.4489, 6530
0.006451, 130.4508, 6580
0.006502, 130.4487, 6640
0.006554, 130.4481, 6690
0.006605, 130.4487, 6730
0.006656, 132.5509, 6790
0.006707, 133.1199, 6830
0.006758, 133.1198, 6890
0.006810, 133.1191, 6940
0.006861, 130.7663, 6990
0.006912, 130.4507, 7040
0.006963, 130.4502, 7090
0.007014, 130.4471, 7150
0.007066, 130.448, 7200
0.007117, 130.4473, 7240
0.007168, 130.4479, 7290
0.007219, 130.4463, 7340
0.007270, 130.4501, 7400
0.007322, 130.448, 7440
0.007373, 130.4482, 7490
0.007424, 130.4484, 7540
0.007475, 130.4493, 7590
0.007526, 130.4497, 7650
0.007578, 130.4507, 7700
0.007629, 131.1333, 7740
0.007680, 133.1177, 7790
0.007731, 133.1194, 7830
0.007782, 133.1187, 7900
0.007834, 132.1833, 7940
0.007885, 130.4485, 8760
0.007936, 130.4501, 8820
0.007987, 130.4508, 8870
0.008038, 130.451, 8930
0.008090, 130.4503, 8980
0.008141, 130.451, 9020
0.008192, 130.4498, 9070
0.008243, 130.45, 9110
0.008294, 130.4514, 9180
0.008346, 130.4507, 9220
0.008397, 130.4478, 9270
0.008448, 130.448, 9320
0.008499, 130.4495, 9360
0.008550, 130.45, 9420
0.008602, 130.4488, 9470
0.008653, 132.3828, 9520
0.008704, 133.1203, 9570
0.008755, 133.1198, 9610
0.008806, 133.1179, 9670
0.008858, 130.9367, 9720
0.008909, 130.4509, 9770
0.008960, 130.4503, 9810
0.009011, 130.45, 9860
0.009062, 130.4504, 9920
0.009114, 130.4487, 9970
0.009165, 130.4487, 10020
0.009216, 130.4501, 10070
0.009267, 130.4503, 10110
0.009318, 130.4489, 10170
0.009370, 130.4491, 10220
0.009421, 130.4491, 10270
0.009472, 130.4498, 10310
0.009523, 130.4508, 10360
0.009574, 130.449, 10420
0.009626, 130.9632, 10470
0.009677, 133.1201, 10520
0.009728, 133.1207, 10570
0.009779, 133.1203, 10610
0.009830, 132.3552, 10670
0.009882, 130.45, 10720
0.009933, 130.4507, 10770
0.009984, 130.4511, 10810
0.010035, 130.4503, 10850
0.010086, 130.448, 10920
0.010138, 130.4484, 10970
0.010189, 130.4507, 11010
0.010240, 130.4491, 11060
0.010291, 130.4513, 11110
0.010342, 130.449, 11170
0.010394, 130.4514, 11210
0.010445, 130.4493, 11260
0.010496, 130.4502, 11310
0.010547, 130.4505, 11350
0.010598, 130.4514, 11410
0.010650, 132.2155, 11450
0.010701, 133.1193, 11500
0.010752, 133.1182, 11540
0.010803, 133.1217, 11600
0.010854, 131.1035, 11650
0.010906, 130.4495, 11700
0.010957, 130.4489, 11740
0.011008, 130.4514, 11790
0.011059, 130.4504, 11830
0.011110, 130.4505, 11900
0.011162, 130.45, 11940
0.011213, 130.4495, 11990
0.011264, 130.452, 12030
0.011315, 130.4513, 12080
0.011366, 130.4487, 12140
0.011418, 130.4491, 12190
0.011469, 130.4464, 12230
0.011520, 130.4483, 12290
0.011571, 130.4469, 12330
0.011622, 130.7957, 12390
0.011674, 133.1185, 12440
0.011725, 133.1164, 12490
0.011776, 133.1174, 12530
0.011827, 132.5216, 12580
0.011878, 130.4486, 12640
0.011930, 130.4478, 12690
0.011981, 130.4477, 12730
0.012032, 130.4501, 12790
0.012083, 130.4483, 12830
0.012134, 130.4485, 12890
0.012186, 130.4484, 12940
0.012237, 130.4486, 12990
0.012288, 130.4488, 13030
0.012339, 130.4501, 13080
0.012390, 130.4483, 13140
0.012442, 130.4482, 13190
0.012493, 130.4491, 13230
0.012544, 130.4473, 13290
0.012595, 130.4492, 13330
0.012646, 132.0489, 13390
0.012698, 133.1176, 13440
0.012749, 133.1187, 13490
0.012800, 133.1233, 13530
0.012851, 131.2726, 13590
0.012902, 130.4513, 13640
0.012954, 130.4507, 13690
0.013005, 130.4505, 13740
0.013056, 130.4476, 13790
0.013107, 130.4467, 13830
0.013158, 130.4465, 13890
0.013210, 130.4482, 13940
0.013261, 130.4494, 13990
0.013312, 130.4484, 14030
0.013363, 130.4487, 14080
0.013414, 130.4491, 14130
0.013466, 130.4502, 14190
0.013517, 130.4506, 14230
0.013568, 130.4492, 14280
0.013619, 130.6287, 14330
0.013670, 133.1182, 14390
0.013722, 133.1185, 14430
0.013773, 133.1197, 14480
0.013824, 132.6896, 14530
0.013875, 130.4487, 14580
0.013926, 130.4469, 14620
0.013978, 130.4456, 14690
0.014029, 130.4476, 14730
0.014080, 130.4466, 14780
0.014131, 130.448, 14830
0.014182, 130.4477, 14970
0.014234, 130.4478, 15010
0.014285, 130.4472, 15060
0.014336, 130.446, 15110
0.014387, 130.4482, 15170
0.014438, 130.4489, 15210
0.014490, 130.4503, 15260
0.014541, 130.4512, 15310
0.014592, 130.4492, 15350
0.014643, 131.8776, 15410
0.014694, 133.1178, 15450
0.014746, 133.1194, 15500
0.014797, 133.1193, 15540
0.014848, 131.438, 15600
0.014899, 130.4499, 15650
0.014950, 130.4494, 15700
0.015002, 130.4495, 15740
0.015053, 130.4512, 15790
0.015104, 130.4501, 15840
0.015155, 130.4494, 15900
0.015206, 130.45, 15940
0.015258, 130.452, 15990
0.015309, 130.4484, 16040
0.015360, 130.4488, 16090
0.015411, 130.4455, 16150
0.015462, 130.4488, 16190
0.015514, 130.4485, 16240
0.015565, 130.4506, 16290
0.015616, 130.4631, 16330
0.015667, 133.1177, 16400
0.015718, 133.1184, 16440
0.015770, 133.1205, 16490
0.015821, 132.8581, 16530
0.015872, 130.4513, 16580
0.015923, 130.4475, 16640
0.015974, 130.4488, 16690
0.016026, 130.4475, 16730
0.016077, 130.448, 16790
