Meter S/N:," ""REV_DA_10""",,,,
Sensor, Thermo, Single, 0720B14R, 150HD,
Date, 1/21/2015 3:29:31 PM,,,,
Units, W,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
24.7,-0.000202832,24700000,0,0,0
24.8,-0.000189575,24800000,0,0,0
24.9,1.59E-05,24900000,0,0,0
25,-0.000155107,25000000,0,0,0
25.1,-8.75E-05,25100000,0,0,0
25.2,-0.000110033,25200000,0,0,0
25.3,-0.00011401,25300000,0,0,0
25.4,3.05E-05,25400000,0,0,0
25.5,-7.95E-05,25500000,0,0,0
25.6,2.12E-05,25600000,0,0,0
25.7,-0.000178969,25700000,0,0,0
25.8,-0.00037915,25800000,0,0,0
25.9,-0.000239951,25900000,0,0,0
26,9.28E-05,26000000,0,0,0
26.1,-4.91E-05,26100000,0,0,0
26.2,0.000129918,26200000,0,0,0
26.3,7.42E-05,26300000,0,0,0
26.4,-9.28E-06,26400000,0,0,0
26.5,-3.98E-06,26500000,0,0,0
26.6,-6.10E-05,26600000,0,0,0
26.7,-3.18E-05,26700000,0,0,0
26.8,3.71E-05,26800000,0,0,0
26.9,1.59E-05,26900000,0,0,0
27,-2.78E-05,27000000,0,0,0
27.1,8.75E-05,27100000,0,0,0
27.2,-0.000168364,27200000,0,0,0
27.3,8.35E-05,27300000,0,0,0
27.4,0.000144501,27400000,0,0,0
27.5,1.46E-05,27500000,0,0,0
27.6,3.98E-05,27600000,0,0,0
27.7,-4.91E-05,27700000,0,0,0
27.8,-0.00026514,27800000,0,0,0
27.9,-0.000233323,27900000,0,0,0
28,-0.000120639,28000000,0,0,0
28.1,-6.63E-05,28100000,0,0,0
28.2,-6.50E-05,28200000,0,0,0
28.3,-7.16E-05,28300000,0,0,0
28.4,-0.000206809,28400000,0,0,0
28.5,6.63E-06,28500000,0,0,0
28.6,-5.57E-05,28600000,0,0,0
28.7,7.95E-06,28700000,0,0,0
28.8,-0.000221392,28800000,0,0,0
28.9,-8.09E-05,28900000,0,0,0
29,-0.000189575,29000000,0,0,0
29.1,-0.000283699,29100000,0,0,0
29.2,-0.00025586,29200000,0,0,0
29.3,-0.000180295,29300000,0,0,0
29.4,-4.91E-05,29400000,0,0,0
29.5,1.33E-06,29500000,0,0,0
29.6,-5.44E-05,29600000,0,0,0
29.7,4.24E-05,29700000,0,0,0
29.8,-0.000197529,29800000,0,0,0
29.9,-0.000359264,29900000,0,0,0
30,-0.000145827,30000000,0,0,0
30.1,-0.000314191,30100000,0,0,0
30.2,-0.000267791,30200000,0,0,0
30.3,-0.00011401,30300000,0,0,0
30.4,-6.10E-05,30400000,0,0,0
30.5,-0.000315516,30500000,0,0,0
30.6,-0.000171015,30600000,0,0,0
30.7,-0.000217415,30700000,0,0,0
30.8,-0.000254534,30800000,0,0,0
30.9,-3.98E-05,30900000,0,0,0
31,-2.65E-05,31000000,0,0,0
31.1,-0.000169689,31100000,0,0,0
31.2,7.29E-05,31200000,0,0,0
31.3,1.72E-05,31300000,0,0,0
31.4,-0.000277071,31400000,0,0,0
31.5,0.000205483,31500000,0,0,0
31.6,-3.71E-05,31600000,0,0,0
31.7,4.11E-05,31700000,0,0,0
31.8,-3.98E-05,31800000,0,0,0
31.9,-0.000155107,31900000,0,0,0
32,-7.95E-05,32000000,0,0,0
32.1,-0.000135221,32100000,0,0,0
32.2,-9.28E-06,32200000,0,0,0
32.3,-0.000115336,32300000,0,0,0
32.4,-9.28E-05,32400000,0,0,0
32.5,-0.000112684,32500000,0,0,0
32.6,-0.000155107,32600000,0,0,0
32.7,-0.000147153,32700000,0,0,0
32.8,-4.91E-05,32800000,0,0,0
