Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/12/2014 5:32:23 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, 42.3603820800781, 0, 1, TriggerDetected, "08712942 0100 00000000"
0.0000500, 42.3730926513672, 51, 0, 0, "0c7e2942 0000 33000000"
0.0001000, 42.3769607543945, 103, 0, 0, "02822942 0000 67000000"
0.0001500, 31.1346893310547, 154, 0, 0, "d813f941 0000 9a000000"
0.0002000, 16.7510929107666, 205, 0, 0, "3d028641 0000 cd000000"
0.0002500, 16.7451457977295, 256, 0, 0, "0ff68541 0000 00010000"
0.0003000, 16.7396259307861, 307, 0, 0, "c1ea8541 0000 33010000"
0.0003500, 16.7374401092529, 359, 0, 0, "47e68541 0000 67010000"
0.0004000, 16.7387180328369, 410, 0, 0, "e5e88541 0000 9a010000"
0.0004500, 16.7360439300537, 461, 0, 0, "6be38541 0000 cd010000"
0.0005000, 16.7341499328613, 512, 0, 0, "8adf8541 0000 00020000"
0.0005500, 16.7365322113037, 563, 0, 0, "6be48541 0000 33020000"
0.0006000, 16.7352867126465, 615, 0, 0, "dee18541 0000 67020000"
0.0006500, 16.7331371307373, 666, 0, 0, "77dd8541 0000 9a020000"
0.0007000, 16.7383213043213, 717, 0, 0, "15e88541 0000 cd020000"
0.0007500, 16.7321090698242, 768, 0, 0, "5cdb8541 0000 00030000"
0.0008000, 16.7340240478516, 819, 0, 0, "48df8541 0000 33030000"
0.0008500, 16.7355270385742, 871, 0, 0, "5ce28541 0000 67030000"
0.0009000, 16.7353649139404, 922, 0, 0, "07e28541 0000 9a030000"
0.0009500, 38.3484878540039, 973, 1, TriggerDetected, "da641942 0100 cd030000"
0.0010000, 42.37060546875, 1024, 0, 0, "807b2942 0000 00040000"
0.0010500, 42.3752593994141, 1075, 0, 0, "44802942 0000 33040000"
0.0011000, 42.3782577514648, 1127, 0, 0, "56832942 0000 67040000"
0.0011500, 19.1288051605225, 1178, 0, 0, "cb079941 0000 9a040000"
0.0012000, 16.7474555969238, 1229, 0, 0, "cafa8541 0000 cd040000"
0.0012500, 16.7395648956299, 1280, 0, 0, "a1ea8541 0000 00050000"
0.0013000, 16.7405891418457, 1331, 0, 0, "baec8541 0000 33050000"
0.0013500, 16.7437362670898, 1383, 0, 0, "2cf38541 0000 67050000"
0.0014000, 16.7388973236084, 1434, 0, 0, "43e98541 0000 9a050000"
0.0014500, 16.7390365600586, 1485, 0, 0, "8ce98541 0000 cd050000"
0.0015000, 16.7395706176758, 1536, 0, 0, "a4ea8541 0000 00060000"
0.0015500, 16.7388324737549, 1587, 0, 0, "21e98541 0000 33060000"
0.0016000, 16.7396430969238, 1639, 0, 0, "caea8541 0000 67060000"
0.0016500, 16.7368755340576, 1690, 0, 0, "1fe58541 0000 9a060000"
0.0017000, 16.7419357299805, 1741, 0, 0, "7cef8541 0000 cd060000"
0.0017500, 16.7386989593506, 1792, 0, 0, "dbe88541 0000 00070000"
0.0018000, 16.7374401092529, 1843, 0, 0, "47e68541 0000 33070000"
0.0018500, 16.7367668151855, 1895, 0, 0, "e6e48541 0000 67070000"
0.0019000, 24.7116851806641, 1946, 0, 0, "88b1c541 0000 9a070000"
0.0019500, 42.3635940551758, 1997, 1, TriggerDetected, "52742942 0100 cd070000"
0.0020000, 42.3775405883789, 2048, 0, 0, "9a822942 0000 00080000"
0.0020500, 42.3784828186035, 2099, 0, 0, "91832942 0000 33080000"
0.0021000, 32.768985748291, 2151, 0, 0, "71130342 0000 67080000"
0.0021500, 16.7526378631592, 2202, 0, 0, "67058641 0000 9a080000"
0.0022000, 16.7392578125, 2253, 0, 0, "00ea8541 0000 cd080000"
0.0022500, 16.7439956665039, 2304, 0, 0, "b4f38541 0000 00090000"
0.0023000, 16.743350982666, 2355, 0, 0, "62f28541 0000 33090000"
0.0023500, 16.7375068664551, 2407, 0, 0, "6ae68541 0000 67090000"
0.0024000, 16.7374458312988, 2458, 0, 0, "4ae68541 0000 9a090000"
0.0024500, 16.7374286651611, 2509, 0, 0, "41e68541 0000 cd090000"
0.0025000, 16.737512588501, 2560, 0, 0, "6de68541 0000 000a0000"
0.0025500, 16.737548828125, 2611, 0, 0, "80e68541 0000 330a0000"
0.0026000, 16.7355213165283, 2663, 0, 0, "59e28541 0000 670a0000"
0.0026500, 16.7391090393066, 2714, 0, 0, "b2e98541 0000 9a0a0000"
0.0027000, 16.7420082092285, 2765, 0, 0, "a2ef8541 0000 cd0a0000"
0.0027500, 16.7399444580078, 2816, 0, 0, "68eb8541 0000 000b0000"
0.0028000, 16.7422065734863, 2867, 0, 0, "0af08541 0000 330b0000"
0.0028500, 16.7390060424805, 2919, 0, 0, "7ce98541 0000 670b0000"
0.0029000, 36.6999473571777, 2970, 1, TriggerDetected, "bfcc1242 0100 9a0b0000"
0.0029500, 42.3723983764648, 3021, 0, 0, "567d2942 0000 cd0b0000"
0.0030000, 42.377799987793, 3072, 0, 0, "de822942 0000 000c0000"
0.0030500, 42.3797187805176, 3123, 0, 0, "d5842942 0000 330c0000"
0.0031000, 20.7305793762207, 3175, 0, 0, "3ad8a541 0000 670c0000"
0.0031500, 16.7421646118164, 3226, 0, 0, "f4ef8541 0000 9a0c0000"
0.0032000, 16.7406311035156, 3277, 0, 0, "d0ec8541 0000 cd0c0000"
0.0032500, 16.7412624359131, 3328, 0, 0, "1bee8541 0000 000d0000"
0.0033000, 16.738597869873, 3379, 0, 0, "a6e88541 0000 330d0000"
0.0033500, 16.7375011444092, 3431, 0, 0, "67e68541 0000 670d0000"
0.0034000, 16.7363758087158, 3482, 0, 0, "19e48541 0000 9a0d0000"
0.0034500, 16.7354602813721, 3533, 0, 0, "39e28541 0000 cd0d0000"
0.0035000, 16.7338523864746, 3584, 0, 0, "eede8541 0000 000e0000"
0.0035500, 16.7383213043213, 3635, 0, 0, "15e88541 0000 330e0000"
0.0036000, 16.7324810028076, 3687, 0, 0, "1fdc8541 0000 670e0000"
0.0036500, 16.7349662780762, 3738, 0, 0, "36e18541 0000 9a0e0000"
0.0037000, 16.7339859008789, 3789, 0, 0, "34df8541 0000 cd0e0000"
0.0037500, 16.737548828125, 3840, 0, 0, "80e68541 0000 000f0000"
0.0038000, 16.7362022399902, 3891, 0, 0, "bee38541 0000 330f0000"
0.0038500, 23.1064147949219, 3943, 0, 0, "f0d9b841 0000 670f0000"
0.0039000, 42.3640594482422, 3994, 1, TriggerDetected, "cc742942 0100 9a0f0000"
0.0039500, 42.3696365356445, 4045, 0, 0, "827a2942 0000 cd0f0000"
0.0040000, 42.3755874633789, 4096, 0, 0, "9a802942 0000 00100000"
0.0040500, 34.3629608154297, 4147, 0, 0, "ac730942 0000 33100000"
0.0041000, 16.7523365020752, 4199, 0, 0, "c9048641 0000 67100000"
0.0041500, 16.7446765899658, 4250, 0, 0, "19f58541 0000 9a100000"
0.0042000, 16.7380771636963, 4301, 0, 0, "95e78541 0000 cd100000"
0.0042500, 16.7365684509277, 4352, 0, 0, "7ee48541 0000 00110000"
0.0043000, 16.7381744384766, 4403, 0, 0, "c8e78541 0000 33110000"
0.0043500, 16.7366409301758, 4455, 0, 0, "a4e48541 0000 67110000"
0.0044000, 16.7385673522949, 4506, 0, 0, "96e88541 0000 9a110000"
0.0044500, 16.7415027618408, 4557, 0, 0, "99ee8541 0000 cd110000"
0.0045000, 16.7421283721924, 4608, 0, 0, "e1ef8541 0000 00120000"
0.0045500, 16.7449226379395, 4659, 0, 0, "9af58541 0000 33120000"
0.0046000, 16.7390365600586, 4711, 0, 0, "8ce98541 0000 67120000"
0.0046500, 16.7421703338623, 4762, 0, 0, "f7ef8541 0000 9a120000"
0.0047000, 16.7386341094971, 4813, 0, 0, "b9e88541 0000 cd120000"
0.0047500, 16.7451095581055, 4864, 0, 0, "fcf58541 0000 00130000"
0.0048000, 16.7413291931152, 4915, 0, 0, "3eee8541 0000 33130000"
0.0048500, 35.135139465332, 4967, 1, TriggerDetected, "628a0c42 0100 67130000"
0.0049000, 42.373950958252, 5018, 0, 0, "ed7e2942 0000 9a130000"
0.0049500, 42.3799171447754, 5069, 0, 0, "09852942 0000 cd130000"
0.0050000, 42.3807411193848, 5120, 0, 0, "e1852942 0000 00140000"
0.0050500, 22.3890972137451, 5171, 0, 0, "df1cb341 0000 33140000"
0.0051000, 16.7457294464111, 5223, 0, 0, "41f78541 0000 67140000"
0.0051500, 16.7433700561523, 5274, 0, 0, "6cf28541 0000 9a140000"
0.0052000, 16.7432861328125, 5325, 0, 0, "40f28541 0000 cd140000"
0.0052500, 16.7434062957764, 5376, 0, 0, "7ff28541 0000 00150000"
0.0053000, 16.7430210113525, 5427, 0, 0, "b5f18541 0000 33150000"
0.0053500, 16.7363815307617, 5479, 0, 0, "1ce48541 0000 67150000"
0.0054000, 16.7362079620361, 5530, 0, 0, "c1e38541 0000 9a150000"
0.0054500, 16.7412757873535, 5581, 0, 0, "22ee8541 0000 cd150000"
0.0055000, 16.7409439086914, 5632, 0, 0, "74ed8541 0000 00160000"
0.0055500, 16.7411556243896, 5683, 0, 0, "e3ed8541 0000 33160000"
0.0056000, 16.7388496398926, 5735, 0, 0, "2ae98541 0000 67160000"
0.0056500, 16.7429180145264, 5786, 0, 0, "7ff18541 0000 9a160000"
0.0057000, 16.7321090698242, 5837, 0, 0, "5cdb8541 0000 cd160000"
0.0057500, 16.7370014190674, 5888, 0, 0, "61e58541 0000 00170000"
0.0058000, 21.4791278839111, 5939, 0, 0, "41d5ab41 0000 33170000"
0.0058500, 42.3634300231934, 5991, 1, TriggerDetected, "27742942 0100 67170000"
0.0059000, 42.3765068054199, 6042, 0, 0, "8b812942 0000 9a170000"
0.0059500, 42.3799705505371, 6093, 0, 0, "17852942 0000 cd170000"
0.0060000, 35.9588813781738, 6144, 0, 0, "e5d50f42 0000 00180000"
0.0060500, 16.7600536346436, 6195, 0, 0, "97148641 0000 33180000"
0.0061000, 16.7410163879395, 6247, 0, 0, "9aed8541 0000 67180000"
0.0061500, 16.7463970184326, 6298, 0, 0, "9ff88541 0000 9a180000"
0.0062000, 16.7374534606934, 6349, 0, 0, "4ee68541 0000 cd180000"
0.0062500, 16.743803024292, 6400, 0, 0, "4ff38541 0000 00190000"
0.0063000, 16.7385063171387, 6451, 0, 0, "76e88541 0000 33190000"
