Meter S/N:, "REV_FA_2"
Sensor, Thermo, Single, Horst, 1D V2
Date, 3/12/2015 12:43:23 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
5.0591232, 1.40235E+001, 5059123, 0, 0, 0
5.0591744, 9.03035E+000, 5059174, 32, UnderRange, 0
5.0592256, 5.77569E+000, 5059225, 32, UnderRange, 0
5.0592768, 4.02602E+000, 5059276, 32, UnderRange, 0
5.0593280, 3.72350E+000, 5059328, 32, UnderRange, 0
5.0593792, 4.98782E+000, 5059379, 32, UnderRange, 0
5.0594304, 7.73825E+000, 5059430, 33, TriggerDetected| UnderRange, 0
5.0594816, 1.20572E+001, 5059481, 32, UnderRange, 0
5.0595328, 1.85604E+001, 5059532, 0, 0, 0
5.0595840, 2.71448E+001, 5059584, 0, 0, 0
5.0596352, 3.70885E+001, 5059635, 0, 0, 0
5.0596864, 4.80750E+001, 5059686, 0, 0, 0
5.0597376, 5.99531E+001, 5059737, 0, 0, 0
5.0597888, 7.19752E+001, 5059788, 0, 0, 0
5.0598400, 8.34759E+001, 5059840, 0, 0, 0
5.0598912, 9.57632E+001, 5059891, 0, 0, 0
5.0599424, 1.07597E+002, 5059942, 0, 0, 0
5.0599936, 1.18624E+002, 5059993, 0, 0, 0
5.0600448, 1.28668E+002, 5060044, 0, 0, 0
5.0600960, 1.37403E+002, 5060096, 16, OverRange, 0
5.0601472, 1.44540E+002, 5060147, 16, OverRange, 0
5.0601984, 1.49987E+002, 5060198, 16, OverRange, 0
5.0602496, 1.53566E+002, 5060249, 16, OverRange, 0
5.0603008, 1.55152E+002, 5060300, 16, OverRange, 0
5.0603520, 1.54753E+002, 5060352, 16, OverRange, 0
5.0604032, 1.52389E+002, 5060403, 16, OverRange, 0
5.0604544, 1.48067E+002, 5060454, 16, OverRange, 0
5.0605056, 1.41920E+002, 5060505, 16, OverRange, 0
5.0605568, 1.34176E+002, 5060556, 0, 0, 0
5.0606080, 1.24863E+002, 5060608, 0, 0, 0
5.0606592, 1.14395E+002, 5060659, 0, 0, 0
5.0607103, 1.03008E+002, 5060710, 0, 0, 0
5.0607616, 9.09756E+001, 5060761, 0, 0, 0
5.0608128, 7.85816E+001, 5060812, 0, 0, 0
5.0608639, 6.62238E+001, 5060864, 0, 0, 0
5.0609152, 5.40825E+001, 5060915, 0, 0, 0
5.0609664, 4.25745E+001, 5060966, 0, 0, 0
5.0610175, 3.20293E+001, 5061017, 0, 0, 0
5.0610688, 2.27089E+001, 5061068, 0, 0, 0
5.0611200, 1.50548E+001, 5061120, 0, 0, 0
5.0611712, 9.71308E+000, 5061171, 32, UnderRange, 0
5.0612224, 6.21119E+000, 5061222, 32, UnderRange, 0
5.0612736, 4.19976E+000, 5061273, 32, UnderRange, 0
5.0613248, 3.69288E+000, 5061324, 32, UnderRange, 0
5.0613760, 4.67333E+000, 5061376, 32, UnderRange, 0
5.0614272, 7.21010E+000, 5061427, 32, UnderRange, 0
5.0614784, 1.12440E+001, 5061478, 33, TriggerDetected| UnderRange, 0
5.0615296, 1.73490E+001, 5061529, 0, 0, 0
5.0615808, 2.56582E+001, 5061580, 0, 0, 0
5.0616320, 3.53931E+001, 5061632, 0, 0, 0
5.0616832, 4.62340E+001, 5061683, 0, 0, 0
5.0617344, 5.79818E+001, 5061734, 0, 0, 0
5.0617856, 7.02353E+001, 5061785, 0, 0, 0
5.0618368, 8.14029E+001, 5061836, 0, 0, 0
5.0618880, 9.37894E+001, 5061888, 0, 0, 0
5.0619392, 1.05712E+002, 5061939, 0, 0, 0
5.0619904, 1.16895E+002, 5061990, 0, 0, 0
5.0620416, 1.27163E+002, 5062041, 0, 0, 0
5.0620928, 1.36120E+002, 5062092, 16, OverRange, 0
5.0621440, 1.43464E+002, 5062144, 16, OverRange, 0
5.0621952, 1.49203E+002, 5062195, 16, OverRange, 0
5.0622464, 1.53113E+002, 5062246, 16, OverRange, 0
5.0622976, 1.55004E+002, 5062297, 16, OverRange, 0
5.0623488, 1.54945E+002, 5062348, 16, OverRange, 0
5.0624000, 1.52894E+002, 5062400, 16, OverRange, 0
5.0624512, 1.48885E+002, 5062451, 16, OverRange, 0
5.0625023, 1.42990E+002, 5062502, 16, OverRange, 0
5.0625536, 1.35504E+002, 5062553, 16, OverRange, 0
5.0626048, 1.26442E+002, 5062604, 0, 0, 0
5.0626559, 1.16156E+002, 5062656, 0, 0, 0
5.0627072, 1.04900E+002, 5062707, 0, 0, 0
5.0627584, 9.29272E+001, 5062758, 0, 0, 0
5.0628095, 8.05767E+001, 5062809, 0, 0, 0
5.0628608, 6.81742E+001, 5062860, 0, 0, 0
5.0629120, 5.59612E+001, 5062912, 0, 0, 0
5.0629632, 4.43433E+001, 5062963, 0, 0, 0
5.0630144, 3.36333E+001, 5063014, 0, 0, 0
5.0630656, 2.41133E+001, 5063065, 0, 0, 0
5.0631168, 1.61309E+001, 5063116, 0, 0, 0
5.0631680, 1.04164E+001, 5063168, 32, UnderRange, 0
5.0632192, 6.66605E+000, 5063219, 32, UnderRange, 0
5.0632704, 4.40889E+000, 5063270, 32, UnderRange, 0
5.0633216, 3.69926E+000, 5063321, 32, UnderRange, 0
5.0633728, 4.38793E+000, 5063372, 32, UnderRange, 0
5.0634240, 6.69860E+000, 5063424, 32, UnderRange, 0
5.0634752, 1.04716E+001, 5063475, 33, TriggerDetected| UnderRange, 0
5.0635264, 1.61937E+001, 5063526, 0, 0, 0
5.0635776, 2.41938E+001, 5063577, 0, 0, 0
5.0636288, 3.37366E+001, 5063628, 0, 0, 0
5.0636800, 4.44262E+001, 5063680, 0, 0, 0
5.0637312, 5.60665E+001, 5063731, 0, 0, 0
5.0637824, 6.82818E+001, 5063782, 0, 0, 0
5.0638336, 7.95565E+001, 5063833, 0, 0, 0
5.0638848, 9.18122E+001, 5063884, 0, 0, 0
5.0639360, 1.03822E+002, 5063936, 0, 0, 0
5.0639872, 1.15190E+002, 5063987, 0, 0, 0
5.0640384, 1.25582E+002, 5064038, 0, 0, 0
5.0640896, 1.34768E+002, 5064089, 0, 0, 0
5.0641408, 1.42389E+002, 5064140, 16, OverRange, 0
5.0641920, 1.48384E+002, 5064192, 16, OverRange, 0
5.0642432, 1.52601E+002, 5064243, 16, OverRange, 0
5.0642944, 1.54817E+002, 5064294, 16, OverRange, 0
5.0643456, 1.55087E+002, 5064345, 16, OverRange, 0
5.0643968, 1.53329E+002, 5064396, 16, OverRange, 0
5.0644479, 1.49614E+002, 5064448, 16, OverRange, 0
5.0644992, 1.44044E+002, 5064499, 16, OverRange, 0
5.0645504, 1.36833E+002, 5064550, 16, OverRange, 0
5.0646015, 1.27971E+002, 5064601, 0, 0, 0
5.0646528, 1.17870E+002, 5064652, 0, 0, 0
5.0647040, 1.06782E+002, 5064704, 0, 0, 0
5.0647551, 9.49198E+001, 5064755, 0, 0, 0
5.0648064, 8.25713E+001, 5064806, 0, 0, 0
5.0648576, 7.01326E+001, 5064857, 0, 0, 0
5.0649088, 5.79130E+001, 5064908, 0, 0, 0
5.0649600, 4.61602E+001, 5064960, 0, 0, 0
5.0650112, 3.53036E+001, 5065011, 0, 0, 0
5.0650624, 2.55705E+001, 5065062, 0, 0, 0
5.0651136, 1.72840E+001, 5065113, 0, 0, 0
5.0651648, 1.11893E+001, 5065164, 32, UnderRange, 0
5.0652160, 7.16487E+000, 5065216, 32, UnderRange, 0
5.0652672, 4.66753E+000, 5065267, 32, UnderRange, 0
5.0653184, 3.72381E+000, 5065318, 32, UnderRange, 0
5.0653696, 4.15470E+000, 5065369, 32, UnderRange, 0
5.0654208, 6.24191E+000, 5065420, 32, UnderRange, 0
5.0654720, 9.75717E+000, 5065472, 33, TriggerDetected| UnderRange, 0
5.0655232, 1.51045E+001, 5065523, 0, 0, 0
5.0655744, 2.27851E+001, 5065574, 0, 0, 0
5.0656256, 3.21107E+001, 5065625, 0, 0, 0
5.0656768, 4.26505E+001, 5065676, 0, 0, 0
