Meter S/N:, "REV-DA_7"
Sensor, PYRO,NOSPEC, 443
Date, 10/24/2014 7:34:44 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 1.21305683933315E-05, 0, 0, 0, 10000
0, 1.21305683933315E-05, 174, 0, 0, 10000
0, 1.2120313840569E-05, 227, 0, 0, 10000
0, 1.21267230497324E-05, 278, 0, 0, 10001
0, 1.2128965863667E-05, 328, 0, 0, 10000
0, 1.2139700629632E-05, 384, 0, 0, 10000
0, 1.21262419270352E-05, 444, 0, 0, 10000
0, 1.21164684969699E-05, 495, 0, 0, 10000
0, 1.21219163702335E-05, 547, 0, 0, 10000
1E-07, 1.21252805911354E-05, 1, 0, 0, 10000
1E-07, 1.21413022498018E-05, 175, 0, 0, 10000
1E-07, 1.21353741633357E-05, 228, 0, 0, 10000
1E-07, 1.21355351438979E-05, 279, 0, 0, 10000
1E-07, 1.21483517432353E-05, 329, 0, 0, 10000
1E-07, 1.21318498713663E-05, 385, 0, 0, 10000
1E-07, 1.21345738079981E-05, 445, 0, 0, 10000
1E-07, 1.21461089293007E-05, 496, 0, 0, 10000
1E-07, 1.21406619655318E-05, 548, 0, 0, 10000
2E-07, 1.21140656119678E-05, 2, 0, 0, 10000
2E-07, 1.21339326142333E-05, 176, 0, 0, 10000
2E-07, 1.21236789709656E-05, 229, 0, 0, 10000
2E-07, 1.21281645988347E-05, 280, 0, 0, 10000
2E-07, 1.21280045277672E-05, 330, 0, 0, 10000
2E-07, 1.21350540212006E-05, 386, 0, 0, 10000
2E-07, 1.21355351438979E-05, 446, 0, 0, 10000
2E-07, 1.21260818559676E-05, 497, 0, 0, 10001
2E-07, 1.2140340913902E-05, 549, 0, 0, 10000
3E-07, 1.2140340913902E-05, 3, 0, 0, 10000
3E-07, 1.212752340507E-05, 177, 0, 0, 10000
3E-07, 1.21299271995667E-05, 230, 0, 0, 10000
3E-07, 1.21297671284992E-05, 281, 0, 0, 10000
3E-07, 1.21296070574317E-05, 331, 0, 0, 10000
3E-07, 1.21278444566997E-05, 387, 0, 0, 10000
3E-07, 1.21246403068653E-05, 447, 0, 0, 10000
3E-07, 1.21278444566997E-05, 498, 0, 0, 10000
3E-07, 1.2131048606534E-05, 550, 0, 0, 10000
4E-07, 1.21294460768695E-05, 4, 0, 0, 10001
4E-07, 1.21445073091309E-05, 178, 0, 0, 10000
4E-07, 1.21429047794663E-05, 231, 0, 0, 10000
4E-07, 1.2131368748669E-05, 282, 0, 0, 10000
4E-07, 1.21380980999675E-05, 332, 0, 0, 10000
4E-07, 1.21241591841681E-05, 388, 0, 0, 10001
4E-07, 1.21305683933315E-05, 448, 0, 0, 10000
4E-07, 1.21332914204686E-05, 499, 0, 0, 10000
4E-07, 1.21352140922681E-05, 551, 0, 0, 10000
5E-07, 1.2139700629632E-05, 5, 0, 0, 10000
5E-07, 1.21260818559676E-05, 179, 0, 0, 10000
5E-07, 1.21265629786649E-05, 232, 0, 0, 10000
5E-07, 1.21451475934009E-05, 283, 0, 0, 10000
5E-07, 1.21172697618022E-05, 333, 0, 0, 10001
5E-07, 1.21291259347345E-05, 389, 0, 0, 10000
5E-07, 1.21329712783336E-05, 449, 0, 0, 10000
5E-07, 1.21334514915361E-05, 500, 0, 0, 10000
5E-07, 1.21315297292313E-05, 552, 0, 0, 10001
6E-07, 1.21264019981027E-05, 6, 0, 0, 10000
6E-07, 1.21270431918674E-05, 180, 0, 0, 10000
6E-07, 1.21288057925995E-05, 233, 0, 0, 10000
6E-07, 1.21376178867649E-05, 284, 0, 0, 10000
6E-07, 1.21288057925995E-05, 334, 0, 0, 10000
6E-07, 1.21409821076668E-05, 390, 0, 0, 10000
6E-07, 1.21348939501331E-05, 450, 0, 0, 10000
6E-07, 1.21230377772008E-05, 501, 0, 0, 10000
6E-07, 1.21195125757367E-05, 553, 0, 0, 10000
7E-07, 1.21264019981027E-05, 7, 0, 0, 10000
7E-07, 1.21409821076668E-05, 181, 0, 0, 10000
7E-07, 1.21369766930002E-05, 234, 0, 0, 10000
7E-07, 1.21366565508652E-05, 285, 0, 0, 10000
7E-07, 1.2130728464399E-05, 335, 0, 0, 10000
7E-07, 1.21283246699022E-05, 391, 0, 0, 10000
7E-07, 1.21355351438979E-05, 451, 0, 0, 10000
7E-07, 1.21401808428345E-05, 502, 0, 0, 10000
7E-07, 1.21260818559676E-05, 554, 0, 0, 10000
8E-07, 1.21318498713663E-05, 8, 0, 0, 10000
8E-07, 1.21320099424338E-05, 182, 0, 0, 10001
8E-07, 1.2121756299166E-05, 235, 0, 0, 10000
8E-07, 1.21236789709656E-05, 286, 0, 0, 10000
8E-07, 1.21227176350658E-05, 336, 0, 0, 10000
8E-07, 1.21288057925995E-05, 392, 0, 0, 10000
8E-07, 1.21267230497324E-05, 452, 0, 0, 10000
8E-07, 1.21249604490004E-05, 503, 0, 0, 10000
8E-07, 1.21347338790656E-05, 555, 0, 0, 10000
9E-07, 1.21251205200679E-05, 9, 0, 0, 10000
9E-07, 1.21379380289E-05, 183, 0, 0, 10000
9E-07, 1.2141463230364E-05, 236, 0, 0, 10000
9E-07, 1.21339326142333E-05, 287, 0, 0, 10000
9E-07, 1.21326511361985E-05, 337, 0, 0, 10000
9E-07, 1.21324901556363E-05, 393, 0, 0, 10000
9E-07, 1.21236789709656E-05, 453, 0, 0, 10000
9E-07, 1.21433849926689E-05, 504, 0, 0, 10000
9E-07, 1.21260818559676E-05, 556, 0, 0, 10000
1E-06, 1.21273633340024E-05, 10, 0, 0, 10000
1E-06, 1.21329712783336E-05, 184, 0, 0, 10000
1E-06, 1.21401808428345E-05, 237, 0, 0, 10001
1E-06, 1.21302473417018E-05, 288, 0, 0, 10000
1E-06, 1.21413022498018E-05, 338, 0, 0, 10000
1E-06, 1.21164684969699E-05, 394, 0, 0, 10000
1E-06, 1.21326511361985E-05, 454, 0, 0, 10000
1E-06, 1.21268831207999E-05, 505, 0, 0, 10000
1E-06, 1.21488328659325E-05, 557, 0, 0, 10000
1.1E-06, 1.21315297292313E-05, 11, 0, 0, 10000
1.1E-06, 1.21256016427651E-05, 185, 0, 0, 10000
1.1E-06, 1.21302473417018E-05, 238, 0, 0, 10000
1.1E-06, 1.21304074127693E-05, 289, 0, 0, 10000
1.1E-06, 1.21209550343337E-05, 339, 0, 0, 10000
1.1E-06, 1.21413022498018E-05, 395, 0, 0, 10000
1.1E-06, 1.21268831207999E-05, 455, 0, 0, 10000
1.1E-06, 1.21190323625342E-05, 506, 0, 0, 10000
1.1E-06, 1.21259217849001E-05, 558, 0, 0, 10000
1.2E-06, 1.21304074127693E-05, 12, 0, 0, 10000
1.2E-06, 1.21374569062027E-05, 186, 0, 0, 10000
1.2E-06, 1.21469101941329E-05, 239, 0, 0, 10000
1.2E-06, 1.21264019981027E-05, 290, 0, 0, 10000
1.2E-06, 1.21441862575011E-05, 340, 0, 0, 10000
1.2E-06, 1.21227176350658E-05, 396, 0, 0, 10000
1.2E-06, 1.21302473417018E-05, 456, 0, 0, 10001
1.2E-06, 1.2141463230364E-05, 507, 0, 0, 10000
1.2E-06, 1.21409821076668E-05, 559, 0, 0, 10000
1.3E-06, 1.21300872706342E-05, 13, 0, 0, 10000
1.3E-06, 1.21300872706342E-05, 187, 0, 0, 10000
1.3E-06, 1.21246403068653E-05, 240, 0, 0, 10000
1.3E-06, 1.21334514915361E-05, 291, 0, 0, 10000
1.3E-06, 1.21228777061333E-05, 341, 0, 0, 10000
1.3E-06, 1.21297671284992E-05, 397, 0, 0, 10000
1.3E-06, 1.21358552860329E-05, 457, 0, 0, 10000
1.3E-06, 1.21214352475363E-05, 508, 0, 0, 10000
1.3E-06, 1.21345738079981E-05, 560, 0, 0, 10000
1.4E-06, 1.2131368748669E-05, 14, 0, 0, 10000
1.4E-06, 1.21337725431658E-05, 188, 0, 0, 10000
1.4E-06, 1.21329712783336E-05, 241, 0, 0, 10000
1.4E-06, 1.21374569062027E-05, 292, 0, 0, 10001
1.4E-06, 1.21361754281679E-05, 342, 0, 0, 10000
1.4E-06, 1.21411421787343E-05, 398, 0, 0, 10000
1.4E-06, 1.21395405585645E-05, 458, 0, 0, 10000
1.4E-06, 1.21305683933315E-05, 509, 0, 0, 10000
1.4E-06, 1.21267230497324E-05, 561, 0, 0, 10000
1.5E-06, 1.21283246699022E-05, 15, 0, 0, 10000
1.5E-06, 1.21464299809304E-05, 189, 0, 0, 10000
1.5E-06, 1.21401808428345E-05, 242, 0, 0, 10000
1.5E-06, 1.21259217849001E-05, 293, 0, 0, 10000
1.5E-06, 1.21256016427651E-05, 343, 0, 0, 10000
1.5E-06, 1.21155071610701E-05, 399, 0, 0, 10000
1.5E-06, 1.21350540212006E-05, 459, 0, 0, 10000
1.5E-06, 1.21284847409697E-05, 510, 0, 0, 10000
1.5E-06, 1.21337725431658E-05, 562, 0, 0, 10000
1.6E-06, 1.21337725431658E-05, 16, 0, 0, 10000
1.6E-06, 1.21318498713663E-05, 190, 0, 0, 10000
1.6E-06, 1.21183911687694E-05, 243, 0, 0, 10000
1.6E-06, 1.21355351438979E-05, 294, 0, 0, 10000
1.6E-06, 1.21246403068653E-05, 344, 0, 0, 10000
1.6E-06, 1.21392195069348E-05, 400, 0, 0, 10000
1.6E-06, 1.21345738079981E-05, 460, 0, 0, 10000
1.6E-06, 1.21334514915361E-05, 511, 0, 0, 10001
1.6E-06, 1.21291259347345E-05, 563, 0, 0, 10000
1.7E-06, 1.21316898002988E-05, 17, 0, 0, 10000
1.7E-06, 1.21342527563684E-05, 191, 0, 0, 10000
1.7E-06, 1.21366565508652E-05, 244, 0, 0, 10000
