Meter S/N:, "REV_DA_16"
Sensor, Pyro, Nospec, 443, test
Date, 11/14/2014 6:31:36 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 1.57013406720807E-08, 0, 0, 0, 843
1E-07, 2.01874392757873E-08, 1, 0, 0, 650
2E-07, 1.53809054381782E-08, 2, 0, 0, 118
3E-07, 1.85852613299176E-08, 3, 0, 0, 124
4E-07, 1.60217776823401E-08, 4, 0, 0, 21
5E-07, 1.73035186179504E-08, 5, 0, 0, 339
6E-07, 1.85852613299176E-08, 6, 0, 0, 1967
7E-07, 1.63422129162427E-08, 7, 0, 0, 96
8E-07, 1.34582922584059E-08, 8, 0, 0, 132
9E-07, 1.69830833840479E-08, 9, 0, 0, 14
1E-06, 1.60217776823401E-08, 10, 0, 0, 153
1.1E-06, 2.1148744977495E-08, 11, 0, 0, 241
1.2E-06, 1.53809054381782E-08, 12, 0, 0, 242
1.3E-06, 2.01874392757873E-08, 13, 0, 0, 158
1.4E-06, 2.08283097435924E-08, 14, 0, 0, 304
1.5E-06, 1.7623953851853E-08, 15, 0, 0, 131
1.6E-06, 1.7623953851853E-08, 16, 0, 0, 373
1.7E-06, 2.27509229233647E-08, 17, 0, 0, 89
1.8E-06, 2.33917951675267E-08, 18, 0, 0, 20
1.9E-06, 1.50604702042756E-08, 19, 0, 0, 97
2E-06, 1.8264826096015E-08, 20, 0, 0, 386
2.1E-06, 1.66626481501453E-08, 21, 0, 0, 352
2.2E-06, 1.8264826096015E-08, 22, 0, 0, 110
2.3E-06, 1.60217776823401E-08, 23, 0, 0, 132
2.4E-06, 1.69830833840479E-08, 24, 0, 0, 614
2.5E-06, 1.66626481501453E-08, 25, 0, 0, 593
2.6E-06, 1.63422129162427E-08, 26, 0, 0, 360
2.7E-06, 1.4740034970373E-08, 27, 0, 0, 145
2.8E-06, 1.98670040418847E-08, 28, 0, 0, 242
2.9E-06, 2.14691819877544E-08, 29, 0, 0, 242
3E-06, 1.89056965638201E-08, 30, 0, 0, 130
3.1E-06, 1.66626481501453E-08, 31, 0, 0, 132
3.2E-06, 1.85852613299176E-08, 32, 0, 0, 263
3.3E-06, 1.4419598848292E-08, 33, 0, 0, 242
3.4E-06, 1.60217776823401E-08, 34, 0, 0, 484
3.5E-06, 1.53809054381782E-08, 35, 0, 0, 359
3.6E-06, 1.89056965638201E-08, 36, 0, 0, 167
3.7E-06, 1.92261317977227E-08, 37, 0, 0, 373
3.8E-06, 1.7623953851853E-08, 38, 0, 0, 132
