Meter S/N:, "REV_DA_13"
Sensor, THERMO,SINGLE, 0781D14R
Date, 11/4/2014 4:58:27 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 1.2139700629632E-05, 0, 0, 0, 10001
1E-07, 1.21265629786649E-05, 1, 0, 0, 10000
2E-07, 1.21481916721677E-05, 2, 0, 0, 10000
3E-07, 1.21119828691008E-05, 3, 0, 0, 10000
4E-07, 1.21364964797976E-05, 4, 0, 0, 10000
5E-07, 1.21291259347345E-05, 5, 0, 0, 10000
6E-07, 1.21251205200679E-05, 6, 0, 0, 10000
7E-07, 1.21337725431658E-05, 7, 0, 0, 10000
8E-07, 1.21187122203992E-05, 8, 0, 0, 10000
9E-07, 1.21336124720983E-05, 9, 0, 0, 10000
1E-06, 1.21358552860329E-05, 10, 0, 0, 10000
1.1E-06, 1.21332914204686E-05, 11, 0, 0, 10000
1.2E-06, 1.21340926853009E-05, 12, 0, 0, 10000
1.3E-06, 1.21413022498018E-05, 13, 0, 0, 10000
1.4E-06, 1.21256016427651E-05, 14, 0, 0, 10001
1.5E-06, 1.2128965863667E-05, 15, 0, 0, 10000
1.6E-06, 1.21297671284992E-05, 16, 0, 0, 10000
1.7E-06, 1.21284847409697E-05, 17, 0, 0, 10000
1.8E-06, 1.21273633340024E-05, 18, 0, 0, 10000
1.9E-06, 1.21344128274359E-05, 19, 0, 0, 10000
2E-06, 1.2120313840569E-05, 20, 0, 0, 10000
2E-06, 1.21478715300327E-05, 21, 0, 0, 10000
2.2E-06, 1.21302473417018E-05, 22, 0, 0, 10000
2.3E-06, 1.21308885354665E-05, 23, 0, 0, 10000
2.4E-06, 1.21405018944643E-05, 24, 0, 0, 10000
2.5E-06, 1.21372968351352E-05, 25, 0, 0, 10000
2.6E-06, 1.21291259347345E-05, 26, 0, 0, 10000
2.7E-06, 1.21291259347345E-05, 27, 0, 0, 10000
2.8E-06, 1.21227176350658E-05, 28, 0, 0, 10001
2.9E-06, 1.21363354992354E-05, 29, 0, 0, 10000
3E-06, 1.21182310977019E-05, 30, 0, 0, 10000
3.1E-06, 1.21372968351352E-05, 31, 0, 0, 10000
3.2E-06, 1.21238390420331E-05, 32, 0, 0, 10000
3.3E-06, 1.21388993647997E-05, 33, 0, 0, 10000
3.4E-06, 1.2130728464399E-05, 34, 0, 0, 10000
3.5E-06, 1.21312086776015E-05, 35, 0, 0, 10000
3.6E-06, 1.21419434435666E-05, 36, 0, 0, 10000
3.7E-06, 1.21172697618022E-05, 37, 0, 0, 10000
3.8E-06, 1.21377779578324E-05, 38, 0, 0, 10000
3.9E-06, 1.21308885354665E-05, 39, 0, 0, 10000
4E-06, 1.21358552860329E-05, 40, 0, 0, 10000
4.1E-06, 1.21372968351352E-05, 41, 0, 0, 10000
4.1E-06, 1.21300872706342E-05, 42, 0, 0, 10001
4.3E-06, 1.21353741633357E-05, 43, 0, 0, 10000
4.4E-06, 1.21256016427651E-05, 44, 0, 0, 10000
4.5E-06, 1.21300872706342E-05, 45, 0, 0, 10000
4.6E-06, 1.21323300845688E-05, 46, 0, 0, 10000
4.7E-06, 1.21265629786649E-05, 47, 0, 0, 10000
4.8E-06, 1.21299271995667E-05, 48, 0, 0, 10000
4.9E-06, 1.21336124720983E-05, 49, 0, 0, 10000
5E-06, 1.2150435395597E-05, 50, 0, 0, 10000
5.1E-06, 1.21188722914667E-05, 51, 0, 0, 10000
5.2E-06, 1.21380980999675E-05, 52, 0, 0, 10000
5.3E-06, 1.21406619655318E-05, 53, 0, 0, 10000
5.4E-06, 1.2120313840569E-05, 54, 0, 0, 10000
5.5E-06, 1.21385792226647E-05, 55, 0, 0, 10000
5.6E-06, 1.2121756299166E-05, 56, 0, 0, 10001
5.6E-06, 1.21328112072661E-05, 57, 0, 0, 10000
5.8E-06, 1.21347338790656E-05, 58, 0, 0, 10000
5.9E-06, 1.21248003779328E-05, 59, 0, 0, 10000
6E-06, 1.21329712783336E-05, 60, 0, 0, 10000
6.1E-06, 1.21294460768695E-05, 61, 0, 0, 10000
6.2E-06, 1.21393795780023E-05, 62, 0, 0, 10000
6.3E-06, 1.21364964797976E-05, 63, 0, 0, 10000
6.4E-06, 1.21348939501331E-05, 64, 0, 0, 10000
6.5E-06, 1.2131048606534E-05, 65, 0, 0, 10000
6.6E-06, 1.2130728464399E-05, 66, 0, 0, 10000
6.7E-06, 1.21360153571004E-05, 67, 0, 0, 10000
6.8E-06, 1.21132643471356E-05, 68, 0, 0, 10000
6.9E-06, 1.21326511361985E-05, 69, 0, 0, 10000
7E-06, 1.21228777061333E-05, 70, 0, 0, 10001
7.1E-06, 1.21283246699022E-05, 71, 0, 0, 10000
7.2E-06, 1.21336124720983E-05, 72, 0, 0, 10000
7.3E-06, 1.21215962280985E-05, 73, 0, 0, 10000
7.4E-06, 1.2141783372499E-05, 74, 0, 0, 10000
7.5E-06, 1.21364964797976E-05, 75, 0, 0, 10000
7.6E-06, 1.21323300845688E-05, 76, 0, 0, 10000
7.7E-06, 1.21329712783336E-05, 77, 0, 0, 10000
7.8E-06, 1.21363354992354E-05, 78, 0, 0, 10000
7.9E-06, 1.21352140922681E-05, 79, 0, 0, 10000
8E-06, 1.21256016427651E-05, 80, 0, 0, 10000
8.1E-06, 1.21315297292313E-05, 81, 0, 0, 10000
8.2E-06, 1.21239991131006E-05, 82, 0, 0, 10000
8.3E-06, 1.21281645988347E-05, 83, 0, 0, 10000
8.3E-06, 1.21348939501331E-05, 84, 0, 0, 10001
8.5E-06, 1.21236789709656E-05, 85, 0, 0, 10000
8.6E-06, 1.21513967314968E-05, 86, 0, 0, 10000
8.7E-06, 1.21222365123685E-05, 87, 0, 0, 10000
8.8E-06, 1.21348939501331E-05, 88, 0, 0, 10000
8.9E-06, 1.21392195069348E-05, 89, 0, 0, 10000
9E-06, 1.21231978482683E-05, 90, 0, 0, 10000
9E-06, 1.21408220365993E-05, 91, 0, 0, 10000
9.2E-06, 1.21340926853009E-05, 92, 0, 0, 10000
9.3E-06, 1.21302473417018E-05, 93, 0, 0, 10000
9.4E-06, 1.2129286005802E-05, 94, 0, 0, 10000
9.5E-06, 1.21299271995667E-05, 95, 0, 0, 10000
9.6E-06, 1.21334514915361E-05, 96, 0, 0, 10000
9.7E-06, 1.21294460768695E-05, 97, 0, 0, 10000
9.8E-06, 1.21416233014315E-05, 98, 0, 0, 10001
9.9E-06, 1.21278444566997E-05, 99, 0, 0, 10000
1E-05, 1.2140340913902E-05, 100, 0, 0, 10000
1.01E-05, 1.21284847409697E-05, 101, 0, 0, 10000
1.02E-05, 1.21337725431658E-05, 102, 0, 0, 10000
1.03E-05, 1.21470702652005E-05, 103, 0, 0, 10000
1.04E-05, 1.21278444566997E-05, 104, 0, 0, 10000
1.05E-05, 1.2138258171035E-05, 105, 0, 0, 10000
1.06E-05, 1.21257617138326E-05, 106, 0, 0, 10000
1.06E-05, 1.21191924336017E-05, 107, 0, 0, 10000
1.08E-05, 1.21316898002988E-05, 108, 0, 0, 10000
1.09E-05, 1.21264019981027E-05, 109, 0, 0, 10000
1.1E-05, 1.21348939501331E-05, 110, 0, 0, 10000
1.11E-05, 1.21304074127693E-05, 111, 0, 0, 10000
