Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/8/2013 5:46:21 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.001470, 6.055149, 0
00.002940, 6.0563, 0
00.004410, 6.0563, 0
00.005880, 6.0563, 0
00.007350, 6.055149, 0
00.008820, 6.0563, 0
00.001290, 6.055149, 0
00.002760, 6.0563, 0
00.004230, 6.055149, 0
00.005700, 6.055149, 0
00.007170, 6.055149, 0
00.008640, 6.0563, 0
00.010110, 6.055149, 0
00.002580, 6.0563, 0
00.004050, 6.055149, 0
00.005520, 6.0563, 0
00.006990, 6.055149, 0
00.008460, 6.0563, 0
00.009930, 6.053997, 0
00.011400, 6.055149, 0
00.003870, 6.055149, 0
00.005340, 6.0563, 0
00.006810, 6.055149, 0
00.008280, 6.0563, 0
00.009750, 6.053997, 0
00.011220, 6.0563, 0
00.012690, 6.055149, 0
00.005160, 6.0563, 0
00.006630, 6.055149, 0
00.008100, 6.0563, 0
00.009570, 6.055149, 0
00.011040, 6.0563, 0
00.012510, 6.055149, 0
00.013980, 6.055149, 0
00.006450, 6.055149, 0
00.007920, 6.055149, 0
00.009390, 6.053997, 0
00.010860, 6.055149, 0
00.012330, 6.055149, 0
00.013800, 6.0563, 0
00.006270, 6.055149, 0
00.007740, 6.0563, 0
00.009210, 6.055149, 0
00.010680, 6.055149, 0
00.012150, 6.055149, 0
00.013620, 6.055149, 0
00.015090, 6.055149, 0
00.007560, 6.055149, 0
00.009030, 6.055149, 0
00.010500, 6.055149, 0
00.011970, 6.0563, 0
00.013440, 6.0563, 0
00.014910, 6.055149, 0
00.016380, 6.0563, 0
00.008850, 6.0563, 0
00.010320, 6.0563, 0
00.011790, 6.055149, 0
00.013260, 6.055149, 0
00.014730, 6.055149, 0
00.016200, 6.0563, 0
00.017670, 6.055149, 0
00.010140, 6.0563, 0
00.011610, 6.055149, 0
00.013080, 6.055149, 0
00.014550, 6.055149, 0
00.016020, 6.055149, 0
00.017490, 6.055149, 0
00.018960, 6.055149, 0
00.011430, 6.0563, 0
00.012900, 6.055149, 0
00.014370, 6.0563, 0
00.015840, 6.0563, 0
00.017310, 6.055149, 0
00.018780, 6.055149, 0
00.011250, 6.0563, 0
00.012720, 6.055149, 0
00.014190, 6.0563, 0
00.015660, 6.0563, 0
00.017130, 6.055149, 0
00.018600, 6.055149, 0
00.020070, 6.0563, 0
00.012540, 6.055149, 0
00.014010, 6.057452, 0
00.015480, 6.0563, 0
00.016950, 6.057452, 0
00.018420, 6.0563, 0
00.019890, 6.057452, 0
00.021360, 6.055149, 0
00.013830, 6.0563, 0
00.015300, 6.0563, 0
00.016770, 6.0563, 0
00.018240, 6.0563, 0
00.019710, 6.057452, 0
00.021180, 6.0563, 0
00.022650, 6.057452, 0
00.015120, 6.0563, 0
00.016590, 6.057452, 0
00.018060, 6.0563, 0
00.019530, 6.057452, 0
00.021000, 6.0563, 0
00.022470, 6.057452, 0
00.023940, 6.0563, 0
00.016410, 6.057452, 0
00.017880, 6.055149, 0
00.019350, 6.057452, 0
00.020820, 6.0563, 0
00.022290, 6.0563, 0
00.023760, 6.0563, 0
00.016230, 6.057452, 0
00.017700, 6.057452, 0
00.019170, 6.058603, 0
00.020640, 6.057452, 0
00.022110, 6.057452, 0
00.023580, 6.057452, 0
00.025050, 6.057452, 0
00.017520, 6.0563, 0
00.018990, 6.057452, 0
00.020460, 6.0563, 0
00.021930, 6.057452, 0
00.023400, 6.0563, 0
00.024870, 6.057452, 0
00.026340, 6.0563, 0
00.018810, 6.057452, 0
00.020280, 6.0563, 0
00.021750, 6.057452, 0
00.023220, 6.0563, 0
00.024690, 6.0563, 0
00.026160, 6.0563, 0
00.027630, 6.0563, 0
00.020100, 6.055149, 0
00.021570, 6.0563, 0
00.023040, 6.0563, 0
00.024510, 6.0563, 0
00.025980, 6.055149, 0
00.027450, 6.0563, 0
00.028920, 6.055149, 0
00.021390, 6.055149, 0
00.022860, 6.055149, 0
00.024330, 6.0563, 0
00.025800, 6.055149, 0
00.027270, 6.0563, 0
00.028740, 6.055149, 0
00.021210, 6.055149, 0
00.022680, 6.0563, 0
00.024150, 6.057452, 0
00.025620, 6.0563, 0
00.027090, 6.0563, 0
00.028560, 6.0563, 0
00.030030, 6.055149, 0
00.022500, 6.0563, 0
00.023970, 6.0563, 0
00.025440, 6.055149, 0
00.026910, 6.055149, 0
00.028380, 6.055149, 0
00.029850, 6.055149, 0
00.031320, 6.0563, 0
00.023790, 6.0563, 0
00.025260, 6.055149, 0
00.026730, 6.0563, 0
00.028200, 6.0563, 0
00.029670, 6.055149, 0
00.031140, 6.0563, 0
00.032610, 6.0563, 0
00.025080, 6.0563, 0
00.026550, 6.0563, 0
00.028020, 6.0563, 0
00.029490, 6.055149, 0
00.030960, 6.0563, 0
00.032430, 6.055149, 0
00.033900, 6.055149, 0
00.026370, 6.055149, 0
00.027840, 6.0563, 0
00.029310, 6.0563, 0
00.030780, 6.057452, 0
00.032250, 6.0563, 0
00.033720, 6.0563, 0
00.026190, 6.0563, 0
00.027660, 6.0563, 0
00.029130, 6.0563, 0
00.030600, 6.0563, 0
00.032070, 6.0563, 0
00.033540, 6.057452, 0
00.035010, 6.0563, 0
00.027480, 6.0563, 0
00.028950, 6.055149, 0
00.030420, 6.0563, 0
00.031890, 6.055149, 0
00.033360, 6.057452, 0
00.034830, 6.0563, 0
00.036300, 6.057452, 0
00.028770, 6.055149, 0
00.030240, 6.0563, 0
00.031710, 6.055149, 0
00.033180, 6.0563, 0
00.034650, 6.055149, 0
00.036120, 6.055149, 0
00.037590, 6.055149, 0
00.030060, 6.0563, 0
00.031530, 6.055149, 0
00.033000, 6.057452, 0
00.034470, 6.0563, 0
00.035940, 6.0563, 0
00.037410, 6.055149, 0
00.038880, 6.055149, 0
00.031350, 6.053997, 0
00.032820, 6.0563, 0
00.034290, 6.0563, 0
00.035760, 6.0563, 0
00.037230, 6.055149, 0
00.038700, 6.0563, 0
00.031170, 6.055149, 0
00.032640, 6.0563, 0
00.034110, 6.055149, 0
00.035580, 6.055149, 0
00.037050, 6.055149, 0
00.038520, 6.055149, 0
00.039990, 6.055149, 0
00.032460, 6.055149, 0
00.033930, 6.055149, 0
00.035400, 6.055149, 0
00.036870, 6.055149, 0
00.038340, 6.055149, 0
00.039810, 6.055149, 0
00.041280, 6.055149, 0
00.033750, 6.055149, 0
00.035220, 6.0563, 0
00.036690, 6.055149, 0
00.038160, 6.055149, 0
00.039630, 6.055149, 0
00.041100, 6.055149, 0
00.042570, 6.055149, 0
00.035040, 6.055149, 0
00.036510, 6.055149, 0
00.037980, 6.055149, 0
00.039450, 6.055149, 0
00.040920, 6.055149, 0
00.042390, 6.055149, 0
00.043860, 6.053997, 0
00.036330, 6.053997, 0
00.037800, 6.055149, 0
00.039270, 6.055149, 0
00.040740, 6.055149, 0
00.042210, 6.055149, 0
00.043680, 6.055149, 0
00.036150, 6.055149, 0
00.037620, 6.055149, 0
00.039090, 6.055149, 0
00.040560, 6.055149, 0
00.042030, 6.055149, 0
00.043500, 6.055149, 0
00.044970, 6.055149, 0
00.037440, 6.055149, 0
00.038910, 6.0563, 0
00.040380, 6.055149, 0
00.041850, 6.0563, 0
00.043320, 6.055149, 0
00.044790, 6.055149, 0
00.046260, 6.055149, 0
00.038730, 6.055149, 0
00.040200, 6.053997, 0
00.041670, 6.055149, 0
00.043140, 6.053997, 0
00.044610, 6.055149, 0
00.046080, 6.055149, 0
00.047550, 6.0563, 0
00.040020, 6.055149, 0
00.041490, 6.0563, 0
00.042960, 6.055149, 0
00.044430, 6.055149, 0
00.045900, 6.053997, 0
00.047370, 6.055149, 0
00.048840, 6.053997, 0
00.041310, 6.055149, 0
00.042780, 6.055149, 0
00.044250, 6.055149, 0
00.045720, 6.055149, 0
00.047190, 6.0563, 0
00.048660, 6.055149, 0
00.041130, 6.0563, 0
00.042600, 6.0563, 0
00.044070, 6.057452, 0
00.045540, 6.055149, 0
00.047010, 6.0563, 0
00.048480, 6.0563, 0
00.049950, 6.057452, 0
00.042420, 6.0563, 0
00.043890, 6.057452, 0
00.045360, 6.0563, 0
00.046830, 6.057452, 0
00.048300, 6.055149, 0
00.049770, 6.0563, 0
00.051240, 6.055149, 0
00.043710, 6.0563, 0
00.045180, 6.055149, 0
00.046650, 6.0563, 0
00.048120, 6.055149, 0
00.049590, 6.0563, 0
00.051060, 6.055149, 0
00.052530, 6.0563, 0
00.045000, 6.055149, 0
00.046470, 6.0563, 0
00.047940, 6.0563, 0
00.049410, 6.057452, 0
00.050880, 6.0563, 0
00.052350, 6.0563, 0
00.053820, 6.0563, 0
00.046290, 6.057452, 0
00.047760, 6.0563, 0
00.049230, 6.057452, 0
00.050700, 6.057452, 0
00.052170, 6.0563, 0
00.053640, 6.057452, 0
00.046110, 6.057452, 0
00.047580, 6.057452, 0
00.049050, 6.057452, 0
00.050520, 6.057452, 0
00.051990, 6.057452, 0
00.053460, 6.057452, 0
00.054930, 6.057452, 0
00.047400, 6.0563, 0
00.048870, 6.0563, 0
00.050340, 6.057452, 0
