Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/8/2013 5:53:46 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.001470, -2.65906, 1770
00.002940, -1.166578, 1820
00.004410, 0.5147682, 1880
00.005880, 2.211085, 1940
00.007350, 3.749632, 1980
00.008820, 4.970335, 2030
00.001290, 5.752276, 2080
00.002760, 6.010236, 2130
00.004230, 5.722334, 2190
00.005700, 4.916209, 2240
00.007170, 3.673626, 2290
00.008640, 2.123563, 2340
00.010110, 0.4237913, 2390
00.002580, -1.251797, 2450
00.004050, -2.73046, 2490
00.005520, -3.856731, 2550
00.006990, -4.52236, 2590
00.008460, -4.653643, 2650
00.009930, -4.239065, 2700
00.011400, -3.320082, 2750
00.003870, -1.993431, 2800
00.005340, -0.3915463, 2850
00.006810, 1.319741, 2900
00.008280, 2.961933, 2960
00.009750, 4.370348, 3000
00.011220, 5.398733, 3050
00.012690, 5.942291, 3100
00.005160, 5.944594, 3180
00.006630, 5.406794, 3210
00.008100, 4.383016, 3250
00.009570, 2.978055, 3300
00.011040, 1.337016, 3370
00.012510, -0.3742722, 3410
00.013980, -1.976157, 3540
00.006450, -3.308566, 3570
00.007920, -4.231003, 3590
00.009390, -4.65134, 3620
00.010860, -4.524663, 3690
00.012330, -3.865944, 3720
00.013800, -2.739673, 3770
00.006270, -1.265616, 3820
00.007740, 0.4088204, 3870
00.009210, 2.10744, 3940
00.010680, 3.660958, 3970
00.012150, 4.905845, 4030
00.013620, 5.720031, 4070
00.015090, 6.010236, 4130
00.007560, 5.759186, 4190
00.009030, 4.981851, 4230
00.010500, 3.763451, 4280
00.011970, 2.227207, 4340
00.013440, 0.5331939, 4390
00.014910, -1.150455, 4450
00.016380, -2.645241, 4490
00.008850, -3.797999, 4530
00.010320, -4.495873, 4590
00.011790, -4.661704, 4640
00.013260, -4.280522, 4700
00.014730, -3.391482, 4740
00.016200, -2.08556, 4800
00.017670, -0.4974941, 4840
00.010140, 1.212642, 4890
00.011610, 2.862895, 4940
00.013080, 4.29319, 5000
00.014550, 5.34691, 5050
00.016020, 5.923865, 5100
00.017490, 5.959565, 5150
00.018960, 5.456313, 5200
00.011430, 4.45787, 5250
00.012900, 3.07479, 5310
00.014370, 1.441812, 5370
00.015840, -0.2683244, 5410
00.017310, -1.881726, 5470
00.018780, -3.236015, 5510
00.011250, -4.187243, 5570
00.012720, -4.642127, 5610
00.014190, -4.548847, 5680
00.015660, -3.923524, 5720
00.017130, -2.82374, 5780
00.018600, -1.366957, 5820
00.020070, 0.2994178, 5870
00.012540, 2.004947, 5930
00.014010, 3.569981, 5970
00.015480, 4.840203, 6020
00.016950, 5.680876, 6070
00.018420, 6.010236, 6120
00.019890, 5.787976, 6190
00.021360, 5.045189, 6230
00.013830, 3.849822, 6280
00.015300, 2.330852, 6330
00.016770, 0.6402934, 6380
00.018240, -1.049114, 6440
00.019710, -2.55887, 6480
00.021180, -3.739267, 6540
00.022650, -4.467083, 6580
00.015120, -4.667462, 6640
00.016590, -4.319677, 6690
00.018060, -3.46173, 6740
00.019530, -2.177688, 6790
00.021000, -0.6022903, 6840
00.022470, 1.103239, 6890
00.023940, 2.765008, 6950
00.016410, 4.210274, 6990
00.017880, 5.292785, 7050
00.019350, 5.900833, 7100
00.020820, 5.974536, 7150
00.022290, 5.502377, 7200
00.023760, 4.533876, 7250
00.016230, 3.169222, 7300
00.017700, 1.54776, 7370
00.019170, -0.1623766, 7400
00.020640, -1.788445, 7450
00.022110, -3.161161, 7500
00.023580, -4.14233, 7570
00.025050, -4.628308, 7610
00.017520, -4.571879, 7680
00.018990, -3.976498, 7710
00.020460, -2.904352, 7770
00.021930, -1.465995, 7810
00.023400, 0.1923183, 7870
00.024870, 1.900151, 7930
00.026340, 3.479004, 7970
00.018810, 4.772259, 8020
00.020280, 5.642873, 8070
00.021750, 6.00563, 8120
00.023220, 5.817917, 8200
00.024690, 5.107376, 8230
00.026160, 3.936192, 8270
00.027630, 2.433345, 8330
00.020100, 0.7473928, 8380
00.021570, -0.9443176, 8440
00.023040, -2.4725, 8480
00.024510, -3.67708, 8530
00.025980, -4.435989, 8580
00.027450, -4.669765, 8640
00.028920, -4.356528, 8690
00.021390, -3.527372, 8740
00.022860, -2.267514, 8790
00.024330, -0.7047834, 8840
00.025800, 0.9972915, 8890
00.027270, 2.667121, 8950
00.028740, 4.12851, 9000
00.021210, 5.240963, 9050
00.022680, 5.878953, 9100
00.024150, 5.987204, 9140
00.025620, 5.546138, 9200
00.027090, 4.609882, 9240
00.028560, 3.263654, 9310
00.030030, 1.657162, 9350
00.022500, -0.05527712, 9400
00.023970, -1.69171, 9450
00.025440, -3.085155, 9500
00.026910, -4.093962, 9570
00.028380, -4.613337, 9610
00.029850, -4.591456, 9680
00.031320, -4.02832, 9710
00.023790, -2.984965, 9770
00.025260, -1.565034, 9810
00.026730, 0.0852189, 9870
00.028200, 1.793052, 9910
00.029670, 3.388027, 9980
00.031140, 4.699708, 10020
00.032610, 5.603719, 10080
00.025080, 5.996417, 10110
00.026550, 5.847859, 10180
00.028020, 5.163805, 10220
00.029490, 4.022563, 10270
00.030960, 2.534687, 10320
00.032430, 0.8567954, 10380
00.033900, -0.840673, 10440
00.026370, -2.384978, 10470
00.027840, -3.612591, 10530
00.029310, -4.403744, 10580
00.030780, -4.672069, 10630
00.032250, -4.394532, 10690
00.033720, -3.594165, 10730
00.026190, -2.359642, 10780
00.027660, -0.8118828, 10840
00.029130, 0.8890405, 10890
00.030600, 2.563477, 10940
00.032070, 4.046746, 10990
00.033540, 5.18223, 11040
00.035010, 5.854769, 11090
00.027480, 5.995265, 11140
00.028950, 5.591051, 11200
00.030420, 4.678978, 11240
00.031890, 3.358085, 11300
00.033360, 1.761958, 11340
00.034830, 0.0518223, 11390
00.036300, -1.593824, 11450
00.028770, -3.007997, 11500
00.030240, -4.044443, 11550
00.031710, -4.597214, 11600
00.033180, -4.60873, 11680
00.034650, -4.080143, 11710
00.036120, -3.062122, 11770
00.037590, -1.66292, 11810
00.030060, -0.02303214, 11870
00.031530, 1.687104, 11910
00.033000, 3.292444, 11970
00.034470, 4.628308, 12010
00.035940, 5.559958, 12080
00.037410, 5.988355, 12120
00.038880, 5.873195, 12190
00.031350, 5.222537, 12210
