Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/8/2013 6:36:45 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.001470, 4.729649, 0
00.002940, 5.147682, 0
00.004410, 5.487406, 0
00.005880, 5.752276, 0
00.007350, 5.928472, 0
00.008820, 6.021752, 0
00.001290, 6.022903, 0
00.002760, 5.939988, 0
00.004230, 5.764944, 0
00.005700, 5.51159, 0
00.007170, 5.173018, 0
00.008640, 4.765349, 0
00.010110, 4.283977, 0
00.002580, 3.746177, 0
00.004050, 3.156554, 0
00.005520, 2.527777, 0
00.006990, 1.864451, 0
00.008460, 1.186155, 0
00.009930, 0.4951909, 0
00.011400, -0.1900151, 0
00.003870, -0.8625535, 0
00.005340, -1.508605, 0
00.006810, -2.120108, 0
00.008280, -2.684395, 0
00.009750, -3.193406, 0
00.011220, -3.639077, 0
00.012690, -4.011046, 0
00.005160, -4.309313, 0
00.006630, -4.52236, 0
00.008100, -4.650188, 0
00.009570, -4.688191, 0
00.011040, -4.642127, 0
00.012510, -4.505086, 0
00.013980, -4.283977, 0
00.006450, -3.97765, 0
00.007920, -3.59762, 0
00.009390, -3.145038, 0
00.010860, -2.63027, 0
00.012330, -2.060225, 0
00.013800, -1.446418, 0
00.006270, -0.7969119, 0
00.007740, -0.1220703, 0
00.009210, 0.5654389, 0
00.010680, 1.2541, 0
00.012150, 1.932396, 0
00.013620, 2.591115, 0
00.015090, 3.217589, 0
00.007560, 3.802606, 0
00.009030, 4.334648, 0
00.010500, 4.806807, 0
00.011970, 5.209869, 0
00.013440, 5.539228, 0
00.014910, 5.787976, 0
00.016380, 5.952655, 0
00.008850, 6.028662, 0
00.010320, 6.017146, 0
00.011790, 5.915804, 0
00.013260, 5.729244, 0
00.014730, 5.458616, 0
00.016200, 5.108528, 0
00.017670, 4.684736, 0
00.010140, 4.195303, 0
00.011610, 3.64829, 0
00.013080, 3.050606, 0
00.014550, 2.416071, 0
00.016020, 1.750442, 0
00.017490, 1.067539, 0
00.018960, 0.377727, 0
00.011430, -0.3063274, 0
00.012900, -0.9765626, 0
00.014370, -1.616856, 0
00.015840, -2.22145, 0
00.017310, -2.775372, 0
00.018780, -3.274018, 0
00.011250, -3.707022, 0
00.012720, -4.067475, 0
00.014190, -4.35077, 0
00.015660, -4.55115, 0
00.017130, -4.662856, 0
00.018600, -4.688191, 0
00.020070, -4.624853, 0
00.012540, -4.472841, 0
00.014010, -4.236762, 0
00.015480, -3.920069, 0
00.016950, -3.525068, 0
00.018420, -3.062122, 0
00.019890, -2.53699, 0
00.021360, -1.961186, 0
00.013830, -1.338167, 0
00.015300, -0.6840544, 0
00.016770, -0.004606427, 0
00.018240, 0.6817512, 0
00.019710, 1.370412, 0
00.021180, 2.046405, 0
00.022650, 2.700518, 0
00.015120, 3.318931, 0
00.016590, 3.897037, 0
00.018060, 4.418715, 0
00.019530, 4.881661, 0
00.021000, 5.272056, 0
00.022470, 5.588748, 0
00.023940, 5.820221, 0
00.016410, 5.972233, 0
00.017880, 6.030965, 0
00.019350, 6.00563, 0
00.020820, 5.889317, 0
00.022290, 5.690089, 0
00.023760, 5.402187, 0
00.016230, 5.041735, 0
00.017700, 4.605276, 0
00.019170, 4.10663, 0
00.020640, 3.5481, 0
00.022110, 2.94581, 0
00.023580, 2.303214, 0
00.025050, 1.636433, 0
00.017520, 0.9500756, 0
00.018990, 0.2602631, 0
00.020460, -0.4226397, 0
00.021930, -1.088268, 0
00.023400, -1.723955, 0
00.024870, -2.320488, 0
00.026340, -2.865198, 0
00.018810, -3.35463, 0
00.020280, -3.773815, 0
00.021750, -4.122752, 0
00.023220, -4.391077, 0
00.024690, -4.576485, 0
00.026160, -4.672069, 0
00.027630, -4.683585, 0
00.020100, -4.604124, 0
00.021570, -4.438293, 0
00.023040, -4.18609, 0
00.024510, -3.85558, 0
00.025980, -3.449062, 0
00.027450, -2.975752, 0
00.028920, -2.440255, 0
00.021390, -1.855239, 0
00.022860, -1.227613, 0
00.024330, -0.5677422, 0
00.025800, 0.1117059, 0
00.027270, 0.8003667, 0
00.028740, 1.487876, 0
00.021210, 2.160414, 0
00.022680, 2.809921, 0
00.024150, 3.422575, 0
00.025620, 3.990318, 0
00.027090, 4.503934, 0
00.028560, 4.953061, 0
00.030030, 5.331939, 0
00.022500, 5.63366, 0
00.023970, 5.852466, 0
00.025440, 5.987204, 0
00.026910, 6.033268, 0
00.028380, 5.99181, 0
00.029850, 5.860527, 0
00.031320, 5.645176, 0
00.023790, 5.345759, 0
00.025260, 4.971487, 0
00.026730, 4.523511, 0
00.028200, 4.014501, 0
00.029670, 3.447911, 0
00.031140, 2.837559, 0
00.032610, 2.189204, 0
00.025080, 1.517818, 0
00.026550, 0.8291569, 0
00.028020, 0.1416476, 0
00.029490, -0.538952, 0
