Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/8/2013 7:27:28 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.006, -2.65906, 1770
00.011, -1.166578, 1820
00.008, 0.5147682, 1880
00.014, 2.211085, 1940
00.011, 3.749632, 1980
00.016, 4.970335, 2030
00.004, 5.752276, 2080
00.010, 6.010236, 2130
00.006, 5.722334, 2190
00.012, 4.916209, 2240
00.009, 3.673626, 2290
00.014, 2.123563, 2340
00.011, 0.4237913, 2390
00.008, -1.251797, 2450
00.005, -2.73046, 2490
00.010, -3.856731, 2550
00.016, -4.52236, 2590
00.013, -4.653643, 2650
00.018, -4.239065, 2700
00.015, -3.320082, 2750
00.012, -1.993431, 2800
00.008, -0.3915463, 2850
00.014, 1.319741, 2900
00.011, 2.961933, 2960
00.017, 4.370348, 3000
00.013, 5.398733, 3050
00.019, 5.942291, 3100
00.007, 5.944594, 3180
00.012, 5.406794, 3210
00.009, 4.383016, 3250
00.015, 2.978055, 3300
00.011, 1.337016, 3370
00.017, -0.3742722, 3410
00.023, -1.976157, 3540
00.011, -3.308566, 3570
00.016, -4.231003, 3590
00.013, -4.65134, 3620
00.019, -4.524663, 3690
00.015, -3.865944, 3720
00.021, -2.739673, 3770
00.009, -1.265616, 3820
00.014, 0.4088204, 3870
00.011, 2.10744, 3940
00.017, 3.660958, 3970
00.014, 4.905845, 4030
00.019, 5.720031, 4070
00.016, 6.010236, 4130
00.013, 5.759186, 4190
00.009, 4.981851, 4230
00.015, 3.763451, 4280
00.021, 2.227207, 4340
00.017, 0.5331939, 4390
00.023, -1.150455, 4450
00.020, -2.645241, 4490
00.017, -3.797999, 4530
00.013, -4.495873, 4590
00.019, -4.661704, 4640
00.016, -4.280522, 4700
00.021, -3.391482, 4740
00.018, -2.08556, 4800
00.024, -0.4974941, 4840
00.011, 1.212642, 4890
00.017, 2.862895, 4940
00.014, 4.29319, 5000
00.020, 5.34691, 5050
00.016, 5.923865, 5100
00.022, 5.959565, 5150
00.028, 5.456313, 5200
00.015, 4.45787, 5250
00.021, 3.07479, 5310
00.018, 1.441812, 5370
00.023, -0.2683244, 5410
00.020, -1.881726, 5470
00.026, -3.236015, 5510
00.014, -4.187243, 5570
00.019, -4.642127, 5610
00.016, -4.548847, 5680
00.022, -3.923524, 5720
00.018, -2.82374, 5780
00.024, -1.366957, 5820
00.021, 0.2994178, 5870
00.017, 2.004947, 5930
00.014, 3.569981, 5970
00.020, 4.840203, 6020
00.026, 5.680876, 6070
00.022, 6.010236, 6120
00.028, 5.787976, 6190
00.025, 5.045189, 6230
00.021, 3.849822, 6280
00.018, 2.330852, 6330
00.024, 0.6402934, 6380
00.020, -1.049114, 6440
00.026, -2.55887, 6480
00.023, -3.739267, 6540
00.029, -4.467083, 6580
00.016, -4.667462, 6640
00.022, -4.319677, 6690
00.019, -3.46173, 6740
00.024, -2.177688, 6790
00.021, -0.6022903, 6840
00.027, 1.103239, 6890
00.032, 2.765008, 6950
00.020, 4.210274, 6990
00.026, 5.292785, 7050
00.023, 5.900833, 7100
00.028, 5.974536, 7150
00.025, 5.502377, 7200
00.031, 4.533876, 7250
00.018, 3.169222, 7300
00.024, 1.54776, 7370
00.021, -0.1623766, 7400
00.026, -1.788445, 7450
00.023, -3.161161, 7500
00.029, -4.14233, 7570
00.026, -4.628308, 7610
00.022, -4.571879, 7680
00.028, -3.976498, 7710
00.025, -2.904352, 7770
00.030, -1.465995, 7810
00.027, 0.1923183, 7870
00.033, 1.900151, 7930
00.029, 3.479004, 7970
00.026, 4.772259, 8020
00.023, 5.642873, 8070
00.028, 6.00563, 8120
00.025, 5.817917, 8200
00.031, 5.107376, 8230
00.028, 3.936192, 8270
00.033, 2.433345, 8330
00.021, 0.7473928, 8380
00.027, -0.9443176, 8440
00.023, -2.4725, 8480
00.029, -3.67708, 8530
00.035, -4.435989, 8580
00.032, -4.669765, 8640
00.037, -4.356528, 8690
00.025, -3.527372, 8740
00.031, -2.267514, 8790
00.027, -0.7047834, 8840
00.033, 0.9972915, 8890
00.030, 2.667121, 8950
00.035, 4.12851, 9000
00.023, 5.240963, 9050
00.029, 5.878953, 9100
00.026, 5.987204, 9140
00.031, 5.546138, 9200
00.028, 4.609882, 9240
00.034, 3.263654, 9310
00.030, 1.657162, 9350
00.027, -0.05527712, 9400
00.033, -1.69171, 9450
00.029, -3.085155, 9500
00.035, -4.093962, 9570
00.032, -4.613337, 9610
00.038, -4.591456, 9680
00.034, -4.02832, 9710
00.031, -2.984965, 9770
00.028, -1.565034, 9810
00.033, 0.0852189, 9870
00.030, 1.793052, 9910
00.036, 3.388027, 9980
00.032, 4.699708, 10020
00.038, 5.603719, 10080
00.026, 5.996417, 10110
00.032, 5.847859, 10180
00.028, 5.163805, 10220
00.034, 4.022563, 10270
00.040, 2.534687, 10320
00.036, 0.8567954, 10380
00.042, -0.840673, 10440
00.030, -2.384978, 10470
00.035, -3.612591, 10530
00.032, -4.403744, 10580
00.038, -4.672069, 10630
00.035, -4.394532, 10690
00.040, -3.594165, 10730
00.028, -2.359642, 10780
00.034, -0.8118828, 10840
00.030, 0.8890405, 10890
00.036, 2.563477, 10940
00.033, 4.046746, 10990
00.038, 5.18223, 11040
00.035, 5.854769, 11090
00.032, 5.995265, 11140
00.038, 5.591051, 11200
00.034, 4.678978, 11240
00.040, 3.358085, 11300
00.037, 1.761958, 11340
00.042, 0.0518223, 11390
00.039, -1.593824, 11450
00.036, -3.007997, 11500
00.032, -4.044443, 11550
00.038, -4.597214, 11600
00.035, -4.60873, 11680
00.041, -4.080143, 11710
00.037, -3.062122, 11770
00.043, -1.66292, 11810
00.031, -0.02303214, 11870
00.036, 1.687104, 11910
00.033, 3.292444, 11970
00.039, 4.628308, 12010
00.044, 5.559958, 12080
00.041, 5.988355, 12120
00.047, 5.873195, 12190
00.035, 5.222537, 12210
00.040, 4.105478, 12270
00.037, 2.636028, 12320
00.043, 0.9650465, 12370
00.039, -0.7370284, 12430
00.045, -2.294001, 12470
00.033, -3.546949, 12520
00.038, -4.366893, 12570
00.035, -4.670917, 12630
00.041, -4.425625, 12690
00.038, -3.658655, 12730
00.043, -2.447165, 12790
00.049, -0.9155274, 12830
00.037, 0.7807894, 12880
00.042, 2.462135, 12940
00.039, 3.961527, 12980
00.045, 5.122347, 13040
00.041, 5.82713, 13090
00.047, 6.001023, 13140
00.044, 5.632509, 13190
00.041, 4.749227, 13240
00.037, 3.452517, 13300
00.043, 1.866755, 13350
00.040, 0.1600733, 13400
00.045, -1.495937, 13450
00.042, -2.928536, 13500
00.048, -3.992621, 13550
00.035, -4.577637, 13650
00.041, -4.624853, 13680
00.047, -4.129662, 13710
00.044, -3.13928, 13760
00.049, -1.759655, 13800
00.046, -0.1312832, 13850
00.052, 1.581156, 13910
00.039, 3.196861, 13970
00.045, 4.556908, 14010
00.042, 5.513893, 14070
00.047, 5.979143, 14110
00.044, 5.895075, 14940
00.050, 5.278965, 14980
00.038, 4.18609, 15010
00.043, 2.736218, 15040
00.040, 1.072146, 15080
00.046, -0.6322321, 15100
00.042, -2.204175, 15130
00.048, -3.480156, 15180
00.054, -4.330041, 15210
00.041, -4.668614, 15240
00.047, -4.456718, 15280
00.044, -3.720842, 15300
00.050, -2.533535, 15330
00.046, -1.016869, 15370
00.052, 0.6725383, 15400
00.049, 2.363097, 15440
00.045, 3.875157, 15470
00.042, 5.064767, 15500
00.048, 5.79834, 15530
00.044, 6.010236, 15570
00.050, 5.671663, 15600
00.047, 4.821778, 15620
00.053, 3.544646, 15650
00.040, 1.975006, 15690
00.046, 0.2683244, 15710
00.052, -1.395747, 15740
00.048, -2.846772, 15780
00.054, -3.938495, 15810
00.051, -4.555757, 15830
00.056, -4.63752, 15870
00.044, -4.174574, 15900
00.050, -3.214134, 15940
00.047, -1.855239, 15980
00.052, -0.237231, 16000
00.049, 1.474057, 16030
00.055, 3.102429, 16070
00.042, 4.479751, 16100
00.048, 5.467829, 16130
00.045, 5.964171, 16150
00.050, 5.915804, 16200
00.047, 5.330788, 16230
00.053, 4.266703, 16270
00.059, 2.835256, 16320
00.046, 1.179245, 16380
00.052, -0.5274359, 16430
00.049, -2.113199, 16470
00.054, -3.411059, 16520
00.051, -4.29319, 16570
00.057, -4.664008, 16620
00.053, -4.488963, 16690
00.050, -3.781877, 16720
00.047, -2.621057, 16770
00.052, -1.120513, 16830
00.049, 0.5631357, 16870
00.055, 2.258301, 16940
00.052, 3.787635, 16980
00.057, 5.001428, 17030
00.045, 5.766095, 17080
00.051, 6.011387, 17130
00.056, 5.707363, 17190
00.053, 4.888571, 17240
00.059, 3.633319, 17290
00.056, 2.07865, 17340
00.061, 0.3754238, 17390
00.049, -1.296709, 17450
00.055, -2.76616, 17490
00.051, -3.882066, 17550
00.057, -4.532724, 17600
00.054, -4.649036, 17640
00.059, -4.218336, 17700
00.047, -3.287837, 17740
00.053, -1.950822, 17800
00.050, -0.3443304, 17850
00.055, 1.365806, 17900
00.061, 3.006845, 17950
00.058, 4.403744, 18000
00.063, 5.421765, 18070
00.051, 5.949201, 18110
00.057, 5.937685, 18150
00.053, 5.38261, 18200
00.059, 4.348467, 18270
00.056, 2.933142, 18310
00.062, 1.288648, 18370
00.058, -0.4226397, 18430
00.055, -2.019918, 18480
00.052, -3.340811, 18510
00.057, -4.250581, 18570
00.054, -4.654795, 18620
