Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, JMAXX
Date, 11/25/2013 7:23:43 PM
Timestamp, Measurement, PulsePeriod(uSec) 
0.002458, 1.091446, 2650
0.002509, 1.078256, 2690
0.002560, 1.073635, 2760
0.002611, 1.077543, 2800
0.002662, 1.088254, 2850
0.002714, 1.103513, 2890
0.002765, 1.119001, 2950
0.002816, 1.137437, 3010
0.002867, 1.152601, 3060
0.002918, 1.166546, 3100
0.002970, 1.179441, 3160
0.003021, 1.189013, 3200
0.003072, 1.191992, 3270
0.003123, 1.189383, 3300
0.003174, 1.180406, 3370
0.003226, 1.16367, 3410
0.003277, 1.145839, 3470
0.003328, 1.127626, 3520
0.003379, 1.111625, 3560
0.003430, 1.097565, 3620
0.003482, 1.086347, 3670
0.003533, 1.080008, 3710
0.003584, 1.076472, 3770
0.003635, 1.079595, 3820
0.003686, 1.091822, 3870
0.003738, 1.108442, 3920
0.003789, 1.126973, 3970
0.003840, 1.145973, 4020
0.003891, 1.165761, 4080
0.003942, 1.173673, 4130
0.003994, 1.180748, 4180
0.004045, 1.185976, 4250
0.004096, 1.187775, 4280
0.004147, 1.183424, 4330
0.004198, 1.172914, 4380
0.004250, 1.15747, 4430
0.004301, 1.136928, 4500
0.004352, 1.11574, 4530
0.004403, 1.10239, 4590
0.004454, 1.089188, 4640
0.004506, 1.083551, 4690
0.004557, 1.082445, 4760
0.004608, 1.082942, 4800
0.004659, 1.086015, 4850
0.004710, 1.096466, 4900
0.004762, 1.11004, 4950
0.004813, 1.12798, 5010
0.004864, 1.148781, 5050
0.004915, 1.168836, 5100
0.004966, 1.180737, 5150
0.005018, 1.188351, 5200
0.005069, 1.18746, 5270
0.005120, 1.18417, 5300
0.005171, 1.176954, 5360
0.005222, 1.164214, 5400
0.005274, 1.148443, 5460
0.005325, 1.131821, 5520
0.005376, 1.111791, 5560
0.005427, 1.092447, 5610
0.005478, 1.079737, 5670
0.005530, 1.075956, 5710
0.005581, 1.075034, 5770
0.005632, 1.082366, 5810
0.005683, 1.093598, 5870
0.005734, 1.107589, 5920
0.005786, 1.121397, 5970
0.005837, 1.136648, 6020
0.005888, 1.155471, 6070
0.005939, 1.170784, 6120
0.005990, 1.183751, 6170
0.006042, 1.191285, 6250
0.006093, 1.18971, 6280
0.006144, 1.181566, 6330
0.006195, 1.167618, 6380
0.006246, 1.154609, 6430
0.006298, 1.138715, 6490
0.006349, 1.121956, 6530
0.006400, 1.105499, 6580
0.006451, 1.092619, 6640
0.006502, 1.078705, 6680
0.006554, 1.072767, 6760
0.006605, 1.075003, 6790
0.006656, 1.084397, 6840
0.006707, 1.096798, 6890
0.006758, 1.114697, 6950
0.006810, 1.132537, 7010
0.006861, 1.148427, 7050
0.006912, 1.162895, 7100
0.006963, 1.176338, 7150
0.007014, 1.187119, 7200
0.007066, 1.191751, 7260
0.007117, 1.188656, 7300
0.007168, 1.179682, 7360
0.007219, 1.164734, 7400
0.007270, 1.14337, 7550
0.007322, 1.127585, 7590
0.007373, 1.111198, 7630
0.007424, 1.096196, 7660
0.007475, 1.085584, 7700
0.007526, 1.081189, 7760
0.007578, 1.077424, 7790
0.007629, 1.079497, 7830
