Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/9/2013 6:26:53 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.000147, -0.01151607, 1620
00.000294, -0.6898125, 1680
00.000441, -1.343925, 1730
00.000588, -1.965793, 1780
00.000735, -2.542748, 1860
00.000882, -3.066729, 1880
00.001029, -3.528523, 1930
00.001176, -3.921221, 1980
00.001323, -4.237913, 2050
00.001470, -4.473992, 2100
00.001617, -4.623701, 2130
00.001764, -4.68704, 2180
00.001911, -4.661704, 2250
00.002058, -4.547695, 2290
00.002205, -4.347316, 2360
00.002352, -4.06402, 2390
00.002499, -3.701264, 2460
00.002646, -3.267108, 2500
00.002793, -2.768463, 2550
00.002940, -2.213388, 2610
00.003087, -1.608795, 2650
00.003234, -0.9673497, 2700
00.003381, -0.2971146, 2750
00.003528, 0.3869399, 2800
00.003675, 1.077904, 2860
00.003822, 1.759655, 2900
00.003969, 2.424132, 2950
00.004116, 3.058668, 3000
00.004263, 3.657503, 3050
00.004410, 4.202213, 3110
00.004557, 4.693949, 3160
00.004704, 5.113134, 3210
00.004851, 5.464374, 3260
00.004998, 5.731547, 3310
00.005145, 5.920411, 3360
00.005292, 6.017146, 3420
00.005439, 6.030965, 3470
00.005586, 5.951504, 3520
00.005733, 5.787976, 3570
00.005880, 5.536925, 3620
00.006027, 5.208717, 3670
00.006174, 4.8022, 3720
00.006321, 4.330041, 3770
00.006468, 3.795696, 3830
00.006615, 3.211831, 3880
00.006762, 2.584206, 3930
00.006909, 1.926638, 3980
00.007056, 1.24719, 4030
00.007203, 0.5573777, 4090
00.007350, -0.1301316, 4130
00.007497, -0.8049731, 4180
00.007644, -1.453328, 4250
00.007791, -2.068286, 4290
00.007938, -2.63718, 4360
00.008085, -3.151948, 4390
00.008232, -3.601074, 4450
00.008379, -3.982256, 4490
00.008526, -4.285129, 4550
00.008673, -4.507389, 4600
00.008820, -4.640975, 4660
00.008967, -4.689343, 4700
00.009114, -4.649036, 4760
00.009261, -4.521208, 4790
00.009408, -4.304706, 4860
00.009555, -4.007592, 4900
00.009702, -3.632168, 4950
00.009849, -3.186496, 5010
00.009996, -2.677486, 5050
00.010143, -2.113199, 5120
00.010290, -1.501695, 5150
00.010437, -0.8544922, 5200
00.010584, -0.1819539, 5260
00.010731, 0.5044038, 5310
00.010878, 1.194216, 5360
00.011025, 1.872513, 5410
00.011172, 2.534687, 5460
00.011319, 3.163464, 5510
00.011466, 3.751935, 5660
00.011613, 4.289735, 5680
00.011760, 4.769955, 5710
00.011907, 5.177624, 5750
00.012054, 5.515045, 5780
00.012201, 5.76955, 5830
