Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/14/2014 7:18:07 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000050, 0, 4261990, 15104, 15104, "00000000 003b 66084100"
0.000100, 1.82953527502248E-41, 4261990, 2048, 2048, "00330000 0008 66084100"
0.000150, 3.65907055004496E-41, 4261973, 23296, 23296, "00660000 005b 55084100"
0.000200, 5.48860582506744E-41, 4261975, 45568, 45568, "00990000 00b2 57084100"
0.000250, 7.35401434077664E-41, 4261964, 61184, 61184, "00cd0000 00ef 4c084100"
0.000300, 9.18354961579912E-41, 4261970, 53760, 53760, "00000100 00d2 52084100"
0.000350, 1.10130848908216E-40, 4261979, 49920, 49920, "00330100 00c3 5b084100"
0.000400, 1.28426201658441E-40, 4261979, 57856, 57856, "00660100 00e2 5b084100"
0.000450, 1.46721554408666E-40, 4261974, 52992, 52992, "00990100 00cf 56084100"
0.000500, 1.65375639565758E-40, 4261975, 26368, 26368, "00cd0100 0067 57084100"
0.000550, 1.83670992315982E-40, 4261972, 22784, 22784, "00000200 0059 54084100"
0.000600, 2.01966345066207E-40, 4261967, 8192, StopSent, "00330200 0020 4f084100"
0.000650, 2.20261697816432E-40, 4261969, 32000, 32000, "00660200 007d 51084100"
0.000700, 2.38557050566657E-40, 4261972, 1792, 1792, "00990200 0007 54084100"
0.000750, 2.57211135723749E-40, 4261964, 33792, 33792, "00cd0200 0084 4c084100"
0.000800, 2.75506488473974E-40, 4261967, 37376, 37376, "00000300 0092 4f084100"
0.000850, 2.93801841224198E-40, 4261979, 56320, 56320, "00330300 00dc 5b084100"
0.000900, 3.12097193974423E-40, 4261976, 17152, 17152, "00660300 0043 58084100"
0.000950, 3.30392546724648E-40, 4261967, 11520, 11520, "00990300 002d 4f084100"
0.001000, 3.4904663188174E-40, 4261973, 47616, 47616, "00cd0300 00ba 55084100"
0.001050, 3.67341984631965E-40, 4261968, 50944, 50944, "00000400 00c7 50084100"
0.001100, 3.8563733738219E-40, 4261954, 51456, 51456, "00330400 00c9 42084100"
0.001150, 4.03932690132414E-40, 4261976, 14080, 14080, "00660400 0037 58084100"
0.001200, 4.22228042882639E-40, 4261965, 24576, 24576, "00990400 0060 4d084100"
0.001250, 4.40882128039731E-40, 4261971, 15616, 15616, "00cd0400 003d 53084100"
0.001300, 4.59177480789956E-40, 4261957, 41984, 41984, "00000500 00a4 45084100"
0.001350, 4.77472833540181E-40, 4261974, 22528, 22528, "00330500 0058 56084100"
0.001400, 4.95768186290406E-40, 4261985, 18176, 18176, "00660500 0047 61084100"
0.001450, 5.1406353904063E-40, 4261979, 27392, 27392, "00990500 006b 5b084100"
0.001500, 5.32717624197722E-40, 4261967, 59904, 59904, "00cd0500 00ea 4f084100"
0.001550, 5.51012976947947E-40, 4261982, 8192, StopSent, "00000600 0020 5e084100"
0.001600, 5.69308329698172E-40, 4261978, 47616, 47616, "00330600 00ba 5a084100"
0.001650, 5.87603682448397E-40, 4261988, 63744, 63744, "00660600 00f9 64084100"
0.001700, 6.05899035198622E-40, 4261966, 41472, 41472, "00990600 00a2 4e084100"
0.001750, 6.24553120355714E-40, 4261995, 34304, 34304, "00cd0600 0086 6b084100"
0.001800, 6.42848473105938E-40, 4261961, 23808, 23808, "00000700 005d 49084100"
0.001850, 6.61143825856163E-40, 4261981, 5888, 5888, "00330700 0017 5d084100"
0.001900, 6.79439178606388E-40, 4261983, 42752, 42752, "00660700 00a7 5f084100"
0.001950, 6.97734531356613E-40, 4261978, 29952, 29952, "00990700 0075 5a084100"
0.002000, 7.16388616513705E-40, 4261986, 15616, 15616, "00cd0700 003d 62084100"
0.002050, 7.3468396926393E-40, 4261973, 2304, 2304, "00000800 0009 55084100"
0.002100, 7.52979322014155E-40, 4261965, 65024, 65024, "00330800 00fe 4d084100"
0.002150, 7.71274674764379E-40, 4261978, 44288, 44288, "00660800 00ad 5a084100"
0.002200, 7.89570027514604E-40, 4261986, 47872, 47872, "00990800 00bb 62084100"
0.002250, 8.08224112671696E-40, 4261988, 15360, 15360, "00cd0800 003c 64084100"
0.002300, 8.26519465421921E-40, 4261969, 64512, 64512, "00000900 00fc 51084100"
0.002350, 8.44814818172146E-40, 4261978, 63744, 63744, "00330900 00f9 5a084100"
0.002400, 8.63110170922371E-40, 4261969, 61184, 61184, "00660900 00ef 51084100"
0.002450, 8.81405523672595E-40, 4261970, 53760, 53760, "00990900 00d2 52084100"
0.002500, 9.00059608829687E-40, 4261971, 60928, 60928, "00cd0900 00ee 53084100"
0.002550, 9.18354961579912E-40, 4261964, 30464, 30464, "00000a00 0077 4c084100"
0.002600, 9.36650314330137E-40, 4261965, 8448, MissingSamples| StopSent, "00330a00 0021 4d084100"
0.002650, 9.54945667080362E-40, 4261983, 4096, Impossible, "00660a00 0010 5f084100"
0.002700, 9.73241019830587E-40, 4261973, 58880, 58880, "00990a00 00e6 55084100"
0.002750, 9.91895104987679E-40, 4261981, 46336, 46336, "00cd0a00 00b5 5d084100"
0.002800, 1.0101904577379E-39, 4261992, 51712, 51712, "00000b00 00ca 68084100"
0.002850, 1.02848581048813E-39, 4261974, 22528, 22528, "00330b00 0058 56084100"
0.002900, 1.04678116323835E-39, 4261961, 2816, 2816, "00660b00 000b 49084100"
0.002950, 1.06507651598858E-39, 4261986, 23808, 23808, "00990b00 005d 62084100"
0.003000, 1.08373060114567E-39, 4261978, 42752, 42752, "00cd0b00 00a7 5a084100"
0.003050, 1.10202595389589E-39, 4261968, 34816, 34816, "00000c00 0088 50084100"
0.003100, 1.12032130664612E-39, 4261990, 10240, 10240, "00330c00 0028 66084100"
0.003150, 1.13861665939634E-39, 4261978, 28160, 28160, "00660c00 006e 5a084100"
0.003200, 1.15691201214657E-39, 4261984, 51456, 51456, "00990c00 00c9 60084100"
0.003250, 1.17556609730366E-39, 4261972, 30720, 30720, "00cd0c00 0078 54084100"
0.003300, 1.19386145005389E-39, 4262000, 39168, 39168, "00000d00 0099 70084100"
0.003350, 1.21215680280411E-39, 4262002, 48640, 48640, "00330d00 00be 72084100"
0.003400, 1.23045215555434E-39, 4261993, 12032, 12032, "00660d00 002f 69084100"
0.003450, 1.24874750830456E-39, 4261985, 32768, 32768, "00990d00 0080 61084100"
0.003500, 1.26740159346165E-39, 4261993, 34816, 34816, "00cd0d00 0088 69084100"
0.003550, 1.28569694621188E-39, 4261988, 36352, 36352, "00000e00 008e 64084100"
0.003600, 1.3039922989621E-39, 4261985, 3584, 3584, "00330e00 000e 61084100"
0.003650, 1.32228765171233E-39, 4261969, 38656, 38656, "00660e00 0097 51084100"
0.003700, 1.34058300446255E-39, 4261989, 9472, 9472, "00990e00 0025 65084100"
0.003750, 1.35923708961964E-39, 4261975, 63488, 63488, "00cd0e00 00f8 57084100"
0.003800, 1.37753244236987E-39, 4261969, 48128, 48128, "00000f00 00bc 51084100"
0.003850, 1.39582779512009E-39, 4261961, 25344, 25344, "00330f00 0063 49084100"
0.003900, 1.41412314787032E-39, 4261950, 44032, 44032, "00660f00 00ac 3e084100"
0.003950, 1.43241850062054E-39, 4261964, 35328, 35328, "00990f00 008a 4c084100"
0.004000, 1.45107258577763E-39, 4261970, 18176, 18176, "00cd0f00 0047 52084100"
0.004050, 1.46936793852786E-39, 4261976, 5888, 5888, "00001000 0017 58084100"
0.004100, 1.48766329127808E-39, 4261970, 58624, 58624, "00331000 00e5 52084100"
0.004150, 1.50595864402831E-39, 4261965, 60160, 60160, "00661000 00eb 4d084100"
0.004200, 1.52425399677853E-39, 4261978, 25088, 25088, "00991000 0062 5a084100"
0.004250, 1.54290808193563E-39, 4261970, 11776, 11776, "00cd1000 002e 52084100"
0.004300, 1.56120343468585E-39, 4261963, 2304, 2304, "00001100 0009 4b084100"
0.004350, 1.57949878743608E-39, 4261963, 65280, 65280, "00331100 00ff 4b084100"
