Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/3/2014 6:43:28 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000006, 30.343297958374, 0, 1, TriggerDetected, "13bff241 0100 00000000"
0.000013, 31.1203880310059, 1, 0, 0, "8ef6f841 0000 01000000"
0.000019, 31.8705673217773, 2, 0, 0, "ecf6fe41 0000 02000000"
0.000026, 32.6259460449219, 3, 0, 0, "f8800242 0000 03000000"
0.000032, 33.3820953369141, 4, 0, 0, "44870542 0000 04000000"
0.000038, 34.1031303405762, 5, 0, 0, "9b690842 0000 05000000"
0.000045, 34.8312110900879, 6, 0, 0, "29530b42 0000 06000000"
0.000051, 35.5224647521973, 7, 0, 0, "01170e42 0000 07000000"
0.000058, 36.1855888366699, 8, 0, 0, "0bbe1042 0000 08000000"
0.000064, 36.8455696105957, 9, 0, 0, "dd611342 0000 09000000"
0.000070, 37.458854675293, 10, 0, 0, "ded51542 0000 0a000000"
0.000077, 38.0621223449707, 11, 0, 0, "9d3f1842 0000 0b000000"
0.000083, 38.6194801330566, 12, 0, 0, "597a1a42 0000 0c000000"
0.000090, 39.1493263244629, 13, 0, 0, "e9981c42 0000 0d000000"
0.000096, 39.6529769897461, 14, 0, 0, "a69c1e42 0000 0e000000"
0.000102, 40.0961494445801, 15, 0, 0, "75622042 0000 0f000000"
0.000109, 40.524299621582, 16, 0, 0, "e2182242 0000 10000000"
0.000115, 40.9120445251465, 17, 0, 0, "efa52342 0000 11000000"
0.000122, 41.2568244934082, 18, 0, 0, "fd062542 0000 12000000"
0.000128, 41.5569152832031, 19, 0, 0, "483a2642 0000 13000000"
0.000134, 41.8085594177246, 20, 0, 0, "f73b2742 0000 14000000"
0.000141, 42.0260047912598, 21, 0, 0, "a11a2842 0000 15000000"
0.000147, 42.1989631652832, 22, 0, 0, "bdcb2842 0000 16000000"
0.000154, 42.3137550354004, 23, 0, 0, "49412942 0000 17000000"
0.000160, 42.3906021118164, 24, 0, 0, "fa8f2942 0000 18000000"
0.000166, 42.4156379699707, 25, 0, 0, "9da92942 0000 19000000"
0.000173, 42.3969078063965, 26, 0, 0, "6f962942 0000 1a000000"
0.000179, 42.331226348877, 27, 0, 0, "2d532942 0000 1b000000"
0.000186, 42.2208595275879, 28, 0, 0, "29e22842 0000 1c000000"
0.000192, 42.0671501159668, 29, 0, 0, "c3442842 0000 1d000000"
0.000198, 41.8635597229004, 30, 0, 0, "49742742 0000 1e000000"
0.000205, 41.6185531616211, 31, 0, 0, "66792642 0000 1f000000"
0.000211, 41.3356018066406, 32, 0, 0, "a8572542 0000 20000000"
0.000218, 40.9960250854492, 33, 0, 0, "eefb2342 0000 21000000"
0.000224, 40.6279182434082, 34, 0, 0, "fd822242 0000 22000000"
0.000230, 40.211311340332, 35, 0, 0, "62d82042 0000 23000000"
0.000237, 39.7584800720215, 36, 0, 0, "af081f42 0000 24000000"
0.000243, 39.2739372253418, 37, 0, 0, "83181d42 0000 25000000"
0.000250, 38.7358131408691, 38, 0, 0, "79f11a42 0000 26000000"
0.000256, 38.183048248291, 39, 0, 0, "71bb1842 0000 27000000"
0.000262, 37.5944633483887, 40, 0, 0, "bb601642 0000 28000000"
0.000269, 36.9744834899902, 41, 0, 0, "dfe51342 0000 29000000"
0.000275, 36.3417854309082, 42, 0, 0, "fd5d1142 0000 2a000000"
0.000282, 35.6626777648926, 43, 0, 0, "95a60e42 0000 2b000000"
0.000288, 34.9849166870117, 44, 0, 0, "8ef00b42 0000 2c000000"
0.000294, 34.2768707275391, 45, 0, 0, "841b0942 0000 2d000000"
0.000301, 33.547435760498, 46, 0, 0, "93300642 0000 2e000000"
0.000307, 32.8078002929688, 47, 0, 0, "303b0342 0000 2f000000"
0.000314, 32.0466041564941, 48, 0, 0, "b92f0042 0000 30000000"
0.000320, 31.2933444976807, 49, 0, 0, "c558fa41 0000 31000000"
0.000326, 30.5336017608643, 50, 0, 0, "d144f441 0000 32000000"
0.000333, 29.7573547363281, 51, 0, 0, "100fee41 0000 33000000"
0.000339, 28.9898414611816, 52, 0, 0, "32ebe741 0000 34000000"
0.000346, 28.2117366790771, 53, 0, 0, "a3b1e141 0000 35000000"
0.000352, 27.4602470397949, 54, 0, 0, "96aedb41 0000 36000000"
0.000358, 26.694221496582, 55, 0, 0, "c48dd541 0000 37000000"
0.000365, 25.9516925811768, 56, 0, 0, "119dcf41 0000 38000000"
0.000371, 25.2206497192383, 57, 0, 0, "e4c3c941 0000 39000000"
0.000378, 24.4937744140625, 58, 0, 0, "40f3c341 0000 3a000000"
0.000384, 23.8146381378174, 59, 0, 0, "6184be41 0000 3b000000"
0.000390, 23.1290073394775, 60, 0, 0, "3508b941 0000 3c000000"
0.000397, 22.4823246002197, 61, 0, 0, "cddbb341 0000 3d000000"
0.000403, 21.8607578277588, 62, 0, 0, "d5e2ae41 0000 3e000000"
0.000410, 21.2569332122803, 63, 0, 0, "330eaa41 0000 3f000000"
0.000416, 20.7012195587158, 64, 0, 0, "199ca541 0000 40000000"
0.000422, 20.1622848510742, 65, 0, 0, "5c4ca141 0000 41000000"
0.000429, 19.6574420928955, 66, 0, 0, "71429d41 0000 42000000"
0.000435, 19.1978397369385, 67, 0, 0, "2d959941 0000 43000000"
0.000442, 18.7625579833984, 68, 0, 0, "b8199641 0000 44000000"
0.000448, 18.3790626525879, 69, 0, 0, "52089341 0000 45000000"
0.000454, 18.0366516113281, 70, 0, 0, "104b9041 0000 46000000"
0.000461, 17.7210922241211, 71, 0, 0, "ccc48d41 0000 47000000"
0.000467, 17.4693450927734, 72, 0, 0, "38c18b41 0000 48000000"
0.000474, 17.2448711395264, 73, 0, 0, "7ff58941 0000 49000000"
0.000480, 17.0850811004639, 74, 0, 0, "3fae8841 0000 4a000000"
0.000486, 16.9613628387451, 75, 0, 0, "dfb08741 0000 4b000000"
0.000493, 16.8818187713623, 76, 0, 0, "f70d8741 0000 4c000000"
0.000499, 16.8540840148926, 77, 0, 0, "2ad58641 0000 4d000000"
0.000506, 16.8658332824707, 78, 0, 0, "3aed8641 0000 4e000000"
0.000512, 16.9249610900879, 79, 0, 0, "52668741 0000 4f000000"
0.000518, 17.0264625549316, 80, 0, 0, "32368841 0000 50000000"
0.000525, 17.1746444702148, 81, 0, 0, "ac658941 0000 51000000"
0.000531, 17.3797798156738, 82, 0, 0, "ca098b41 0000 52000000"
0.000538, 17.6198635101318, 83, 0, 0, "7bf58c41 0000 53000000"
0.000544, 17.8986835479736, 84, 0, 0, "81308f41 0000 54000000"
0.000550, 18.2375354766846, 85, 0, 0, "79e69141 0000 55000000"
0.000557, 18.6075038909912, 86, 0, 0, "2bdc9441 0000 56000000"
0.000563, 19.0250778198242, 87, 0, 0, "5c339841 0000 57000000"
0.000570, 19.4721031188965, 88, 0, 0, "dec69b41 0000 58000000"
0.000576, 19.9577293395996, 89, 0, 0, "6ea99f41 0000 59000000"
0.000582, 20.4810638427734, 90, 0, 0, "38d9a341 0000 5a000000"
0.000589, 21.0336723327637, 91, 0, 0, "f644a841 0000 5b000000"
0.000595, 21.6222953796387, 92, 0, 0, "76faac41 0000 5c000000"
0.000602, 22.2287940979004, 93, 0, 0, "92d4b141 0000 5d000000"
0.000608, 22.8733310699463, 94, 0, 0, "95fcb641 0000 5e000000"
0.000614, 23.5419445037842, 95, 0, 0, "e755bc41 0000 5f000000"
0.000621, 24.2195129394531, 96, 0, 0, "90c1c141 0000 60000000"
0.000627, 24.937141418457, 97, 0, 0, "447fc741 0000 61000000"
0.000634, 25.6564159393311, 98, 0, 0, "5740cd41 0000 62000000"
0.000640, 26.395092010498, 99, 0, 0, "2629d341 0000 63000000"
0.000646, 27.1568622589111, 100, 0, 0, "4141d941 0000 64000000"
0.000653, 27.906343460083, 101, 0, 0, "3140df41 0000 65000000"
0.000659, 28.6875877380371, 102, 0, 0, "2e80e541 0000 66000000"
0.000666, 29.4451370239258, 103, 0, 0, "a48feb41 0000 67000000"
0.000672, 30.2140102386475, 104, 1, TriggerDetected, "4bb6f141 0100 68000000"
0.000678, 30.986722946167, 105, 0, 0, "cfe4f741 0000 69000000"
0.000685, 31.7430267333984, 106, 0, 0, "b8f1fd41 0000 6a000000"
0.000691, 32.5032768249512, 107, 0, 0, "5b030242 0000 6b000000"
0.000698, 33.2459983825684, 108, 0, 0, "e7fb0442 0000 6c000000"
0.000704, 33.9781227111816, 109, 0, 0, "99e90742 0000 6d000000"
0.000710, 34.7012176513672, 110, 0, 0, "0cce0a42 0000 6e000000"
0.000717, 35.3899574279785, 111, 0, 0, "518f0d42 0000 6f000000"
0.000723, 36.0688705444336, 112, 0, 0, "86461042 0000 70000000"
0.000730, 36.720760345459, 113, 0, 0, "0fe21242 0000 71000000"
0.000736, 37.3484878540039, 114, 0, 0, "da641542 0000 72000000"
0.000742, 37.9544525146484, 115, 0, 0, "5cd11742 0000 73000000"
